lui	his	el	he	PRO;3	PRO;MASC;SG;3
sunt	are	fi	be	V;IND;PL;3;PRS;FIN	V;IND;PRS;FIN
sit	site	sit	site	N;INDF;MASC;SG	N;SG
regiunea	region	regiune	region	N;DEF;FEM;SG	N;SG
mare	great	mare	great	ADJ;INDF;MASC;SG	ADJ
mare	big	mare	big	ADJ;INDF;MASC;SG	ADJ
anul	year	an	year	N;DEF;MASC;SG	N;SG
comună	common	comun	common	ADJ;INDF;FEM;SG	ADJ
externe	external	extern	external	ADJ;INDF;FEM;PL	ADJ
locuitori	inhabitants	locuitor	inhabitant	N;INDF;MASC;PL	N;PL
locuitori	residents	locuitor	resident	N;INDF;MASC;PL	N;PL
legături	links	legătură	link	N;INDF;FEM;PL	N;PL
legături	connections	legătură	connection	N;INDF;FEM;PL	N;PL
dar	but	dar	but	CONJ;POS	CONJ
populație	population	populație	population	N;INDF;FEM;SG	N;SG
fiind	being	fi	be	V;V.MSDR	V;V.MSDR
lista	list	listă	list	N;DEF;FEM;SG	N;SG
nume	name	nume	name	N;INDF	N;SG
ani	years	an	year	N;INDF;MASC;PL	N;PL
comuna	municipality	comună	municipality	N;DEF;FEM;SG	N;SG
poate	maybe	poate	maybe	ADV	ADV
poate	perhaps	poate	perhaps	ADV	ADV
două	two	doi	two	NUM;FEM;PL	NUM
rege	king	rege	king	N;INDF;MASC;SG	N;SG
regiune	region	regiune	region	N;INDF;FEM;SG	N;SG
anii	years	an	year	N;DEF;MASC;PL	N;PL
parte	part	parte	part	N;INDF;FEM;SG	N;SG
județul	county	județ	county	N;DEF;MASC;SG	N;SG
centura	seatbelt	centură	seatbelt	N;DEF;FEM;SG	N;SG
centura	belt	centură	belt	N;DEF;FEM;SG	N;SG
dinastia	dynasty	dinastie	dynasty	N;DEF;FEM;SG	N;SG
timp	time	timp	time	N;INDF;MASC;SG	N;SG
majoritatea	majority	majoritate	majority	N;DEF;FEM;SG	N;SG
densitate	density	densitate	density	N;INDF;FEM;SG	N;SG
limbă	tongue	limbă	tongue	N;INDF;FEM;SG	N;SG
limbă	language	limbă	language	N;INDF;FEM;SG	N;SG
sat	village	sat	village	N;INDF;MASC;SG	N;SG
biserica	church	biserică	church	N;DEF;FEM;SG	N;SG
fișier	file	fișier	file	N;INDF;MASC;SG	N;SG
adresă	address	adresa	address	N;INDF;FEM;SG	N;SG
imagine	picture	imagine	picture	N;INDF;FEM;SG	N;SG
imagine	image	imagine	image	N;INDF;FEM;SG	N;SG
statul	state	stat	state	N;DEF;MASC;SG	N;SG
avut	had	avea	have	V;MASC;SG;V.PTCP	V;IND;PST;FIN
familia	family	familie	family	N;DEF;FEM;SG	N;SG
numele	name	nume	name	N;DEF;MASC;SG	N;SG
timpul	time	timp	time	N;DEF;MASC;SG	N;SG
principală	main	principal	main	ADJ;INDF;FEM;SG	ADJ
loc	place	loc	place	N;INDF;MASC;SG	N;SG
doar	only	doar	only	ADV	ADV
doar	just	doar	just	ADV	ADV
editura	publisher	editură	publisher	N;DEF;FEM;SG	N;SG
recensământului	census	recensământ	census	N;DEF;MASC;SG	N;SG
listă	list	listă	list	N;INDF;FEM;SG	N;SG
