категорія	類別	категорія	類別	N;INAN;NOM;FEM;SG	N
від	從	від	從	ADP;GEN	ADP
також	還	також	還	ADV	ADV
також	也	також	也	ADV	ADV
про	關於	про	關於	ADP;ACC	ADP
його	他	він	他	PRO;ACC;MASC;SG;3	PRO;3
населення	人口	населення	人口	N;INAN;NOM;NEUT;SG	N
населення	人口	населення	人口	N;INAN;NOM;NEUT;SG	N
час	時代	час	時代	N;INAN;NOM;MASC;SG	N
час	時報	час	時報	N;INAN;NOM;MASC;SG	N
час	時光	час	時光	N;INAN;NOM;MASC;SG	N
час	時間	час	時間	N;INAN;NOM;MASC;SG	N
області	地區	область	地區	N;INAN;GEN;FEM;SG	N
міста	城市	місто	城市	N;INAN;NOM;NEUT;SG	N
село	村	село	村	N;INAN;NOM;NEUT;SG	N
село	鄉村	село	鄉村	N;INAN;NOM;NEUT;SG	N
село	村	село	村	N;INAN;NOM;NEUT;SG	N
село	村落	село	村落	N;INAN;NOM;NEUT;SG	N
село	村子	село	村子	N;INAN;NOM;NEUT;SG	N
район	區	район	區	N;INAN;NOM;MASC;SG	N
район	地區	район	地區	N;INAN;NOM;MASC;SG	N
через	通過	через	通過	ADP;ACC	ADP
через	經	через	經	ADP;ACC	ADP
через	透過	через	透過	ADP;ACC	ADP
через	通過	через	通過	ADP;ACC	ADP
села	鄉村	село	鄉村	N;INAN;NOM;NEUT;SG	N
села	村	село	村	N;INAN;NOM;NEUT;SG	N
рік	年度	рік	年度	N;INAN;NOM;MASC;SG	N
рік	年份	рік	年份	N;INAN;NOM;MASC;SG	N
рік	年	рік	年	N;INAN;NOM;MASC;SG	N
ради	安理	рада	安理	N;INAN;NOM;FEM;PL	N
область	面積	область	面積	N;INAN;NOM;FEM;SG	N
область	地區	область	地區	N;INAN;NOM;FEM;SG	N
область	區域	область	區域	N;INAN;NOM;FEM;SG	N
область	區	область	區	N;INAN;NOM;FEM;SG	N
вони	她們	вони	她	PRO;NOM;PL;3	PRO;PL;3
вони	他們	вони	他	PRO;NOM;PL;3	PRO;PL;3
вони	它們	вони	它	PRO;NOM;PL;3	PRO;PL;3
сайті	網站	сайт	網站	N;INAN;DAT;MASC;SG	N
сайті	網頁	сайт	網頁	N;INAN;DAT;MASC;SG	N
війни	戰爭	війна	戰爭	N;INAN;NOM;FEM;SG	N
файл	文件	файл	文件	N;INAN;NOM;MASC;SG	N
файл	檔案	файл	檔案	N;INAN;NOM;MASC;SG	N
роки	歲	рік	歲	N;INAN;NOM;MASC;PL	N
роки	年份	рік	年份	N;INAN;NOM;MASC;PL	N
вона	她	вона	她	PRO;NOM;FEM;SG;3	PRO;3
список	名單	список	名單	N;INAN;NOM;MASC;SG	N
список	清單	список	清單	N;INAN;NOM;MASC;SG	N
цей	這	цей	這	DET;NOM;MASC;SG	DET
місце	斑點	місце	斑點	N;INAN;NOM;NEUT;SG	N
місце	地方	місце	地方	N;INAN;NOM;NEUT;SG	N
місце	地點	місце	地點	N;INAN;NOM;NEUT;SG	N
місце	位置	місце	位置	N;INAN;NOM;NEUT;SG	N
місце	地點	місце	地點	N;INAN;NOM;NEUT;SG	N
місце	座位	місце	座位	N;INAN;NOM;NEUT;SG	N
муніципалітет	市	муніципалітет	市	N;INAN;NOM;MASC;SG	N
інших	其他	інший	其他	DET;GEN;PL	DET
інших	其他	інший	其他	DET;GEN;PL	DET
один	一	один	一	NUM;NOM;MASC	NUM
один	一	один	一	NUM;NOM;MASC	NUM
вид	善良	вид	善良	N;INAN;NOM;MASC;SG	N
вид	魚種	вид	魚種	N;INAN;NOM;MASC;SG	N
вид	物種	вид	物種	N;INAN;NOM;MASC;SG	N
місто	城鎮	місто	城鎮	N;INAN;NOM;NEUT;SG	N
місто	鎮	місто	鎮	N;INAN;NOM;NEUT;SG	N
місто	城市	місто	城市	N;INAN;NOM;NEUT;SG	N
місто	市	місто	市	N;INAN;NOM;NEUT;SG	N
місто	城	місто	城	N;INAN;NOM;NEUT;SG	N
вже	已經	вже	已經	ADV	ADV
життя	生命	життя	生命	N;INAN;NOM;NEUT;SG	N
життя	人生	життя	人生	N;INAN;NOM;NEUT;SG	N
центр	中心	центр	中心	N;INAN;NOM;MASC;SG	N
центр	中心	центр	中心	N;INAN;NOM;MASC;SG	N
захід	西邊	захід	西邊	N;INAN;NOM;MASC;SG	N
захід	西	захід	西	N;INAN;NOM;MASC;SG	N
захід	西部	захід	西部	N;INAN;NOM;MASC;SG	N
століття	世紀	століття	世紀	N;INAN;NOM;NEUT;SG	N
рада	安理	рада	安理	N;INAN;NOM;FEM;SG	N
схід	東	схід	東	N;INAN;NOM;MASC;SG	N
схід	東部	схід	東部	N;INAN;NOM;MASC;SG	N
схід	東方	схід	東方	N;INAN;NOM;MASC;SG	N
схід	東區	схід	東區	N;INAN;NOM;MASC;SG	N
статті	文章	стаття	文章	N;INAN;NOM;FEM;PL	N
склад	音節	склад	音節	N;INAN;NOM;MASC;SG	N
склад	倉庫	склад	倉庫	N;INAN;NOM;MASC;SG	N
склад	倉儲	склад	倉儲	N;INAN;NOM;MASC;SG	N
історія	動態	історія	動態	N;INAN;NOM;FEM;SG	N
історія	故事	історія	故事	N;INAN;NOM;FEM;SG	N
історія	歷史	історія	歷史	N;INAN;NOM;FEM;SG	N
зображення	影像	зображення	影像	N;INAN;NOM;NEUT;SG	N
зображення	圖片	зображення	圖片	N;INAN;NOM;NEUT;SG	N
зображення	照片	зображення	照片	N;INAN;NOM;NEUT;SG	N
зображення	圖片	зображення	圖片	N;INAN;NOM;NEUT;SG	N
зображення	影象	зображення	影象	N;INAN;NOM;NEUT;SG	N
зображення	影像	зображення	影像	N;INAN;NOM;NEUT;SG	N
зображення	圖片	зображення	圖片	N;INAN;NOM;NEUT;SG	N
зображення	圖片	зображення	圖片	N;INAN;NOM;NEUT;SG	N
зображення	像片	зображення	像片	N;INAN;NOM;NEUT;SG	N
зображення	圖畫	зображення	圖畫	N;INAN;NOM;NEUT;SG	N
зображення	照片	зображення	照片	N;INAN;NOM;NEUT;SG	N
пункти	項目	пункт	項目	N;INAN;NOM;MASC;PL	N
пункти	點數	пункт	點數	N;INAN;NOM;MASC;PL	N
пункти	選項	пункт	選項	N;INAN;NOM;MASC;PL	N
пункти	條目	пункт	條目	N;INAN;NOM;MASC;PL	N
код	密碼	код	密碼	N;INAN;NOM;MASC;SG	N
код	編碼	код	編碼	N;INAN;NOM;MASC;SG	N
код	碼	код	碼	N;INAN;NOM;MASC;SG	N
сайт	網站	сайт	網站	N;INAN;NOM;MASC;SG	N
сайт	網頁	сайт	網頁	N;INAN;NOM;MASC;SG	N
сайт	網站	сайт	網站	N;INAN;NOM;MASC;SG	N
сайт	工地	сайт	工地	N;INAN;NOM;MASC;SG	N
інші	其他	інший	其他	DET;NOM;PL	DET
інші	其他	інший	其他	DET;NOM;PL	DET
мова	語言	мова	語言	N;INAN;NOM;FEM;SG	N
мова	語	мова	語	N;INAN;NOM;FEM;SG	N
мова	語文	мова	語文	N;INAN;NOM;FEM;SG	N
історії	故事	історія	故事	N;INAN;NOM;FEM;PL	N
історії	動態	історія	動態	N;INAN;NOM;FEM;PL	N
історії	歷史	історія	歷史	N;INAN;NOM;FEM;PL	N
всі	全部	весь	全部	DET;NOM;PL	DET
всі	所有	весь	所有	DET;NOM;PL	DET
більше	較	більше	較	ADV;CMPR	ADV
більше	更	більше	更	ADV;CMPR	ADV
кількість	數	кількість	數	N;INAN;NOM;FEM;SG	N
кількість	伯爵	кількість	伯爵	N;INAN;NOM;FEM;SG	N
кількість	數數	кількість	數數	N;INAN;NOM;FEM;SG	N
кількість	計數	кількість	計數	N;INAN;NOM;FEM;SG	N
кількість	數字	кількість	數字	N;INAN;NOM;FEM;SG	N
кількість	數	кількість	數	N;INAN;NOM;FEM;SG	N
кількість	號碼	кількість	號碼	N;INAN;NOM;FEM;SG	N
кількість	編號	кількість	編號	N;INAN;NOM;FEM;SG	N
кількість	數量	кількість	數量	N;INAN;NOM;FEM;SG	N
кількість	量	кількість	量	N;INAN;NOM;FEM;SG	N
шаблони	樣板	шаблон	樣板	N;INAN;NOM;MASC;PL	N
шаблони	模板	шаблон	模板	N;INAN;NOM;MASC;PL	N
шаблони	格局	шаблон	格局	N;INAN;NOM;MASC;PL	N
шаблони	模式	шаблон	模式	N;INAN;NOM;MASC;PL	N
дуже	非常	дуже	非常	ADV	ADV
два	兩	два	兩	NUM;NOM;MASC	NUM
два	兩	два	兩	NUM;NOM;MASC	NUM
два	二	два	二	NUM;NOM;MASC	NUM
площа	廣場	площа	廣場	N;INAN;NOM;FEM;SG	N
площа	平方	площа	平方	N;INAN;NOM;FEM;SG	N
площа	方塊	площа	方塊	N;INAN;NOM;FEM;SG	N
площа	方形	площа	方形	N;INAN;NOM;FEM;SG	N
площа	廣場	площа	廣場	N;INAN;NOM;FEM;SG	N
площа	面積	площа	面積	N;INAN;NOM;FEM;SG	N
площа	地區	площа	地區	N;INAN;NOM;FEM;SG	N
площа	區域	площа	區域	N;INAN;NOM;FEM;SG	N
площа	區	площа	區	N;INAN;NOM;FEM;SG	N
країни	國家	країна	國家	N;INAN;NOM;FEM;PL	N
країни	國家	країна	國家	N;INAN;NOM;FEM;PL	N
країни	各國	країна	各國	N;INAN;NOM;FEM;PL	N
назва	名字	назва	名字	N;INAN;NOM;FEM;SG	N
назва	名稱	назва	名稱	N;INAN;NOM;FEM;SG	N
назва	姓名	назва	姓名	N;INAN;NOM;FEM;SG	N
назва	標題	назва	標題	N;INAN;NOM;FEM;SG	N
голова	頭	голова	頭	N;ANIM;NOM;FEM;SG	N
голова	頭部	голова	頭部	N;ANIM;NOM;FEM;SG	N
голова	主席	голова	主席	N;ANIM;NOM;FEM;SG	N
народився	生	народитися	生	V;PFV;MASC;IND;SG;PST;FIN	V
народився	誕生	народитися	誕生	V;PFV;MASC;IND;SG;PST;FIN	V
народився	出生	народитися	出生	V;PFV;MASC;IND;SG;PST;FIN	V
щодо	關於	щодо	關於	ADP;GEN	ADP
той	那	той	那	DET;NOM;MASC;SG	DET
роботи	工作	робота	工作	N;INAN;NOM;FEM;PL	N
потім	然後	потім	然後	ADV	ADV
потім	那麼	потім	那麼	ADV	ADV
землі	大地	земля	大地	N;INAN;NOM;FEM;PL	N
