על	sobre	על	sobre	ADP	ADP
קטגוריה	categoria	קטגוריה	categoria	N;FEM;SG	N;FEM;SG
עם	com	עם	com	ADP	ADP
גם	igualmente	גם	igualmente	ADV	ADV
גם	também	גם	também	ADV	ADV
גם	também	גם	também	ADV	ADV
גם	demais	גם	demais	ADV	ADV
זה	esta	זה	este	PRO;MASC;SG;3	PRO;FEM;SG
זה	isso	זה	isso	PRO;MASC;SG;3	PRO;MASC;SG
זה	isto	זה	isto	PRO;MASC;SG;3	PRO;MASC;SG
זה	essa	זה	esse	PRO;MASC;SG;3	PRO;FEM;SG
זה	essa	זה	esse	PRO;MASC;SG;3	PRO;FEM;SG
זה	isso	זה	isso	PRO;MASC;SG;3	PRO;MASC;SG
זה	que	זה	que	PRO;MASC;SG;3	PRO;MASC;SG
היא	ela	הוא	ela	PRO;FEM;SG;3	PRO;NOM;FEM;SG;3
שיחה	conversação	שיחה	conversação	N;FEM;SG	N;FEM;SG
שיחה	conversa	שיחה	conversa	N;FEM;SG	N;FEM;SG
לאחר	após	לאחר	após	ADP	ADP
בין	entre	בין	entre	ADP	ADP
כל	todas	כול	todo	DET;PSSD	DET;FEM;PL
כל	qualquer	כול	qualquer	DET;PSSD	DET;FEM;SG
כי	porque	כי	porque	CONJ	CONJ
יותר	mais	יותר	mais	ADV	ADV
אך	mas	אך	mas	CONJ	CONJ
שם	ali	שם	ali	ADV	ADV
שם	aí	שם	aí	ADV	ADV
שם	lá	שם	lá	ADV	ADV
בית	beit	בית	beit	N;MASC;SG	N;MASC;SG
בית	home	בית	home	N;MASC;SG	N;MASC;SG
בית	casa	בית	casa	N;MASC;SG	N;FEM;SG
בית	lar	בית	lar	N;MASC;SG	N;MASC;SG
בית	casa	בית	casa	N;MASC;SG	N;FEM;SG
הם	eles	הוא	eles	PRO;MASC;PL;3	PRO;NOM;MASC;PL;3
הם	elas	הוא	ele	PRO;MASC;PL;3	PRO;NOM;FEM;PL;3
אחד	um	אחד	um	NUM;MASC;SG	NUM
אחד	uma	אחד	um	NUM;MASC;SG	NUM
שמאל	esquerdo	שמאל	esquerdo	N;MASC;SG	N;MASC;SG
שמאל	left	שמאל	left	N;MASC;SG	N;MASC;SG
שמאל	esquerda	שמאל	esquerda	N;MASC;SG	N;FEM;SG
קישורים	ligações	קישורים	ligação	N;MASC;PL	N;FEM;PL
קישורים	links	קישורים	link	N;MASC;PL	N;MASC;PL
חיצוניים	externos	חיצוני	externo	ADJ;MASC;PL	ADJ;MASC;PL
מספר	número	מספר	número	N;MASC;SG	N;MASC;SG
מספר	numero	מספר	numero	N;MASC;SG	N;MASC;SG
רק	só	רק	só	ADV	ADV
רק	apenas	רק	apenas	ADV	ADV
רק	somente	רק	somente	ADV	ADV
רק	unicamente	רק	unicamente	ADV	ADV
רק	só	רק	só	ADV	ADV
רק	apenas	רק	apenas	ADV	ADV
שני	duas	שני	dois	NUM;MASC;PL	NUM
שני	dois	שני	dois	NUM;MASC;PL	NUM
כן	sim	כן	sim	ADV	ADV
כן	sim	כן	sim	ADV	ADV
שנים	anos	שנה	ano	N;FEM;PL	N;MASC;PL
אבל	mas	אבל	mas	CONJ	CONJ
אביב	aviv	אביב	aviv	N;MASC;SG	N;MASC;SG
אביב	spring	אביב	spring	N;MASC;SG	N;MASC;SG
אביב	primavera	אביב	primavera	N;MASC;SG	N;FEM;SG
אביב	mola	אביב	mola	N;MASC;SG	N;FEM;SG
במאי	may	במאי	may	N;MASC;SG	N;MASC;SG
במאי	maio	במאי	maio	N;MASC;SG	N;MASC;SG
במאי	director	במאי	director	N;MASC;SG	N;MASC;SG
במאי	directora	במאי	directora	N;MASC;SG	N;FEM;SG
במאי	diretora	במאי	diretora	N;MASC;SG	N;FEM;SG
במאי	diretor	במאי	diretor	N;MASC;SG	N;MASC;SG
במאי	realizador	במאי	realizador	N;MASC;SG	N;MASC;SG
שנה	ano	שנה	ano	N;FEM;SG	N;MASC;SG
שנה	years	שנה	years	N;FEM;SG	N;MASC;SG
נולד	nascido	נולד	nascer	V;MASC;SG;3;PST;MID	V;MASC;SG;V.PTCP
נולד	nascida	נולד	nascer	V;MASC;SG;3;PST;MID	V;FEM;SG;V.PTCP
נולד	nasceu	נולד	nascer	V;MASC;SG;3;PST;MID	V;IND;SG;3;PST;FIN
הערות	notes	הערה	note	N;FEM;PL	N;MASC;PL
הערות	anotações	הערה	anotação	N;FEM;PL	N;FEM;PL
הערות	notas	הערה	nota	N;FEM;PL	N;FEM;PL
הערות	comentários	הערה	comentário	N;FEM;PL	N;MASC;PL
הערות	observações	הערה	observação	N;FEM;PL	N;FEM;PL
חלק	part	חלק	part	N;MASC;SG	N;MASC;SG
חלק	parte	חלק	parte	N;MASC;SG	N;FEM;SG
חלק	liso	חלק	liso	N;MASC;SG	N;MASC;SG
אחת	um	אחת	um	NUM;FEM;SG	NUM
אחת	uma	אחת	um	NUM;FEM;SG	NUM
שוליים	margens	שול	margem	N;MASC;PL	N;FEM;PL
שוליים	franjas	שול	franja	N;MASC;PL	N;FEM;PL
שוליים	margens	שול	margem	N;MASC;PL	N;FEM;PL
ארצות	países	ארץ	país	N;FEM;PL	N;MASC;PL
ראש	head	ראש	head	N;MASC;SG	N;MASC;SG
ראש	cabeça	ראש	cabeça	N;MASC;SG	N;FEM;SG
ראש	rush	ראש	rush	N;MASC;SG	N;MASC;SG
תל	tel	תל	tel	N;MASC;SG	N;MASC;SG
ערך	value	ערך	value	N;MASC;SG	N;MASC;SG
ערך	valor	ערך	valor	N;MASC;SG	N;MASC;SG
