progettata	navrhl	progettare	navrhnout	V;FEM;SG;PST;V.PTCP	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT
julian	juliana	julian	julian	N;MASC;SG	N;NOM;FEM;SG;POS
julian	juliane	julian	julian	N;MASC;SG	N;NOM;MASC;SG;POS
partigiani	partyzáni	partigiano	partyzán	N;MASC;PL	N;ANIM;NOM;MASC;PL;POS
collaboratore	spolupracovník	collaboratore	spolupracovník	N;MASC;SG	N;ANIM;NOM;MASC;SG;POS
collaboratore	kolega	collaboratore	kolega	N;MASC;SG	N;ANIM;NOM;MASC;SG;POS
collaboratore	kolegyně	collaboratore	kolegyně	N;MASC;SG	N;NOM;FEM;SG;POS
collaboratore	kolaborant	collaboratore	kolaborant	N;MASC;SG	N;ANIM;NOM;MASC;SG;POS
collaboratore	přispěvatelem	collaboratore	přispěvatel	N;MASC;SG	N;ANIM;INS;MASC;SG;POS
edgar	edgara	edgare	edgara	N;MASC	N;ANIM;ACC;MASC;SG;POS
raffaello	raffaello	raffaello	raffaello	N;MASC;SG	N;INAN;NOM;MASC;SG;POS
memorial	pomník	memorial	pomník	N;MASC;SG	N;INAN;NOM;MASC;SG;POS
memorial	památník	memorial	památník	N;MASC;SG	N;INAN;NOM;MASC;SG;POS
aurelio	aurelius	aurelio	aurelius	N;MASC;SG	N;ANIM;NOM;MASC;SG;POS
tifosi	fanoušci	tifoso	fanoušek	N;MASC;PL	N;ANIM;NOM;MASC;PL;POS
tifosi	fanoušky	tifoso	fanoušek	N;MASC;PL	N;ANIM;ACC;MASC;PL;POS
tifosi	ventilátory	tifoso	ventilátor	N;MASC;PL	N;INAN;NOM;MASC;PL;POS
tifosi	příznivci	tifoso	příznivec	N;MASC;PL	N;ANIM;NOM;MASC;PL;POS
tifosi	stoupenci	tifoso	stoupenec	N;MASC;PL	N;ANIM;NOM;MASC;PL;POS
ucraino	ukrajinské	ucraino	ukrajinský	ADJ;MASC;SG	ADJ;NOM;FEM;SG;POS
ucraino	ukrajinský	ucraino	ukrajinský	ADJ;MASC;SG	ADJ;ANIM;NOM;MASC;SG;POS
tessuti	tkáně	tessuto	tkáň	N;MASC;PL	N;NOM;FEM;PL;POS
tessuti	látky	tessuto	látka	N;MASC;PL	N;NOM;FEM;PL;POS
tessuti	textilie	tessuto	textilie	N;MASC;PL	N;NOM;FEM;PL;POS
tessuti	tkaniny	tessuto	tkanina	N;MASC;PL	N;NOM;FEM;PL;POS
tessuti	textilie	tessuto	textilie	N;MASC;PL	N;NOM;FEM;PL;POS
tessuti	tkaniny	tessuto	tkanina	N;MASC;PL	N;NOM;FEM;PL;POS
finalisti	finalistů	finalista	finalista	N;MASC;PL	N;ANIM;GEN;MASC;PL;POS
mina	minu	mina	mina	N;FEM;SG	N;ACC;FEM;SG;POS
incrociatore	křižník	incrociatore	křižník	N;MASC;SG	N;INAN;NOM;MASC;SG;POS
essenziale	zásadní	essenziale	zásadní	ADJ;SG	ADJ;NOM;MASC;SG;POS
essenziale	nezbytné	essenziale	zbytný	ADJ;SG	ADJ;NOM;NEUT;SG;NEG
essenziale	podstatné	essenziale	podstatný	ADJ;SG	ADJ;NOM;NEUT;SG;POS
duello	souboj	duello	souboj	N;MASC;SG	N;INAN;NOM;MASC;SG;POS
duello	duel	duello	duel	N;MASC;SG	N;INAN;NOM;MASC;SG;POS
immediato	okamžité	immediato	okamžitý	ADJ;MASC;SG	ADJ;NOM;NEUT;SG;POS
immediato	bezprostřední	immediato	bezprostřední	ADJ;MASC;SG	ADJ;NOM;MASC;SG;POS
immediato	okamžitá	immediato	okamžitý	ADJ;MASC;SG	ADJ;NOM;FEM;SG;POS
immediato	okamžitý	immediato	okamžitý	ADJ;MASC;SG	ADJ;INAN;NOM;MASC;SG;POS
suicidio	sebevražda	suicidio	sebevražda	N;MASC;SG	N;NOM;FEM;SG;POS
suicidio	sebevraždu	suicidio	sebevražda	N;MASC;SG	N;ACC;FEM;SG;POS
carbone	uhlí	carbone	uhlí	N;MASC;SG	N;NOM;NEUT;SG;POS
carbone	uhlí	carbone	uhlí	N;MASC;SG	N;NOM;NEUT;SG;POS
carbone	uhlíku	carbone	uhlík	N;MASC;SG	N;INAN;GEN;MASC;SG;POS
carbone	uhlík	carbone	uhlík	N;MASC;SG	N;INAN;NOM;MASC;SG;POS
credito	kredit	credito	kredit	N;MASC;SG	N;INAN;NOM;MASC;SG;POS
credito	úvěr	credito	úvěr	N;MASC;SG	N;INAN;NOM;MASC;SG;POS
adrian	adriana	adrian	adriana	N;FEM;SG	N;NOM;FEM;SG;POS
regolari	pravidelné	regolare	pravidelný	ADJ;PL	ADJ;NOM;MASC;PL;POS
famose	slavní	famoso	slavný	ADJ;FEM;PL	ADJ;ANIM;NOM;MASC;PL;POS
fiamme	plameny	fiamma	plamen	N;FEM;PL	N;INAN;NOM;MASC;PL;POS
august	srpen	august	srpen	N;MASC	N;INAN;NOM;MASC;SG;POS
august	srpna	august	srpen	N;MASC	N;INAN;GEN;MASC;SG;POS
comunisti	komunisty	comunista	komunista	N;MASC;PL	N;ANIM;ACC;MASC;PL;POS
comunisti	komunisti	comunista	komunista	N;MASC;PL	N;ANIM;NOM;MASC;PL;POS
comunisti	komunisté	comunista	komunista	N;MASC;PL	N;ANIM;NOM;MASC;PL;POS
organismi	organismů	organismo	organismus	N;MASC;PL	N;INAN;GEN;MASC;PL;POS
organismi	organismy	organismo	organismus	N;MASC;PL	N;INAN;NOM;MASC;PL;POS
pienamente	plně	pienamente	plně	ADV	ADV;POS
terribile	strašné	terribile	strašný	ADJ;SG	ADJ;NOM;NEUT;SG;POS
terribile	hrozný	terribile	hrozný	ADJ;SG	ADJ;INAN;NOM;MASC;SG;POS
terribile	strašné	terribile	strašný	ADJ;SG	ADJ;NOM;NEUT;SG;POS
terribile	strašný	terribile	strašný	ADJ;SG	ADJ;INAN;NOM;MASC;SG;POS
hell	peklo	hell	peklo	N	N;NOM;NEUT;SG;POS
kiss	pusa	kiss	pusa	N	N;NOM;FEM;SG;POS
kiss	pusu	kiss	pus	N	N;ACC;FEM;SG;POS
kiss	polibek	kiss	polibek	N	N;INAN;NOM;MASC;SG;POS
gestita	podařilo	gestire	podařit	V;FEM;SG;PST;V.PTCP	V;PFV;NEUT;SG;POS;PST;V.PTCP;ACT
nathan	nathana	nathan	nathana	N;SG	N;ANIM;ACC;MASC;SG;POS
topolino	mickey	topolino	mickey	N;MASC;SG	N;ANIM;NOM;MASC;SG;POS
topolino	mickeyho	topolino	micke	N;MASC;SG	N;ANIM;ACC;MASC;SG;POS
topolino	myš	topolino	myš	N;MASC;SG	N;NOM;FEM;SG;POS
topolino	myší	topolino	myš	N;MASC;SG	N;NOM;FEM;SG;POS
topolino	myška	topolino	myška	N;MASC;SG	N;NOM;FEM;SG;POS
topolino	myši	topolino	myš	N;MASC;SG	N;NOM;FEM;SG;POS
sedici	šestnáct	sedici	šestnáct	NUM	NUM;NOM;SG
anticipo	záloha	anticipo	záloha	N;MASC;SG	N;NOM;FEM;SG;POS
anticipo	zálohu	anticipo	záloha	N;MASC;SG	N;ACC;FEM;SG;POS
philadelphia	philadelphie	philadelphia	philadelphie	N;FEM;SG	N;NOM;FEM;SG;POS
philadelphia	philadelphii	philadelphia	philadelphie	N;FEM;SG	N;ACC;FEM;SG;POS
crimine	zločin	crimine	zločin	N;MASC;SG	N;INAN;NOM;MASC;SG;POS
crimine	kriminalita	crimine	kriminalita	N;MASC;SG	N;NOM;FEM;SG;POS
