che	那	che	那	DET	DET
come	就	come	就	ADV	ADV
più	更	più	更	ADV	ADV
anche	甚至	anche	甚至	ADV	ADV
anche	還	anche	還	ADV	ADV
anche	也	anche	也	ADV	ADV
team	團隊	team	團隊	N;MASC	N
team	球隊	team	球隊	N;MASC	N
team	隊伍	team	隊伍	N;MASC	N
due	兩	due	兩	NUM	NUM
due	兩	due	兩	NUM	NUM
due	二	due	二	NUM	NUM
dopo	後	dopo	後	ADV	ADV
bar	酒吧	bar	酒吧	N;MASC	N
anni	歲	anno	歲	N;MASC;PL	N
anni	年份	anno	年份	N;MASC;PL	N
questo	這	questo	這	DET;MASC;SG	DET
collegamenti	人脈	collegamento	人脈	N;MASC;PL	N
serie	系列	serie	系列	N;FEM	N
questa	這	questo	這	DET;FEM;SG	DET
film	影片	film	影片	N;MASC	N
film	電影	film	電影	N;MASC	N
film	電影	film	電影	N;MASC	N
film	膠片	film	膠片	N;MASC	N
film	影片	film	影片	N;MASC	N
film	電影	film	電影	N;MASC	N
film	影片	film	影片	N;MASC	N
città	城鎮	città	城鎮	N;FEM	N
città	鎮	città	鎮	N;FEM	N
città	城市	città	城市	N;FEM	N
città	市	città	市	N;FEM	N
città	城	città	城	N;FEM	N
città	城市	città	城市	N;FEM	N
solo	只	solo	只	ADV	ADV
solo	只	solo	只	ADV	ADV
loro	她們	loro	她	PRO;PL;3	PRO;PL;3
loro	他們	loro	他	PRO;PL;3	PRO;PL;3
loro	它們	loro	它	PRO;PL;3	PRO;PL;3
nome	名字	nome	名字	N;MASC;SG	N
nome	名稱	nome	名稱	N;MASC;SG	N
nome	姓名	nome	姓名	N;MASC;SG	N
poi	然後	poi	然後	ADV	ADV
poi	那麼	poi	那麼	ADV	ADV
msg	味精	msg	味精	N;MASC;SG	N
voce	語音	voce	語音	N;FEM;SG	N
voce	嗓子	voce	嗓子	N;FEM;SG	N
voce	聲音	voce	聲音	N;FEM;SG	N
progetti	項目	progetto	項目	N;MASC;PL	N
anno	年度	anno	年度	N;MASC;SG	N
anno	年份	anno	年份	N;MASC;SG	N
anno	年	anno	年	N;MASC;SG	N
voci	條目	voce	條目	N;FEM;PL	N
voci	流言	voce	流言	N;FEM;PL	N
voci	謠言	voce	謠言	N;FEM;PL	N
tre	三	tre	三	NUM	NUM
tre	三	tre	三	NUM	NUM
molto	非常	molto	非常	ADV	ADV
stesso	相同	stesso	相同	ADJ;MASC;SG	ADJ
tutti	大家	tutto	大家	PRO;MASC;PL	PRO
stagione	季	stagione	季	N;FEM;SG	N
stagione	季節	stagione	季節	N;FEM;SG	N
gruppo	群組	gruppo	群組	N;MASC;SG	N
gruppo	群	gruppo	群	N;MASC;SG	N
tempo	時光	tempo	時光	N;MASC;SG	N
tempo	時間	tempo	時間	N;MASC;SG	N
chiesa	教會	chiesa	教會	N;FEM;SG	N
chiesa	教堂	chiesa	教堂	N;FEM;SG	N
grande	偉大	grande	偉大	ADJ;SG	ADJ
secolo	世紀	secolo	世紀	N;MASC;SG	N
guerra	戰	guerra	戰	N;FEM;SG	N
guerra	戰爭	guerra	戰爭	N;FEM;SG	N
fatto	完成	fare	完成	V;MASC;SG;PST;V.PTCP	V
storia	動態	storia	動態	N;FEM;SG	N
storia	故事	storia	故事	N;FEM;SG	N
storia	歷史	storia	歷史	N;FEM;SG	N
fine	終	fine	終	N;FEM;SG	N
fine	結尾	fine	結尾	N;FEM;SG	N
album	相簿	album	相簿	N;MASC	N
album	專輯	album	專輯	N;MASC	N
album	相簿	album	相簿	N;MASC	N
album	專輯	album	專輯	N;MASC	N
già	已經	già	已經	ADV	ADV
altre	其他	altro	其他	DET;FEM;PL	DET
altre	其他	altro	其他	DET;FEM;PL	DET
ancora	再次	ancora	再次	ADV	ADV
ancora	仍然	ancora	仍然	ADV	ADV
ancora	依然	ancora	依然	ADV	ADV
vita	生命	vita	生命	N;FEM;SG	N
vita	人生	vita	人生	N;FEM;SG	N
vita	腰	vita	腰	N;FEM;SG	N
vita	腰部	vita	腰部	N;FEM;SG	N
titolo	標題	titolo	標題	N;MASC;SG	N
shift	輪班	shift	輪班	N	N
campionato	錦標	campionato	錦標	N;MASC;SG	N
ogni	每個	ogni	每個	DET;SG	DET
ogni	每	ogni	每	DET;SG	DET
ogni	每個	ogni	每個	DET;SG	DET
mondo	世界	mondo	世界	N;MASC;SG	N
calcio	足球	calcio	足球	N;MASC;SG	N
calcio	足球	calcio	足球	N;MASC;SG	N
calcio	美式	calcio	美式	N;MASC;SG	N
calcio	橄欖	calcio	橄欖	N;MASC;SG	N
calcio	鈣	calcio	鈣	N;MASC;SG	N
famiglia	家人	famiglia	家人	N;FEM;SG	N
famiglia	家屬	famiglia	家屬	N;FEM;SG	N
famiglia	家庭	famiglia	家庭	N;FEM;SG	N
inoltre	還	inoltre	還	ADV	ADV
inoltre	也	inoltre	也	ADV	ADV
numero	數字	numero	數字	N;MASC;SG	N
numero	數	numero	數	N;MASC;SG	N
numero	號碼	numero	號碼	N;MASC;SG	N
numero	編號	numero	編號	N;MASC;SG	N
posto	地方	posto	地方	N;MASC;SG	N
posto	地點	posto	地點	N;MASC;SG	N
ruolo	作用	ruolo	作用	N;MASC;SG	N
ruolo	角色	ruolo	角色	N;MASC;SG	N
nuovo	新	nuovo	新	ADJ;MASC;SG	ADJ
casa	屋	casa	屋	N;FEM;SG	N
casa	房屋	casa	房屋	N;FEM;SG	N
casa	房子	casa	房子	N;FEM;SG	N
casa	家	casa	家	N;FEM;SG	N
casa	住家	casa	住家	N;FEM;SG	N
squadra	班長	squadra	班長	N;FEM;SG	N
squadra	小隊	squadra	小隊	N;FEM;SG	N
squadra	團隊	squadra	團隊	N;FEM;SG	N
squadra	球隊	squadra	球隊	N;FEM;SG	N
squadra	隊伍	squadra	隊伍	N;FEM;SG	N
caso	案例	caso	案例	N;MASC;SG	N
caso	個案	caso	個案	N;MASC;SG	N
caso	案件	caso	案件	N;MASC;SG	N
opera	歌劇	opera	歌劇	N;FEM;SG	N
periodo	期間	periodo	期間	N;MASC;SG	N
morte	死神	morte	死神	N;FEM;SG	N
nuova	新	nuovo	新	ADJ;FEM;SG	ADJ
centro	中心	centro	中心	N;MASC;SG	N
centro	中心	centro	中心	N;MASC;SG	N
quattro	四	quattro	四	NUM	NUM
quattro	四	quattro	四	NUM	NUM
quattro	四	quattro	四	NUM	NUM
attività	活動	attività	活動	N;FEM	N
attività	動態	attività	動態	N;FEM	N
attività	活動	attività	活動	N;FEM	N
tutte	全部	tutto	全部	DET;FEM;PL	DET
tutte	所有	tutto	所有	DET;FEM;PL	DET
edizione	版	edizione	版	N;FEM;SG	N
nord	北方	nord	北方	N;MASC;SG	N
nord	北	nord	北	N;MASC;SG	N
nord	北部	nord	北部	N;MASC;SG	N
esempio	範例	esempio	範例	N;MASC;SG	N
versione	版	versione	版	N;FEM;SG	N
versione	版本	versione	版本	N;FEM;SG	N
provincia	省	provincia	省	N;FEM;SG	N
provincia	省省	provincia	省省	N;FEM;SG	N
provincia	省份	provincia	省份	N;FEM;SG	N
attore	男	attore	男	N;MASC;SG	N
attore	演員	attore	演員	N;MASC;SG	N
coppa	盃	coppa	盃	N;FEM;SG	N
coppa	杯	coppa	杯	N;FEM;SG	N
coppa	杯子	coppa	杯子	N;FEM;SG	N
forma	形狀	forma	形狀	N;FEM;SG	N
