met	مع	met	مَعَ	ADP	ADP;ACC
nie	لا	nie	لَا	PART	PART
ook	ايضا	ook	أَيضًا	ADV	ADV
uit	خارج	uit	خَارِجَ	ADP	ADP;ACC
jaar	عام	jaar	عَام	N;SG	N;NOM;INDF;SG
jaar	العام	jaar	عَام	N;SG	N;NOM;DEF;SG
jaar	السنه	jaar	سَنه	N;SG	N;NOM;DEF;SG
jaar	سنة	jaar	سَنَة	N;SG	N;NOM;INDF;SG
jaar	سنه	jaar	سنه	N;SG	N;NOM;INDF;SG
jaar	السنة	jaar	سَنَة	N;SG	N;NOM;DEF;SG
eerste	اول	eerste	أَوَّل	ADJ;NOM	ADJ;NOM;INDF;MASC;SG
eerste	الاول	eerste	أَوَّل	ADJ;NOM	ADJ;NOM;DEF;MASC;SG
eerste	الاولى	eerste	أَوَّل	ADJ;NOM	ADJ;NOM;DEF;FEM;SG
hierdie	هذا	hierdie	هٰذَا	DET	DET;NOM;MASC;SG
hierdie	هذه	hierdie	هٰذَا	DET	DET;NOM;FEM;SG
oor	حول	oor	حَولَ	ADP	ADP;ACC
oor	عن	oor	عَن	ADP	ADP
gebruik	استعمل	gebruik	اِستَعمَل	V;PRS	V;PFV;MASC;SG;3;ACT
gebruik	استخدم	gebruik	اِستَخدَم	V;PRS	V;PFV;MASC;SG;3;ACT
onder	تحت	onder	تَحتَ	ADP	ADP;ACC
twee	اثنين	twee	اِثنَان	NUM	NUM;NOM;INDF;MASC
twee	اثنتان	twee	اِثنَان	NUM	NUM;NOM;INDF;FEM
tussen	بين	tussen	بَينَ	ADP	ADP;ACC
gemeente	الجماعة	gemeent	جَمَاعَة	N;SG	N;NOM;DEF;SG
gemeente	التجمع	gemeent	تَجَمُّع	N;SG	N;NOM;DEF;SG
gemeente	جمعية	gemeent	جَمعِيَّة	N;SG	N;NOM;INDF;SG
gemeente	الجمعية	gemeent	جَمعِيَّة	N;SG	N;NOM;DEF;SG
dié	هذا	dié	هٰذَا	DET	DET;NOM;MASC;SG
dié	هذه	dié	هٰذَا	DET	DET;NOM;FEM;SG
sien	ترى	sien	رَأَى	V;PRS	V;IPFV;FEM;IND;SG;3;FIN;ACT
nuwe	جديد	nuut	جَدِيد	ADJ;NOM	ADJ;NOM;INDF;MASC;SG
nuwe	جديدة	nuut	جَدِيد	ADJ;NOM	ADJ;NOM;INDF;FEM;SG
nuwe	الجديد	nuut	جَدِيد	ADJ;NOM	ADJ;NOM;DEF;MASC;SG
hom	هو	hom	هُوَ	PRO;NOM;SG;3	PRO;NOM;MASC;SG;3
voor	قبل	voor	قَبلَ	ADP	ADP;ACC
stad	مدينة	stad	مَدِينَة	N;SG	N;NOM;INDF;SG
stad	المدينة	stad	مَدِينَة	N;SG	N;NOM;DEF;SG
land	بلد	land	بَلَد	N;SG	N;NOM;INDF;SG
land	البلد	land	بَلَد	N;SG	N;NOM;DEF;SG
skakels	الوصلات	skakel	وُصلَة	N;PL	N;NOM;DEF;PL
skakels	الصلات	skakel	صَلَة	N;PL	N;NOM;DEF;PL
skakels	روابط	skakel	روابط	N;PL	N;NOM;INDF;PL
skakels	الروابط	skakel	رَابِطَة	N;PL	N;NOM;DEF;PL
skakels	وصلات	skakel	وُصلَة	N;PL	N;NOM;INDF;PL
net	فقط	net	فَقَط	ADV	ADV
net	فقط	net	فَقَط	ADV	ADV
tydens	اثناء	tydens	أَثنَاءَ	ADP	ADP;ACC
tydens	خلال	tydens	خِلَالَ	ADP	ADP;ACC
naam	اسم	naam	اِسم	N;SG	N;NOM;INDF;SG
naam	الاسم	naam	اِسم	N;SG	N;NOM;DEF;SG
deel	شارك	deel	شَارَك	V;PRS	V;PFV;MASC;SG;3;ACT
drie	ثلاثة	drie	ثَلَاثَة	NUM	NUM;NOM;INDF;MASC
drie	ثلاث	drie	ثَلَاثَة	NUM	NUM;NOM;INDF;FEM
mense	اشخاص	mens	شَخص	N;PL	N;NOM;INDF;PL
mense	اناس	mens	اناس	N;PL	N;NOM;INDF;PL
mense	الاشخاص	mens	شَخص	N;PL	N;NOM;DEF;PL
mense	الناس	mens	إِنسَان	N;PL	N;NOM;DEF;PL
nasionale	وطنية	nasionaal	وَطَنِيّ	ADJ;NOM	ADJ;NOM;INDF;FEM;SG
nasionale	وطني	nasionaal	وَطَنِيّ	ADJ;NOM	ADJ;NOM;INDF;MASC;SG
maak	جعل	maak	جَعَل	V;PRS	V;PFV;MASC;SG;3;ACT
maak	صنع	maak	صَنَع	V;PRS	V;PFV;MASC;SG;3;ACT
maak	اجعل	maak	أَجعَل	V;PRS	V;PFV;MASC;SG;3;ACT
maak	اصنع	maak	أَصنَع	V;PRS	V;PFV;MASC;SG;3;ACT
kom	تعالوا	kom	تَعَالَى	V;PRS	V;PFV;MASC;PL;3;ACT
vanaf	من	vanaf	مِن	ADP	ADP
werk	شغل	werk	شَغَل	V;PRS	V;PFV;MASC;SG;3;ACT
hier	هنا	hier	هُنَا	ADV	ADV
tyd	وقت	tyd	وَقت	N;SG	N;NOM;INDF;SG
tyd	الزمن	tyd	زَمَن	N;SG	N;NOM;DEF;SG
tyd	الوقت	tyd	وَقت	N;SG	N;NOM;DEF;SG
