категория	類別	категория	類別	N;INAN;NOM;FEM;SG	N
его	他	он	他	PRO;ACC;MASC;SG;3	PRO;3
также	還	также	還	ADV	ADV
также	也	также	也	ADV	ADV
это	這	это	這	PRO;INAN;NOM;NEUT;SG	PRO
области	地區	область	地區	N;INAN;NOM;FEM;PL	N
год	年度	год	年度	N;INAN;NOM;MASC;SG	N
год	年份	год	年份	N;INAN;NOM;MASC;SG	N
год	年	год	年	N;INAN;NOM;MASC;SG	N
время	時光	время	時光	N;INAN;NOM;NEUT;SG	N
время	時間	время	時間	N;INAN;NOM;NEUT;SG	N
место	斑點	место	斑點	N;INAN;NOM;NEUT;SG	N
место	地方	место	地方	N;INAN;NOM;NEUT;SG	N
место	地點	место	地點	N;INAN;NOM;NEUT;SG	N
место	位置	место	位置	N;INAN;NOM;NEUT;SG	N
место	地點	место	地點	N;INAN;NOM;NEUT;SG	N
район	鄰里	район	鄰里	N;INAN;NOM;MASC;SG	N
район	區	район	區	N;INAN;NOM;MASC;SG	N
район	地區	район	地區	N;INAN;NOM;MASC;SG	N
район	面積	район	面積	N;INAN;NOM;MASC;SG	N
район	地區	район	地區	N;INAN;NOM;MASC;SG	N
район	區域	район	區域	N;INAN;NOM;MASC;SG	N
район	區	район	區	N;INAN;NOM;MASC;SG	N
вид	魚種	вид	魚種	N;INAN;NOM;MASC;SG	N
вид	物種	вид	物種	N;INAN;NOM;MASC;SG	N
язык	舌頭	язык	舌頭	N;INAN;NOM;MASC;SG	N
язык	舌	язык	舌	N;INAN;NOM;MASC;SG	N
язык	語言	язык	語言	N;INAN;NOM;MASC;SG	N
язык	語	язык	語	N;INAN;NOM;MASC;SG	N
язык	語文	язык	語文	N;INAN;NOM;MASC;SG	N
районе	鄰里	район	鄰里	N;INAN;ESS;MASC;SG	N
код	密碼	код	密碼	N;INAN;NOM;MASC;SG	N
код	編碼	код	編碼	N;INAN;NOM;MASC;SG	N
код	碼	код	碼	N;INAN;NOM;MASC;SG	N
более	更	более	更	ADV;CMPR	ADV
дата	日期	дата	日期	N;INAN;NOM;FEM;SG	N
дата	約會	дата	約會	N;INAN;NOM;FEM;SG	N
деревня	村	деревня	村	N;INAN;NOM;FEM;SG	N
деревня	鄉村	деревня	鄉村	N;INAN;NOM;FEM;SG	N
деревня	村	деревня	村	N;INAN;NOM;FEM;SG	N
деревня	村落	деревня	村落	N;INAN;NOM;FEM;SG	N
деревня	村子	деревня	村子	N;INAN;NOM;FEM;SG	N
все	大家	все	大家	PRO;INAN;NOM;NEUT;SG	PRO
статьи	文章	статья	文章	N;INAN;NOM;FEM;PL	N
уже	已經	уже	已經	ADV	ADV
название	名字	название	名字	N;INAN;NOM;NEUT;SG	N
название	名稱	название	名稱	N;INAN;NOM;NEUT;SG	N
название	姓名	название	姓名	N;INAN;NOM;NEUT;SG	N
название	標題	название	標題	N;INAN;NOM;NEUT;SG	N
человек	人類	человек	人類	N;ANIM;NOM;MASC;SG	N
человек	人	человек	人	N;ANIM;NOM;MASC;SG	N
человек	男人	человек	男人	N;ANIM;NOM;MASC;SG	N
лет	歲	год	歲	N;INAN;GEN;MASC;PL	N
лет	年份	год	年份	N;INAN;GEN;MASC;PL	N
они	她們	они	她	PRO;NOM;PL;3	PRO;PL;3
они	他們	они	他	PRO;NOM;PL;3	PRO;PL;3
они	它們	они	它	PRO;NOM;PL;3	PRO;PL;3
города	城市	город	城市	N;INAN;NOM;MASC;PL	N
города	市	город	市	N;INAN;NOM;MASC;PL	N
города	城	город	城	N;INAN;NOM;MASC;PL	N
города	城鎮	город	城鎮	N;INAN;NOM;MASC;PL	N
города	城市	город	城市	N;INAN;NOM;MASC;PL	N
она	她	она	她	PRO;NOM;FEM;SG;3	PRO;3
войны	戰爭	война	戰爭	N;INAN;NOM;FEM;PL	N
войны	戰	война	戰	N;INAN;NOM;FEM;PL	N
войны	戰爭	война	戰爭	N;INAN;NOM;FEM;PL	N
однако	然而	однако	然而	ADV	ADV
высота	海拔	высота	海拔	N;INAN;NOM;FEM;SG	N
высота	高度	высота	高度	N;INAN;NOM;FEM;SG	N
высота	身高	высота	身高	N;INAN;NOM;FEM;SG	N
высота	高度	высота	高度	N;INAN;NOM;FEM;SG	N
переписи	人口	перепись	人口	N;INAN;NOM;FEM;PL	N
переписи	普查	перепись	普查	N;INAN;NOM;FEM;PL	N
переписи	人口	перепись	人口	N;INAN;NOM;FEM;PL	N
переписи	普查	перепись	普查	N;INAN;NOM;FEM;PL	N
село	村	село	村	N;INAN;NOM;NEUT;SG	N
село	鄉村	село	鄉村	N;INAN;NOM;NEUT;SG	N
село	村	село	村	N;INAN;NOM;NEUT;SG	N
село	村落	село	村落	N;INAN;NOM;NEUT;SG	N
село	村子	село	村子	N;INAN;NOM;NEUT;SG	N
род	屬	род	屬	N;ANIM;NOM;MASC;SG	N
род	杖	род	杖	N;ANIM;NOM;MASC;SG	N
один	一	один	一	NUM;NOM;MASC	NUM
один	一	один	一	NUM;NOM;MASC	NUM
реки	河	река	河	N;INAN;NOM;FEM;PL	N
реки	江河	река	江河	N;INAN;NOM;FEM;PL	N
реки	河流	река	河流	N;INAN;NOM;FEM;PL	N
реки	河流	река	河流	N;INAN;NOM;FEM;PL	N
статус	狀況	статус	狀況	N;INAN;NOM;MASC;SG	N
статус	狀態	статус	狀態	N;INAN;NOM;MASC;SG	N
статус	現況	статус	現況	N;INAN;NOM;MASC;SG	N
населения	人口	население	人口	N;INAN;GEN;NEUT;SG	N
годы	歲	год	歲	N;INAN;ACC;MASC;PL	N
годы	年份	год	年份	N;INAN;ACC;MASC;PL	N
через	通過	через	通過	ADP	ADP
через	經	через	經	ADP	ADP
через	透過	через	透過	ADP	ADP
через	通過	через	通過	ADP	ADP
область	省	область	省	N;INAN;NOM;FEM;SG	N
область	省省	область	省省	N;INAN;NOM;FEM;SG	N
область	省份	область	省份	N;INAN;NOM;FEM;SG	N
область	區域	область	區域	N;INAN;NOM;FEM;SG	N
область	面積	область	面積	N;INAN;NOM;FEM;SG	N
область	地區	область	地區	N;INAN;NOM;FEM;SG	N
область	區域	область	區域	N;INAN;NOM;FEM;SG	N
область	區	область	區	N;INAN;NOM;FEM;SG	N
список	名單	список	名單	N;INAN;NOM;MASC;SG	N
список	清單	список	清單	N;INAN;NOM;MASC;SG	N
сайт	網站	сайт	網站	N;INAN;NOM;MASC;SG	N
сайт	網頁	сайт	網頁	N;INAN;NOM;MASC;SG	N
сайт	網站	сайт	網站	N;INAN;NOM;MASC;SG	N
сайт	工地	сайт	工地	N;INAN;NOM;MASC;SG	N
века	年齡	век	年齡	N;INAN;NOM;MASC;PL	N
этот	這	этот	這	DET;NOM;MASC;SG	DET
город	城鎮	город	城鎮	N;INAN;NOM;MASC;SG	N
город	鎮	город	鎮	N;INAN;NOM;MASC;SG	N
город	城市	город	城市	N;INAN;NOM;MASC;SG	N
город	市	город	市	N;INAN;NOM;MASC;SG	N
город	城	город	城	N;INAN;NOM;MASC;SG	N
мира	和平	мир	和平	N;INAN;GEN;MASC;SG	N
части	部件	часть	部件	N;INAN;NOM;FEM;PL	N
файл	文件	файл	文件	N;INAN;NOM;MASC;SG	N
файл	檔案	файл	檔案	N;INAN;NOM;MASC;SG	N
карты	紙牌	карта	紙牌	N;INAN;NOM;FEM;PL	N
карты	卡片	карта	卡片	N;INAN;NOM;FEM;PL	N
карты	牌	карта	牌	N;INAN;NOM;FEM;PL	N
карты	地圖	карта	地圖	N;INAN;NOM;FEM;PL	N
два	兩	два	兩	NUM;NOM;MASC	NUM
два	兩	два	兩	NUM;NOM;MASC	NUM
два	二	два	二	NUM;NOM;MASC	NUM
всех	大家	все	大家	PRO;ANIM;ACC;PL	PRO
территории	領土	территория	領土	N;INAN;NOM;FEM;PL	N
очень	非常	очень	非常	ADV	ADV
карта	地圖	карта	地圖	N;INAN;NOM;FEM;SG	N
карта	名片	карта	名片	N;INAN;NOM;FEM;SG	N
карта	紙牌	карта	紙牌	N;INAN;NOM;FEM;SG	N
карта	卡片	карта	卡片	N;INAN;NOM;FEM;SG	N
площадь	廣場	площадь	廣場	N;INAN;NOM;FEM;SG	N
площадь	平方	площадь	平方	N;INAN;NOM;FEM;SG	N
площадь	方塊	площадь	方塊	N;INAN;NOM;FEM;SG	N
площадь	方形	площадь	方形	N;INAN;NOM;FEM;SG	N
площадь	廣場	площадь	廣場	N;INAN;NOM;FEM;SG	N
площадь	面積	площадь	面積	N;INAN;NOM;FEM;SG	N
площадь	地區	площадь	地區	N;INAN;NOM;FEM;SG	N
площадь	區域	площадь	區域	N;INAN;NOM;FEM;SG	N
площадь	區	площадь	區	N;INAN;NOM;FEM;SG	N
затем	然後	затем	然後	ADV	ADV
затем	那麼	затем	那麼	ADV	ADV
группы	群組	группа	群組	N;INAN;NOM;FEM;PL	N
группы	群	группа	群	N;INAN;NOM;FEM;PL	N
группы	群組	группа	群組	N;INAN;NOM;FEM;PL	N
группы	團體	группа	團體	N;INAN;NOM;FEM;PL	N
размер	大小	размер	大小	N;INAN;NOM;MASC;SG	N
размер	體積	размер	體積	N;INAN;NOM;MASC;SG	N
размер	尺寸	размер	尺寸	N;INAN;NOM;MASC;SG	N
страны	國家	страна	國家	N;INAN;NOM;FEM;PL	N
страны	國家	страна	國家	N;INAN;NOM;FEM;PL	N
