como	hogyan	como	hogyan	ADV	ADV
utc	utc	utc	utc	N;MASC;SG	N;NOM;SG
também	egyben	também	egyben	ADV	ADV
mas	de	mas	de	CONJ	CONJ
discussão	vita	discussão	vita	N;FEM;SG	N;NOM;SG
discussão	megbeszélés	discussão	megbeszélés	N;FEM;SG	N;NOM;SG
discussão	beszélgetés	discussão	beszélgetés	N;FEM;SG	N;NOM;SG
entre	között	entre	között	ADP	ADP
anos	évek	ano	év	N;MASC;PL	N;NOM;PL
cidade	városban	cidade	város	N;FEM;SG	N;IN+ESS;SG
cidade	város	cidade	város	N;FEM;SG	N;NOM;SG
cidade	város	cidade	város	N;FEM;SG	N;NOM;SG
quando	mikor	quando	mikor	ADV	ADV
quando	amikor	quando	amikor	ADV	ADV
janeiro	január	janeiro	január	N;MASC;SG	N;NOM;SG
janeiro	januárban	janeiro	január	N;MASC;SG	N;IN+ESS;SG
onde	hol	onde	hol	ADV	ADV
onde	ahol	onde	ahol	ADV	ADV
grande	nagyméretű	grande	nagyméretű	ADJ;MASC;SG	ADJ;NOM;SG
grande	nagy	grande	nagy	ADJ;MASC;SG	ADJ;NOM;SG
grande	nagy	grande	nagy	ADJ;MASC;SG	ADJ;NOM;SG
rio	folyami	rio	folyami	N;MASC;SG	N;NOM;SG
depois	akkor	depois	akkor	ADV	ADV
depois	később	depois	későn	ADV	ADV
estado	állapot	estado	állap	N;MASC;SG	N;NOM;SG
estado	státusz	estado	státusz	N;MASC;SG	N;NOM;SG
estado	állapot	estado	állap	N;MASC;SG	N;NOM;SG
estado	állam	estado	állam	N;MASC;SG	N;NOM;SG
estado	állapota	estado	állapot	N;MASC;SG	N;NOM;SG
estado	feltétel	estado	feltétel	N;MASC;SG	N;NOM;SG
estado	állapot	estado	állap	N;MASC;SG	N;NOM;SG
ano	évjárat	ano	évjárat	N;MASC;SG	N;NOM;SG
ano	éve	ano	év	N;MASC;SG	N;NOM;SG
ano	év	ano	év	N;MASC;SG	N;NOM;SG
após	után	após	után	ADP	ADP
primeiro	először	primeiro	először	ADV	ADV
pode	tud	poder	tud	V;IND;SG;3;PRS;FIN	V;INDF;IND;SG;3;PRS;FIN;ACT
ligações	kapcsolatai	ligação	kapcsolat	N;FEM;PL	N;NOM;PL
ligações	kapcsolatok	ligação	kapcsolat	N;FEM;PL	N;NOM;PL
ligações	linkek	ligação	link	N;FEM;PL	N;NOM;PL
