この	ini	この	ini	DET	DET
まで	hingga	まで	hingga	ADP	ADP
まで	sampai	まで	sampai	ADP	ADP
もの	hal	もの	hal	N	N;SG
もの	perkara	もの	perkara	N	N;SG
大学	kuliah	大学	kuliah	N	N;SG
テレビ	televisi	テレビ	televisi	N	N;SG
テレビ	televisi	テレビ	televisi	N	N;SG
放送	siarkan	放送	siarkan	V	V;SG;ACT
削除	terhapus	削除	terhapus	V	V;SG;PASS
削除	dihapus	削除	dihapus	V	V;SG;PASS
削除	menghapus	削除	menhapus	V	V;SG;ACT
削除	menghapus	削除	menhapus	V	V;SG;ACT
削除	hilangkan	削除	hilangkan	V	V;SG;ACT
現在	arus	現在	arus	N	N;SG
学校	sekolah	学校	sekolah	N	N;SG
学校	sekolah	学校	sekolah	N	N;SG
世界	dunia	世界	dunia	N	N;SG
について	tentang	について	tentang	ADP	ADP;SG;ACT
について	sekitar	について	sekitar	ADP	ADP
作品	karya	作品	karya	N	N;SG
作品	diskografi	作品	diskografi	N	N
時代	zaman	時代	zaman	N	N;SG
時代	era	時代	era	N	N
映画	bioskop	映画	bioskop	N	N
映画	film	映画	film	N	N;SG
映画	bioskop	映画	bioskop	N	N
映画	sinema	映画	sinema	N	N;SG
映画	film	映画	film	N	N;SG
映画	bioskop	映画	bioskop	N	N
映画	film	映画	film	N	N;SG
監督	sutradara	監督	sutradara	N	N;SG
監督	direktur	監督	direktur	N	N;SG
鉄道	rel	鉄道	rel	N	N
鉄道	apian	鉄道	apian	N	N;SG
使用	menggunakan	使用	mengunakan	V	V;SG;ACT
使用	gunakan	使用	gunakan	V	V;SG;ACT
使用	pakai	使用	pakai	V	V;SG;ACT
出演	tampil	出演	tampil	V	V;SG;ACT
出演	tampil	出演	tampil	V	V;SG;ACT
出演	dilemparkan	出演	dilemparkan	V	V;SG;PASS
出演	melemparkan	出演	menlemparkan	V	V;SG;ACT
時間	jam	時間	jam	N	N;SG
時間	jam	時間	jam	N	N;SG
時間	kali	時間	kali	N	N;SG
時間	waktu	時間	waktu	N	N;SG
時間	waktunya	時間	waktu	N	N;SG
開始	mulai	開始	mulai	V	V;SG;ACT
開始	mulai	開始	mulai	V	V;SG;ACT
開始	mulailah	開始	mulai	V	V;SG;ACT
シリーズ	deret	シリーズ	deret	N	N;SG
シリーズ	seri	シリーズ	seri	N	N;SG
記事	pasal	記事	pasal	N	N;SG
記事	artikel	記事	artikel	N	N;SG
記事	cerita	記事	cerita	N	N;SG
記事	berita	記事	berita	N	N;SG
記事	kisah	記事	kisah	N	N;SG
記事	cerita	記事	cerita	N	N;SG
記事	artikel	記事	artikel	N	N;SG
選手	pemain	選手	penmain	N	N;SG
選手	atlet	選手	atlet	N	N;SG
選手	atlit	選手	atlit	N	N;SG
大会	konvensi	大会	konvensi	N	N;SG
チーム	tim	チーム	tim	N	N;SG
チーム	tim	チーム	tim	N	N;SG
優勝	memenangkan	優勝	menmenangkan	V	V;SG;ACT
作詞	lirik	作詞	lirik	N	N;SG;ACT
国際	international	国際	international	N	N
国際	mancanegara	国際	mancanegara	N	N
一部	sebagian	一部	sebagian	N	N;SG
結果	hasil	結果	hasil	N	N;SG
結果	hasilnya	結果	hasil	N	N;SG
結果	hasil	結果	hasil	N	N;SG
アルバム	album	アルバム	album	N	N;SG
アルバム	album	アルバム	album	N	N;SG
ゲーム	permainan	ゲーム	permainan	N	N;SG
ゲーム	game	ゲーム	game	N	N;SG
ゲーム	permainan	ゲーム	permainan	N	N;SG
ゲーム	game	ゲーム	game	N	N;SG
ゲーム	permainan	ゲーム	permainan	N	N;SG
ゲーム	game	ゲーム	game	N	N;SG
問題	masalah	問題	masalah	N	N;SG
問題	isu	問題	isu	N	N;SG
問題	masalah	問題	masalah	N	N;SG
問題	masalah	問題	masalah	N	N;SG
問題	masalah	問題	masalah	N	N;SG
問題	isu	問題	isu	N	N;SG
リーグ	liga	リーグ	liga	N	N;SG
リーグ	liga	リーグ	liga	N	N;SG
利用	menebus	利用	mentebus	V	V;SG;ACT
利用	tebus	利用	tebus	V	V;SG;ACT
利用	tukarkan	利用	tukarkan	V	V;SG;ACT
事業	bisnis	事業	bisnis	N	N;SG
音楽	musik	音楽	musik	N	N;SG
転送	maju	転送	maju	V	V;SG;ACT
転送	teruskan	転送	teruskan	V	V;SG;ACT
転送	mentransfer	転送	mentransfer	V	V;SG;ACT
情報	informasi	情報	informasi	N	N;SG
公式	resmi	公式	resmi	ADJ	ADJ;SG
参加	bergabung	参加	bergabung	V	V;SG;ACT
参加	gabung	参加	gabung	V	V;SG;ACT
参加	bergabunglah	参加	bergabung	V	V;SG;ACT
地域	daerah	地域	daerah	N	N;SG
地域	wilayah	地域	wilayah	N	N;SG
地域	region	地域	region	N	N
地域	kawasan	地域	kawasan	N	N;SG
地域	daerah	地域	daerah	N	N;SG
地域	wilayah	地域	wilayah	N	N;SG
地域	region	地域	region	N	N
地域	kawasan	地域	kawasan	N	N;SG
変更	mengubah	変更	menubah	V	V;SG;ACT
変更	ubah	変更	ubah	V	V;SG;ACT
変更	memodifikasi	変更	menmodifikasi	V	V;SG;ACT
変更	berubah	変更	berrubah	V	V;SG;ACT
変更	ganti	変更	ganti	V	V;SG;ACT
変更	mengubah	変更	menubah	V	V;SG;ACT
変更	ubah	変更	ubah	V	V;SG;ACT
編曲	arranger	編曲	arranger	N	N
編曲	pengaturan	編曲	penaturan	N	N;SG
サイト	situs	サイト	situs	N	N;SG
サイト	situs	サイト	situs	N	N;SG
記録	merekam	記録	menrekam	V	V;SG;ACT
関係	hubungan	関係	hubungan	N	N;SG
関係	relasi	関係	relasi	N	N;SG
関係	hubungan	関係	hubungan	N	N;SG
関係	relasi	関係	relasi	N	N;SG
クラブ	klub	クラブ	klub	N	N;SG
クラブ	klub	クラブ	klub	N	N;SG
クラブ	keriting	クラブ	keriting	N	N;SG
中央	pusat	中央	pusat	N	N;SG
中央	sentral	中央	sentral	N	N;SG
中央	pusat	中央	pusat	N	N;SG
中央	pusat	中央	pusat	N	N;SG
設立	didirikan	設立	didirikan	V	V;SG;PASS
考え	memikirkan	考える	menpikirkan	V	V;SG;ACT
考え	berpikir	考える	berpikir	V	V;SG;ACT
教育	edukasi	教育	edukasi	N	N;SG
教育	pendidikan	教育	pendidikan	N	N;SG
編集	menyunting	編集	menyunting	V	V
編集	ubah	編集	ubah	V	V;SG;ACT
編集	memodifikasi	編集	menmodifikasi	V	V;SG;ACT
シーズン	musim	シーズン	musim	N	N;SG
シーズン	musimnya	シーズン	musim	N	N;SG
シーズン	musim	シーズン	musim	N	N;SG
ファイル	berkas	ファイル	berkas	N	N;SG
ファイル	file	ファイル	file	N	N;SG
ファイル	berkas	ファイル	berkas	N	N;SG
ファイル	file	ファイル	file	N	N;SG
都市	kota	都市	kota	N	N;SG
都市	kota	都市	kota	N	N;SG
出版	menerbitkan	出版	menterbitkan	V	V;SG;ACT
会社	firma	会社	firma	N	N
会社	perusahaan	会社	perusahaan	N	N;SG
会社	perusahaan	会社	perusahaan	N	N;SG
世紀	abad	世紀	abad	N	N;SG
ノート	catatan	ノート	catatan	N	N;SG
ノート	catatan	ノート	catatan	N	N;SG
社会	masyarakat	社会	masyarakat	N	N;SG
社会	masyarakat	社会	masyarakat	N	N;SG
開催	dipegang	開催	dipegang	V	V;SG;PASS
開催	ditahan	開催	ditahan	V	V;SG;PASS
開催	diadakan	開催	diadakan	V	V;SG;PASS
シングル	single	シングル	single	N	N
シングル	lajang	シングル	lajang	N	N
センター	pusat	センター	pusat	N	N;SG
センター	pusat	センター	pusat	N	N;SG
終了	keluar	終了	keluar	V	V;SG;ACT
終了	selesaikan	終了	selesaikan	V	V;SG;ACT
終了	akhiri	終了	akhiri	V	V;SG;ACT
終了	keluar	終了	keluar	V	V;SG;ACT
中心	pusat	中心	pusat	N	N;SG
中心	pusat	中心	pusat	N	N;SG
