yang	זה	yang	זה	PRO	PRO;MASC;SG;3
dengan	עם	dengan	עם	ADP	ADP
untuk	בשביל	untuk	בשביל	ADP	ADP
tahun	שנה	tahun	שנה	N;SG	N;FEM;SG
tahun	שנת	tahun	שנה	N;SG	N;PSSD;FEM;SG
tahun	שנה	tahun	שנה	N;SG	N;FEM;SG
juga	גם	juga	גם	ADV	ADV
menjadi	להיות	menjadi	היה	V;SG;ACT	V;POS;NFIN
menjadi	להפוך	menjadi	הפך	V;SG;ACT	V;NFIN;ACT
menjadi	הופך	menjadi	הפך	V;SG;ACT	V;MASC;SG;V.PTCP;ACT
bagian	סעיף	bagian	סעיף	N;SG	N;MASC;SG
bagian	מחלקה	bagian	מחלקה	N;SG	N;FEM;SG
bagian	חלק	bagian	חלק	N;SG	N;MASC;SG
orang	אדם	orang	אדם	N;SG	N;MASC;SG
mereka	אותם	mereka	None	PRO;PL;3	PRO;ACC;MASC;PL;3
mereka	הן	mereka	הוא	PRO;PL;3	PRO;FEM;PL;3
mereka	הם	mereka	הוא	PRO;PL;3	PRO;MASC;PL;3
satu	אחת	satu	אחת	NUM	NUM;FEM;SG
satu	אחד	satu	אחד	NUM	NUM;MASC;SG
kota	עיירה	kota	עיירה	N;SG	N;FEM;SG
kota	עיר	kota	עיר	N;SG	N;FEM;SG
kota	עיר	kota	עיר	N;SG	N;FEM;SG
kota	סיטי	kota	סיטי	N;SG	N;FEM;SG
seperti	כמו	seperti	כמו	ADP	ADP
karena	כי	karena	כי	CONJ	CONJ
desa	כפר	desa	כפר	N;SG	N;MASC;SG
lebih	עוד	lebih	עוד	ADV	ADV
lebih	יותר	lebih	יותר	ADV	ADV
kayu	עץ	kayu	עץ	N;SG	N;MASC;SG
setelah	אחרי	setelah	אחרי	ADP	ADP
setelah	לאחר	setelah	לאחר	ADP	ADP
bahasa	שפה	bahasa	שפה	N;SG	N;FEM;SG
asteroid	אסטרואידים	asteroid	אסטרואידי	N	N;MASC;PL
besar	גדול	besar	גדול	ADJ;SG	ADJ;MASC;SG
besar	גדולה	besar	גדול	ADJ;SG	ADJ;FEM;SG
besar	גדול	besar	גדול	ADJ;SG	ADJ;MASC;SG
besar	גדולה	besar	גדול	ADJ;SG	ADJ;FEM;SG
besar	נהדר	besar	נהדר	ADJ;SG	ADJ;MASC;SG
besar	גדול	besar	גדול	ADJ;SG	ADJ;MASC;SG
film	סרט	film	סרט	N;SG	N;MASC;SG
film	קולנוע	film	קולנוע	N;SG	N;MASC;SG
film	סרט	film	סרט	N;SG	N;MASC;SG
