vir	pre	vir	pre	ADP	ADP;ACC
nie	nie	nie	nie	PART	PART
ook	takisto	ook	takisto	ADV	ADV
ook	taktiež	ook	taktiež	ADV	ADV
dat	že	dat	že	CONJ	CONJ
jaar	roku	jaar	rok	N;SG	N;INAN;GEN;MASC;SG
jaar	rok	jaar	rok	N;SG	N;INAN;NOM;MASC;SG
jaar	roka	jaar	rok	N;SG	N;INAN;GEN;MASC;SG
eerste	prvý	eerste	prvý	ADJ;NOM	ADJ;ANIM;NOM;MASC;SG
eerste	prvy	eerste	prva	ADJ;NOM	ADJ;INAN;NOM;MASC;SG
eerste	prvé	eerste	prvý	ADJ;NOM	ADJ;NOM;NEUT;SG
eerste	prvá	eerste	prvý	ADJ;NOM	ADJ;NOM;FEM;SG
maar	ale	maar	ale	CONJ	CONJ
hierdie	to	hierdie	to	DET	DET;NOM;NEUT;SG
hierdie	táto	hierdie	táto	DET	DET;NOM;FEM;SG
hierdie	tento	hierdie	tento	DET	DET;INAN;NOM;MASC;SG
hierdie	toto	hierdie	toto	DET	DET;NOM;NEUT;SG
hierdie	túto	hierdie	táto	DET	DET;ACC;FEM;SG
een	jedno	een	jeden	NUM	NUM;NOM;NEUT;SG
een	jedným	een	jeden	NUM	NUM;INS;MASC;SG
een	jeden	een	jeden	NUM	NUM;ANIM;NOM;MASC;SG
een	jedna	een	jeden	NUM	NUM;NOM;FEM;SG
gebruik	používať	gebruik	používať	V;PRS	V;IPFV;POS;NFIN
gebruik	použiť	gebruik	použiť	V;PRS	V;PFV;POS;NFIN
gebruik	použite	gebruik	použita	V;PRS	V;PFV;IMP;PL;2;POS;FIN
onder	pod	onder	pod	ADP	ADP;INS
twee	dve	twee	dva	NUM	NUM;NOM;FEM;PL
twee	dvaja	twee	dva	NUM	NUM;ANIM;NOM;MASC;PL
twee	dva	twee	dva	NUM	NUM;INAN;NOM;MASC;PL
tussen	medzi	tussen	medzi	ADP	ADP;INS
gemeente	montáž	gemeent	montáž	N;SG	N;NOM;FEM;SG
gemeente	zostava	gemeent	zostava	N;SG	N;NOM;FEM;SG
gemeente	zhromaždenie	gemeent	zhromaždenie	N;SG	N;NOM;NEUT;SG
begin	začať	begin	začať	V;PRS	V;PFV;POS;NFIN
begin	začnite	begin	začať	V;PRS	V;PFV;IMP;PL;2;POS;FIN
begin	spustiť	begin	spustiť	V;PRS	V;PFV;POS;NFIN
dié	to	dié	to	DET	DET;NOM;NEUT;SG
dié	táto	dié	táto	DET	DET;NOM;FEM;SG
dié	tento	dié	tento	DET	DET;INAN;NOM;MASC;SG
dié	toto	dié	toto	DET	DET;NOM;NEUT;SG
dié	túto	dié	táto	DET	DET;ACC;FEM;SG
haar	ju	haar	ona	PRO;ACC;SG;3	PRO;ACC;FEM;SG;3
haar	ňu	haar	ona	PRO;ACC;SG;3	PRO;ACC;FEM;SG;3
sien	vidieť	sien	vidieť	V;PRS	V;IPFV;POS;NFIN
sien	pozri	sien	pozrieť	V;PRS	V;PFV;IMP;SG;2;POS;FIN
sien	vidíš	sien	vidieť	V;PRS	V;IPFV;IND;SG;2;POS;PRS;FIN
sien	vidieť	sien	vidieť	V;PRS	V;IPFV;POS;NFIN
nuwe	nová	nuut	nový	ADJ;NOM	ADJ;NOM;FEM;SG
nuwe	nový	nuut	nový	ADJ;NOM	ADJ;ANIM;NOM;MASC;SG
nuwe	nové	nuut	nový	ADJ;NOM	ADJ;NOM;NEUT;SG
hom	on	hom	on	PRO;NOM;SG;3	PRO;ANIM;NOM;MASC;SG;3
voor	pred	voor	pred	ADP	ADP;INS
stad	mesto	stad	mesto	N;SG	N;NOM;NEUT;SG
stad	mesta	stad	mesto	N;SG	N;NOM;NEUT;SG
land	krajine	land	krajina	N;SG	N;DAT;FEM;SG
land	štát	land	štát	N;SG	N;INAN;NOM;MASC;SG
land	krajina	land	krajina	N;SG	N;NOM;FEM;SG
skakels	spojenia	skakel	spojenie	N;PL	N;NOM;NEUT;PL
skakels	väzby	skakel	väzba	N;PL	N;NOM;FEM;PL
skakels	prepojenia	skakel	prepojenie	N;PL	N;NOM;NEUT;PL
skakels	odkazy	skakel	odkaz	N;PL	N;INAN;NOM;MASC;PL
skakels	linky	skakel	linka	N;PL	N;NOM;FEM;PL
net	jedine	net	jedine	ADV	ADV
net	práve	net	práve	ADV	ADV
tydens	počas	tydens	počas	ADP	ADP;GEN
sou	by	sal	by	V;PST;FIN	V;COND
naam	názov	naam	názov	N;SG	N;INAN;NOM;MASC;SG
naam	meno	naam	meno	N;SG	N;NOM;NEUT;SG
deel	zdieľať	deel	zdieľať	V;PRS	V;IPFV;POS;NFIN
drie	tri	drie	tri	NUM	NUM;INAN;NOM;MASC;PL
drie	troch	drie	tri	NUM	NUM;GEN;MASC;PL
drie	traja	drie	tri	NUM	NUM;ANIM;NOM;MASC;PL
egter	avšak	egter	avšak	PART	PART
egter	však	egter	však	PART	PART
mense	ludia	mens	ludia	N;PL	N;ANIM;NOM;MASC;PL
mense	ľudia	mens	človek	N;PL	N;ANIM;NOM;MASC;PL
mense	ľudí	mens	človek	N;PL	N;ANIM;ACC;MASC;PL
bestaan	existovať	bestaan	existovať	V;PRS	V;IPFV;POS;NFIN
bestaan	existujú	bestaan	existovať	V;PRS	V;IPFV;IND;PL;3;POS;PRS;FIN
bestaan	existuje	bestaan	existovať	V;PRS	V;IPFV;IND;SG;3;POS;PRS;FIN
bestaan	jestvuje	bestaan	jestvovať	V;PRS	V;IPFV;IND;SG;3;POS;PRS;FIN
svg	svg	svg	svg	N;SG	N;NOM;FEM;SG
nasionale	národný	nasionaal	národný	ADJ;NOM	ADJ;INAN;NOM;MASC;SG
nasionale	národná	nasionaal	národný	ADJ;NOM	ADJ;NOM;FEM;SG
nasionale	vnútroštátna	nasionaal	vnútroštátny	ADJ;NOM	ADJ;NOM;FEM;SG
nasionale	národné	nasionaal	národný	ADJ;NOM	ADJ;NOM;NEUT;SG
maak	vyrobiť	maak	vyrobiť	V;PRS	V;PFV;POS;NFIN
maak	urobiť	maak	urobiť	V;PRS	V;PFV;POS;NFIN
kom	poď	kom	ísť	V;PRS	V;IPFV;IMP;SG;2;POS;FIN
vanaf	od	vanaf	od	ADP	ADP;GEN
saam	spolu	saam	spolu	ADV	ADV
saam	dokopy	saam	dokopy	ADV	ADV
saam	spoločne	saam	spoločne	ADV	ADV
terwyl	kým	terwyl	kým	CONJ	CONJ
veral	hlavne	veral	hlavne	ADV	ADV
veral	zvlášť	veral	zvlášť	ADV	ADV
hier	sem	hier	sem	ADV	ADV
hier	tu	hier	tu	ADV	ADV
tyd	dobe	tyd	dobe	N;SG	N;DAT;FEM;SG
tyd	čas	tyd	čas	N;SG	N;INAN;NOM;MASC;SG
tyd	doba	tyd	doba	N;SG	N;NOM;FEM;SG
vlag	zástava	vlag	zástava	N;SG	N;NOM;FEM;SG
vlag	príznak	vlag	príznak	N;SG	N;INAN;NOM;MASC;SG
vlag	vlajka	vlag	vlajka	N;SG	N;NOM;FEM;SG
verskeie	rozličné	verskeie	rozličný	ADJ;NOM	ADJ;NOM;NEUT;SG
verskeie	rôzne	verskeie	rôzny	ADJ;NOM	ADJ;NOM;NEUT;SG
verskeie	rozličné	verskeie	rozličný	ADJ;NOM	ADJ;NOM;NEUT;SG
verskeie	rôzne	verskeie	rôzny	ADJ;NOM	ADJ;NOM;NEUT;SG
verenigde	zjednotená	verenig	zjednotený	ADJ;NOM	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
verenigde	spojené	verenig	spojený	ADJ;NOM	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
staan	stáť	staan	stáť	V;PRS	V;IPFV;POS;NFIN
staan	stáť	staan	stáť	V;PRS	V;IPFV;POS;NFIN
genoem	spomenul	noem	spomenúť	V;PST;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
genoem	spomínali	noem	spomínať	V;PST;V.PTCP	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP
genoem	spomenula	noem	spomenúť	V;PST;V.PTCP	V;PFV;FEM;SG;POS;PST;V.PTCP
genoem	spomenuli	noem	spomenúť	V;PST;V.PTCP	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
dan	potom	dan	potom	ADV	ADV
dan	vtedy	dan	vtedy	ADV	ADV
bevolking	populácia	bevolking	populácia	N;SG	N;NOM;FEM;SG
bevolking	obyvateľstvo	bevolking	obyvateľstvo	N;SG	N;NOM;NEUT;SG
bevolking	populáciu	bevolking	populácia	N;SG	N;ACC;FEM;SG
jare	roky	jaar	rok	N;PL	N;INAN;NOM;MASC;PL
jare	rokov	jaar	rok	N;PL	N;INAN;GEN;MASC;PL
amerikaanse	americké	amerikaans	americký	ADJ;NOM	ADJ;NOM;NEUT;SG
amerikaanse	americká	amerikaans	americký	ADJ;NOM	ADJ;NOM;FEM;SG
amerikaanse	americký	amerikaans	americký	ADJ;NOM	ADJ;ANIM;NOM;MASC;SG
slegs	jedine	slegs	jedine	ADV	ADV
slegs	práve	slegs	práve	ADV	ADV
lank	dlho	lank	dlho	ADV	ADV
nou	teraz	nou	teraz	ADV	ADV
provinsie	provincia	provinsie	provincie	N;SG	N;NOM;FEM;SG
provinsie	provincii	provinsie	provincia	N;SG	N;DAT;FEM;SG
provinsie	county	provinsie	count	N;SG	N;NOM;MASC;SG
provinsie	štátu	provinsie	štát	N;SG	N;INAN;GEN;MASC;SG
provinsie	štát	provinsie	štát	N;SG	N;INAN;NOM;MASC;SG
universiteit	univerzita	universiteit	univerzita	N;SG	N;NOM;FEM;SG
universiteit	univerzite	universiteit	univerzite	N;SG	N;NOM;FEM;SG
beskou	zvážiť	beskou	zvážiť	V;PRS	V;PFV;POS;NFIN
beskou	zvážte	beskou	zvážiť	V;PRS	V;PFV;IMP;PL;2;POS;FIN
beskou	zvažovať	beskou	zvažovať	V;PRS	V;IPFV;POS;NFIN
beskou	uvažovať	beskou	uvažovať	V;PRS	V;IPFV;POS;NFIN
lewe	života	lewe	život	N;SG	N;INAN;GEN;MASC;SG
lewe	život	lewe	život	N;SG	N;INAN;NOM;MASC;SG
vier	osláviť	vier	osláviť	V;PRS	V;PFV;POS;NFIN
vier	oslavovať	vier	oslavovať	V;PRS	V;IPFV;POS;NFIN
franse	francúzske	frans	francúzsky	ADJ;NOM	ADJ;NOM;NEUT;SG
dood	smrt	dood	smrt	N;SG	N;NOM;FEM;SG
dood	smrť	dood	smrť	N;SG	N;NOM;FEM;SG
dood	úmrtie	dood	úmrtie	N;SG	N;NOM;NEUT;SG
