partigiani	partisaner	partigiano	partisan	N;MASC;PL	N;INDF;MASC+FEM;PL
collaboratore	kollega	collaboratore	kollega	N;MASC;SG	N;INDF;MASC+FEM;SG
collaboratore	samarbejdspartner	collaboratore	samarbejdspartner	N;MASC;SG	N;INDF;MASC+FEM;SG
collaboratore	bidragyder	collaboratore	bidragyder	N;MASC;SG	N;INDF;MASC+FEM;SG
raffaello	raphael	raffaello	raphael	N;MASC;SG	N;INDF;MASC+FEM;SG
memorial	mindesmærke	memorial	mindesmærke	N;MASC;SG	N;INDF;NEUT;SG
memorial	mindehøjtidelighed	memorial	mindehøjtidelighed	N;MASC;SG	N;INDF;MASC+FEM;SG
aurelio	aurelius	aurelio	aurelius	N;MASC;SG	N;INDF;MASC+FEM;SG
difficili	svære	difficile	svær	ADJ;PL	ADJ;PL
tifosi	fans	tifoso	fans	N;MASC;PL	N;INDF;MASC+FEM;PL
tifosi	ventilatorer	tifoso	ventilator	N;MASC;PL	N;INDF;MASC+FEM;PL
tifosi	tilhængerne	tifoso	tilhænger	N;MASC;PL	N;DEF;MASC+FEM;PL
tifosi	tilhængere	tifoso	tilhænger	N;MASC;PL	N;INDF;MASC+FEM;PL
ucraino	ukrainsk	ucraino	ukrainsk	ADJ;MASC;SG	ADJ;INDF;SG
franchigia	franchise	franchigia	franchis	N;FEM;SG	N;INDF;MASC+FEM;SG
josef	josef	josef	josef	N;MASC;SG	N;INDF;MASC+FEM;SG
martínez	martínez	martínez	martínez	N;FEM;SG	N;INDF;MASC+FEM;SG
finalisti	finalister	finalista	finalist	N;MASC;PL	N;INDF;MASC+FEM;PL
essenziale	essentiel	essenziale	essentiel	ADJ;SG	ADJ;INDF;MASC+FEM;SG
essenziale	essentielt	essenziale	essentielt	ADJ;SG	ADJ;INDF;NEUT;SG
essenziale	afgørende	essenziale	afgørende	ADJ;SG	ADJ
essenziale	væsentlig	essenziale	væsentlig	ADJ;SG	ADJ;INDF;MASC+FEM;SG
duello	duel	duello	duel	N;MASC;SG	N;INDF;MASC+FEM;SG
immediato	omgående	immediato	omgående	ADJ;MASC;SG	ADJ
immediato	umiddelbar	immediato	umiddelbar	ADJ;MASC;SG	ADJ;INDF;MASC+FEM;SG
immediato	øjeblikkelig	immediato	øjeblikkelig	ADJ;MASC;SG	ADJ;INDF;MASC+FEM;SG
accade	sker	accadere	ske	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
coinvolti	involverede	coinvolgere	involvere	V;MASC;PL;PST;V.PTCP	V;PL;PST;V.PTCP
suicidio	selvmord	suicidio	selvmord	N;MASC;SG	N;INDF;NEUT;SG
carbone	kul	carbone	kul	N;MASC;SG	N;INDF;NEUT;SG
carbone	stenkul	carbone	stenkul	N;MASC;SG	N;INDF;MASC+FEM;SG
carbone	trækul	carbone	trækul	N;MASC;SG	N;INDF;NEUT;SG
carbone	kulstof	carbone	kulstof	N;MASC;SG	N;INDF;NEUT;SG
carbone	kul	carbone	kul	N;MASC;SG	N;INDF;NEUT;SG
credito	kredit	credito	kredit	N;MASC;SG	N;INDF;MASC+FEM;SG
credito	credit	credito	credit	N;MASC;SG	N;INDF;MASC+FEM;SG
regolari	regelmæssige	regolare	regelmæssig	ADJ;PL	ADJ;PL
famose	berømte	famoso	berømt	ADJ;FEM;PL	ADJ;PL
fiamme	flammer	fiamma	flamme	N;FEM;PL	N;INDF;MASC+FEM;PL
fiamme	flammerne	fiamma	flamme	N;FEM;PL	N;DEF;MASC+FEM;PL
fiamme	flammer	fiamma	flamme	N;FEM;PL	N;INDF;MASC+FEM;PL
august	august	august	august	N;MASC	N;INDF;MASC+FEM;SG
comunisti	kommunisterne	comunista	kommunist	N;MASC;PL	N;DEF;MASC+FEM;PL
comunisti	kommunister	comunista	kommunist	N;MASC;PL	N;INDF;MASC+FEM;PL
comunisti	kommunister	comunista	kommunist	N;MASC;PL	N;INDF;MASC+FEM;PL
comunisti	kommunisterne	comunista	kommunist	N;MASC;PL	N;DEF;MASC+FEM;PL
comunisti	kommunister	comunista	kommunist	N;MASC;PL	N;INDF;MASC+FEM;PL
organismi	organismer	organismo	organisme	N;MASC;PL	N;INDF;MASC+FEM;PL
terribile	frygteligt	terribile	frygtelig	ADJ;SG	ADJ;INDF;NEUT;SG
terribile	forfærdeligt	terribile	forfærdelig	ADJ;SG	ADJ;INDF;NEUT;SG
terribile	frygtelig	terribile	frygtelig	ADJ;SG	ADJ;INDF;MASC+FEM;SG
terribile	forfærdelig	terribile	forfærdelig	ADJ;SG	ADJ;INDF;MASC+FEM;SG
terribile	frygteligt	terribile	frygtelig	ADJ;SG	ADJ;INDF;NEUT;SG
terribile	forfærdeligt	terribile	forfærdelig	ADJ;SG	ADJ;INDF;NEUT;SG
terribile	skrækkeligt	terribile	skrækkeligt	ADJ;SG	ADJ;INDF;NEUT;SG
