bija	είχε	būt	έχω	V;FH;IND;3;POS;PST;FIN;ACT	V;IPFV;IND;SG;3;PST;FIN;ACT
kas	τι	kas	τι	PRO;NOM	PRO;NOM;NEUT;SG;3
līdz	μεχρι	līdz	μεχρι	ADV	ADV
bet	αλλά	bet	αλλά	CONJ	CONJ
var	μπορεί	varēt	μπορώ	V;FH;IND;3;POS;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
saites	δεσμοί	saite	δεσμός	N;NOM;FEM;PL	N;NOM;MASC;PL
saites	γραβάτες	saite	γραβάτης	N;NOM;FEM;PL	N;NOM;FEM;PL
saites	δεσμοί	saite	δεσμός	N;NOM;FEM;PL	N;NOM;MASC;PL
saites	συνδέσεις	saite	σύνδεση	N;NOM;FEM;PL	N;NOM;FEM;PL
tas	αυτο	tas	αυτός	PRO;NOM;MASC;SG	PRO;NOM;NEUT;SG;3
tas	αυτό	tas	αυτός	PRO;NOM;MASC;SG	PRO;NOM;NEUT;SG;3
tas	αυτό	tas	αυτός	PRO;NOM;MASC;SG	PRO;NOM;NEUT;SG;3
dzimis	γεννήθηκα	dzimt	γεννώ	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;PFV;IND;SG;1;PST;FIN;PASS
dzimis	γεννημένος	dzimt	γεννημένος	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;PFV;NOM;MASC;SG;V.PTCP;PASS
dzimis	γεννήθηκε	dzimt	γεννώ	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;PFV;IND;SG;3;PST;FIN;PASS
valsts	χώρα	valsts	χώρα	N;NOM;FEM;SG	N;NOM;FEM;SG
valsts	κράτος	valsts	κράτος	N;NOM;FEM;SG	N;NOM;NEUT;SG
tās	αυτοί	tā	αυτός	PRO;NOM;FEM;PL	PRO;NOM;MASC;PL;3
kad	πότε	kad	πότε	ADV	ADV
gadu	έτος	gads	έτος	N;ACC;MASC;SG	N;ACC;NEUT;SG
gadu	χρονιά	gads	χρονιά	N;ACC;MASC;SG	N;ACC;FEM;SG
gadu	έτο	gads	έτος	N;ACC;MASC;SG	N
pilsētas	πόλεις	pilsēta	πόλη	N;NOM;FEM;PL	N;NOM;FEM;PL
pilsētas	πόλεις	pilsēta	πόλη	N;NOM;FEM;PL	N;NOM;FEM;PL
kur	όπου	kur	όπου	ADV	ADV
kur	πού	kur	πού	ADV	ADV
vieta	τόπος	vieta	τόπος	N;NOM;FEM;SG	N;NOM;MASC;SG
vieta	μέρος	vieta	μέρος	N;NOM;FEM;SG	N;NOM;NEUT;SG
vieta	τόπος	vieta	τόπος	N;NOM;FEM;SG	N;NOM;MASC;SG
vieta	τοποθεσία	vieta	τοποθεσία	N;NOM;FEM;SG	N;NOM;FEM;SG
kara	πόλεμος	karš	πόλεμος	N;NOM;MASC;SG	N;NOM;MASC;SG
iela	οδός	iela	οδός	N;NOM;FEM;SG	N;NOM;FEM;SG
iela	δρόμος	iela	δρόμος	N;NOM;FEM;SG	N;NOM;MASC;SG
jau	ήδη	jau	ήδη	ADV	ADV
jau	ηδη	jau	ηδη	ADV	ADV
miris	απεβίωσε	mirt	αποβιώνω	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;PFV;IND;SG;3;PST;FIN;ACT
novada	εξιτήριο	novads	εξιτήριο	N;NOM;MASC;SG	N;NOM;NEUT;SG
kopā	συνολικά	kopā	συνολικά	ADV	ADV
kopā	μαζί	kopā	μαζί	ADV	ADV
attēls	φωτογραφια	attēls	φωτογραφια	N;NOM;MASC;SG	N;NOM;FEM;SG
attēls	εικόνα	attēls	εικόνα	N;NOM;MASC;SG	N;NOM;FEM;SG
attēls	εικόνα	attēls	εικόνα	N;NOM;MASC;SG	N;NOM;FEM;SG
attēls	εικονα	attēls	εικονα	N;NOM;MASC;SG	N;NOM;FEM;SG
attēls	σχήμα	attēls	σχήμα	N;NOM;MASC;SG	N;NOM;NEUT;SG
starp	μεταξύ	starp	μεταξύ	ADP	ADP
