το	la	ο	el	DET;NOM;DEF;NEUT;SG	DET;DEF;FEM;SG
με	amb	με	amb	ADP	ADP
που	qual	που	qual	PRO;ACC;NEUT;SG;3	PRO;SG
για	per	για	per	ADP	ADP
κατηγορία	categoria	κατηγορία	categoria	N;NOM;FEM;SG	N;FEM;SG
τους	ells	μου	ell	PRO;GEN;MASC;PL;3	PRO;MASC;PL;3
ότι	que	ότι	que	CONJ	CONJ
έχει	té	έχω	tenir	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
αλλά	però	αλλά	però	CONJ	CONJ
μετά	aleshores	μετά	aleshores	ADV	ADV
μετά	llavors	μετά	llavors	ADV	ADV
μετά	després	μετά	després	ADV	ADV
επίσης	també	επίσης	també	ADV	ADV
ενώ	mentre	ενώ	mentre	CONJ	CONJ
δύο	dos	δύο	dos	NUM;NOM;MASC;PL	NUM;MASC;PL
δύο	dues	δύο	dos	NUM;NOM;MASC;PL	NUM;FEM;PL
αυτό	això	αυτός	això	PRO;NOM;NEUT;SG;3	PRO;SG
όταν	quan	όταν	quan	CONJ	CONJ
ομάδα	esquadra	ομάδα	esquadra	N;ACC;FEM;SG	N;FEM;SG
ομάδα	grup	ομάδα	grup	N;ACC;FEM;SG	N;MASC;SG
ομάδα	equip	ομάδα	equip	N;ACC;FEM;SG	N;MASC;SG
θέση	posició	θέση	posició	N;ACC;FEM;SG	N;FEM;SG
μεταξύ	entre	μεταξύ	entre	ADP	ADP
χρόνια	anys	χρόνος	any	N;NOM;NEUT;PL	N;MASC;PL
πιο	més	πιο	més	ADV	ADV
πόλη	ciutat	πόλη	ciutat	N;NOM;FEM;SG	N;FEM;SG
μόνο	només	μόνο	només	ADV	ADV
πολύ	molt	πολύ	molt	ADV	ADV
κάθε	cadascuna	κάθε	cadascun	PRO;ACC;FEM;SG;3	PRO;FEM;SG
κάθε	cadascun	κάθε	cadascun	PRO;ACC;FEM;SG;3	PRO;MASC;SG
περιοχή	regió	περιοχή	regió	N;NOM;FEM;SG	N;FEM;SG
περιοχή	àmbit	περιοχή	àmbit	N;NOM;FEM;SG	N;MASC;SG
περιοχή	àrea	περιοχή	àrea	N;NOM;FEM;SG	N;FEM;SG
αιώνα	segle	αιώνας	segle	N;ACC;MASC;SG	N;MASC;SG
περίοδο	període	περίοδος	període	N;ACC;FEM;SG	N;MASC;SG
τότε	aleshores	τότε	aleshores	ADV	ADV
τότε	llavors	τότε	llavors	ADV	ADV
όνομα	denominació	όνομα	denominació	N;NOM;NEUT;SG	N;FEM;SG
μέρος	lloc	μέρος	lloc	N;NOM;NEUT;SG	N;MASC;SG
σήμερα	avui	σήμερα	avui	ADV	ADV
διάρκεια	durada	διάρκεια	durada	N;ACC;FEM;SG	N;FEM;SG
διάρκεια	duració	διάρκεια	duració	N;ACC;FEM;SG	N;FEM;SG
ιστορία	història	ιστορία	història	N;NOM;FEM;SG	N;FEM;SG
ιστορία	història	ιστορία	història	N;NOM;FEM;SG	N;FEM;SG
πρωτάθλημα	lliga	πρωτάθλημα	lliga	N;NOM;NEUT;SG	N;FEM;SG
πρωτάθλημα	campionat	πρωτάθλημα	campionat	N;NOM;NEUT;SG	N;MASC;SG
πρωτάθλημα	championship	πρωτάθλημα	championship	N;NOM;NEUT;SG	N;MASC;SG
