partigiani	partyzantów	partigiano	partyzant	N;MASC;PL	N;ACC;MASC;PL
collaboratore	współpracownika	collaboratore	współpracownik	N;MASC;SG	N;ACC;MASC;SG
collaboratore	współpracownik	collaboratore	współpracownik	N;MASC;SG	N;NOM;MASC;SG
edgar	edgara	edgare	edgar	N;MASC	N;ACC;MASC;SG
memorial	memorial	memorial	memorial	N;MASC;SG	N;NOM;MASC;SG
memorial	pomnik	memorial	pomnik	N;MASC;SG	N;ACC;MASC;SG
tifosi	fani	tifoso	fani	N;MASC;PL	N;NOM;MASC;PL
tifosi	fanów	tifoso	fan	N;MASC;PL	N;ACC;MASC;PL
tifosi	wentylatory	tifoso	wentylator	N;MASC;PL	N;NOM;MASC;PL
tifosi	kibice	tifoso	kibic	N;MASC;PL	N;NOM;MASC;PL
tifosi	zwolennicy	tifoso	zwolennik	N;MASC;PL	N;NOM;MASC;PL
tifosi	zwolenników	tifoso	zwolennik	N;MASC;PL	N;ACC;MASC;PL
ucraino	ukraiński	ucraino	ukraiński	ADJ;MASC;SG	ADJ;NOM;MASC;SG
tessuti	tkanki	tessuto	tkanka	N;MASC;PL	N;ACC;FEM;PL
tessuti	tkaniny	tessuto	tkanina	N;MASC;PL	N;ACC;FEM;PL
tessuti	tkaniny	tessuto	tkanina	N;MASC;PL	N;ACC;FEM;PL
finalisti	finalistów	finalista	finalista	N;MASC;PL	N;ACC;MASC;PL
incrociatore	krążownik	incrociatore	krążownik	N;MASC;SG	N;NOM;MASC;SG
duello	pojedynek	duello	pojedynek	N;MASC;SG	N;NOM;MASC;SG
immediato	natychmiastowe	immediato	natychmiastowy	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
immediato	natychmiastowa	immediato	natychmiastowy	ADJ;MASC;SG	ADJ;NOM;FEM;SG
immediato	natychmiastowy	immediato	natychmiastowy	ADJ;MASC;SG	ADJ;NOM;MASC;SG
suicidio	samobójstwo	suicidio	samobójstwo	N;MASC;SG	N;NOM;NEUT;SG
suicidio	samobójstwa	suicidio	samobójstwo	N;MASC;SG	N;GEN;NEUT;SG
carbone	węgiel	carbone	węgiel	N;MASC;SG	N;NOM;MASC;SG
carbone	węgiel	carbone	węgiel	N;MASC;SG	N;NOM;MASC;SG
carbone	węgiel	carbone	węgiel	N;MASC;SG	N;NOM;MASC;SG
credito	kredytu	credito	kredyt	N;MASC;SG	N;GEN;MASC;SG
credito	kredyt	credito	kredyt	N;MASC;SG	N;NOM;MASC;SG
fiamme	płomienie	fiamma	płomić	N;FEM;PL	N;NOM;MASC;PL
fiamme	płomienie	fiamma	płomić	N;FEM;PL	N;NOM;MASC;PL
august	sierpnia	august	sierpień	N;MASC	N;GEN;MASC;SG
august	august	august	august	N;MASC	N;NOM;MASC;SG
comunisti	komunistów	comunista	komunista	N;MASC;PL	N;ACC;MASC;PL
comunisti	komuniści	comunista	komunista	N;MASC;PL	N;NOM;MASC;PL
