dari	от	dari	от	ADP	ADP
dengan	със	dengan	със	ADP	ADP
adalah	са	adalah	съм	V	V;IPFV;IND;PL;3;PRS;FIN;ACT
untuk	за	untuk	за	ADP	ADP
tahun	година	tahun	година	N;SG	N;INDF;FEM;SG
tahun	годината	tahun	година	N;SG	N;DEF;FEM;SG
juga	също	juga	също	ADV	ADV
menjadi	ставайки	menjadi	ставам	V;SG;ACT	V;IPFV;IMP;SG;2;FIN
bagian	сечение	bagian	сечение	N;SG	N;INDF;NEUT;SG
bagian	секция	bagian	секция	N;SG	N;INDF;FEM;SG
bagian	раздел	bagian	раздел	N;SG	N;INDF;MASC;SG
bagian	част	bagian	част	N;SG	N;INDF;FEM;SG
spesies	вид	spesies	вид	N;SG	N;INDF;MASC;SG
orang	човек	orang	човек	N;SG	N;INDF;MASC;SG
orang	личност	orang	личност	N;SG	N;INDF;FEM;SG
orang	народ	orang	народ	N;SG	N;INDF;MASC;SG
mereka	ги	mereka	аз	PRO;PL;3	PRO;ACC;PL;3
mereka	тях	mereka	аз	PRO;PL;3	PRO;ACC;PL;3
mereka	те	mereka	аз	PRO;PL;3	PRO;NOM;PL;3
satu	една	satu	един	NUM	NUM;INDF;FEM;SG
satu	един	satu	един	NUM	NUM;INDF;MASC;SG
satu	едно	satu	един	NUM	NUM;INDF;NEUT;SG
kota	град	kota	град	N;SG	N;INDF;MASC;SG
kota	градът	kota	град	N;SG	N;DEF;MASC;SG
kota	градче	kota	градче	N;SG	N;INDF;NEUT;SG
kota	град	kota	град	N;SG	N;INDF;MASC;SG
kota	градът	kota	град	N;SG	N;DEF;MASC;SG
kota	сити	kota	сит	N;SG	N;INDF;MASC;SG
pranala	връзка	pranala	връзка	N;SG	N;INDF;FEM;SG
pranala	линк	pranala	линк	N;SG	N;INDF;MASC;SG
pranala	хипервръзка	pranala	хипервръзка	N;SG	N;INDF;FEM;SG
desa	село	desa	село	N;SG	N;INDF;NEUT;SG
ada	съществува	ada	съществувам	V;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
lebih	повече	lebih	повече	ADV	ADV;INDF;PL
lebih	още	lebih	още	ADV	ADV
nama	името	nama	име	N;SG	N;DEF;NEUT;SG
nama	наименование	nama	наименование	N;SG	N;INDF;NEUT;SG
nama	име	nama	име	N;SG	N;INDF;NEUT;SG
kayu	дървесина	kayu	дървесина	N;SG	N;INDF;FEM;SG
kayu	дърво	kayu	дърво	N;SG	N;INDF;NEUT;SG
kayu	дървесина	kayu	дървесина	N;SG	N;INDF;FEM;SG
bahwa	че	bahwa	че	CONJ	CONJ
setelah	след	setelah	след	ADP	ADP
bahasa	езикът	bahasa	език	N;SG	N;DEF;MASC;SG
bahasa	езика	bahasa	език	N;SG	N;DEF;MASC;SG
bahasa	език	bahasa	език	N;SG	N;INDF;MASC;SG
asteroid	астероиди	asteroid	астероид	N	N;INDF;MASC;PL
asteroid	астероид	asteroid	астероид	N	N;INDF;MASC;SG
lain	друг	lain	друг	ADJ;SG	ADJ;INDF;MASC;SG
besar	голям	besar	голям	ADJ;SG	ADJ;INDF;MASC;SG
besar	голяма	besar	голям	ADJ;SG	ADJ;INDF;FEM;SG
besar	голям	besar	голям	ADJ;SG	ADJ;INDF;MASC;SG
besar	голяма	besar	голям	ADJ;SG	ADJ;INDF;FEM;SG
film	филм	film	филм	N;SG	N;INDF;MASC;SG
film	филм	film	филм	N;SG	N;INDF;MASC;SG
film	лента	film	лента	N;SG	N;INDF;FEM;SG
saat	саат	saat	саат	N;SG	N;INDF;FEM;SG
kelas	клас	kelas	клас	N;SG	N;INDF;MASC;SG
kelas	класа	kelas	клас	N;SG	N;DEF;MASC;SG
kecamatan	окръг	kecamatan	окръг	N;SG	N;INDF;MASC;SG
kecamatan	област	kecamatan	област	N;SG	N;INDF;FEM;SG
kecamatan	район	kecamatan	район	N;SG	N;INDF;MASC;SG
salah	грешка	salah	грешка	N;SG	N;INDF;FEM;SG
salah	салах	salah	салах	N;SG	N;INDF;MASC;SG
negara	държава	negara	държава	N;SG	N;INDF;FEM;SG
negara	страна	negara	страна	N;SG	N;INDF;FEM;SG
negara	щат	negara	щат	N;SG	N;INDF;MASC;SG
negara	държава	negara	държава	N;SG	N;INDF;FEM;SG
biasanya	обикновенно	biasanya	обикновенно	ADV	ADV
biasanya	обикновено	biasanya	обикновено	ADV	ADV
biasanya	обикновено	biasanya	обикновено	ADV	ADV
biasanya	нормално	biasanya	нормално	ADV	ADV
biasanya	обикновено	biasanya	обикновено	ADV	ADV
kemudian	тогава	kemudian	тогава	ADV	ADV
banyak	много	banyak	много	ADV	ADV;INDF;PL
kabupaten	regency	kabupaten	regency	N;SG	N;INDF;MASC;SG
kabupaten	окръг	kabupaten	окръг	N;SG	N;INDF;MASC;SG
kabupaten	графство	kabupaten	графство	N;SG	N;INDF;NEUT;SG
kabupaten	окръг	kabupaten	окръг	N;SG	N;INDF;MASC;SG
kabupaten	област	kabupaten	област	N;SG	N;INDF;FEM;SG
kabupaten	район	kabupaten	район	N;SG	N;INDF;MASC;SG
kumbang	калинка	kumbang	калинка	N	N;INDF;FEM;SG
kumbang	бръмбар	kumbang	бръмбар	N	N;INDF;MASC;SG
genus	род	genus	род	N	N;INDF;MASC;SG
isi	съдържание	isi	съдържание	N;SG	N;INDF;NEUT;SG
isi	съдържание	isi	съдържание	N;SG	N;INDF;NEUT;SG
isi	запълване	isi	запълване	N;SG	N;INDF;NEUT;SG
daftar	списък	daftar	списък	N;SG	N;INDF;MASC;SG
baru	нов	baru	нов	ADJ;SG	ADJ;INDF;MASC;SG
baru	нова	baru	нов	ADJ;SG	ADJ;INDF;FEM;SG
antara	между	antara	между	ADP	ADP
barat	запад	barat	запад	N;SG	N;INDF;MASC;SG
barat	уестърн	barat	уестърн	N;SG	N;INDF;MASC;SG
barat	western	barat	western	N;SG	N;INDF;MASC;SG
wilayah	зона	wilayah	зона	N;SG	N;INDF;FEM;SG
wilayah	площ	wilayah	площ	N;SG	N;INDF;FEM;SG
wilayah	област	wilayah	област	N;SG	N;INDF;FEM;SG
