hän	sy	hän	sy	PRO;NOM;SG;3	PRO;NOM;SG;3
vuonna	jaar	vuosi	jaar	N;FRML;SG	N;SG
myös	ook	myös	ook	ADV	ADV
kello	horlosie	kello	horlosie	N;NOM;SG	N;SG
kello	horlosie	kello	horlosie	N;NOM;SG	N;SG
että	dat	että	dat	CONJ	CONJ
mutta	maar	mutta	maar	CONJ	CONJ
vuoden	jaar	vuosi	jaar	N;GEN;SG	N;SG
kuin	soos	kuin	soos	CONJ	CONJ
jossa	waar	joka	waar	PRO;IN+ESS;SG	PRO
jossa	waarheen	joka	waarheen	PRO;IN+ESS;SG	PRO
vain	slegs	vain	slegs	ADV	ADV
vain	net	vain	net	ADV	ADV
vain	slegs	vain	slegs	ADV	ADV
vain	net	vain	net	ADV	ADV
olivat	was	olla	is	V;IND;PL;3;PST;FIN;ACT	V;PST;FIN
ollut	gewees	olla	wees	V;NOM;SG;V.PTCP;ACT	V;PST;FIN
lisäksi	ook	lisäksi	ook	ADV	ADV
kaksi	twee	kaksi	twee	NUM;NOM;SG	NUM
yksi	een	yksi	een	NUM;NOM;SG	NUM
voitti	gewen	voittaa	wen	V;IND;SG;3;PST;FIN;ACT	V;PST;V.PTCP
tulos	uitkoms	tulos	uitkoms	N;NOM;SG	N;SG
tulos	uitslag	tulos	uitslag	N;NOM;SG	N;SG
tulos	resultaat	tulos	resultaat	N;NOM;SG	N;SG
kuten	soos	kuten	soos	CONJ	CONJ
myöhemmin	later	myöhemmin	laat	ADV	ADV;CMPR
ensimmäinen	eerste	ensimmäinen	eerste	ADJ;NOM;SG	ADJ;NOM
osa	gedeelte	osa	gedeelte	N;NOM;SG	N;SG
eri	verskillende	eri	verskil	ADJ	ADJ;NOM
keskustelu	gesprek	keskustelu	gesprek	N;NOM;SG	N;SG
keskustelu	bespreking	keskustelu	bespreking	N;NOM;SG	N;SG
keskustelu	debat	keskustelu	debat	N;NOM;SG	N;SG
koko	hele	koko	heel	ADJ	ADJ;NOM
olisi	sou	olla	sal	V;COND;SG;3;FIN;ACT	V;PST;FIN
vielä	steeds	vielä	steeds	ADV	ADV
vielä	nogsteeds	vielä	nogsteeds	ADV	ADV
kaikki	alles	kaikki	alles	PRO;NOM;SG	PRO
kaikki	alles	kaikki	alles	PRO;NOM;SG	PRO
kaikki	almal	kaikki	almal	PRO;NOM;SG	PRO
kaikki	almal	kaikki	almal	PRO;NOM;SG	PRO
pelasi	gespeel	pelata	speel	V;IND;SG;3;PST;FIN;ACT	V;PST;V.PTCP
kauden	seisoen	kausi	seisoen	N;GEN;SG	N;SG
vaikka	hoewel	vaikka	hoewel	CONJ	CONJ
vaikka	alhoewel	vaikka	alhoewel	CONJ	CONJ
nimi	naam	nimi	naam	N;NOM;SG	N;SG
nimi	gebruikernaam	nimi	gebruikernaam	N;NOM;SG	N;SG
seura	klub	seura	klub	N;NOM;SG	N;SG
seura	maatskappy	seura	maatskappy	N;NOM;SG	N;SG
kolme	drie	kolme	drie	NUM;NOM;SG	NUM
usein	gereeld	usein	gereeld	ADV	ADV
usein	gereeld	usein	gereeld	ADV	ADV
usein	dikwels	usein	dikwels	ADV	ADV
kuva	foto	kuva	foto	N;NOM;SG	N;SG
kuva	prent	kuva	prent	N;NOM;SG	N;SG
kuva	prent	kuva	prent	N;NOM;SG	N;SG
alus	vaartuig	alus	vaartuig	N;NOM;SG	N;SG
alus	skip	alus	skip	N;NOM;SG	N;SG
sitten	dan	sitten	dan	ADV	ADV
uusi	nuwe	uusi	nuut	ADJ;NOM;SG	ADJ;NOM
ajan	tyd	aika	tyd	N;GEN;SG	N;SG
ajan	tydstip	aika	tydstip	N;GEN;SG	N;SG
saa	kry	saada	kry	V;IND;SG;0;PRS;FIN;ACT	V;PRS
pinta	oppervlak	pinta	oppervlak	N;NOM;SG	N;SG
maalit	doelwitte	maali	doelwit	N;NOM;PL	N;PL
maalit	doele	maali	doele	N;NOM;PL	N;PL
yhdessä	saam	yhdessä	saam	ADV	ADV
näyttelijä	aktrise	näyttelijä	aktrise	N;NOM;SG	N;SG
näyttelijä	akteur	näyttelijä	akteur	N;NOM;SG	N;SG
tulee	oppad	tulla	oppad	V;IND;SG;3;PRS;FIN;ACT	V;PRS
aina	altyd	aina	altyd	ADV	ADV
maan	aarde	maa	aarde	N;GEN;SG	N;SG
maan	land	maa	land	N;GEN;SG	N;SG
kerran	eens	kerran	eens	ADV	ADV
elokuva	fliek	elo#kuva	fliek	N;NOM;SG	N;SG
elokuva	rolprent	elo#kuva	rolprent	N;NOM;SG	N;SG
elokuva	rolprent	elo#kuva	rolprent	N;NOM;SG	N;SG
saksan	duitsland	saksa	duitsland	N;GEN;SG	N;SG
kaupunki	stad	kaupunki	stad	N;NOM;SG	N;SG
nyt	nou	nyt	nou	ADV	ADV
nyt	tans	nyt	tans	ADV	ADV
katso	sien	katsoa	sien	V;IMP;SG;2;FIN;ACT	V;PRS
katso	waarneem	katsoa	waarneem	V;IMP;SG;2;FIN;ACT	V;PRS
katso	kyk	katsoa	kyk	V;IMP;SG;2;FIN;ACT	V;PRS
katso	dophou	katsoa	dophou	V;IMP;SG;2;FIN;ACT	V;PRS
katso	kyk	katsoa	kyk	V;IMP;SG;2;FIN;ACT	V;PRS
käyttää	gebruik	käyttää	gebruik	V;IND;SG;PRS;FIN;ACT	V;PRS
muut	ander	muu	ander	PRO;NOM;PL	PRO
yhden	een	yksi	een	NUM;GEN;SG	NUM
vuodet	jare	vuosi	jaar	N;NOM;PL	N;PL
alueen	streek	alue	streek	N;GEN;SG	N;SG
yhtye	musiekgroep	yhtye	musiekgroep	N;NOM;SG	N;SG
saanut	ontvang	saada	ontvang	V;NOM;SG;V.PTCP;ACT	V;PRS
tarkoittaa	beteken	tarkoittaa	beteken	V;IND;SG;3;PRS;FIN;ACT	V;PRS
pelaaja	speler	pelaaja	speler	N;NOM;SG	N;SG
kuoli	gesterf	kuolla	sterf	V;IND;SG;3;PST;FIN;ACT	V;PST;V.PTCP
albumi	album	albumi	album	N;NOM;SG	N;SG
laulu	sang	laulu	sang	N;NOM;SG	N;SG
laulu	liedjie	laulu	liedjie	N;NOM;SG	N;SG
laulu	lied	laulu	lied	N;NOM;SG	N;SG
jopa	selfs	jopa	selfs	ADV	ADV
erityisesti	veral	erityisesti	veral	ADV	ADV
valittiin	gekose	valita	koos	V;IND;PST;FIN;PASS	V;PST;V.PTCP
valittiin	gekies	valita	kies	V;IND;PST;FIN;PASS	V;PST;V.PTCP
valittiin	gemerk	valita	merk	V;IND;PST;FIN;PASS	V;PST;V.PTCP
osallistui	bygewoon	osallistua	bywoon	V;IND;SG;3;PST;FIN;ACT	V;PST;V.PTCP
osallistui	deelgeneem	osallistua	deelneneem	V;IND;SG;3;PST;FIN;ACT	V;PST;V.PTCP
joukkue	span	joukkue	span	N;NOM;SG	N;SG
edelleen	steeds	edelleen	steeds	ADV	ADV
edelleen	nogsteeds	edelleen	nogsteeds	ADV	ADV
