les	the	le	the	DET;DEF;PL	DET;DEF
catégorie	category	catégorie	category	N;FEM;SG	N;SG
avec	with	avec	with	ADP	ADP
sont	are	être	be	V;IND;PL;3;PRS;FIN	V;IND;PRS;FIN
elle	she	elle	she	PRO;FEM;SG;3	PRO;NOM;FEM;SG;3
avancement	advancement	avancement	advancement	N;MASC;SG	N;SG
avancement	progress	avancement	progress	N;MASC;SG	N;SG
mais	but	mais	but	CONJ	CONJ
pop	pop	pop	pop	N;FEM;SG	N;SG
deux	two	deux	two	NUM	NUM
naissance	birth	naissance	birth	N;FEM;SG	N;SG
aussi	also	aussi	also	ADV	ADV
fait	made	faire	make	V;MASC;SG;PST;V.PTCP	V;PST;V.PTCP
fait	done	faire	do	V;MASC;SG;PST;V.PTCP	V;PST;V.PTCP
notes	notes	note	note	N;FEM;PL	N;PL
même	even	même	even	ADV	ADV
être	being	être	be	V;NFIN	V;V.MSDR
nom	surname	nom	surname	N;MASC;SG	N;SG
nom	name	nom	name	N;MASC;SG	N;SG
français	french	français	french	ADJ;MASC;SG	ADJ
lui	him	lui	he	PRO;SG;3	PRO;ACC;MASC;SG;3
lieu	venue	lieu	venue	N;MASC;SG	N;SG
lieu	place	lieu	place	N;MASC;SG	N;SG
lieu	location	lieu	location	N;MASC;SG	N;SG
cet	this	ce	this	PRO;SG;3	PRO;SG
décès	death	décès	death	N;MASC;SG	N;SG
références	references	référence	reference	N;FEM;PL	N;PL
liens	links	lien	link	N;MASC;PL	N;PL
commune	commune	commune	commune	N;FEM;SG	N;SG
ville	tow	ville	tow	N;FEM;SG	N;SG
ville	city	ville	city	N;FEM;SG	N;SG
leur	their	lui	they	PRO;PL;3	PRO;PL;3
date	date	date	date	N;FEM;SG	N;SG
ans	years	an	year	N;MASC;PL	N;PL
alors	then	alors	then	ADV	ADV
externes	external	externe	external	ADJ;MASC;PL	ADJ
site	website	site	website	N;MASC;SG	N;SG
site	site	site	site	N;MASC;SG	N;SG
ces	these	ce	these	PRO;PL;3	PRO;PL
fut	was	être	be	V;IND;SG;3;PST;FIN	V;IND;SG;3;PST;FIN
http	http	http	http	N;MASC;SG	N;SG
film	movie	film	movie	N;MASC;SG	N;SG
film	film	film	film	N;MASC;SG	N;SG
voir	see	voir	see	V;NFIN	V;IMP;FIN
pays	country	pays	country	N;MASC;SG	N;SG
source	source	source	source	N;FEM;SG	N;SG
ils	they	il	they	PRO;MASC;PL;3	PRO;NOM;PL;3
grand	large	grand	large	ADJ;MASC;SG	ADJ
grand	big	grand	big	ADJ;MASC;SG	ADJ
grand	great	grand	great	ADJ;MASC;SG	ADJ
grand	grand	grand	grand	ADJ;MASC;SG	ADJ
tout	everything	tout	everything	PRO;MASC;SG	PRO;SG
lors	during	lors	during	ADV	ADV
groupe	band	groupe	band	N;MASC;SG	N;SG
groupe	group	groupe	group	N;MASC;SG	N;SG
également	also	également	also	ADV	ADV
titre	title	titre	title	N;MASC;SG	N;SG
monde	world	monde	world	N;MASC;SG	N;SG
années	years	année	year	N;FEM;PL	N;PL
contre	against	contre	against	ADP	ADP
liste	list	liste	list	N;FEM;SG	N;SG
équipe	squad	équipe	squad	N;FEM;SG	N;SG
équipe	team	équipe	team	N;FEM;SG	N;SG
club	club	club	club	N;MASC;SG	N;SG
partie	party	partie	party	N;FEM;SG	N;SG
partie	part	partie	part	N;FEM;SG	N;SG
très	very	très	very	ADV	ADV
trois	three	trois	three	NUM	NUM
articles	articles	article	article	N;MASC;PL	N;PL
article	article	article	article	N;MASC;SG	N;SG
guerre	war	guerre	war	N;FEM;SG	N;SG
saison	season	saison	season	N;FEM;SG	N;SG
fin	fin	fin	fin	N;FEM;SG	N;SG
fin	end	fin	end	N;FEM;SG	N;SG
année	year	année	year	N;FEM;SG	N;SG
temps	weather	temps	weather	N;MASC;SG	N;SG
temps	time	temps	time	N;MASC;SG	N;SG
faire	doing	faire	do	V;NFIN	V;V.MSDR
faire	make	faire	make	V;NFIN	V;IMP;FIN
histoire	history	histoire	history	N;FEM;SG	N;SG
série	series	série	series	N;FEM;SG	N;SG
série	serial	série	serial	N;FEM;SG	N;SG
joueur	player	joueur	player	N;MASC;SG	N;SG
tour	tour	tour	tour	N;MASC;SG	N;SG
tour	tower	tour	tower	N;MASC;SG	N;SG
mort	died	mourir	die	V;MASC;SG;PST;V.PTCP	V;IND;PST;FIN
française	french	français	french	ADJ;FEM;SG	ADJ
pierre	stone	pierre	stone	N;FEM;SG	N;SG
région	region	région	region	N;FEM;SG	N;SG
région	area	région	area	N;FEM;SG	N;SG
avoir	having	avoir	have	V;NFIN	V;V.MSDR
avoir	have	avoir	have	V;NFIN	V;IMP;FIN
état	status	état	status	N;MASC;SG	N;SG
état	state	état	state	N;MASC;SG	N;SG
état	condition	état	condition	N;MASC;SG	N;SG
église	church	église	church	N;FEM;SG	N;SG
place	place	place	place	N;FEM;SG	N;SG
famille	family	famille	family	N;FEM;SG	N;SG
états	states	état	state	N;MASC;PL	N;PL
album	album	album	album	N;MASC;SG	N;SG
prix	price	prix	price	N;MASC;SG	N;SG
nouvelle	new	nouveau	new	ADJ;FEM;SG	ADJ
département	department	département	department	N;MASC;SG	N;SG
grande	large	grand	large	ADJ;FEM;SG	ADJ
grande	big	grand	big	ADJ;FEM;SG	ADJ
grande	great	grand	great	ADJ;FEM;SG	ADJ
américain	american	américain	american	ADJ;MASC;SG	ADJ
début	beginning	début	beginning	N;MASC;SG	N;SG
ligne	line	ligne	line	N;FEM;SG	N;SG
ligne	row	ligne	row	N;FEM;SG	N;SG
suite	suite	suite	suite	N;FEM;SG	N;SG
nationale	national	national	national	ADJ;FEM;SG	ADJ
championnat	championship	championnat	championship	N;MASC;SG	N;SG
encore	again	encore	again	ADV	ADV
encore	still	encore	still	ADV	ADV
image	picture	image	picture	N;FEM;SG	N;SG
image	image	image	image	N;FEM;SG	N;SG
vie	life	vie	life	N;FEM;SG	N;SG
lien	link	lien	link	N;MASC;SG	N;SG
football	soccer	football	soccer	N;MASC;SG	N;SG
football	football	football	football	N;MASC;SG	N;SG
jeux	games	jeu	game	N;MASC;PL	N;PL
page	page	page	page	N;FEM;SG	N;SG
nouveau	new	nouveau	new	ADJ;MASC;SG	ADJ
vous	you	vous	you	PRO;PL;2	PRO;ACC;2
notamment	notably	notamment	notably	ADV	ADV
centre	center	centre	center	N;MASC;SG	N;SG
centre	centre	centre	centre	N;MASC;SG	N;SG
village	village	village	village	N;MASC;SG	N;SG
université	university	université	university	N;FEM;SG	N;SG
université	college	université	college	N;FEM;SG	N;SG
nombre	number	nombre	number	N;MASC;SG	N;SG
siècle	century	siècle	century	N;MASC;SG	N;SG
coupe	cup	coupe	cup	N;FEM;SG	N;SG
coupe	cutting	coupe	cutting	N;FEM;SG	N;SG
population	population	population	population	N;FEM;SG	N;SG
connexes	related	connexe	related	ADJ;MASC;PL	ADJ
homme	male	homme	male	N;MASC;SG	N;SG
