bir	ایک.	bir	ایک.		
ile	مقابلہ.	ile	مقابلہ.		
ile	مقابلہ.	ile	مقابلہ.		
için	لہٰذا.	için	لہٰذا.		
için	واسطے	için	واسطہ		
için	برائے	için	برائے		
sonra	پیچھے	sonra	پیچھے	ADV	ADV;NOM;MASC;SG;3
sonra	پیچھے	sonra	پیچھے	ADV	ADV;NOM;MASC;SG;3
tarafından	بمعیار	taraf	بمعیار	N;AT+ABL;SG;3	N
ilk	بیّن	ilk	بیّن		
çok	this	çok	this		
çok	عین	çok	عین		
yer	محلہ	yer	محلہ	N;NOM;SG;3	N;NOM;MASC;SG;3
yer	مرتبہ	yer	مرتبہ	N;NOM;SG;3	N;NOM;MASC;SG;3
yer	منصب	yer	منصب	N;NOM;SG;3	N;NOM;MASC;SG;3
yer	احاطہ	yer	احاطہ	N;NOM;SG;3	N;NOM;MASC;SG;3
yer	نشست	yer	نشست	N;NOM;SG;3	N;NOM;MASC;SG;3
yer	مرتبہ	yer	مرتبہ	N;NOM;SG;3	N;NOM;MASC;SG;3
yer	مقام	yer	مقام	N;NOM;SG;3	N;NOM;MASC;SG;3
yer	منصب	yer	منصب	N;NOM;SG;3	N;NOM;MASC;SG;3
yer	احاطہ	yer	احاطہ	N;NOM;SG;3	N;NOM;MASC;SG;3
yer	نشست	yer	نشست	N;NOM;SG;3	N;NOM;MASC;SG;3
gibi	مثل	gibi	مثل		
gibi	مثل	gibi	مثل		
büyük	گراں	büyük	گراں		
veya	لیکن	veya	لیکن	CONJ	CONJ
diğer	دوسرا	diğer	دوسرا	ADJ	ADJ;NOM;MASC;SG
yeni	جدید	yeni	جدید	ADJ	ADJ
yeni	جدید	yeni	جدید	ADJ	ADJ
un	آرد	un	آرد		
aynı	یکساں	aynı	یکساں	ADJ	ADJ
bağlı	کودنا	bağlı	کودنا		
bağlı	کودنا	bağlı	کودنا		
iyi	باادب	iyi	باادب		
iyi	مدّعا	iyi	مدّعا		
iyi	تندرست	iyi	تندرست		
iyi	بانکا	iyi	بانکا		
son	اخیر	son	اخیر		
dünya	(	dünya	(		
dünya	طین	dünya	طین		
dünya	بل.	dünya	بل.		
birlikte	ملاکر	birlikte	ملاکر		
birlikte	باہم	birlikte	باہم		
birlikte	ملاکر	birlikte	ملاکر		
eski	کہنہ	eski	کہنہ		
eski	بغیر.	eski	بغیر.		
