dan	un	dan	un	CONJ	CONJ
dengan	ar	dengan	ar	ADP	ADP
untuk	priekš	untuk	priekš	ADP	ADP
tahun	gadu	tahun	gads	N;SG	N;ACC;MASC;SG
tahun	gads	tahun	gads	N;SG	N;NOM;MASC;SG
tidak	ne	tidak	ne	PART;NEG	PART
menjadi	kļūstot	menjadi	kļūt	V;SG;ACT	V;V.CVB
bagian	iedaļa	bagian	iedaļa	N;SG	N;NOM;FEM;SG
bagian	sadaļa	bagian	sadaļa	N;SG	N;NOM;FEM;SG
bagian	sekcija	bagian	sekcija	N;SG	N;NOM;FEM;SG
bagian	daļa	bagian	daļa	N;SG	N;NOM;FEM;SG
spesies	suga	spesies	suga	N;SG	N;NOM;FEM;SG
orang	cilvēks	orang	cilvēks	N;SG	N;NOM;MASC;SG
orang	persona	orang	persona	N;SG	N;NOM;FEM;SG
orang	tauta	orang	tauta	N;SG	N;NOM;FEM;SG
mereka	viņiem	mereka	viņš	PRO;PL;3	PRO;DAT;MASC;PL;3
mereka	viņi	mereka	viņš	PRO;PL;3	PRO;NOM;MASC;PL;3
satu	viens	satu	viens	NUM	NUM;NOM;MASC;SG
satu	viena	satu	viena	NUM	NUM;NOM;FEM;SG
satu	vienu	satu	viens	NUM	NUM;ACC;MASC;SG
kota	pilsēta	kota	pilsēta	N;SG	N;NOM;FEM;SG
kota	pilsēta	kota	pilsēta	N;SG	N;NOM;FEM;SG
kota	pilsētu	kota	pilsēta	N;SG	N;ACC;FEM;SG
pranala	saikne	pranala	saikne	N;SG	N;NOM;FEM;SG
pranala	saite	pranala	saite	N;SG	N;NOM;FEM;SG
pranala	links	pranala	links	N;SG	N;NOM;MASC;SG
pranala	hipersaiti	pranala	hipersaite	N;SG	N;ACC;FEM;SG
karena	jo	karena	jo	CONJ	CONJ
desa	ciema	desa	ciems	N;SG	N;GEN;MASC;SG
desa	ciemata	desa	ciemats	N;SG	N;GEN;MASC;SG
desa	ciems	desa	ciems	N;SG	N;NOM;MASC;SG
desa	ciematu	desa	ciemats	N;SG	N;ACC;MASC;SG
desa	ciemu	desa	ciems	N;SG	N;ACC;MASC;SG
desa	ciemats	desa	ciemats	N;SG	N;NOM;MASC;SG
ada	pastāv	ada	pastāvēt	V;SG	V;FH;IND;3;POS;PRS;FIN;ACT
ada	eksistē	ada	eksistēt	V;SG	V;IMP;SG;2;POS;PRS;FIN;ACT
lebih	vairāk	lebih	daudz	ADV	ADV;CMPR
nama	vārds	nama	vārds	N;SG	N;NOM;MASC;SG
nama	nosaukums	nama	nosaukums	N;SG	N;NOM;MASC;SG
