une	ένας	un	ένας	DET;INDF;FEM;SG	DET;NOM;INDF;MASC;SG
catégorie	κατηγορια	catégorie	κατηγορία	N;FEM;SG	N;NOM;FEM;SG
catégorie	κατηγορία	catégorie	κατηγορία	N;FEM;SG	N;NOM;FEM;SG
pour	για	pour	για	ADP	ADP
que	ότι	que	ότι	CONJ	CONJ
avec	με	avec	με	ADP	ADP
plus	περισσότερο	plus	πολύ	ADV	ADV;CMPR
plus	πιο	plus	πιο	ADV	ADV
pas	οχι	pas	οχι	ADV;NEG	ADV
avancement	πρόοδος	avancement	πρόοδος	N;MASC;SG	N;NOM;FEM;SG
avancement	πρόοδο	avancement	πρόοδος	N;MASC;SG	N;ACC;FEM;SG
mais	αλλά	mais	αλλά	CONJ	CONJ
deux	δυο	deux	δύο	NUM	NUM;NOM;PL
deux	δύο	deux	δύο	NUM	NUM;NOM;MASC;PL
naissance	γέννησης	naissance	γέννηση	N;FEM;SG	N;GEN;FEM;SG
naissance	γέννηση	naissance	γέννηση	N;FEM;SG	N;ACC;FEM;SG
naissance	γέννα	naissance	γέννα	N;FEM;SG	N;NOM;FEM;SG
aussi	επισης	aussi	επισης	ADV	ADV
aussi	επίσης	aussi	επίσης	ADV	ADV
fait	φτιαγμένο	faire	φτιαγμένος	V;MASC;SG;PST;V.PTCP	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
fait	φτιαγμένη	faire	φτιαγμένος	V;MASC;SG;PST;V.PTCP	V;PFV;NOM;FEM;SG;V.PTCP;PASS
fait	έκανε	faire	κάνω	V;MASC;SG;PST;V.PTCP	V;PFV;IND;SG;3;PST;FIN;ACT
fait	έγινε	faire	γίνομαι	V;MASC;SG;PST;V.PTCP	V;PFV;IND;SG;3;PST;FIN;PASS
fait	εγινε	faire	εγίνομαι	V;MASC;SG;PST;V.PTCP	V;PFV;IND;SG;3;PST;FIN;PASS
notes	νότες	note	νότος	N;FEM;PL	N;NOM;FEM;PL
notes	σημειώσεις	note	σημείωση	N;FEM;PL	N;NOM;FEM;PL
entre	μεταξύ	entre	μεταξύ	ADP	ADP
entre	μεταξυ	entre	μεταξυ	ADP	ADP
sous	υπό	sous	υπό	ADP	ADP
même	ιδια	même	ιδιος	ADV	ADV
nom	επίθετο	nom	επίθετος	N;MASC;SG	N;NOM;NEUT;SG
nom	επώνυμο	nom	επώνυμο	N;MASC;SG	N;NOM;NEUT;SG
nom	ονομασία	nom	ονομασία	N;MASC;SG	N;NOM;FEM;SG
nom	όνομα	nom	όνομα	N;MASC;SG	N;NOM;NEUT;SG
nom	ονομα	nom	ονομα	N;MASC;SG	N;NOM;NEUT;SG
français	γαλλική	français	γαλλική	ADJ;MASC;SG	ADJ;NOM;FEM;SG
français	γαλλικό	français	γαλλικός	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
lieu	τόπος	lieu	τόπος	N;MASC;SG	N;NOM;MASC;SG
lieu	μέρος	lieu	μέρος	N;MASC;SG	N;NOM;NEUT;SG
lieu	τόπος	lieu	τόπος	N;MASC;SG	N;NOM;MASC;SG
lieu	τοποθεσία	lieu	τοποθεσία	N;MASC;SG	N;NOM;FEM;SG
cet	αυτο	ce	αυτός	PRO;SG;3	PRO;NOM;NEUT;SG;3
cet	αυτό	ce	αυτός	PRO;SG;3	PRO;NOM;NEUT;SG;3
autres	άλλες	autre	άλλος	PRO;PL	PRO;NOM;FEM;PL;3
autres	άλλα	autre	άλλος	PRO;PL	PRO;NOM;NEUT;PL;3
autres	άλλους	autre	άλλος	PRO;PL	PRO;NOM;MASC;PL;3
autres	άλλοι	autre	άλλος	PRO;PL	PRO;NOM;MASC;PL;3
autres	αλλοι	autre	αλλος	PRO;PL	PRO;NOM;MASC;PL;3
autres	άλλα	autre	άλλος	PRO;PL	PRO;NOM;NEUT;PL;3
décès	θάνατος	décès	θάνατος	N;MASC;SG	N;NOM;MASC;SG
décès	θάνατο	décès	θάνατος	N;MASC;SG	N;ACC;MASC;SG
références	αναφορές	référence	αναφορά	N;FEM;PL	N;NOM;FEM;PL
références	παραπομπές	référence	παραπομπή	N;FEM;PL	N;NOM;FEM;PL
liens	δεσμοί	lien	δεσμός	N;MASC;PL	N;NOM;MASC;PL
liens	συνδέσεις	lien	σύνδεση	N;MASC;PL	N;NOM;FEM;PL
liens	συνδέσμους	lien	σύνδεσμος	N;MASC;PL	N;ACC;MASC;PL
ville	πολη	ville	πολη	N;FEM;SG	N;NOM;FEM;SG
ville	πόλη	ville	πόλη	N;FEM;SG	N;NOM;FEM;SG
ville	πολη	ville	πολη	N;FEM;SG	N;NOM;FEM;SG
ville	πόλη	ville	πόλη	N;FEM;SG	N;NOM;FEM;SG
date	ημερομηνία	date	ημερομηνία	N;FEM;SG	N;ACC;FEM;SG
date	ραντεβού	date	ραντεβός	N;FEM;SG	N;NOM;NEUT;SG
date	ημερομηνια	date	ημερομηνία	N;FEM;SG	N;NOM;FEM;SG
peut	μπορεί	pouvoir	μπορώ	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
depuis	απο	depuis	απο	ADP	ADP
depuis	από	depuis	από	ADP	ADP
ans	χρονια	an	χρονος	N;MASC;PL	N;NOM;NEUT;PL
ans	ετη	an	εγώ	N;MASC;PL	N;NOM;NEUT;PL
ans	χρόνια	an	χρόνος	N;MASC;PL	N;NOM;NEUT;PL
ans	έτη	an	έτος	N;MASC;PL	N;NOM;NEUT;PL
alors	τότε	alors	τότε	ADV	ADV
alors	μετά	alors	μετά	ADV	ADV
site	ιστοσελίδα	site	ιστοσελίδα	N;MASC;SG	N;NOM;FEM;SG
site	ιστότοπος	site	ιστότοπος	N;MASC;SG	N;NOM;MASC;SG
ces	αυτά	ce	αυτός	PRO;PL;3	PRO;NOM;NEUT;PL;3
ces	αυτές	ce	αυτός	PRO;PL;3	PRO;NOM;FEM;PL;3
ces	αυτα	ce	αυτός	PRO;PL;3	PRO;NOM;NEUT;PL;3
fut	ήταν	être	είμαι	V;IND;SG;3;PST;FIN	V;IPFV;IND;SG;3;PST;FIN;PASS
film	ταινία	film	ταινία	N;MASC;SG	N;NOM;FEM;SG
film	ταινια	film	ταινιά	N;MASC;SG	N;NOM;FEM;SG
film	μεμβράνη	film	μεμβράνη	N;MASC;SG	N;NOM;FEM;SG
film	ταινία	film	ταινία	N;MASC;SG	N;NOM;FEM;SG
film	ταινια	film	ταινιά	N;MASC;SG	N;NOM;FEM;SG
film	φιλμ	film	φιλμ	N;MASC;SG	N;NOM;NEUT;SG
voir	δείτε	voir	βλέπω	V;NFIN	V;PFV;IMP;PL;2;FIN;ACT
voir	βλέπεις	voir	βλέπη	V;NFIN	V;IPFV;IND;SG;1;PRS;FIN;ACT
pays	χωρα	pays	χωρα	N;MASC;SG	N;ACC;FEM;SG
pays	χώρα	pays	χώρα	N;MASC;SG	N;NOM;FEM;SG
source	πηγή	source	πηγή	N;FEM;SG	N;NOM;FEM;SG
source	πηγη	source	πηγο	N;FEM;SG	N;NOM;FEM;SG
grand	μεγάλο	grand	μεγάλος	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
grand	μεγάλη	grand	μεγάλος	ADJ;MASC;SG	ADJ;NOM;FEM;SG
grand	μεγάλος	grand	μεγάλος	ADJ;MASC;SG	ADJ;NOM;MASC;SG
grand	μεγάλο	grand	μεγάλος	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
grand	τέλεια	grand	τέλεια	ADJ;MASC;SG	ADJ;NOM;FEM;SG
groupe	ορχήστρα	groupe	ορχήστρα	N;MASC;SG	N;NOM;FEM;SG
groupe	συγκρότημα	groupe	συγκρότημα	N;MASC;SG	N;NOM;NEUT;SG
groupe	μπάντα	groupe	μπάντα	N;MASC;SG	N;NOM;FEM;SG
groupe	όμιλος	groupe	όμιλος	N;MASC;SG	N;NOM;MASC;SG
groupe	ομαδα	groupe	ομαδα	N;MASC;SG	N;NOM;FEM;SG
groupe	ομάδα	groupe	ομάδα	N;MASC;SG	N;ACC;FEM;SG
également	επισης	également	επισης	ADV	ADV
également	επίσης	également	επίσης	ADV	ADV
monde	κόσμο	monde	κόσμος	N;MASC;SG	N;ACC;MASC;SG
monde	κόσμος	monde	κόσμος	N;MASC;SG	N;NOM;MASC;SG
nord	βορρά	nord	βορράς	N;MASC;SG	N;ACC;MASC;SG
nord	βορεια	nord	βορεια	N;MASC;SG	N;NOM;FEM;SG
nord	βορράς	nord	βορράς	N;MASC;SG	N;NOM;MASC;SG
nord	βορεια	nord	βορεια	N;MASC;SG	N;NOM;FEM;SG
années	χρονια	année	χρονος	N;FEM;PL	N;NOM;NEUT;PL
années	ετη	année	εγώ	N;FEM;PL	N;NOM;NEUT;PL
années	χρόνια	année	χρόνος	N;FEM;PL	N;NOM;NEUT;PL
années	έτη	année	έτος	N;FEM;PL	N;NOM;NEUT;PL
bien	καλο	bien	καλος	ADV	ADV
bien	καλά	bien	καλά	ADV	ADV
bien	καλα	bien	καλά	ADV	ADV
bien	λοιπόν	bien	λοιπόν	ADV	ADV
contre	εναντίον	contre	εναντίον	ADP	ADP
liste	λίστα	liste	λίστα	N;FEM;SG	N;NOM;FEM;SG
liste	κατάλογος	liste	κατάλογος	N;FEM;SG	N;NOM;MASC;SG
équipe	απόσπασμα	équipe	απόσπασμα	N;FEM;SG	N;NOM;NEUT;SG
