den	den	den	den	PRO;DEF;MASC+FEM;SG	PRO;ACC;MASC+FEM;SG;3
och	og	och	og	CONJ	CONJ
runt	omkring	runt	omkring	ADV	ADV
runt	rundt	runt	rundt	ADV	ADV
månaden	måneden	månad	måned	N;NOM;DEF;MASC+FEM;SG	N;DEF;MASC+FEM;SG
nederbörd	nedbør	nederbörd	nedbør	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
nederbörd	nedbør	nederbörd	nedbør	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
familjen	familien	familj	familie	N;NOM;DEF;MASC+FEM;SG	N;DEF;MASC+FEM;SG
för	for	för	for	ADP	ADP
underarter	underarter	underart	underart	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC+FEM;PL
life	liv	life	liv	N;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
life	livstid	life	livstid	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
landet	landet	land	land	N;NOM;DEF;NEUT;SG	N;DEF;NEUT;SG
meter	meter	meter	meter	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC+FEM;PL
meter	meter	meter	meter	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC+FEM;PL
meter	målere	meter	måler	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC+FEM;PL
meter	meter	meter	meter	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC+FEM;PL
meter	meter	meter	meter	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC+FEM;PL
meter	værfter	meter	værft	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC+FEM;PL
meter	skibsværfter	meter	skibsværft	N;NOM;INDF;MASC+FEM;PL	N;INDF;NEUT;PL
huvudstaden	hovedstaden	huvudstad	hovedstad	N;NOM;DEF;MASC+FEM;SG	N;DEF;MASC+FEM;SG
huvudstaden	kapitalen	huvudstad	kapital	N;NOM;DEF;MASC+FEM;SG	N;DEF;MASC+FEM;SG
havet	havet	hav	hav	N;NOM;DEF;NEUT;SG	N;DEF;NEUT;SG
havet	havet	hav	hav	N;NOM;DEF;NEUT;SG	N;DEF;NEUT;SG
varmaste	varmeste	varm	varm	ADJ;NOM;DEF;RL	ADJ;DEF;RL
kallaste	koldeste	kalla	kold	ADJ;NOM;DEF;RL	ADJ;DEF;RL
invånare	indbyggere	invånare	indbygger	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC+FEM;PL
invånare	beboere	invånare	beboer	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC+FEM;PL
invånare	residenter	invånare	resident	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC+FEM;PL
invånare	indbyggere	invånare	indbygger	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC+FEM;PL
invånare	beboere	invånare	beboer	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC+FEM;PL
invånare	borgere	invånare	borger	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC+FEM;PL
invånare	statsborgere	invånare	statsborgere	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC+FEM;PL
januari	januar	januari	januar	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
millimeter	millimeter	millimet	millimeter	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC+FEM;PL
millimeter	millimeter	millimet	millimeter	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC+FEM;PL
millimeter	millimeter	millimet	millimeter	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC+FEM;PL
millimeter	millimeter	millimet	millimeter	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC+FEM;PL
genomsnitt	gennemsnit	genomsnitt	gennemsnit	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
genomsnittlig	gennemsnitlig	genomsnittlig	gennemsnitlig	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;INDF;MASC+FEM;SG
torraste	tørreste	torr	tørre	ADJ;NOM;DEF;RL	ADJ;DEF;RL
juli	juli	juli	juli	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
juli	juli	juli	juli	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
han	han	han	han	PRO;NOM;DEF;MASC+FEM;SG	PRO;NOM;MASC+FEM;SG;3
har	har	ha	have	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
har	har	ha	have	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
har	have	ha	have	V;IND;PRS;FIN;ACT	V;NFIN;ACT
vattendrag	vandløb	vattendrag	vandløb	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
vattendrag	vandløb	vattendrag	vandløb	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
vattendrag	vandløb	vattendrag	vandløb	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
provinsen	provinsen	provins	provins	N;NOM;DEF;MASC+FEM;SG	N;DEF;MASC+FEM;SG
men	men	men	men	CONJ	CONJ
högsta	højest	hög	højest	ADJ;NOM;DEF;RL	ADJ;DEF;RL
högsta	højeste	hög	høj	ADJ;NOM;DEF;RL	ADJ;DEF;RL
augusti	august	augusti	august	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
läge	lokalisering	läge	lokalisering	N;NOM;INDF;NEUT;SG	N;INDF;MASC+FEM;SG
läge	beliggenhed	läge	beliggenhed	N;NOM;INDF;NEUT;SG	N;INDF;MASC+FEM;SG
läge	sted	läge	sted	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
läge	placering	läge	placering	N;NOM;INDF;NEUT;SG	N;INDF;MASC+FEM;SG
