med	so	med	s	ADP	ADP;INS
runt	dookola	runt	dookola	ADV	ADV
månaden	mesiac	månad	mesiac	N;NOM;DEF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
ingår	zahrnúť	ingå	zahrnúť	V;IND;PRS;FIN;ACT	V;PFV;POS;NFIN
ingår	zahrňuje	ingå	zahrňovať	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN
ingår	zahŕňa	ingå	zahŕňať	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN
ingår	zahrnuje	ingå	zahrnúť	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN
ett	jedno	en	jeden	NUM;NOM;INDF;NEUT;SG	NUM;NOM;NEUT;SG
ett	jeden	en	jeden	NUM;NOM;INDF;NEUT;SG	NUM;ANIM;NOM;MASC;SG
ett	jedna	en	jeden	NUM;NOM;INDF;NEUT;SG	NUM;NOM;FEM;SG
familjen	rodinka	familj	rodinka	N;NOM;DEF;MASC+FEM;SG	N;NOM;FEM;SG
familjen	family	familj	famila	N;NOM;DEF;MASC+FEM;SG	N;NOM;FEM;SG
familjen	rodina	familj	rodina	N;NOM;DEF;MASC+FEM;SG	N;NOM;FEM;SG
för	pre	för	pre	ADP	ADP;ACC
delen	časť	del	časť	N;NOM;DEF;MASC+FEM;SG	N;NOM;FEM;SG
delen	čast	del	čast	N;NOM;DEF;MASC+FEM;SG	N;NOM;FEM;SG
delen	súčasť	del	súčasť	N;NOM;DEF;MASC+FEM;SG	N;NOM;FEM;SG
life	život	life	život	N;NOM;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
landet	štát	land	štát	N;NOM;DEF;NEUT;SG	N;INAN;NOM;MASC;SG
landet	krajina	land	krajina	N;NOM;DEF;NEUT;SG	N;NOM;FEM;SG
meter	metre	meter	meter	N;NOM;INDF;MASC+FEM;PL	N;INAN;NOM;MASC;PL
