من	från	مِن	från	ADP	ADP
تصنيف	betyg	تَصنِيف	betyg	N;NOM;INDF;SG	N;NOM;INDF;NEUT;SG
تصنيف	klassificering	تَصنِيف	klassificering	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
عام	year	عَام	yea	N;NOM;INDF;SG	N;NOM;INDF;NEUT;SG
عام	årsmodell	عَام	årsmodell	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
عام	år	عَام	år	N;NOM;INDF;SG	N;NOM;INDF;NEUT;SG
اسم	namn	اِسم	namn	N;NOM;INDF;SG	N;NOM;INDF;NEUT;SG
اسم	name	اِسم	name	N;NOM;INDF;SG	N;NOM;INDF;NEUT;SG
مع	med	مَعَ	med	ADP;ACC	ADP
المنطقة	regionen	مِنطَقَة	region	N;NOM;DEF;SG	N;NOM;DEF;MASC+FEM;SG
المنطقة	distriktet	مِنطَقَة	distrikt	N;NOM;DEF;SG	N;NOM;DEF;NEUT;SG
المنطقة	zonen	مِنطَقَة	zon	N;NOM;DEF;SG	N;NOM;DEF;MASC+FEM;SG
المنطقة	området	مِنطَقَة	område	N;NOM;DEF;SG	N;NOM;DEF;NEUT;SG
هي	hon	هُوَ	hon	PRO;NOM;FEM;SG;3	PRO;NOM;DEF;MASC+FEM;SG
هي	hennes	هُوَ	hon	PRO;NOM;FEM;SG;3	PRO;DEF
سنة	year	سَنَة	yea	N;NOM;INDF;SG	N;NOM;INDF;NEUT;SG
سنة	årsmodell	سَنَة	årsmodell	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
سنة	år	سَنَة	år	N;NOM;INDF;SG	N;NOM;INDF;NEUT;SG
اختياري	valfritt	اِختِيَارِيّ	valfritt	ADJ;NOM;INDF;MASC;SG	ADJ;NOM;INDF;NEUT;SG
اختياري	valfri	اِختِيَارِيّ	valfri	ADJ;NOM;INDF;MASC;SG	ADJ;NOM;INDF;MASC+FEM;SG
عدد	tal	عَدَد	tal	N;NOM;INDF;SG	N;NOM;INDF;NEUT;SG
عدد	antal	عَدَد	antal	N;NOM;INDF;SG	N;NOM;INDF;NEUT;SG
عدد	nummer	عَدَد	nummer	N;NOM;INDF;SG	N;NOM;INDF;NEUT;SG
بعد	efter	بَعدَ	efter	ADP;NOM	ADP
لا	inte	لَا	inte	PART	PART;NEG
لا	ej	لَا	ej	PART	PART;NEG
بين	emellan	بَينَ	emellan	ADP;ACC	ADP
بين	mellan	بَينَ	mellan	ADP;ACC	ADP
تعليق	kommentar	تَعلِيق	kommentar	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
تاريخ	date	تَارِيخ	date	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
تاريخ	dejt	تَارِيخ	de	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
تاريخ	datum	تَارِيخ	datum	N;NOM;INDF;SG	N;NOM;INDF;NEUT;SG
تاريخ	träff	تَارِيخ	träff	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
تاريخ	historia	تَارِيخ	historia	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
تاريخ	historik	تَارِيخ	historik	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
نوع	typ	نَوع	typ	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
سطر	line	سِطر	line	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
سطر	linje	سِطر	linje	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
سطر	rad	سِطر	rad	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
خط	line	خَطّ	line	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
خط	linje	خَطّ	linje	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
خط	rad	خَطّ	rad	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;SG
خط	teckensnitt	خَطّ	teckensnitt	N;NOM;INDF;SG	N;NOM;INDF;NEUT;SG
خط	typsnitt	خَطّ	typsnitt	N;NOM;INDF;SG	N;NOM;INDF;NEUT;SG
