dan	y	dan	y	CONJ	CONJ
dari	de	dari	de	ADP	ADP
dari	desde	dari	desde	ADP	ADP
dengan	con	dengan	con	ADP	ADP
adalah	son	adalah	ser	V	V;IND;PL;3;PRS;FIN
untuk	para	untuk	para	ADP	ADP
tahun	año	tahun	año	N;SG	N;MASC;SG
juga	igualmente	juga	igualmente	ADV	ADV
juga	además	juga	además	ADV	ADV
juga	también	juga	también	ADV	ADV
menjadi	estar	menjadi	estar	V;SG;ACT	V;NFIN
menjadi	convertirse	menjadi	convertir	V;SG;ACT	V;SBJV;SG;3;PRS;FIN
bagian	seccion	bagian	seccionar	N;SG	N;FEM;SG
bagian	sección	bagian	sección	N;SG	N;FEM;SG
bagian	part	bagian	part	N;SG	N
bagian	parte	bagian	parte	N;SG	N;FEM;SG
spesies	especie	spesies	especie	N;SG	N;FEM;SG
orang	persona	orang	persona	N;SG	N;FEM;SG
orang	pueblo	orang	pueblo	N;SG	N;MASC;SG
orang	gente	orang	gente	N;SG	N;FEM;SG
luar	exterior	luar	exterior	ADJ;SG	ADJ;SG
mereka	ellas	mereka	él	PRO;PL;3	PRO;FEM;PL;3
mereka	ellos	mereka	él	PRO;PL;3	PRO;MASC;PL;3
mereka	ellos	mereka	él	PRO;PL;3	PRO;MASC;PL;3
mereka	ellas	mereka	él	PRO;PL;3	PRO;FEM;PL;3
memiliki	tiene	menmiliki	tener	V;SG;ACT	V;IND;SG;3;PRS;FIN
memiliki	tener	menmiliki	tener	V;SG;ACT	V;NFIN
kota	pueblo	kota	pueblo	N;SG	N;MASC;SG
kota	ciudad	kota	ciudad	N;SG	N;FEM;SG
kota	ciudad	kota	ciudad	N;SG	N;FEM;SG
kota	kota	kota	kota	N;SG	N;FEM;SG
pranala	link	pranala	link	N;SG	N;MASC;SG
pranala	enlace	pranala	enlace	N;SG	N;MASC;SG
pranala	vínculo	pranala	vínculo	N;SG	N;MASC;SG
karena	porque	karena	porque	CONJ	CONJ
desa	pueblo	desa	pueblo	N;SG	N;MASC;SG
desa	villa	desa	villa	N;SG	N;FEM;SG
desa	aldea	desa	aldea	N;SG	N;FEM;SG
ada	existe	ada	existir	V;SG	V;IND;SG;3;PRS;FIN
lebih	más	lebih	más	ADV	ADV
lebih	mas	lebih	mas	ADV	ADV
nama	nombre	nama	nombre	N;SG	N;MASC;SG
nama	name	nama	name	N;SG	N
nama	denominación	nama	denominación	N;SG	N;FEM;SG
kayu	madera	kayu	madera	N;SG	N;FEM;SG
kayu	leña	kayu	echar_leña	N;SG	N;FEM;SG
kayu	wood	kayu	wood	N;SG	N
kayu	madera	kayu	madera	N;SG	N;FEM;SG
kayu	madera	kayu	madera	N;SG	N;FEM;SG
bahwa	que	bahwa	que	CONJ	CONJ
setelah	tras	setelah	tras	ADP	ADP
bahasa	lengua	bahasa	lengua	N;SG	N;FEM;SG
bahasa	idioma	bahasa	idioma	N;SG	N;MASC;SG
bahasa	lenguaje	bahasa	lenguaje	N;SG	N;MASC;SG
asteroid	asteroides	asteroid	asteroid	N	N;MASC;PL
asteroid	asteroide	asteroid	asteroide	N	N;MASC;SG
asteroid	asteroides	asteroid	asteroid	N	N;MASC;PL
besar	grande	besar	grande	ADJ;SG	ADJ;SG
besar	grande	besar	grande	ADJ;SG	ADJ;SG
besar	gran	besar	gran	ADJ;SG	ADJ;SG
besar	grandioso	besar	grandioso	ADJ;SG	ADJ;MASC;SG
besar	genial	besar	genial	ADJ;SG	ADJ;SG
besar	estupendo	besar	estupendo	ADJ;SG	ADJ;MASC;SG
besar	gran	besar	gran	ADJ;SG	ADJ;SG
film	cine	film	cine	N;SG	N;MASC;SG
film	pelicula	film	pelicula	N;SG	N;FEM;SG
film	cine	film	cine	N;SG	N;MASC;SG
film	movie	film	movie	N;SG	N;SG
film	película	film	película	N;SG	N;FEM;SG
film	pelicula	film	pelicula	N;SG	N;FEM;SG
film	cine	film	cine	N;SG	N;MASC;SG
film	película	film	película	N;SG	N;FEM;SG
film	film	film	film	N;SG	N;MASC;SG
film	cine	film	cine	N;SG	N;MASC;SG
saat	when	saat	when	N;SG	N
kelas	clase	kelas	clase	N;SG	N;FEM;SG
kelas	class	kelas	clas	N;SG	N;FEM;SG
kecamatan	distrito	kecamatan	distrito	N;SG	N;MASC;SG
salah	false	salah	false	N;SG	N
salah	salah	salah	salah	N;SG	N;MASC;SG
negara	pais	negara	pais	N;SG	N;MASC;SG
negara	país	negara	país	N;SG	N;MASC;SG
negara	state	negara	state	N;SG	N
negara	estado	negara	estado	N;SG	N;MASC;SG
biasanya	habitualmente	biasanya	habitualmente	ADV	ADV
biasanya	normalmente	biasanya	normalmente	ADV	ADV
biasanya	generalmente	biasanya	generalmente	ADV	ADV
biasanya	usualmente	biasanya	usualmente	ADV	ADV
biasanya	normalmente	biasanya	normalmente	ADV	ADV
biasanya	típicamente	biasanya	típicamente	ADV	ADV
biasanya	normalmente	biasanya	normalmente	ADV	ADV
kemudian	luego	kemudian	luego	ADV	ADV
kemudian	entonces	kemudian	entonces	ADV	ADV
kemudian	posteriormente	kemudian	posteriormente	ADV	ADV
kemudian	después	kemudian	después	ADV	ADV
banyak	mucho	banyak	mucho	ADV	ADV
kabupaten	regencia	kabupaten	regencia	N;SG	N;FEM;SG
kabupaten	condado	kabupaten	condado	N;SG	N;MASC;SG
kabupaten	distrito	kabupaten	distrito	N;SG	N;MASC;SG
kumbang	mariquita	kumbang	mariquita	N	N;FEM;SG
kumbang	escarabajo	kumbang	escarabajo	N	N;MASC;SG
kumbang	escarabajos	kumbang	escarabajo	N	N;MASC;PL
lalat	fly	lalat	fly	N;SG	N
lalat	mosca	lalat	mosca	N;SG	N;FEM;SG
genus	género	genus	género	N	N;MASC;SG
ordo	ordo	ordo	ordo	N	N;MASC;SG
isi	contenido	isi	contenido	N;SG	N;MASC;SG
isi	contenido	isi	contenido	N;SG	N;MASC;SG
isi	relleno	isi	relleno	N;SG	N;MASC;SG
daftar	lista	daftar	lista	N;SG	N;FEM;SG
baru	nuevo	baru	nuevo	ADJ;SG	ADJ;MASC;SG
baru	nueva	baru	nuevo	ADJ;SG	ADJ;FEM;SG
antara	entre	antara	entre	ADP	ADP
barat	west	barat	west	N;SG	N;MASC;SG
barat	occidente	barat	occidente	N;SG	N;MASC;SG
barat	oeste	barat	oeste	N;SG	N;MASC;SG
barat	barat	barat	barat	N;SG	N;SG
barat	occidente	barat	occidente	N;SG	N;MASC;SG
barat	western	barat	western	N;SG	N;MASC;SG
barat	oeste	barat	oeste	N;SG	N;MASC;SG
wilayah	superficie	wilayah	superficie	N;SG	N;FEM;SG
wilayah	zona	wilayah	zona	N;SG	N;FEM;SG
wilayah	area	wilayah	area	N;SG	N;FEM;SG
wilayah	área	wilayah	área	N;SG	N;FEM;SG
wilayah	region	wilayah	region	N;SG	N;FEM;SG
wilayah	comarca	wilayah	comarca	N;SG	N;FEM;SG
wilayah	región	wilayah	región	N;SG	N;FEM;SG
wilayah	territorio	wilayah	territorio	N;SG	N;MASC;SG
tanggal	cita	tanggal	cita	N;SG;ACT	N;FEM;SG
tanggal	fecha	tanggal	fecha	N;SG;ACT	N;FEM;SG
dunia	mundo	dunia	mundo	N;SG	N;MASC;SG
dunia	world	dunia	world	N;SG	N
dunia	dunia	dunia	dunia	N;SG	N;FEM;SG
timur	oriente	timur	oriente	N;SG	N;MASC;SG
timur	east	timur	east	N;SG	N;MASC;SG
timur	timur	timur	timur	N;SG	N;MASC;SG
timur	eastern	timur	eastern	N;SG	N;MASC;SG
tempat	lugar	tempat	lugar	N;SG	N;MASC;SG
tempat	place	tempat	place	N;SG	N
dua	dos	dua	dos	NUM	NUM;PL
selatan	southern	selatan	southern	N;SG	N
selatan	sur	selatan	sur	N;SG	N;MASC;SG
selatan	sur	selatan	sur	N;SG	N;MASC;SG
september	setiembre	september	setiembre	N;SG	N
september	septiembre	september	septiembre	N;SG	N
anak	anak	anak	anak	N;SG	N
anak	hijo	anak	hijo	N;SG	N;MASC;SG
anak	niñez	anak	niñez	N;SG	N;FEM;SG
anak	infancia	anak	infancia	N;SG	N;FEM;SG
anak	niño	anak	niño	N;SG	N;MASC;SG
anak	niña	anak	niña	N;SG	N;FEM;SG
species	especies	species	especie	N	N;FEM;PL
species	especie	species	especie	N	N;FEM;SG
hidup	vida	hidup	vida	N;SG	N;FEM;SG
hidup	life	hidup	life	N;SG	N
hidup	viva	hidup	viva	N;SG	N;FEM;SG
hidup	alive	hidup	alive	N;SG	N
lagu	canto	lagu	canto	N;SG	N;MASC;SG
lagu	cancion	lagu	cancionar	N;SG	N;FEM;SG
lagu	canción	lagu	canción	N;SG	N;FEM;SG
lagu	songs	lagu	songs	N;SG	N
daerah	distrito	daerah	distrito	N;SG	N;MASC;SG
daerah	superficie	daerah	superficie	N;SG	N;FEM;SG
daerah	zona	daerah	zona	N;SG	N;FEM;SG
daerah	area	daerah	area	N;SG	N;FEM;SG
daerah	área	daerah	área	N;SG	N;FEM;SG
daerah	region	daerah	region	N;SG	N;FEM;SG
daerah	comarca	daerah	comarca	N;SG	N;FEM;SG
daerah	región	daerah	región	N;SG	N;FEM;SG
daerah	condado	daerah	condado	N;SG	N;MASC;SG
daerah	seccion	daerah	seccionar	N;SG	N;FEM;SG
daerah	sección	daerah	sección	N;SG	N;FEM;SG
sekolah	escuela	sekolah	escuela	N;SG	N;FEM;SG
sekolah	colegio	sekolah	colegio	N;SG	N;MASC;SG
sekolah	escuela	sekolah	escuela	N;SG	N;FEM;SG
sekolah	escolarización	sekolah	escolarización	N;SG	N;FEM;SG
sekolah	escolaridad	sekolah	escolaridad	N;SG	N;FEM;SG
hanya	únicamente	hanya	únicamente	ADV	ADV
hanya	solo	hanya	solo	ADV	ADV
hanya	sólo	hanya	sólo	ADV	ADV
hanya	solamente	hanya	solamente	ADV	ADV
hanya	solo	hanya	solo	ADV	ADV
hanya	simplemente	hanya	simplemente	ADV	ADV
hanya	sólo	hanya	sólo	ADV	ADV
air	agua	air	agua	N;SG	N;FEM;SG
air	waters	air	waters	N;SG	N
air	aire	air	aire	N;SG	N;MASC;SG
air	air	air	air	N;SG	N
hari	día	hari	día	N;SG	N;MASC;SG
hari	dia	hari	diar	N;SG	N;MASC;SG
hari	days	hari	day	N;SG	N
hingga	hasta	hingga	hasta	ADP	ADP
sampai	hasta	sampai	hasta	ADP	ADP
kali	kali	kali	kali	N;SG	N;SG
kali	hora	kali	hora	N;SG	N;FEM;SG
kali	tiempo	kali	tiempo	N;SG	N;MASC;SG
kali	time	kali	time	N;SG	N
kali	times	kali	time	N;SG	N
ketika	cuando	ketika	cuando	CONJ	CONJ
sangat	muy	sangat	mucho	ADV	ADV
sangat	firmemente	sangat	firmemente	ADV	ADV
sangat	fuertemente	sangat	fuertemente	ADV	ADV
sangat	extremadamente	sangat	extremadamente	ADV	ADV
