kategória	categoria	kategória	categoria	N;NOM;FEM;SG	N;FEM;SG
roku	ano	rok	ano	N;INAN;GEN;MASC;SG	N;MASC;SG
ako	como	ako	como	ADV	ADV
ako	como	ako	como	ADV	ADV
pozri	ver	pozrieť	ver	V;PFV;IMP;SG;2;POS;FIN	V;NFIN
obce	municípios	obec	município	N;NOM;FEM;PL	N;MASC;PL
obce	comunas	obec	comuna	N;NOM;FEM;PL	N;FEM;PL
obce	municípios	obec	município	N;NOM;FEM;PL	N;MASC;PL
obce	vilas	obec	vila	N;NOM;FEM;PL	N;FEM;PL
obce	aldeias	obec	aldeia	N;NOM;FEM;PL	N;FEM;PL
obyvateľov	habitantes	obyvateľ	habitante	N;ANIM;ACC;MASC;PL	N;PL
obyvateľov	residentes	obyvateľ	residente	N;ANIM;ACC;MASC;PL	N;MASC;PL
obyvateľov	moradores	obyvateľ	morador	N;ANIM;ACC;MASC;PL	N;MASC;PL
obec	município	obec	município	N;NOM;FEM;SG	N;MASC;SG
obec	concelho	obec	concelho	N;NOM;FEM;SG	N;MASC;SG
obec	vila	obec	vila	N;NOM;FEM;SG	N;FEM;SG
obec	aldeia	obec	aldeia	N;NOM;FEM;SG	N;FEM;SG
pre	por	pre	por	ADP;ACC	ADP
pre	para	pre	para	ADP;ACC	ADP
jeho	seu	jeho	seu	DET;NOM;NEUT;SG;3	DET;MASC;SG
jeho	sua	jeho	seu	DET;NOM;NEUT;SG;3	DET;FEM;SG
jeho	seu	jeho	seu	DET;NOM;NEUT;SG;3	DET;MASC;SG
jeho	sua	jeho	seu	DET;NOM;NEUT;SG;3	DET;FEM;SG
bod	ponto	bod	ponto	N;INAN;NOM;MASC;SG	N;MASC;SG
bod	point	bod	point	N;INAN;NOM;MASC;SG	N;MASC;SG
zoznam	lista	zoznam	lista	N;INAN;NOM;MASC;SG	N;FEM;SG
odkazy	referências	odkaz	referência	N;INAN;NOM;MASC;PL	N;FEM;PL
odkazy	ligações	odkaz	ligação	N;INAN;NOM;MASC;PL	N;FEM;PL
odkazy	links	odkaz	link	N;INAN;NOM;MASC;PL	N;MASC;PL
socorro	socorro	socorro	socorro	N;NOM;NEUT;SG	N;MASC;SG
