年	año	年	año	N	N;MASC;SG
月	luna	月	luna	N	N;FEM;SG
月	moon	月	moon	N	N
月	meses	月	mes	N	N;MASC;PL
月	mes	月	mes	N	N;MASC;SG
村	pueblo	村	pueblo	N	N;MASC;SG
村	villa	村	villa	N	N;FEM;SG
村	aldea	村	aldea	N	N;FEM;SG
人	man	人	man	N	N
人	hombre	人	hombre	N	N;MASC;SG
人	pueblo	人	pueblo	N	N;MASC;SG
人	gente	人	gente	N	N;FEM;SG
人	personas	人	persona	N	N;FEM;PL
重	heavy	重	heavy	N	N;MASC;SG
也	igualmente	也	igualmente	ADV	ADV
也	además	也	además	ADV	ADV
也	también	也	también	ADV	ADV
後	después	後	después	ADV	ADV
留言	mensajes	留言	mensaje	N	N;MASC;PL
留言	mensaje	留言	mensaje	N	N;MASC;SG
市	ciudad	市	ciudad	N	N;FEM;SG
市	municipalidad	市	municipalidad	N	N;FEM;SG
市	municipio	市	municipio	N	N;MASC;SG
站	estacion	站	estacion	N	N;FEM;SG
站	estación	站	estación	N	N;FEM;SG
站	stand	站	stand	N	N;MASC;SG
州	state	州	state	N	N
州	estado	州	estado	N	N;MASC;SG
研究	estudiar	研究	estudiar	V	V;NFIN
研究	estudia	研究	estudiar	V	V;IND;SG;3;PRS;FIN
三	tres	三	tres	NUM	NUM;PL
家	hogar	家	hogar	N	N;MASC;SG
家	casa	家	casa	N	N;FEM;SG
家	inicio	家	inicio	N	N;MASC;SG
米	arroz	米	arroz	N	N;MASC;SG
米	metros	米	metro	N	N;MASC;PL
多	more	多	more		
使用	usando	使用	usar	V	V;V.MSDR
使用	utilizando	使用	utilizar	V	V;V.MSDR
使用	usar	使用	usar	V	V;NFIN
使用	utilizar	使用	utilizar	V	V;NFIN
公司	compañia	公司	compañia	N	N;FEM;SG
公司	empresa	公司	empresa	N	N;FEM;SG
公司	compañía	公司	compañía	N	N;FEM;SG
公司	companía	公司	companía	N	N;FEM;SG
公司	compañias	公司	compañia	N	N;FEM;PL
公司	empresas	公司	empresa	N	N;FEM;PL
公司	compañías	公司	compañía	N	N;FEM;PL
西	west	西	west	N	N;MASC;SG
西	occidente	西	occidente	N	N;MASC;SG
西	oeste	西	oeste	N	N;MASC;SG
省	provincia	省	provincia	N	N;FEM;SG
省	gobernación	省	gobernación	N	N;FEM;SG
省	voivodato	省	voivodato	N	N;MASC;SG
度	grados	度	grado	N	N;MASC;PL
度	títulos	度	título	N	N;MASC;PL
度	titulaciones	度	titulación	N	N;FEM;PL
度	grado	度	grado	N	N;MASC;SG
度	licenciatura	度	licenciatura	N	N;FEM;SG
二	dos	二	dos	NUM	NUM;PL
區	zona	區	zona	N	N;FEM;SG
區	zone	區	zone	N	N
區	distrito	區	distrito	N	N;MASC;SG
區	superficie	區	superficie	N	N;FEM;SG
區	zona	區	zona	N	N;FEM;SG
區	area	區	area	N	N;FEM;SG
區	área	區	área	N	N;FEM;SG
人口	demografía	人口	demografía	N	N;FEM;SG
人口	demografía	人口	demografía	N	N;FEM;SG
人口	población	人口	población	N	N;FEM;SG
四	cuatro	四	cuatro	NUM	NUM;PL
政府	gobiernos	政府	gobierno	N	N;MASC;PL
政府	gobierno	政府	gobierno	N	N;MASC;SG
集	conjunto	集	conjunto	N	N;MASC;SG
集	set	集	set	N	N;MASC;SG
集	plató	集	plató	N	N;MASC;SG
集	episodio	集	episodio	N	N;MASC;SG
世界	mundo	世界	mundo	N	N;MASC;SG
世界	world	世界	world	N	N
南	nan	南	nan	N	N
南	sur	南	sur	N	N;MASC;SG
路	road	路	road	N	N;MASC
路	camino	路	camino	N	N;MASC;SG
路	carretera	路	carretera	N	N;FEM;SG
五	cinco	五	cinco	NUM	NUM;PL
人民	pueblo	人民	pueblo	N	N;MASC;SG
人民	gente	人民	gente	N	N;FEM;SG
人民	personas	人民	persona	N	N;FEM;PL
包括	incluye	包括	incluir	V	V;IND;SG;3;PRS;FIN
包括	incluyen	包括	incluir	V	V;IND;PL;3;PRS;FIN
包括	incluya	包括	incluir	V	V;SBJV;SG;3;FIN
包括	incluyan	包括	incluir	V	V;IMP;PL;3;FIN
包括	incluir	包括	incluir	V	V;NFIN
包括	incluyendo	包括	incluir	V	V;V.MSDR
包括	incluye	包括	incluir	V	V;IND;SG;3;PRS;FIN
塔	pagoda	塔	pagodo	N	N;FEM;SG
塔	torre	塔	torre	N	N;FEM;SG
塔	tower	塔	tower	N	N;MASC;SG
縣	condado	縣	condado	N	N;MASC;SG
縣	cantón	縣	cantón	N	N;MASC;SG
