aturar	stå	aturar	stå	V	V;IMP;FIN;ACT
buratos	hål	burato	hål	N	N;NOM;INDF;NEUT;SG
saberán	vet	saber	veta	V	V;IND;PRS;FIN;ACT
saberán	veta	saber	veta	V	V;IMP;FIN;ACT
senso	förnuft	senso	förnuft	N	N;NOM;INDF;NEUT;SG
senso	vett	senso	vett	N	N;NOM;INDF;MASC+FEM;SG
patada	spark	patada	spark	N	N;NOM;INDF;MASC+FEM;SG
patada	kick	patada	kick	N	N;NOM;INDF;MASC+FEM;SG
canle	kanal	canle	kanal	N	N;NOM;INDF;MASC+FEM;SG
canle	channel	canle	channel	N	N;NOM;INDF;MASC+FEM;SG
canle	kanalen	canle	kanal	N	N;NOM;DEF;MASC+FEM;SG
canle	canal	canle	canal	N	N;NOM;INDF;MASC+FEM;SG
canle	kanal	canle	kanal	N	N;NOM;INDF;MASC+FEM;SG
canle	kanalen	canle	kanal	N	N;NOM;DEF;MASC+FEM;SG
gases	gaser	gas	gas	N	N;NOM;INDF;MASC+FEM;PL
gases	gas	gas	ga	N	N;NOM;INDF;MASC+FEM;SG
gases	gaser	gas	gas	N	N;NOM;INDF;MASC+FEM;PL
comparación	jämförelsen	comparación	jämförelse	N	N;NOM;DEF;MASC+FEM;SG
comparación	jämförelse	comparación	jämförelse	N	N;NOM;INDF;MASC+FEM;SG
vantaxe	övertag	vantaxe	övertag	N	N;NOM;INDF;NEUT;SG
vantaxe	fördelar	vantaxe	fördel	N	N;NOM;INDF;MASC+FEM;PL
vantaxe	fördel	vantaxe	fördel	N	N;NOM;INDF;MASC+FEM;SG
morrera	dog	morrera	dö	V	V;IMP;FIN;ACT
morrera	had	morrera	had	V	V;IMP;FIN;ACT
morrera	hadde	morrera	ha	V	V;IND;PST;FIN;ACT
morrera	hade	morrera	ha	V	V;IND;PST;FIN;ACT
morrera	haft	morrera	ha	V	V;V.CVB;ACT
cortinas	gardiner	cortina	gardin	N	N;NOM;INDF;MASC+FEM;PL
vasos	fartyg	vaso	fartyg	N	N;NOM;INDF;NEUT;SG
vasos	blodkärl	vaso	blodkärl	N	N;NOM;INDF;NEUT;PL
vasos	kärl	vaso	kärl	N	N;NOM;INDF;NEUT;SG
vasos	glasögon	vaso	glasögon	N	N;NOM;INDF;NEUT;PL
detén	slutar	detén	sluta	V	V;IND;PRS;FIN;ACT
detén	stoppar	detén	stoppa	V	V;IND;PRS;FIN;ACT
detén	stanna	detén	stanna	V	V;IMP;FIN;ACT
detén	sluta	detén	sluta	V	V;IMP;FIN;ACT
detén	stoppa	detén	stoppa	V	V;IMP;FIN;ACT
faltaba	saknar	faltar	sakna	V	V;IND;PRS;FIN;ACT
faltaba	saknas	faltar	sakna	V	V;NFIN;PASS
faltaba	saknade	faltar	sakna	V	V;IND;PST;FIN;ACT
ventre	magen	ventrar	mage	N	N;NOM;DEF;MASC+FEM;SG
ventre	mage	ventrar	mage	N	N;NOM;INDF;MASC+FEM;SG
ventre	magen	ventrar	mage	N	N;NOM;DEF;MASC+FEM;SG
ventre	mage	ventrar	mage	N	N;NOM;INDF;MASC+FEM;SG
ventre	sköte	ventrar	sköte	N	N;NOM;INDF;NEUT;SG
ventre	livmodern	ventrar	livmoder	N	N;NOM;DEF;MASC+FEM;SG
ventre	livmoder	ventrar	livmod	N	N;NOM;INDF;MASC+FEM;SG
esixe	krävs	esixir	kräva	V	V;IND;PRS;FIN;PASS
esixe	kräver	esixir	kräva	V	V;IND;PRS;FIN;ACT
febles	svagt	feble	svag	ADJ	ADJ;NOM;INDF;NEUT;SG
febles	klen	feble	kle	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
febles	svaga	feble	svag	ADJ	ADJ;NOM;PL
febles	svag	feble	svag	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
conduta	beteenden	conduta	beteende	N	N;NOM;INDF;NEUT;PL
conduta	beteende	conduta	beteende	N	N;NOM;INDF;NEUT;SG
conduta	uppförande	conduta	uppförande	N	N;NOM;INDF;NEUT;SG
corren	springa	currir	springa	V	V;IMP;FIN;ACT
corren	kör	currir	köra	V	V;IMP;FIN;ACT
gañaches	won	gañaches	won	N	N;NOM;INDF;NEUT;SG
gañaches	win	gañaches	pi	N	N;NOM;INDF;NEUT;SG
gañaches	vinst	gañaches	vinst	N	N;NOM;INDF;MASC+FEM;SG
bóla	bal	bóla	bal	N	N;NOM;INDF;MASC+FEM;SG
bóla	ball	bóla	ball	N	N;NOM;INDF;MASC+FEM;SG
bóla	boll	bóla	boll	N	N;NOM;INDF;MASC+FEM;SG
alerta	larm	alertar	larm	N	N;NOM;INDF;NEUT;SG
alerta	varning	alertar	varning	N	N;NOM;INDF;MASC+FEM;SG
alerta	alert	alertar	aler	N	N;NOM;INDF;MASC+FEM;SG
puxeches	gjorde	puxeche	göra	V	V;IND;PST;FIN;ACT
puxeches	lägger	puxeche	lägga	V	V;IND;PRS;FIN;ACT
puxeches	lägga	puxeche	lägga	V	V;IMP;FIN;ACT
puxeches	sätta	puxeche	sätta	V	V;IMP;NFIN;ACT
puxeches	lägg	puxeche	lägg	V	V;IMP;FIN;ACT
debate	debatt	debate	debatt	N	N;NOM;INDF;MASC+FEM;SG
debate	debatten	debate	debatt	N	N;NOM;DEF;MASC+FEM;SG
amos	masters	aro	mast	N	N;NOM;INDF;MASC+FEM;SG
amos	herrar	aro	herre	N	N;NOM;INDF;MASC+FEM;PL
amos	ägare	aro	gg	N	N;NOM;INDF;MASC+FEM;PL
amos	ägarna	aro	ägare	N	N;NOM;DEF;MASC+FEM;PL
lexión	legion	lexión	legion	N	N;NOM;INDF;MASC+FEM;SG
lexión	legionen	lexión	legion	N	N;NOM;DEF;MASC+FEM;SG
parados	stående	parado	stående	N	N;NOM;INDF;NEUT;SG
xornada	dag	xornada	dag	N	N;NOM;INDF;MASC+FEM;SG
xornada	dagen	xornada	dag	N	N;NOM;DEF;MASC+FEM;SG
