dari	از	dari	از	ADP	ADP
ini	این	ini	این	DET	DET
dengan	با	dengan	با	ADP	ADP
untuk	برای	untuk	برای	ADP	ADP
tahun	سال	tahun	سال	N;SG	N;SG
tahun	سال	tahun	سال	N;SG	N;SG
menjadi	بشوی	menjadi	بشو	V;SG;ACT	V;SBJV;SG;2;PRS
bagian	بخش	bagian	بخش	N;SG	N;SG
bagian	جزء	bagian	جزء	N;SG	N;SG
bagian	قسمت	bagian	قسمت	N;SG	N;SG
bagian	پارت	bagian	پارت	N;SG	N;SG
bagian	عورت	bagian	عورت	N;SG	N;SG
spesies	گونه	spesies	گونه	N;SG	N;SG
orang	شخص	orang	شخص	N;SG	N;SG
orang	مردم	orang	مردم	N;SG	N;SG
mereka	ایشان	mereka	ایشان	PRO;PL;3	PRO;PL;3
satu	یکی	satu	یک	NUM	NUM
satu	یک	satu	یک	NUM	NUM
memiliki	دارد	menmiliki	داشت#دار	V;SG;ACT	V;SG;3;PRS
kota	قریه	kota	قریه	N;SG	N;SG
kota	شهر	kota	شهر	N;SG	N;SG
kota	شهرک	kota	شهرک	N;SG	N;SG
kota	شهری	kota	شهر	N;SG	N;SG
kota	شهر	kota	شهر	N;SG	N;SG
kota	سیتی	kota	سیتی	N;SG	N;SG
kota	کوتا	kota	کوتا	N;SG	N;SG
pranala	پیوند	pranala	پیوند	N;SG	N;SG
pranala	لینک	pranala	لینک	N;SG	N;SG
pranala	ابرپیوند	pranala	ابرپیوند	N;SG	N;SG
karena	چون	karena	چون	CONJ	CONJ
desa	روستای	desa	روستا	N;SG	N;SG
desa	دهکده	desa	دهکده	N;SG	N;SG
desa	ویلیج	desa	ویلیج	N;SG	N;SG
desa	روستا	desa	روستا	N;SG	N;SG
lebih	دیگر	lebih	دیگر	ADV	ADV
nama	نام	nama	نام	N;SG	N;SG
kayu	چوبی	kayu	چوبی	N;SG	N;SG
kayu	وود	kayu	None	N;SG	N;SG
kayu	چوب	kayu	چوب	N;SG	N;SG
kayu	الوار	kayu	الر	N;SG	N;SG
kayu	الوار	kayu	الر	N;SG	N;SG
bahwa	که	bahwa	که	CONJ	CONJ
bahasa	زبان	bahasa	زبان	N;SG	N;SG
bahasa	زبان	bahasa	زبان	N;SG	N;SG
asteroid	سیارکها	asteroid	سیارک	N	N;PL
besar	بزرگ	besar	بزرگ	ADJ;SG	ADJ
besar	درشت	besar	درشت	ADJ;SG	ADJ
besar	بزرگ	besar	بزرگ	ADJ;SG	ADJ
besar	عالی	besar	عالی	ADJ;SG	ADJ
film	فیلمی	film	فیلم	N;SG	N;SG
film	فیلم	film	فیلم	N;SG	N;SG
film	فیلم	film	فیلم	N;SG	N;SG
film	سینما	film	سینما	N;SG	N;SG
film	فیلم	film	فیلم	N;SG	N;SG
saat	سات	saat	سات	N;SG	N;SG
kelas	کلاس	kelas	کلاس	N;SG	N;SG
kelas	رده	kelas	رده	N;SG	N;SG
kelas	ردۀ	kelas	ردۀ	N;SG	N;SG
kelas	کلاس	kelas	کلاس	N;SG	N;SG
kelas	class	kelas	class	N;SG	N;SG
kelas	کلاسی	kelas	کلاسی	N;SG	N;SG
kecamatan	منطقه	kecamatan	منطقه	N;SG	N;SG
kecamatan	ناحیه	kecamatan	ناحیه	N;SG	N;SG
kecamatan	بخش	kecamatan	بخش	N;SG	N;SG
salah	نادرست	salah	نادرست	N;SG	N;SG
salah	اشتباه	salah	اشتباه	N;SG	N;SG
salah	نادرست	salah	نادرست	N;SG	N;SG
salah	کاذب	salah	کاذب	N;SG	N;SG
salah	دروغین	salah	دروغین	N;SG	N;SG
salah	نادرست	salah	نادرست	N;SG	N;SG
salah	باطل	salah	None	N;SG	N;SG
salah	صلاح	salah	None	N;SG	N;SG
negara	کانتری	negara	کان	N;SG	N;SG
negara	کشوری	negara	کشوری	N;SG	N;SG
negara	کشور	negara	کشور	N;SG	N;SG
negara	مملکت	negara	مملکت	N;SG	N;SG
negara	ییلاق	negara	ییلاق	N;SG	N;SG
negara	حالت	negara	حالت	N;SG	N;SG
negara	استیت	negara	استیت	N;SG	N;SG
negara	دولت	negara	دولت	N;SG	N;SG
negara	وضعیت	negara	وضعیت	N;SG	N;SG
negara	ایالت	negara	ایالت	N;SG	N;SG
biasanya	معمولا	biasanya	معمولاً	ADV	ADV
biasanya	معمولا	biasanya	معمولاً	ADV	ADV
biasanya	معمولاً	biasanya	معمولاً	ADV	ADV
kemudian	پس	kemudian	پس	ADV	ADV
kemudian	بعدها	kemudian	بعد	ADV	ADV
kemudian	بعداً	kemudian	بعداً	ADV	ADV
banyak	بسیار	banyak	بسیار	ADV	ADV
banyak	بسیار	banyak	بسیار	ADV	ADV
kabupaten	رگنسی	kabupaten	رگنسی	N;SG	N;SG
kabupaten	شهرستان	kabupaten	شهرستان	N;SG	N;SG
kabupaten	کانتی	kabupaten	کانت#کان	N;SG	N;SG
kabupaten	منطقه	kabupaten	منطقه	N;SG	N;SG
kabupaten	ناحیه	kabupaten	ناحیه	N;SG	N;SG
kabupaten	بخش	kabupaten	بخش	N;SG	N;SG
kumbang	کفشدوزک	kumbang	کفشدوزک	N	N;SG
kumbang	سوسک	kumbang	سوسک	N	N;SG
lalat	پرواز	lalat	پرواز	N;SG	N;SG
lalat	مگس	lalat	مگس	N;SG	N;SG
isi	رضایت	isi	رضایت	N;SG	N;SG
