mistério	geheimnis	mistério	geheimnis	N;MASC;SG	N;NOM;NEUT;SG
legado	erbe	legado	erben	N;MASC;SG	N;NOM;NEUT;SG
revolucionário	revolutionär	revolucionário	revolutionär	ADJ;MASC;SG	ADJ
excesso	überschreitung	excesso	überschreitung	N;MASC;SG	N;NOM;FEM;SG
entradas	eingänge	entrada	eingäng	N;FEM;PL	N;NOM
ruim	schlecht	ruim	schlecht	ADJ;MASC;SG	ADJ
ruim	schlimm	ruim	schlimm	ADJ;MASC;SG	ADJ
ruim	schlechten	ruim	schlecht	ADJ;MASC;SG	ADJ
eficiente	effizient	eficiente	effizient	ADJ;MASC;SG	ADJ
eficiente	effizientes	eficiente	effizient	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
eficiente	effiziente	eficiente	effizient	ADJ;MASC;SG	ADJ;NOM;SG
hierarquia	rangordnung	hierarquia	rangordnung	N;FEM;SG	N;NOM;FEM;SG
demonstrar	nachweisen	demonstrar	nachweisen	V;NFIN	V;NFIN
demonstrar	demonstrieren	demonstrar	demonstrieren	V;NFIN	V;NFIN
premiação	prämien	premiação	prämien	N;FEM;SG	N;NOM
encontraram	gefunden	encontrar	finden	V;IND;PL;3;FIN	V;V.PTCP
encontraram	fanden	encontrar	finden	V;IND;PL;3;FIN	V;IND;PL;3;PST;FIN
complexos	komplexe	complexo	komplex	ADJ;MASC;PL	ADJ;NOM;FEM;PL
complexos	komplexer	complexo	komplex	ADJ;MASC;PL	ADJ
complexos	komplexe	complexo	komplex	ADJ;MASC;PL	ADJ;NOM;FEM;PL
complexos	komplex	complexo	komplex	ADJ;MASC;PL	ADJ
destacando	hervorheben	destacar	hervorheben	V;V.MSDR	V;NFIN
destacando	hervorzuheben	destacar	hervorguheben	V;V.MSDR	V;NFIN
crescer	anbauen	crescer	anbauen	V;NFIN	V;NFIN
crescer	wachsen	crescer	wachsen	V;NFIN	V;NFIN
crescer	wächst	crescer	wachsen	V;NFIN	V;IND;SG;3;PRS;FIN
organizou	organisierte	organizar	organisieren	V;IND;SG;3;PST;FIN	V;IND;SG;3;PST;FIN
organizou	veranstaltet	organizar	veranstalten	V;IND;SG;3;PST;FIN	V;V.PTCP
