ve	un	ve	un	CONJ	CONJ
bu	ka	bu	ka		
için	par	için	par		
daha	vairāk	daha	daudz	ADV	ADV;CMPR
sonra	tad	sonra	tad	ADV	ADV
sonra	vēlāk	sonra	vēlu	ADV	ADV;CMPR
yer	vieta	yer	vieta	N;NOM;SG;3	N;NOM;FEM;SG
yer	vieta	yer	vieta	N;NOM;SG;3	N;NOM;FEM;SG
yer	vieta	yer	vieta	N;NOM;SG;3	N;NOM;FEM;SG
yer	novietojums	yer	novietojums	N;NOM;SG;3	N;NOM;MASC;SG
bağlantılar	savienojumi	bağlantı	savienojums	N;NOM;PL;3	N;NOM;MASC;PL
bağlantılar	saites	bağlantı	saite	N;NOM;PL;3	N;NOM;FEM;PL
bağlantılar	kontakti	bağlantı	kontakts	N;NOM;PL;3	N;NOM;MASC;PL
center	centrs	center	centrs	N;NOM;SG;3	N;NOM;MASC;SG
diğer	pārējie	diğer	pārējs	ADJ	ADJ;NOM;MASC;PL
yeni	jauna	yeni	jauns	ADJ	ADJ;NOM;FEM;SG
yeni	jauni	yeni	jauns	ADJ	ADJ;NOM;MASC;PL
yeni	jauns	yeni	jauns	ADJ	ADJ;NOM;MASC;SG
yeni	jaunais	yeni	jauns	ADJ	ADJ;NOM;MASC;SG
yeni	jaunas	yeni	jauna	ADJ	ADJ;NOM;FEM;PL
ilgili	attiecīgais	ilgili	attiecīgs	ADJ	ADJ;NOM;MASC;SG
madde	viela	madde	viela	N;NOM;SG;3	N;NOM;FEM;SG
madde	materiāls	madde	materiāls	N;NOM;SG;3	N;NOM;MASC;SG
madde	raksts	madde	raksts	N;NOM;SG;3	N;NOM;MASC;SG
madde	izstrādājums	madde	izstrādājums	N;NOM;SG;3	N;NOM;MASC;SG
madde	pants	madde	pants	N;NOM;SG;3	N;NOM;MASC;SG
sağlık	veselība	sağlık	veselība	N;NOM;SG;3	N;NOM;FEM;SG
genel	vispārīgs	genel	vispārīgs	ADJ	ADJ;NOM;MASC;SG
genel	vispārējs	genel	vispārējs	ADJ	ADJ;NOM;MASC;SG
genel	vispārējais	genel	vispārējs	ADJ	ADJ;NOM;MASC;SG
genel	vispārējā	genel	vispārējs	ADJ	ADJ;NOM;FEM;SG
genel	vispārējais	genel	vispārējs	ADJ	ADJ;NOM;MASC;SG
adı	vārds	ad	vārds	N;NOM;SG;3	N;NOM;MASC;SG
adı	nosaukums	ad	nosaukums	N;NOM;SG;3	N;NOM;MASC;SG
ama	bet	ama	bet	CONJ	CONJ
ama	taču	ama	taču	CONJ	CONJ
ikinci	otrais	ikinci	otrais	ADJ	ADJ;NOM;DEF;MASC;SG
ikinci	otrie	ikinci	otrais	ADJ	ADJ;NOM;DEF;MASC;PL
