yleiset	frequentes	yleinen	frequente	ADJ;NOM;PL	ADJ;MASC;PL
key	chave	keydä	chave	N;NOM;SG	N;FEM;SG
key	tecla	keydä	tecla	N;NOM;SG	N;FEM;SG
key	key	keydä	key	N;NOM;SG	N;MASC;SG
perinteiset	tradicionais	perinteinen	tradicional	ADJ;NOM;PL	ADJ;MASC;PL
perinteiset	convencionais	perinteinen	convencional	ADJ;NOM;PL	ADJ;MASC;PL
susi	loba	susi	loba	N;NOM;SG	N;FEM;SG
susi	lobo	susi	lobo	N;NOM;SG	N;MASC;SG
susi	wolf	susi	wolf	N;NOM;SG	N;MASC;SG
korkeakoulu	university	korkea#koulu	university	N;NOM;SG	N;MASC;SG
korkeakoulu	universidade	korkea#koulu	universidade	N;NOM;SG	N;FEM;SG
korkeakoulu	faculdade	korkea#koulu	faculdade	N;NOM;SG	N;FEM;SG
korkeakoulu	colégio	korkea#koulu	colégio	N;NOM;SG	N;MASC;SG
korkeakoulu	college	korkea#koulu	college	N;NOM;SG	N;MASC;SG
korkeakoulu	universidade	korkea#koulu	universidade	N;NOM;SG	N;FEM;SG
huuliharppu	harmónica	huuli#harppu	harmónico	N;NOM;SG	N;FEM;SG
huuliharppu	gaita	huuli#harppu	gaita	N;NOM;SG	N;FEM;SG
kiva	boa	kiva	bom	ADJ;NOM;SG	ADJ;FEM;SG
kiva	bom	kiva	bom	ADJ;NOM;SG	ADJ;MASC;SG
kiva	legal	kiva	legal	ADJ;NOM;SG	ADJ;MASC;SG
hoidon	terapêutica	hoito	terapêutica	N;GEN;SG	N;FEM;SG
hoidon	terapia	hoito	terapia	N;GEN;SG	N;FEM;SG
hoidon	tratamento	hoito	tratamento	N;GEN;SG	N;MASC;SG
puhuttu	falou	puhua	falar	V;NOM;SG;V.PTCP;PASS	V;IND;SG;3;PST;FIN
puhuttu	falado	puhua	falar	V;NOM;SG;V.PTCP;PASS	V;MASC;SG;V.PTCP
puhuttu	falada	puhua	falar	V;NOM;SG;V.PTCP;PASS	V;FEM;SG;V.PTCP
kilpailijat	concorrentes	kilpailija	concorrente	N;NOM;PL	N;MASC;PL
kilpailijat	competidores	kilpailija	competidor	N;NOM;PL	N;MASC;PL
kilpailijat	concorrentes	kilpailija	concorrente	N;NOM;PL	N;MASC;PL
kilpailijat	competidores	kilpailija	competidor	N;NOM;PL	N;MASC;PL
kilpailijat	rivais	kilpailija	rival	N;NOM;PL	N;MASC;PL
rex	rex	rex	rex	N;NOM;SG	N;MASC;SG
käsikirja	manual	käsi#kirja	manual	N;NOM;SG	N;MASC;SG
käsikirja	manual	käsi#kirja	manual	N;NOM;SG	N;MASC;SG
järkeä	sentido	järki	sentido	N;PRT;SG	N;MASC;SG
järkeä	senso	järki	senso	N;PRT;SG	N;MASC;SG
angela	ângela	angela	ângela	N;NOM;SG	N;FEM;SG
angela	angela	angela	angela	N;NOM;SG	N;FEM;SG
vasili	vasily	vasili	vasily	N;NOM;SG	N;MASC;SG
vasili	basílio	vasili	basílio	N;NOM;SG	N;MASC;SG
etsivä	detective	etsivä	detective	N;NOM;SG	N;MASC;SG
etsivä	detetive	etsivä	detetive	N;NOM;SG	N;MASC;SG
maineen	maine	maine	maine	N;GEN;SG	N;MASC;SG
anita	anita	anittaa	anitar	N;NOM;SG	N;FEM;SG
ohittaa	sobrepor	ohittaa	sobrepor	V;IND;SG;PRS;FIN;ACT	V;NFIN
etäisyydet	distâncias	etäisyys	distância	N;NOM;PL	N;FEM;PL
lego	lego	lego	lego	N;NOM;SG	N;MASC;SG
lindberg	lindberg	lindberg	lindberg	N;NOM;SG	N;MASC;SG
ilmaisee	indica	ilmaista	indicar	V;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
ilmaisee	expressa	ilmaista	esprimir	V;IND;SG;3;PRS;FIN;ACT	V;FEM;SG;V.PTCP
ilmaisee	exprime	ilmaista	exprimir	V;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
aamuna	manhã	aamu	manhã	N;FRML;SG	N;FEM;SG
aamuna	morning	aamu	morning	N;FRML;SG	N;MASC;SG
rakenteita	estruturas	rakenne	estrutura	N;PRT;PL	N;FEM;PL
uhri	vitima	uhri	vitima	N;NOM;SG	N;FEM;SG
uhri	vítima	uhri	vítima	N;NOM;SG	N;FEM;SG
vettel	vettel	vettel	vettel	N;NOM;SG	N;MASC;SG
pääasiallisesti	principalmente	pää#asiallisesti	principalmente	ADV	ADV
pääasiallisesti	predominantemente	pää#asiallisesti	predominantemente	ADV	ADV
pääasiallisesti	principalmente	pää#asiallisesti	principalmente	ADV	ADV
pääasiallisesti	primariamente	pää#asiallisesti	primariamente	ADV	ADV
beta	beta	beta	beta	N;NOM;SG	N;MASC;SG
kristus	cristo	kristus	cristo	N;NOM;SG	N;MASC;SG
pakottaa	forçar	pakottaa	forçar	V;IND;SG;3;PRS;FIN;ACT	V;NFIN
toivoi	desejou	toivoa	desejar	V;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
hannah	hannah	hannah	hannah	N;NOM;SG	N;FEM;SG
kohtalon	destino	kohtalo	destino	N;GEN;SG	N;MASC;SG
kohtalon	destiny	kohtalo	destiny	N;GEN;SG	N;MASC;SG
kohtalon	destino	kohtalo	destino	N;GEN;SG	N;MASC;SG
kohtalon	fate	kohtalo	fate	N;GEN;SG	N;MASC;SG
katkesi	quebrou	katketa	quebrar	V;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
katkesi	partiu	katketa	partir	V;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
taiteellinen	artístico	taiteellinen	artístico	ADJ;NOM;SG	ADJ;MASC;SG
erityisiä	específicas	erityinen	específico	ADJ;PRT;PL	ADJ;FEM;PL
erityisiä	específicos	erityinen	específico	ADJ;PRT;PL	ADJ;MASC;PL
galaxy	galaxy	galaxy	galaxy	N;NOM;SG	N;MASC;SG
galaxy	galáxia	galaxy	galáxia	N;NOM;SG	N;FEM;SG
koripallo	basquete	kori#pallo	basquete	N;NOM;SG	N;MASC;SG
koripallo	basquetebol	kori#pallo	basquetebol	N;NOM;SG	N;MASC;SG
pystytetty	erguido	pystyttää	erguido	V;NOM;SG;V.PTCP;PASS	V;MASC;SG;V.PTCP
