jako	como	jako	como	CONJ	CONJ
roce	año	rok	año	N;INAN;GEN;MASC;SG;POS	N;MASC;SG
pro	para	pro	para	ADP;ACC	ADP
roku	roku	rok	roku	N;INAN;GEN;MASC;SG;POS	N;MASC;SG
roku	año	rok	año	N;INAN;GEN;MASC;SG;POS	N;MASC;SG
jsou	están	být	estar	V;IND;PL;3;POS;PRS;FIN;ACT	V;IND;PL;3;PRS;FIN
jeho	sus	jeho	su	DET;3	DET;PL;3
jeho	su	jeho	su	DET;3	DET;SG;3
jeho	sus	jeho	su	DET;3	DET;PL;3
jeho	su	jeho	su	DET;3	DET;SG;3
ale	sino	ale	sino	CONJ	CONJ
ale	pero	ale	pero	CONJ	CONJ
také	igualmente	také	igualmente	ADV	ADV
také	además	také	además	ADV	ADV
také	también	také	también	ADV	ADV
odkazy	referencias	odkaz	referencia	N;INAN;NOM;MASC;PL;POS	N;FEM;PL
odkazy	acoplamientos	odkaz	acoplamiento	N;INAN;NOM;MASC;PL;POS	N;MASC;PL
odkazy	vínculos	odkaz	vínculo	N;INAN;NOM;MASC;PL;POS	N;MASC;PL
odkazy	enlaces	odkaz	enlace	N;INAN;NOM;MASC;PL;POS	N;MASC;PL
odkazy	links	odkaz	link	N;INAN;NOM;MASC;PL;POS	N;MASC;PL
externí	externa	externí	externo	ADJ;NOM;MASC;SG;POS	ADJ;FEM;SG
externí	externo	externí	externo	ADJ;NOM;MASC;SG;POS	ADJ;MASC;SG
externí	exterior	externí	exterior	ADJ;NOM;MASC;SG;POS	ADJ;SG
team	equipo	team	equipo	N;INAN;NOM;MASC;SG;POS	N;MASC;SG
team	team	team	team	N;INAN;NOM;MASC;SG;POS	N
první	primera	první	primero	ADJ;NOM;MASC;SG	ADJ;FEM;SG
první	primer	první	primero	ADJ;NOM;MASC;SG	ADJ;MASC;SG
utc	utc	utc	utc	N;MASC;POS	N
mezi	entre	mezi	entre	ADP;ACC	ADP
mezi	entre	mezi	entre	ADP;ACC	ADP
zde	aquí	zde	aquí	ADV	ADV
zde	acá	zde	acá	ADV	ADV
let	años	rok	año	N;GEN;NEUT;PL;POS	N;MASC;PL
let	anos	rok	ano	N;GEN;NEUT;PL;POS	N;MASC;PL
místo	lugar	místo	lugar	N;NOM;NEUT;SG;POS	N;MASC;SG
místo	place	místo	place	N;NOM;NEUT;SG;POS	N
místo	lugar	místo	lugar	N;NOM;NEUT;SG;POS	N;MASC;SG
místo	ubicacion	místo	ubicacion	N;NOM;NEUT;SG;POS	N;FEM;SG
místo	ubicación	místo	ubicación	N;NOM;NEUT;SG;POS	N;FEM;SG
místo	emplazamiento	místo	emplazamiento	N;NOM;NEUT;SG;POS	N;MASC;SG
místo	localización	místo	localización	N;NOM;NEUT;SG;POS	N;FEM;SG
století	siglo	století	siglo	N;NOM;NEUT;SG;POS	N;MASC;SG
mba	máster	mba	máster	N;INAN;NOM;MASC;SG;POS	N;MASC;SG
mba	mba	mba	mba	N;INAN;NOM;MASC;SG;POS	N;MASC;SG
být	siendo	být	ser	V;POS;NFIN	V;V.MSDR
být	ser	být	ser	V;POS;NFIN	V;NFIN
pod	bajo	pod	bajo	ADP;ACC	ADP
další	próximo	další	próximo	ADJ;NOM;MASC;SG;POS	ADJ;MASC;SG
další	siguiente	další	siguiente	ADJ;NOM;MASC;SG;POS	ADJ;SG
další	próxima	další	próximo	ADJ;NOM;MASC;SG;POS	ADJ;FEM;SG
pak	luego	pak	luego	ADV	ADV
pak	entonces	pak	entonces	ADV	ADV
jejich	sus	jeho	su	DET;3	DET;PL;3
jejich	su	jeho	su	DET;3	DET;SG;3
již	ya	již	ya	ADV	ADV
když	cuando	když	cuando	CONJ	CONJ
české	checa	český	checo	ADJ;NOM;MASC;SG;POS	ADJ;FEM;SG
později	posteriormente	pozdě	posteriormente	ADV;CMPR;POS	ADV
později	después	pozdě	después	ADV;CMPR;POS	ADV
nad	nad	nad	nad		
nad	supra	nad	supro		
září	setiembre	září	setiembre	N;NOM;NEUT;SG;POS	N
září	septiembre	září	septiembre	N;NOM;NEUT;SG;POS	N
města	ciudades	město	ciudad	N;NOM;NEUT;PL;POS	N;FEM;PL
města	pueblos	město	pueblo	N;NOM;NEUT;PL;POS	N;MASC;PL
města	ciudades	město	ciudad	N;NOM;NEUT;PL;POS	N;FEM;PL
území	territorio	území	territorio	N;NOM;NEUT;SG;POS	N;MASC;SG
může	puede	moci	poder	V;IND;SG;3;POS;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
český	checa	český	checo	ADJ;INAN;NOM;MASC;SG;POS	ADJ;FEM;SG
pouze	únicamente	pouze	únicamente	ADV	ADV
pouze	solo	pouze	solo	ADV	ADV
pouze	sólo	pouze	sólo	ADV	ADV
pouze	solamente	pouze	solamente	ADV	ADV
články	articulos	článek	articulo	N;INAN;NOM;MASC;PL;POS	N;MASC;PL
články	artículos	článek	artículo	N;INAN;NOM;MASC;PL;POS	N;MASC;PL
během	durante	během	durante	ADP;GEN	ADP
její	su	jeho	su	DET;NOM;FEM;SG;3	DET;SG;3
její	su	jeho	su	DET;NOM;FEM;SG;3	DET;SG;3
proti	contra	proti	contra	ADP;DAT	ADP
část	part	část	part	N;NOM;FEM;SG;POS	N
část	parte	část	parte	N;NOM;FEM;SG;POS	N;FEM;SG
části	repuestos	část	repuesto	N;NOM;FEM;PL;POS	N;MASC;PL
části	piezas	část	pieza	N;NOM;FEM;PL;POS	N;FEM;PL
části	partes	část	parte	N;NOM;FEM;PL;POS	N;FEM;PL
října	octubre	říjen	octubre	N;INAN;GEN;MASC;SG;POS	N
listopadu	noviembre	listopad	noviembre	N;INAN;GEN;MASC;SG;POS	N
března	marcha	březen	marcha	N;INAN;GEN;MASC;SG;POS	N;FEM;SG
března	marzo	březen	marzo	N;INAN;GEN;MASC;SG;POS	N
bar	barra	bar	barra	N;INAN;NOM;MASC;SG;POS	N;FEM;SG
bar	bar	bar	bar	N;INAN;NOM;MASC;SG;POS	N;MASC;SG
obce	ayuntamientos	obec	ayuntamiento	N;NOM;FEM;PL;POS	N;MASC;PL
obce	municipios	obec	municipio	N;NOM;FEM;PL;POS	N;MASC;PL
obce	municipalidades	obec	municipalidad	N;NOM;FEM;PL;POS	N;FEM;PL
obce	comunas	obec	comuna	N;NOM;FEM;PL;POS	N;FEM;PL
obce	comunidades	obec	comunidad	N;NOM;FEM;PL;POS	N;FEM;PL
text	text	text	text	N;INAN;NOM;MASC;SG;POS	N
text	texto	text	texto	N;INAN;NOM;MASC;SG;POS	N;MASC;SG
text	letra	text	letra	N;INAN;NOM;MASC;SG;POS	N;FEM;SG
více	más	hodně	más	ADV;CMPR;POS	ADV
více	mas	hodně	mas	ADV;CMPR;POS	ADV
město	pueblo	město	pueblo	N;NOM;NEUT;SG;POS	N;MASC;SG
město	ciudad	město	ciudad	N;NOM;NEUT;SG;POS	N;FEM;SG
město	ciudad	město	ciudad	N;NOM;NEUT;SG;POS	N;FEM;SG
související	asociado	související	asociado	ADJ;IPFV;NOM;MASC;SG;POS;PRS;V.PTCP;ACT	ADJ;MASC;SG;V.PTCP
související	asociada	související	asociado	ADJ;IPFV;NOM;MASC;SG;POS;PRS;V.PTCP;ACT	ADJ;FEM;SG;V.PTCP
související	relacionada	související	relacionado	ADJ;IPFV;NOM;MASC;SG;POS;PRS;V.PTCP;ACT	ADJ;FEM;SG;V.PTCP
související	conexo	související	conexo	ADJ;IPFV;NOM;MASC;SG;POS;PRS;V.PTCP;ACT	ADJ;MASC;SG
související	relacionado	související	relacionado	ADJ;IPFV;NOM;MASC;SG;POS;PRS;V.PTCP;ACT	ADJ;MASC;SG;V.PTCP
ještě	todavía	ještě	todavía	ADV	ADV
ještě	aún	ještě	aún	ADV	ADV
května	mayo	květen	mayo	N;INAN;GEN;MASC;SG;POS	N
ledna	enero	leden	enero	N;INAN;GEN;MASC;SG;POS	N
velmi	muy	velmi	mucho	ADV	ADV
dubna	abril	duben	abril	N;INAN;GEN;MASC;SG;POS	N
poté	después	poté	después	ADV	ADV
srpna	agosto	srpen	agosto	N;INAN;GEN;MASC;SG;POS	N
název	nombre	název	nombre	N;INAN;NOM;MASC;SG;POS	N;MASC;SG
název	name	název	name	N;INAN;NOM;MASC;SG;POS	N
název	denominación	název	denominación	N;INAN;NOM;MASC;SG;POS	N;FEM;SG
název	titulo	název	titulo	N;INAN;NOM;MASC;SG;POS	N;MASC;SG
název	título	název	título	N;INAN;NOM;MASC;SG;POS	N;MASC;SG
měl	tuvo	mít	tener	V;MASC;SG;POS;PST;V.PTCP;ACT	V;IND;SG;3;PST;FIN
hlavní	principal	hlavní	principal	ADJ;NOM;MASC;SG;POS	ADJ;SG
přes	mediante	přes	mediante	ADP;ACC	ADP
prosince	diciembre	prosinec	diciembre	N;INAN;GEN;MASC;SG;POS	N
což	cual	což	cual	PRO;NOM	PRO;SG
února	febrero	únor	febrero	N;INAN;GEN;MASC;SG;POS	N
bez	sin	bez	sin	ADP;GEN	ADP
úmrtí	fallecimiento	úmrtí	fallecimiento	N;NOM;NEUT;SG;POS	N;MASC;SG
úmrtí	death	úmrtí	death	N;NOM;NEUT;SG;POS	N
úmrtí	muerte	úmrtí	muerte	N;NOM;NEUT;SG;POS	N;FEM;SG
úmrtí	defunción	úmrtí	defunción	N;NOM;NEUT;SG;POS	N;FEM;SG
dva	dos	dva	dos	NUM;NOM;MASC;PL	NUM;PL
července	julio	červenec	julio	N;INAN;GEN;MASC;SG;POS	N
června	junio	červen	junio	N;INAN;GEN;MASC;SG;POS	N
seznam	lista	seznam	lista	N;INAN;NOM;MASC;SG;POS	N;FEM;SG
datum	cita	datum	cita	N;NOM;NEUT;SG;POS	N;FEM;SG
datum	fecha	datum	fecha	N;NOM;NEUT;SG;POS	N;FEM;SG
období	periodo	období	periodo	N;NOM;NEUT;SG;POS	N;MASC;SG
období	período	období	período	N;NOM;NEUT;SG;POS	N;MASC;SG
protože	porque	protože	porque	CONJ	CONJ
roky	años	rok	año	N;INAN;NOM;MASC;PL;POS	N;MASC;PL
roky	anos	rok	ano	N;INAN;NOM;MASC;PL;POS	N;MASC;PL
diskuse	debate	diskuse	debate	N;NOM;FEM;SG;POS	N;MASC;SG
diskuse	discusión	diskuse	discusión	N;NOM;FEM;SG;POS	N;FEM;SG
diskuse	debate	diskuse	debate	N;NOM;FEM;SG;POS	N;MASC;SG
války	guerras	válka	guerra	N;NOM;FEM;PL;POS	N;FEM;PL
oblasti	regiones	oblast	región	N;NOM;FEM;PL;POS	N;FEM;PL
oblasti	zonas	oblast	zona	N;NOM;FEM;PL;POS	N;FEM;PL
oblasti	áreas	oblast	área	N;NOM;FEM;PL;POS	N;FEM;PL
oblasti	zonas	oblast	zona	N;NOM;FEM;PL;POS	N;FEM;PL
oblasti	areas	oblast	area	N;NOM;FEM;PL;POS	N;FEM;PL
druhé	segunda	druhý	segundo	ADJ;NOM;NEUT;SG	ADJ;FEM;SG
druhé	segundo	druhý	segundo	ADJ;NOM;NEUT;SG	ADJ;MASC;SG
česká	checa	český	checo	ADJ;NOM;FEM;SG;POS	ADJ;FEM;SG
soubor	fichero	soubor	fichero	N;INAN;NOM;MASC;SG;POS	N;MASC;SG
soubor	expediente	soubor	expediente	N;INAN;NOM;MASC;SG;POS	N;MASC;SG
soubor	archivo	soubor	archivo	N;INAN;NOM;MASC;SG;POS	N;MASC;SG
ani	ni	ani	ni	CONJ	CONJ
tři	tres	tři	tres	NUM;NOM;PL	NUM;PL
kostel	iglesia	kostel	iglesia	N;INAN;NOM;MASC;SG;POS	N;FEM;SG
počet	número	počet	número	N;INAN;NOM;MASC;SG;POS	N;MASC;SG
počet	numero	počet	numero	N;INAN;NOM;MASC;SG;POS	N;MASC;SG
skupiny	group	skupina	group	N;NOM;FEM;PL;POS	N
skupiny	grupos	skupina	grupo	N;NOM;FEM;PL;POS	N;MASC;PL
skupiny	agrupaciones	skupina	agrupación	N;NOM;FEM;PL;POS	N;FEM;PL
často	frecuentemente	často	frecuentemente	ADV;POS	ADV
často	frecuentemente	často	frecuentemente	ADV;POS	ADV
stránky	páginas	stránka	página	N;NOM;FEM;PL;POS	N;FEM;PL
stránky	paginas	stránka	pagina	N;NOM;FEM;PL;POS	N;FEM;PL
stránky	sitios	stránka	sitio	N;NOM;FEM;PL;POS	N;MASC;PL
stránky	emplazamientos	stránka	emplazamiento	N;NOM;FEM;PL;POS	N;MASC;PL
stránky	page	stránka	pager	N;NOM;FEM;PL;POS	N
patří	pertenece	patřit	pertenecer	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
oficiální	oficial	oficiální	oficial	ADJ;NOM;MASC;SG;POS	ADJ;SG
získal	adquirió	získat	adquirir	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;IND;SG;3;PST;FIN
