ini	इस	ini	यह	DET	DET;ACC;SG;3
adalah	हैं	adalah	है	V	V;IND;PL;3;PRS;FIN;ACT
tahun	वर्ष	tahun	वर्ष	N;SG	N;NOM;MASC;SG;3
tahun	साल	tahun	साल	N;SG	N;NOM;MASC;SG;3
tahun	वर्ष	tahun	वर्ष	N;SG	N;NOM;MASC;SG;3
tahun	साल	tahun	साल	N;SG	N;NOM;MASC;SG;3
tidak	नहीं	tidak	नहीं	PART;NEG	PART;NEG
menjadi	होने	menjadi	हो	V;SG;ACT	V;MASC;NFIN;ACT
menjadi	बनने	menjadi	बन	V;SG;ACT	V;NFIN;ACT
itu	उस	itu	वह	DET	DET;ACC;SG;3
bagian	धारा	bagian	धारा	N;SG	N;NOM;FEM;SG;3
bagian	खंड	bagian	खंड	N;SG	N;NOM;MASC;SG;3
bagian	अनुभाग	bagian	अनुभाग	N;SG	N;NOM;MASC;SG;3
bagian	खण्ड	bagian	खण्ड	N;SG	N;NOM;MASC;SG;3
bagian	हिस्से	bagian	हिस्सा	N;SG	N;NOM;MASC;SG;3
bagian	हिस्सा	bagian	हिस्सा	N;SG	N;NOM;MASC;SG;3
bagian	खण्ड	bagian	खण्ड	N;SG	N;NOM;MASC;SG;3
bagian	अनुभाग	bagian	अनुभाग	N;SG	N;NOM;MASC;SG;3
bagian	पार्ट्स	bagian	पार्ट्स	N;SG	N;NOM;MASC;SG;3
spesies	प्रजाति	spesies	प्रजाति	N;SG	N;NOM;FEM;SG;3
orang	व्यक्ति	orang	व्यक्ति	N;SG	N;NOM;MASC;SG;3
satu	एक	satu	एक	NUM	NUM
kota	बस्ती	kota	बस्ती	N;SG	N;NOM;FEM;SG;3
kota	नगर	kota	नगर	N;SG	N;NOM;MASC;SG;3
kota	कस्बा	kota	कस्बा	N;SG	N;NOM;MASC;SG;3
kota	शहर	kota	शहर	N;SG	N;NOM;MASC;SG;3
kota	सिटी	kota	सिटी	N;SG	N;NOM;FEM;SG;3
kota	नगर	kota	नगर	N;SG	N;NOM;MASC;SG;3
kota	शहर	kota	शहर	N;SG	N;NOM;MASC;SG;3
pranala	लिंक	pranala	लिंक	N;SG	N;NOM;MASC;SG;3
pranala	लिंक	pranala	लिंक	N;SG	N;NOM;MASC;SG;3
pranala	लिंक्स	pranala	लिंक्स	N;SG	N;NOM;FEM;SG;3
pranala	हाइपरलिंक	pranala	हाइपरलिंक	N;SG	N;NOM;MASC;SG;3
karena	क्योंकि	karena	क्योंकि	CONJ	CONJ
desa	गांव	desa	गाँव	N;SG	N;NOM;MASC;SG;3
nama	नाम	nama	नाम	N;SG	N;NOM;MASC;SG;3
kayu	लकड़ी	kayu	लकडी	N;SG	N;NOM;FEM;SG;3
bahasa	भाषा	bahasa	भाषा	N;SG	N;NOM;FEM;SG;3
bahasa	भाषा	bahasa	भाषा	N;SG	N;NOM;FEM;SG;3
asteroid	क्षुद्रग्रह	asteroid	क्षुद्रग्रह	N	N;NOM;MASC;SG;3
asteroid	क्षुद्रग्रह	asteroid	क्षुद्रग्रह	N	N;NOM;MASC;SG;3
besar	बड़ा	besar	बड़ा	ADJ;SG	ADJ;NOM;MASC;SG
besar	बड़ी	besar	बडा	ADJ;SG	ADJ;NOM;FEM;SG
besar	विशाल	besar	विशाल	ADJ;SG	ADJ;NOM
besar	बड़ा	besar	बड़ा	ADJ;SG	ADJ;NOM;MASC;SG
