lui	그의	el	그+의	PRO;3	PRO
lea	리아	lea	리아		
lea	레아	lea	레아		
regiunea	지방	regiune	지방	N;DEF;FEM;SG	N
regiunea	지역	regiune	지역	N;DEF;FEM;SG	N
locuitori	주민들	locuitor	주민+들	N;INDF;MASC;PL	N
legaturi	연결	legatură	연결	N;INDF;FEM;PL	N
dar	그런데	dar	그런데	CONJ;POS	CONJ
dar	그러나	dar	그러나	CONJ;POS	CONJ
dar	하지만	dar	하지만	CONJ;POS	CONJ
cod	코드	cod	코드		
populatie	인구순	populatie	인구순	N;INDF;FEM;SG	N
populatie	인구	populatie	인구	N;INDF;FEM;SG	N
romania	루마니아인	romanie	루마니아인	N;DEF;FEM;SG	N
romania	루마니아인	romanie	루마니아인	N;DEF;FEM;SG	N
lista	목록	listă	목록	N;DEF;FEM;SG	N
lista	명단	listă	명단	N;DEF;FEM;SG	N
lista	목록	listă	목록	N;DEF;FEM;SG	N
lista	명단	listă	명단	N;DEF;FEM;SG	N
nume	이름	nume	이름	N;INDF	N
pana	깃털	pană	깃털	N;DEF;FEM;SG	N
poate	아마도	poate	아마도	ADV	ADV
poate	아마	poate	아마	ADV	ADV
poate	아마도	poate	아마도	ADV	ADV
poate	아마	poate	아마	ADV	ADV
cand	언제	cand	언제		
cand	언제	cand	언제		
regiune	지방	regiune	지방	N;INDF;FEM;SG	N
regiune	지역	regiune	지역	N;INDF;FEM;SG	N
parte	부분	parte	부분	N;INDF;FEM;SG	N
parte	부품	parte	부품	N;INDF;FEM;SG	N
centura	벨트	centură	벨트	N;DEF;FEM;SG	N
centura	벨트	centură	벨트	N;DEF;FEM;SG	N
dinastia	왕조	dinastie	왕조	N;DEF;FEM;SG	N
timp	시간	timp	시간	N;INDF;MASC;SG	N
unde	어디서	unde	어디+서	ADV	ADV
unde	어디에	unde	어디+에	ADV	ADV
unde	어디로	unde	어디+로	ADV	ADV
majoritatea	대부분의	majoritate	대부분+의	N;DEF;FEM;SG	N
majoritatea	대부분	majoritate	대부분	N;DEF;FEM;SG	N
densitate	밀도	densitate	밀도	N;INDF;FEM;SG	N
limba	언어	limbă	언어	N;DEF;FEM;SG	N
limba	언어	limbă	언어	N;DEF;FEM;SG	N
sat	마을	sat	마을	N;INDF;MASC;SG	N
martie	행진	martie	행진	N;INDF;MASC;SG	N
biserica	교회	biserică	교회	N;DEF;FEM;SG	N
biserica	교회	biserică	교회	N;DEF;FEM;SG	N
fisier	파일	fisier	파일	N;INDF;MASC;SG	N
fisier	파일	fisier	파일	N;INDF;MASC;SG	N
imagine	사진	imagine	사진	N;INDF;FEM;SG	N
imagine	그림	imagine	그림	N;INDF;FEM;SG	N
imagine	그림	imagine	그림	N;INDF;FEM;SG	N
statul	상태	stat	상태	N;DEF;MASC;SG	N
statul	국가	stat	국가	N;DEF;MASC;SG	N
numele	이름	nume	이름	N;DEF;MASC;SG	N
timpul	시간	timp	시간	N;DEF;MASC;SG	N
nord	북부	nord	북부	N;INDF;MASC;SG	N
nord	북쪽	nord	북+쪽	N;INDF;MASC;SG	N
loc	장소	loc	장소	N;INDF;MASC;SG	N
doar	오직	doar	오직	ADV	ADV
doar	단지	doar	단지	ADV	ADV
doar	그냥	doar	그냥	ADV	ADV
editura	출판사	editură	출판사	N;DEF;FEM;SG	N
editura	출판	editură	출판	N;DEF;FEM;SG	N
recensamantului	인구조사	recensamant	인구+조사	N;DEF;MASC;SG	N
asteroizi	소행성	asteroid	소행성	N;INDF;MASC;PL	N
discutie	논의	discutie	논의	N;INDF;FEM;SG	N
discutie	논의	discutie	논의	N;INDF;FEM;SG	N
discutie	논의	discutie	논의	N;INDF;FEM;SG	N
partea	부분	parte	부분	N;DEF;FEM;SG	N
partea	부품	parte	부품	N;DEF;FEM;SG	N
mult	많이	mult	많이	ADV	ADV
mult	훨씬	mult	훨씬	ADV	ADV
departamentul	부서	departament	부서	N;DEF;MASC;SG	N
foarte	아주	foarte	아주	ADV	ADV
foarte	매우	foarte	매우	ADV	ADV
data	데이트	dată	데이트	N;DEF;FEM;SG	N
data	자료	dată	자료	N;DEF;FEM;SG	N
data	데이터	dată	데이터	N;DEF;FEM;SG	N
data	데이트	dată	데이트	N;DEF;FEM;SG	N
departament	부서	departament	부서	N;INDF;MASC;SG	N
grup	집단	grup	집단	N;INDF;MASC;SG	N
locul	장소	loc	장소	N;DEF;MASC;SG	N
oras	시내	oras	시내	N;INDF;MASC;SG	N
oras	도시	oras	도시	N;INDF;MASC;SG	N
oras	마을	oras	마을	N;INDF;MASC;SG	N
oras	도시	oras	도시	N;INDF;MASC;SG	N
oras	시내	oras	시내	N;INDF;MASC;SG	N
oras	도시	oras	도시	N;INDF;MASC;SG	N
oras	마을	oras	마을	N;INDF;MASC;SG	N
oras	도시	oras	도시	N;INDF;MASC;SG	N
oras	시내	oras	시내	N;INDF;MASC;SG	N
oras	도시	oras	도시	N;INDF;MASC;SG	N
oras	마을	oras	마을	N;INDF;MASC;SG	N
oras	도시	oras	도시	N;INDF;MASC;SG	N
satul	마을	sat	마을	N;DEF;MASC;SG	N
perioada	기간	perioadă	기간	N;DEF;FEM;SG	N
perioada	시대	perioadă	시대	N;DEF;FEM;SG	N
perioada	기간	perioadă	기간	N;DEF;FEM;SG	N
perioada	시대	perioadă	시대	N;DEF;FEM;SG	N
minoritate	소수	minoritate	소수	N;INDF;FEM;SG	N
cadrul	프레임워크	cadru	프레임워크	N;DEF;MASC;SG	N
razboi	전쟁	razboi	전쟁	N;INDF;MASC;SG	N
razboi	전쟁	razboi	전쟁	N;INDF;MASC;SG	N
romana	루마니아인	romană	루마니아인	N;DEF;FEM;SG	N
roman	루마니아인	roman	루마니아인	N;INDF;MASC;SG	N
roman	소설	roman	소설	N;INDF;MASC;SG	N
existand	기존	existand	기존		
specie	종족	specie	종족	N;INDF;FEM;SG	N
stat	상태	stat	상태	N;INDF;MASC;SG	N
stat	국가	stat	국가	N;INDF;MASC;SG	N
secolul	세기	secol	세기	N;DEF;MASC;SG	N
life	라이프	life	라이프		
resedinta	주택	resedinta	주택	N;DEF;FEM;SG	N
resedinta	주택	resedinta	주택	N;DEF;FEM;SG	N
resedinta	주택	resedinta	주택	N;DEF;FEM;SG	N
orasul	도시	oras	도시	N;DEF;MASC;SG	N
orasul	시내	oras	시내	N;DEF;MASC;SG	N
orasul	도시	oras	도시	N;DEF;MASC;SG	N
orasul	마을	oras	마을	N;DEF;MASC;SG	N
orasul	도시	oras	도시	N;DEF;MASC;SG	N
chiar	심지어	chiar	심지어	ADV	ADV
film	영화	film	영화	N;INDF;MASC;SG	N
film	필름	film	필름	N;INDF;MASC;SG	N
film	영화	film	영화	N;INDF;MASC;SG	N
vorbitori	스피커	vorbitor	스피커	N;INDF;MASC;PL	N
date	데이트	dată	데이트	N;INDF;FEM;PL	N
date	자료	dată	자료	N;INDF;FEM;PL	N
date	데이터	dată	데이터	N;INDF;FEM;PL	N
aici	여기에	aici	여기+에	ADV	ADV
fata	얼굴	fată	얼굴	N;DEF;FEM;SG	N
