hän	그녀는	hän	그녀+는	PRO;NOM;SG;3	PRO
kello	시계	kello	시계	N;NOM;SG	N
kello	시계	kello	시계	N;NOM;SG	N
kello	클럭	kello	클럭	N;NOM;SG	N
mutta	그런데	mutta	그런데	CONJ	CONJ
mutta	그러나	mutta	그러나	CONJ	CONJ
mutta	하지만	mutta	하지만	CONJ	CONJ
kanssa	함께	kanssa	함께	ADV	ADV
hänen	그의	hän	그+의	PRO;GEN;SG;3	PRO
hänen	그녀의	hän	그녀+의	PRO;GEN;SG;3	PRO
mukaan	함께	mukaan	함께	ADV	ADV
vain	오직	vain	오직	ADV	ADV
vain	단지	vain	단지	ADV	ADV
vain	그냥	vain	그냥	ADV	ADV
hänet	그를	hän	그+를	PRO;ACC;SG;3	PRO
tulos	결과	tulos	결과	N;NOM;SG	N
tulos	결과	tulos	결과	N;NOM;SG	N
tulos	결과	tulos	결과	N;NOM;SG	N
myöhemmin	나중에	myöhemmin	나중+에	ADV	ADV
ennen	전에	ennen	전+에	ADV	ADV
osa	부분	osa	부분	N;NOM;SG	N
osa	부품	osa	부품	N;NOM;SG	N
osa	일부	osa	일부	N;NOM;SG	N
eri	다르다	eri	다르+다	ADJ	ADJ
keskustelu	대화	keskustelu	대화	N;NOM;SG	N
keskustelu	논의	keskustelu	논의	N;NOM;SG	N
keskustelu	논쟁	keskustelu	논쟁	N;NOM;SG	N
keskustelu	채팅	keskustelu	채팅	N;NOM;SG	N
maaliskuuta	행진	maaliskuu	행진	N;PRT;SG	N
vielä	아직도	vielä	아직도	ADV	ADV
vielä	여전히	vielä	여전+히	ADV	ADV
vielä	아직	vielä	아직	ADV	ADV
kauden	계절	kausi	계절	N;GEN;SG	N
nimi	이름	nimi	이름	N;NOM;SG	N
seura	회사	seura	회사	N;NOM;SG	N
seura	기업	seura	기업	N;NOM;SG	N
hyvin	아주	hyvin	아주	ADV	ADV
hyvin	매우	hyvin	매우	ADV	ADV
usein	자주	usein	자주	ADV	ADV
usein	자주	usein	자주	ADV	ADV
kuva	사진	kuva	사진	N;NOM;SG	N
kuva	그림	kuva	그림	N;NOM;SG	N
kuva	사진	kuva	사진	N;NOM;SG	N
kuva	그림	kuva	그림	N;NOM;SG	N
mukana	함께	mukana	함께	ADV	ADV
alus	선박	alus	선박	N;NOM;SG	N
alus	선박	alus	선박	N;NOM;SG	N
alkoi	시작되었습니다	alkaa	시작+되+었+습니다	V;IND;SG;3;PST;FIN;ACT	V
alkoi	시작했습니다	alkaa	시작+하+었+습니다	V;IND;SG;3;PST;FIN;ACT	V
alkoi	시작됨	alkaa	시작+되+ㄴ	V;IND;SG;3;PST;FIN;ACT	V
yleensä	일반적으로	yleensä	일반+적+으로	ADV	ADV
yleensä	일반적으로	yleensä	일반+적+으로	ADV	ADV
ajan	시간	aika	시간	N;GEN;SG	N
paljon	많이	paljon	많이	ADV	ADV
paljon	훨씬	paljon	훨씬	ADV	ADV
saa	받기	saada	받+기	V;IND;SG;0;PRS;FIN;ACT	V
niiden	그들의	se	그+들+의	PRO;GEN;PL	PRO
aloitti	시작되었습니다	aloittaa	시작+되+었+습니다	V;IND;SG;3;PST;FIN;ACT	V
aloitti	시작했습니다	aloittaa	시작+하+었+습니다	V;IND;SG;3;PST;FIN;ACT	V
aloitti	시작됨	aloittaa	시작+되+ㄴ	V;IND;SG;3;PST;FIN;ACT	V
venäjän	러시아인	venäjä	러시아인	N;GEN;SG	N
pohjois	북부	pohjois	북부	N;NOM;SG	N
pohjois	북쪽	pohjois	북+쪽	N;NOM;SG	N
pohjois	북부	pohjois	북부	N;NOM;SG	N
maalit	목표	maali	목표	N;NOM;PL	N
yhdessä	함께	yhdessä	함께	ADV	ADV
yhdessä	같이	yhdessä	같이	ADV	ADV
näyttelijä	배우	näyttelijä	배우	N;NOM;SG	N
näyttelijä	여배우	näyttelijä	여배우	N;NOM;SG	N
näyttelijä	배우	näyttelijä	배우	N;NOM;SG	N
aina	항상	aina	항상	ADV	ADV
aina	언제나	aina	언제나	ADV	ADV
maan	지구	maa	지구	N;GEN;SG	N
maan	나라	maa	나라	N;GEN;SG	N
maan	국가	maa	국가	N;GEN;SG	N
elokuva	영화	elo#kuva	영화	N;NOM;SG	N
elokuva	필름	elo#kuva	필름	N;NOM;SG	N
