con	ar	con	ar	ADP	ADP
categoría	kategoriju	categoría	kategorija	N;FEM;SG	N;ACC;FEM;SG
categoría	kategorija	categoría	kategorija	N;FEM;SG	N;NOM;FEM;SG
categoría	kategorijā	categoría	kategorija	N;FEM;SG	N;ESS;FEM;SG
para	priekš	para	priekš	ADP	ADP
fue	tika	ser	tikt	V;IND;SG;3;PST;FIN	V;FH;IND;3;POS;PST;FIN;ACT
más	vairāk	más	daudz	ADV	ADV;CMPR
también	pārāk	también	pārāk	ADV	ADV
entre	starp	entre	starp	ADP	ADP
este	šī	este	šī	PRO;MASC;SG	PRO;NOM;FEM;SG
este	šo	este	šis	PRO;MASC;SG	PRO;ACC;MASC;SG
este	šis	este	šis	PRO;MASC;SG	PRO;NOM;MASC;SG
este	tas	este	tas	PRO;MASC;SG	PRO;NOM;MASC;SG
pero	bet	pero	bet	CONJ	CONJ
pero	taču	pero	taču	CONJ	CONJ
años	gadus	año	gads	N;MASC;PL	N;ACC;MASC;PL
años	gadi	año	gads	N;MASC;PL	N;NOM;MASC;PL
años	gadiem	año	gads	N;MASC;PL	N;DAT;MASC;PL
dos	divas	dos	divas	NUM;PL	NUM;NOM;FEM;PL
dos	divus	dos	divi	NUM;PL	NUM;ACC;MASC;PL
dos	divi	dos	divi	NUM;PL	NUM;NOM;MASC;PL
año	gadu	año	gads	N;MASC;SG	N;ACC;MASC;SG
año	gads	año	gads	N;MASC;SG	N;NOM;MASC;SG
desde	kopš	desde	kopš	ADP	ADP
esta	šī	este	šī	PRO;FEM;SG	PRO;NOM;FEM;SG
esta	šo	este	šis	PRO;FEM;SG	PRO;ACC;MASC;SG
esta	šis	este	šis	PRO;FEM;SG	PRO;NOM;MASC;SG
esta	tas	este	tas	PRO;FEM;SG	PRO;NOM;MASC;SG
enlaces	saites	enlace	saite	N;MASC;PL	N;NOM;FEM;PL
ciudad	pilsēta	ciudad	pilsēta	N;FEM;SG	N;NOM;FEM;SG
ciudad	pilsēta	ciudad	pilsēta	N;FEM;SG	N;NOM;FEM;SG
ser	tiek	ser	tikt	V;NFIN	V;FH;IND;3;POS;PRS;FIN;ACT
parte	ballīte	parte	ballīte	N;FEM;SG	N;NOM;FEM;SG
