एक	satu	एक	satu	NUM	NUM
श्रेणी	deret	श्रेणी	deret	N;NOM;FEM;SG;3	N;SG
श्रेणी	seri	श्रेणी	seri	N;NOM;FEM;SG;3	N;SG
इस	ini	यह	ini	DET;ACC;SG;3	DET
हैं	adalah	है	adalah	V;IND;PL;3;PRS;FIN;ACT	V
रूप	formulir	रूप	formulir	N;NOM;MASC;SG;3	N
रूप	bentuk	रूप	bentuk	N;NOM;MASC;SG;3	N;SG
रूप	penampilan	रूप	pentampilan	N;NOM;MASC;SG;3	N;SG
रूप	tampilan	रूप	tampilan	N;NOM;MASC;SG;3	N;SG
नहीं	bukan	नहीं	bukan	PART;NEG	PART;NEG
नहीं	tidak	नहीं	tidak	PART;NEG	PART;NEG
बाद	kemudian	बाद	kemudian	ADV;NOM;MASC;SG;3	ADV
जिले	distrik	जिला	distrik	N;NOM;MASC;SG;3	N;SG
राज्य	negara	राज्य	negara	N;NOM;MASC;SG;3	N;SG
राज्य	negara	राज्य	negara	N;NOM;MASC;SG;3	N;SG
राज्य	keadaan	राज्य	keadaan	N;NOM;MASC;SG;3	N;SG
कुछ	beberapa	कुछ	beberapa	DET	DET
सरकार	pemerintah	सरकार	penperintah	N;NOM;FEM;SG;3	N;SG
सरकार	pemerintahan	सरकार	penperintahan	N;NOM;FEM;SG;3	N;SG
कड़ियाँ	link	कड़ी	link	N;NOM;FEM;PL;3	N
प्रदेश	daerah	प्रदेश	daerah	N;NOM;MASC;SG;3	N;SG
प्रदेश	wilayah	प्रदेश	wilayah	N;NOM;MASC;SG;3	N;SG
प्रदेश	region	प्रदेश	region	N;NOM;MASC;SG;3	N
प्रदेश	kawasan	प्रदेश	kawasan	N;NOM;MASC;SG;3	N;SG
अन्य	lainnya	अन्य	lainnya	N;NOM;MASC;SG;3	N
अन्य	lainnya	अन्य	lainnya	N;NOM;MASC;SG;3	N
वर्ष	tahun	वर्ष	tahun	N;NOM;MASC;SG;3	N;SG
वर्ष	tahun	वर्ष	tahun	N;NOM;MASC;SG;3	N;SG
समय	kali	समय	kali	N;NOM;MASC;SG;3	N;SG
समय	waktu	समय	waktu	N;NOM;MASC;SG;3	N;SG
समय	waktunya	समय	waktu	N;NOM;MASC;SG;3	N;SG
नाम	nama	नाम	nama	N;NOM;MASC;SG;3	N;SG
प्रकार	jenis	प्रकार	jenis	N;NOM;MASC;SG;3	N;SG
प्रकार	jenis	प्रकार	jenis	N;NOM;MASC;SG;3	N;SG
प्रकार	tipe	प्रकार	tipe	N;NOM;MASC;SG;3	N;SG
प्रकार	jenis	प्रकार	jenis	N;NOM;MASC;SG;3	N;SG
प्रकार	tipe	प्रकार	tipe	N;NOM;MASC;SG;3	N;SG
क्षेत्र	daerah	क्षेत्र	daerah	N;NOM;MASC;SG;3	N;SG
क्षेत्र	wilayah	क्षेत्र	wilayah	N;NOM;MASC;SG;3	N;SG
क्षेत्र	luas	क्षेत्र	luas	N;NOM;MASC;SG;3	N;SG
क्षेत्र	kawasan	क्षेत्र	kawasan	N;NOM;MASC;SG;3	N;SG
क्षेत्र	area	क्षेत्र	area	N;NOM;MASC;SG;3	N;SG
क्षेत्र	daerah	क्षेत्र	daerah	N;NOM;MASC;SG;3	N;SG
क्षेत्र	wilayah	क्षेत्र	wilayah	N;NOM;MASC;SG;3	N;SG
क्षेत्र	region	क्षेत्र	region	N;NOM;MASC;SG;3	N
क्षेत्र	kawasan	क्षेत्र	kawasan	N;NOM;MASC;SG;3	N;SG
