この	aquesta	この	aquest	DET	DET;FEM;SG
この	aquest	この	aquest	DET	DET;MASC;SG
もの	coses	もの	cosa	N	N;FEM;PL
大学	universitats	大学	universitat	N	N;FEM;PL
大学	universitat	大学	universitat	N	N;FEM;SG
テレビ	televisions	テレビ	televisió	N	N;FEM;PL
テレビ	televisió	テレビ	televisió	N	N;FEM;SG
削除	elimina	削除	eliminar	V	V;IND;SG;3;PRS;FIN
削除	esborra	削除	esborra	V	V;IND;SG;3;PRS;FIN
学校	escoles	学校	escola	N	N;FEM;PL
学校	escola	学校	escola	N	N;FEM;SG
これ	això	これ	això	PRO	PRO;SG
世界	món	世界	món	N	N;MASC;SG
でも	però	でも	però	CONJ	CONJ
作品	obres	作品	obra	N	N;FEM;PL
作品	discografia	作品	discografia	N	N;FEM;SG
映画	cinema	映画	cinema	N	N;MASC;SG
映画	film	映画	film	N	N;MASC;SG
監督	director	監督	director	N	N;MASC;SG
監督	directora	監督	directora	N	N;FEM;SG
監督	realitzador	監督	realitzador	N	N;MASC;SG
監督	supervisió	監督	supervisió	N	N;FEM;SG
鉄道	ferrocarril	鉄道	ferrocarril	N	N;MASC;SG
鉄道	ferrocarrils	鉄道	ferrocarril	N	N;MASC;PL
鉄道	ferrocarril	鉄道	ferrocarril	N	N;MASC;SG
使用	usa	使用	usar	V	V;IND;SG;3;PRS;FIN
時間	hora	時間	hora	N	N;FEM;SG
時間	temps	時間	temps	N	N;MASC
開始	comença	開始	començar	V	V;IND;SG;3;PRS;FIN
シリーズ	sèries	シリーズ	sèrie	N	N;FEM;PL
記事	article	記事	article	N	N;MASC;SG
記事	història	記事	història	N	N;FEM;SG
記事	històries	記事	història	N	N;FEM;PL
記事	relats	記事	relat	N	N;MASC;PL
記事	articles	記事	article	N	N;MASC;PL
選手	jugadors	選手	jugador	N	N;MASC;PL
選手	esportistes	選手	esportista	N	N;PL
選手	atletes	選手	atleta	N	N;MASC;PL
しかし	però	しかし	però	CONJ	CONJ
大会	conveni	大会	conveni	N	N;MASC;SG
大会	convenció	大会	convenció	N	N;FEM;SG
チーム	equips	チーム	equip	N	N;MASC;PL
チーム	equip	チーム	equip	N	N;MASC;SG
作詞	lletres	作詞	lletra	N	N;FEM;PL
作詞	lletra	作詞	lletra	N	N;FEM;SG
所属	pertanyen	所属	pertànyer	V	V;IND;PL;3;PRS;FIN
結果	resultat	結果	resultat	N	N;MASC;SG
結果	resultats	結果	resultat	N	N;MASC;PL
アルバム	àlbum	アルバム	àlbum	N	N;MASC;SG
アルバム	àlbums	アルバム	àlbum	N	N;MASC;PL
ゲーム	partida	ゲーム	partida	N	N;FEM;SG
ゲーム	joc	ゲーム	joc	N	N;MASC;SG
ゲーム	jocs	ゲーム	joc	N	N;MASC;PL
問題	problema	問題	problema	N	N;MASC;SG
問題	problemes	問題	problema	N	N;MASC;PL
問題	qüestions	問題	qüestió	N	N;FEM;PL
リーグ	lliga	リーグ	lliga	N	N;FEM;SG
リーグ	lligues	リーグ	lliga	N	N;FEM;PL
利用	bescanviar	利用	bescanviar	V	V;NFIN
事業	negoci	事業	negoci	N	N;MASC;SG
事業	negocis	事業	negoci	N	N;MASC;PL
音楽	música	音楽	música	N	N;FEM;SG
転送	transmetre	転送	transmetre	V	V;NFIN
情報	informació	情報	informació	N	N;FEM;SG
参加	uneix	参加	unir	V	V;IND;SG;3;PRS;FIN
地域	regions	地域	regió	N	N;FEM;PL
地域	regió	地域	regió	N	N;FEM;SG
変更	canvia	変更	canviar	V	V;IND;SG;3;PRS;FIN
関係	relacions	関係	relació	N	N;FEM;PL
クラブ	club	クラブ	club	N	N;MASC;SG
クラブ	clubs	クラブ	club	N	N;MASC;PL
中央	centre	中央	centre	N	N;MASC;SG
中央	centre	中央	centre	N	N;MASC;SG
教育	educació	教育	educació	N	N;FEM;SG
編集	edita	編集	editar	V	V;IND;SG;3;PRS;FIN
シーズン	temporada	シーズン	temporada	N	N;FEM;SG
シーズン	temporades	シーズン	temporada	N	N;FEM;PL
シーズン	estacions	シーズン	estació	N	N;FEM;PL
ファイル	fitxers	ファイル	fitxer	N	N;MASC;PL
ファイル	arxius	ファイル	arxiu	N	N;MASC;PL
ファイル	arxiu	ファイル	arxiu	N	N;MASC;SG
ファイル	fitxer	ファイル	fitxer	N	N;MASC;SG
都市	ciutat	都市	ciutat	N	N;FEM;SG
都市	ciutats	都市	ciutat	N	N;FEM;PL
会社	companyia	会社	companyia	N	N;FEM;SG
会社	empresa	会社	empresa	N	N;FEM;SG
会社	empreses	会社	empresa	N	N;FEM;PL
会社	companyies	会社	companyia	N	N;FEM;PL
世紀	segles	世紀	segle	N	N;MASC;PL
世紀	segle	世紀	segle	N	N;MASC;SG
ノート	quaderns	ノート	quadern	N	N;MASC;PL
ノート	llibretes	ノート	llibreta	N	N;FEM;PL
ノート	notes	ノート	nota	N	N;FEM;PL
ノート	llibreta	ノート	llibreta	N	N;FEM;SG
社会	societat	社会	societat	N	N;FEM;SG
社会	societats	社会	societat	N	N;FEM;PL
シングル	single	シングル	single	N	N;MASC;SG
センター	centre	センター	centre	N	N;MASC;SG
センター	centre	センター	centre	N	N;MASC;SG
終了	abandona	終了	abandonar	V	V;IND;SG;3;PRS;FIN
終了	finalitza	終了	finalitzar	V	V;IND;SG;3;PRS;FIN
中心	centre	中心	centre	N	N;MASC;SG
中心	centre	中心	centre	N	N;MASC;SG
内容	contingut	内容	contingut	N	N;MASC;SG
内容	continguts	内容	contingut	N	N;MASC;PL
文化	cultura	文化	cultura	N	N;FEM;SG
ドラマ	drama	ドラマ	drama	N	N;MASC;SG
ドラマ	drames	ドラマ	drama	N	N;MASC;PL
撮影	fotografia	撮影	fotografiar	V	V;IND;SG;3;PRS;FIN
選手権	campionats	選手権	campionat	N	N;MASC;PL
選手権	campionat	選手権	campionat	N	N;MASC;SG
選手権	championship	選手権	championship	N	N;MASC;SG
野球	beisbol	野球	beisbol	N	N;MASC;SG
指定	especifica	指定	especificar	V	V;IND;SG;3;PRS;FIN
指定	especificar	指定	especificar	V	V;NFIN
人物	persona	人物	persona	N	N;FEM;SG
公開	publicarà	公開	publicar	V	V;IND;SG;3;FUT;FIN
アニメ	anime	アニメ	anime	N	N;MASC;SG
確認	confirmar	確認	confirmar	V	V;NFIN
確認	confirma	確認	confirmar	V	V;IND;SG;3;PRS;FIN
歴史	història	歴史	història	N	N;FEM;SG
選挙	eleccions	選挙	elecció	N	N;FEM;PL
計画	planificació	計画	planificació	N	N;FEM;SG
計画	planejament	計画	planejament	N	N;MASC;SG
計画	pla	計画	pla	N	N;MASC;SG
計画	plans	計画	pla	N	N;MASC;PL
経済	economies	経済	economia	N	N;FEM;PL
経済	economia	経済	economia	N	N;FEM;SG
ページ	pàgines	ページ	pàgina	N	N;FEM;PL
教授	catedràtic	教授	catedràtic	N	N;MASC;SG
教授	professor	教授	professor	N	N;MASC;SG
ラジオ	ràdio	ラジオ	ràdio	N	N;FEM;SG
劇場	teatre	劇場	teatre	N	N;MASC;SG
劇場	teatre	劇場	teatre	N	N;MASC;SG
グループ	grup	グループ	grup	N	N;MASC;SG
グループ	grups	グループ	grup	N	N;MASC;PL
英語	anglès	英語	anglès	N	N;MASC;SG
女性	dones	女性	dona	N	N;FEM;PL
地区	districte	地区	districte	N	N;MASC;SG
得点	puntuació	得点	puntuació	N	N;FEM;SG
コメント	comentari	コメント	comentari	N	N;MASC;SG
コメント	comentaris	コメント	comentari	N	N;MASC;PL
コメント	observacions	コメント	observació	N	N;FEM;PL
漫画	còmics	漫画	còmic	N	N;MASC;PL
