年	год	年	год	N	N;INAN;NOM;MASC;SG
月	луна	月	луна	N	N;INAN;NOM;FEM;SG
月	луну	月	луна	N	N;INAN;ACC;FEM;SG
月	месяца	月	месяц	N	N;INAN;GEN;MASC;SG
月	месяцы	月	месяц	N	N;INAN;NOM;MASC;PL
月	месяцев	月	месяц	N	N;INAN;GEN;MASC;PL
月	месяц	月	месяц	N	N;INAN;NOM;MASC;SG
月	месяца	月	месяц	N	N;INAN;GEN;MASC;SG
村	деревне	村	деревня	N	N;INAN;DAT;FEM;SG
村	село	村	село	N	N;INAN;NOM;NEUT;SG
村	деревня	村	деревня	N	N;INAN;NOM;FEM;SG
人	мужик	人	мужик	N	N;ANIM;NOM;MASC;SG
人	человек	人	человек	N	N;ANIM;NOM;MASC;SG
人	мужчина	人	мужчина	N	N;ANIM;NOM;MASC;SG
人	народ	人	народ	N	N;INAN;NOM;MASC;SG
人	людей	人	человек	N	N;ANIM;GEN;MASC;PL
人	люди	人	человек	N	N;ANIM;NOM;MASC;PL
一	один	一	один	NUM	NUM;NOM;MASC
定	направленная	定	направить	V	V;PFV;NOM;FEM;SG;PST;V.PTCP;PASS
定	направленный	定	направить	V	V;PFV;NOM;MASC;SG;PST;V.PTCP;PASS
定	направленное	定	направить	V	V;PFV;NOM;NEUT;SG;PST;V.PTCP;PASS
也	также	也	также	ADV	ADV
留言	сообщение	留言	сообщение	N	N;INAN;NOM;NEUT;SG
留言	послание	留言	послание	N	N;INAN;NOM;NEUT;SG
市	город	市	город	N	N;INAN;NOM;MASC;SG
市	города	市	город	N	N;INAN;NOM;MASC;PL
市	муниципалитет	市	муниципалитет	N	N;INAN;NOM;MASC;SG
站	станция	站	станция	N	N;INAN;NOM;FEM;SG
站	вокзал	站	вокзал	N	N;INAN;NOM;MASC;SG
站	станции	站	станция	N	N;INAN;NOM;FEM;PL
站	стенд	站	стенд	N	N;INAN;NOM;MASC;SG
州	штат	州	штат	N	N;INAN;NOM;MASC;SG
州	состояние	州	состояние	N	N;INAN;NOM;NEUT;SG
州	государство	州	государство	N	N;INAN;NOM;NEUT;SG
三	три	三	три	NUM	NUM;NOM
三	трое	三	трое	NUM	NUM;NOM
家	дом	家	дом	N	N;INAN;NOM;MASC;SG
米	рис	米	рис	N	N;INAN;NOM;MASC;SG
米	метров	米	метр	N	N;INAN;GEN;MASC;PL
使用	используя	使用	использовать	V	V;IPFV;PRS;V.CVB;ACT
使用	используйте	使用	использовать	V	V;IPFV;IMP;PL;2;FIN;ACT
使用	использовать	使用	использовать	V	V;IPFV;NFIN;ACT
使用	используется	使用	использовать	V	V;IPFV;IND;SG;3;PRS;FIN;PASS
使用	использовано	使用	использовать	V	V;PFV;NEUT;SG;PST;V.PTCP;PASS
使用	используемый	使用	использовать	V	V;IPFV;NOM;MASC;SG;PRS;V.PTCP;PASS
使用	используемые	使用	использовать	V	V;IPFV;NOM;PL;PRS;V.PTCP;PASS
使用	использован	使用	использовать	V	V;PFV;MASC;SG;PST;V.PTCP;PASS
公司	компания	公司	компания	N	N;INAN;NOM;FEM;SG
公司	рота	公司	рот	N	N;INAN;NOM;FEM;SG
公司	компании	公司	компания	N	N;INAN;NOM;FEM;PL
公司	компаниям	公司	компания	N	N;INAN;DAT;FEM;PL
公司	компании	公司	компания	N	N;INAN;NOM;FEM;PL
公司	компаний	公司	компания	N	N;INAN;GEN;FEM;PL
一	один	一	один	NUM	NUM;NOM;MASC
西	запад	西	запад	N	N;INAN;NOM;MASC;SG
西	вест	西	вест	N	N;INAN;NOM;MASC;SG
省	область	省	область	N	N;INAN;NOM;FEM;SG
省	провинция	省	провинция	N	N;INAN;NOM;FEM;SG
省	мухафазе	省	мухафаз	N	N;INAN;NOM;FEM;SG
省	воеводство	省	воеводство	N	N;INAN;NOM;NEUT;SG
度	градусов	度	градус	N	N;INAN;GEN;MASC;PL
度	степени	度	степень	N	N;INAN;NOM;FEM;PL
度	степень	度	степень	N	N;INAN;NOM;FEM;SG
度	степени	度	степень	N	N;INAN;NOM;FEM;PL
二	два	二	два	NUM	NUM;NOM;MASC
二	две	二	два	NUM	NUM;NOM;FEM
二	двое	二	двое	NUM	NUM;NOM
區	зона	區	зона	N	N;INAN;NOM;FEM;SG
區	зоны	區	зона	N	N;INAN;NOM;FEM;PL
區	округ	區	округ	N	N;INAN;NOM;MASC;SG
區	район	區	район	N	N;INAN;NOM;MASC;SG
區	область	區	область	N	N;INAN;NOM;FEM;SG
區	район	區	район	N	N;INAN;NOM;MASC;SG
區	площадь	區	площадь	N	N;INAN;NOM;FEM;SG
人口	население	人口	население	N	N;INAN;NOM;NEUT;SG
人口	демографии	人口	демография	N	N;INAN;NOM;FEM;PL
人口	населения	人口	население	N	N;INAN;GEN;NEUT;SG
人口	население	人口	население	N	N;INAN;NOM;NEUT;SG
四	четверо	四	четверо	NUM	NUM;NOM
四	четыре	四	четыре	NUM	NUM;NOM
政府	правительств	政府	правительство	N	N;INAN;GEN;NEUT;PL
政府	правительства	政府	правительство	N	N;INAN;NOM;NEUT;PL
政府	правительствам	政府	правительство	N	N;INAN;DAT;NEUT;PL
政府	правительство	政府	правительство	N	N;INAN;NOM;NEUT;SG
集	комплект	集	комплект	N	N;INAN;NOM;MASC;SG
集	сет	集	сет	N	N;INAN;NOM;MASC;SG
集	набор	集	набор	N	N;INAN;NOM;MASC;SG
集	серия	集	серия	N	N;INAN;NOM;FEM;SG
集	эпизод	集	эпизод	N	N;INAN;NOM;MASC;SG
世界	мир	世界	мир	N	N;INAN;NOM;MASC;SG
南	юг	南	юг	N	N;INAN;NOM;MASC;SG
南	дн	南	дно	N	N;INAN;NOM;FEM;SG
路	дорога	路	дорога	N	N;INAN;NOM;FEM;SG
路	роуд	路	роуд	N	N;INAN;NOM;MASC;SG
五	пятеро	五	пятеро	NUM	NUM;NOM
五	пять	五	пять	NUM	NUM;NOM
文	вен	文	вена	N	N;INAN;GEN;FEM;PL
人民	народ	人民	народ	N	N;INAN;NOM;MASC;SG
人民	людей	人民	человек	N	N;ANIM;GEN;MASC;PL
人民	люди	人民	человек	N	N;ANIM;NOM;MASC;PL
包括	включенные	包括	включить	V	V;PFV;NOM;PL;PST;V.PTCP;PASS
包括	включено	包括	включить	V	V;PFV;NEUT;SG;PST;V.PTCP;PASS
包括	включить	包括	включить	V	V;PFV;NFIN;ACT
包括	включать	包括	включать	V	V;IPFV;NFIN;ACT
包括	включает	包括	включать	V	V;IPFV;IND;SG;3;PRS;FIN;ACT
塔	пагода	塔	пагода	N	N;INAN;NOM;FEM;SG
塔	башня	塔	башня	N	N;INAN;NOM;FEM;SG
塔	тауэр	塔	тауэр	N	N;INAN;NOM;MASC;SG
縣	графство	縣	графство	N	N;INAN;NOM;NEUT;SG
縣	округе	縣	округ	N	N;INAN;ESS;MASC;SG
縣	округ	縣	округ	N	N;INAN;NOM;MASC;SG
縣	кантон	縣	кантон	N	N;INAN;NOM;MASC;SG
任	рен	任	ренец	N	N;INAN;NOM;MASC;SG
時間	время	時間	время	N	N;INAN;NOM;NEUT;SG
時間	времени	時間	время	N	N;INAN;GEN;NEUT;SG
時間	тайм	時間	тайма	N	N;INAN;NOM;MASC;SG
六	шесть	六	шесть	NUM	NUM;NOM
六	шестеро	六	шестеро	NUM	NUM;NOM
城	город	城	город	N	N;INAN;NOM;MASC;SG
城	города	城	город	N	N;INAN;NOM;MASC;PL
城	замок	城	замок	N	N;INAN;NOM;MASC;SG
中心	центров	中心	центр	N	N;INAN;GEN;MASC;PL
中心	центры	中心	центр	N	N;INAN;NOM;MASC;PL
中心	центр	中心	центр	N	N;INAN;NOM;MASC;SG
中心	центр	中心	центр	N	N;INAN;NOM;MASC;SG
線	линии	線	линия	N	N;INAN;NOM;FEM;PL
線	строка	線	строка	N	N;INAN;NOM;FEM;SG
線	линия	線	линия	N	N;INAN;NOM;FEM;SG
線	строк	線	строка	N	N;INAN;GEN;FEM;PL
線	линии	線	линия	N	N;INAN;NOM;FEM;PL
線	линий	線	линия	N	N;INAN;GEN;FEM;PL
線	строки	線	строка	N	N;INAN;NOM;FEM;PL
線	нитки	線	нитка	N	N;INAN;NOM;FEM;PL
線	нити	線	нить	N	N;INAN;NOM;FEM;PL
線	нить	線	нить	N	N;INAN;NOM;FEM;SG
山	горы	山	гора	N	N;INAN;NOM;FEM;PL
山	гора	山	гора	N	N;INAN;NOM;FEM;SG
山	горы	山	гора	N	N;INAN;NOM;FEM;PL
山	гора	山	гора	N	N;INAN;NOM;FEM;SG
山	маунт	山	маунт	N	N;INAN;NOM;MASC;SG
山	холм	山	холм	N	N;INAN;NOM;MASC;SG
山	горы	山	гора	N	N;INAN;NOM;FEM;PL
太空	пространство	太空	пространство	N	N;INAN;NOM;NEUT;SG
太空	космос	太空	космос	N	N;INAN;NOM;MASC;SG
自己	себя	自己	себя	PRO	PRO;ACC
管理	управлять	管理	управлять	V	V;IPFV;NFIN;ACT
成	стать	成	стать	V	V;PFV;NFIN;MID
成	стань	成	стань	V	V;PFV;IMP;SG;2;FIN;ACT
建	строить	建	строить	V	V;IPFV;NFIN;ACT
建	построить	建	строить	V	V;PFV;NFIN;ACT
建	построенный	建	строить	V	V;PFV;NOM;MASC;SG;PST;V.PTCP;PASS
建	построено	建	строить	V	V;PFV;NEUT;SG;PST;V.PTCP;PASS
建	построена	建	строить	V	V;PFV;FEM;SG;PST;V.PTCP;PASS
建	построенные	建	строить	V	V;PFV;NOM;PL;PST;V.PTCP;PASS
建	построен	建	строить	V	V;PFV;MASC;SG;PST;V.PTCP;PASS
建	построили	建	строить	V	V;PFV;IND;PL;PST;FIN;ACT
性	сексуальность	性	сексуальность	N	N;INAN;NOM;FEM;SG
性	секс	性	секс	N	N;INAN;NOM;MASC;SG
代表	представителям	代表	представитель	N	N;ANIM;DAT;MASC;PL
代表	представителей	代表	представитель	N	N;ANIM;ACC;MASC;PL
代表	представители	代表	представитель	N	N;ANIM;NOM;MASC;PL
代表	представитель	代表	представитель	N	N;ANIM;NOM;MASC;SG
代表	представителю	代表	представитель	N	N;ANIM;DAT;MASC;SG
代表	представителя	代表	представитель	N	N;ANIM;ACC;MASC;SG
代表	делегат	代表	делегат	N	N;ANIM;NOM;MASC;SG
公里	километров	公里	километр	N	N;INAN;GEN;MASC;PL
公里	километр	公里	километр	N	N;INAN;NOM;MASC;SG
公里	км	公里	километр	N	N;INAN;GEN;MASC;PL
公里	километров	公里	километр	N	N;INAN;GEN;MASC;PL
海	моря	海	море	N	N;INAN;NOM;NEUT;PL
海	море	海	море	N	N;INAN;NOM;NEUT;SG
海	океан	海	океан	N	N;INAN;NOM;MASC;SG
海	океана	海	океан	N	N;INAN;GEN;MASC;SG
這	это	這	это	PRO	PRO;INAN;NOM;NEUT;SG
大學	университеты	大學	университет	N	N;INAN;NOM;MASC;PL
大學	университет	大學	университет	N	N;INAN;NOM;MASC;SG
大學	коллегия	大學	коллегия	N	N;INAN;NOM;FEM;SG
大學	колледж	大學	колледж	N	N;INAN;NOM;MASC;SG
版	издание	版	издание	N	N;INAN;NOM;NEUT;SG
版	версии	版	версия	N	N;INAN;NOM;FEM;PL
版	версия	版	версия	N	N;INAN;NOM;FEM;SG
從	от	從	от	ADP	ADP
從	из	從	из	ADP	ADP
工作	работа	工作	работа	N	N;INAN;NOM;FEM;SG
工作	работа	工作	работа	N	N;INAN;NOM;FEM;SG
工作	работы	工作	работа	N	N;INAN;NOM;FEM;PL
工作	труд	工作	труд	N	N;INAN;NOM;MASC;SG
工作	вакансии	工作	вакансия	N	N;INAN;NOM;FEM;PL
工作	работа	工作	работа	N	N;INAN;NOM;FEM;SG
北	кита	北	кит	N	N;ANIM;ACC;MASC;SG
北	север	北	север	N	N;INAN;NOM;MASC;SG
北	норт	北	норт	N	N;INAN;NOM;MASC;SG
政治	политики	政治	политика	N	N;ANIM;NOM;MASC;PL
政治	политика	政治	политика	N	N;INAN;NOM;FEM;SG
星	звезда	星	звезда	N	N;ANIM;NOM;FEM;SG
星	звёзды	星	звезда	N	N;ANIM;NOM;MASC;PL
星	звезды	星	звезда	N	N;INAN;NOM;FEM;PL
她	она	她	она	PRO;3	PRO;NOM;FEM;SG;3
他	его	他	он	PRO;3	PRO;ACC;MASC;SG;3
面	лапша	面	лапша	N	N;INAN;NOM;FEM;SG
面	лапшу	面	лапша	N	N;INAN;ACC;FEM;SG
河	река	河	река	N	N;INAN;NOM;FEM;SG
河	реки	河	река	N	N;INAN;NOM;FEM;PL
文化	культура	文化	культура	N	N;INAN;NOM;FEM;SG
文化	культур	文化	культура	N	N;INAN;GEN;FEM;PL
文化	культуры	文化	культура	N	N;INAN;NOM;FEM;SG
條目	записи	條目	запись	N	N;INAN;NOM;FEM;PL
馬	коней	馬	конь	N	N;ANIM;GEN;FEM;PL
馬	кони	馬	конь	N	N;ANIM;NOM;MASC;PL
馬	лошадей	馬	лошадь	N	N;ANIM;GEN;FEM;PL
馬	лошади	馬	лошадь	N	N;ANIM;NOM;FEM;PL
馬	лошадь	馬	лошадь	N	N;ANIM;NOM;FEM;SG
馬	лошадка	馬	лошадка	N	N;INAN;NOM;FEM;SG
馬	конь	馬	конь	N	N;ANIM;NOM;MASC;SG
氏	клан	氏	клан	N	N;INAN;NOM;MASC;SG
氏	тхи	氏	тхи	N	N;INAN;NOM;FEM;SG
更	более	更	более	ADV	ADV;CMPR
更	больше	更	больше	ADV	ADV;CMPR
更	еще	更	еще	ADV	ADV
電影	фильм	電影	фильм	N	N;INAN;NOM;MASC;SG
電影	кино	電影	кино	N	N;INAN;NOM;NEUT;SG
電影	кинотеатр	電影	кинотеатр	N	N;INAN;NOM;MASC;SG
電影	кино	電影	кино	N	N;INAN;NOM;NEUT;SG
電影	фильм	電影	фильм	N	N;INAN;NOM;MASC;SG
電影	кино	電影	кино	N	N;INAN;NOM;NEUT;SG
電影	фильмы	電影	фильм	N	N;INAN;NOM;MASC;PL
電影	кино	電影	кино	N	N;INAN;NOM;NEUT;SG
季	сезон	季	сезон	N	N;INAN;NOM;MASC;SG
季	сезонов	季	сезон	N	N;INAN;GEN;MASC;PL
龍	драконов	龍	дракон	N	N;ANIM;GEN;MASC;PL
龍	драконы	龍	дракон	N	N;ANIM;NOM;MASC;PL
龍	легких	龍	легкое	N	N;INAN;GEN;NEUT;PL
龍	дракона	龍	дракон	N	N;ANIM;ACC;MASC;SG
龍	дракон	龍	дракон	N	N;ANIM;NOM;MASC;SG
女	женщину	女	женщина	N	N;ANIM;ACC;FEM;SG
女	женщина	女	женщина	N	N;ANIM;NOM;FEM;SG
女	женщины	女	женщина	N	N;ANIM;NOM;FEM;PL
女	женщина	女	женщина	N	N;ANIM;NOM;FEM;SG
正式	официально	正式	официально	ADV	ADV
