que	at	que	at	CONJ	CONJ
con	med	con	med	ADP	ADP
categoría	kategori	categoría	kategori	N;FEM;SG	N;INDF;MASC;SG
categoría	kategorien	categoría	kategori	N;FEM;SG	N;DEF;MASC;SG
para	for	para	for	ADP	ADP
fue	var	ser	vere	V;IND;SG;3;PST;FIN	V;IND;PST;FIN
también	òg	también	òg	ADV	ADV
también	også	también	også	ADV	ADV
también	óg	también	òg	ADV	ADV
también	også	también	også	ADV	ADV
entre	blant	entre	blant	ADP	ADP
entre	mellom	entre	mellom	ADP	ADP
pero	men	pero	men	CONJ	CONJ
dos	to	dos	to	NUM;PL	NUM;PL
son	er	ser	vere	V;IND;PL;3;PRS;FIN	V;IND;PRS;FIN
sobre	om	sobre	om	ADP	ADP
año	årsmodell	año	årsmodell	N;MASC;SG	N;INDF;MASC;SG
año	året	año	år	N;MASC;SG	N;DEF;NEUT;SG
año	år	año	år	N;MASC;SG	N;INDF;NEUT;SG
desde	frå	desde	frå	ADP	ADP
enlaces	koblinger	enlace	koblinger	N;MASC;PL	N;INDF;FEM;PL
enlaces	linker	enlace	linker	N;MASC;PL	N;INDF;MASC;PL
enlaces	lenker	enlace	lank	N;MASC;PL	N;INDF;FEM;PL
hasta	inntil	hasta	inntil	ADP	ADP
externos	eksterne	externo	ekstern	ADJ;MASC;PL	ADJ;PL
ciudad	byen	ciudad	by	N;FEM;SG	N;DEF;MASC;SG
ciudad	by	ciudad	by	N;FEM;SG	N;INDF;MASC;SG
ciudad	city	ciudad	city	N;FEM;SG	N
ciudad	byen	ciudad	by	N;FEM;SG	N;DEF;MASC;SG
ciudad	poststed	ciudad	poststed	N;FEM;SG	N;INDF;MASC;SG
ciudad	by	ciudad	by	N;FEM;SG	N;INDF;MASC;SG
ciudad	ciudad	ciudad	ciudad	N;FEM;SG	N
parte	parti	parte	parti	N;FEM;SG	N;INDF;NEUT;SG
parte	fest	parte	fest	N;FEM;SG	N;INDF;MASC;SG
parte	feste	parte	feste	N;FEM;SG	N;INDF;NEUT;SG
parte	party	parte	party	N;FEM;SG	N;INDF;NEUT;SG
sin	utan	sin	utan	ADP	ADP
san	helgen	san	helg	N;MASC;SG	N;INDF;MASC;SG
san	saint	san	sain	N;MASC;SG	N;INDF;NEUT;SG
nacional	nasjonal	nacional	nasjonal	ADJ;SG	ADJ;INDF;SG
nacional	nasjonalt	nacional	nasjonal	ADJ;SG	ADJ;INDF;NEUT;SG
primera	første	primero	første	ADJ;FEM;SG	ADJ;DEF;SG
team	lag	team	lag	N	N;INDF;NEUT;SG
team	laget	team	lag	N	N;DEF;NEUT;SG
team	team	team	team	N	N;INDF;NEUT;SG
nombre	namn	nombre	namn	N;MASC;SG	N;INDF;NEUT;SG
nombre	navnet	nombre	navn	N;MASC;SG	N;DEF;NEUT;SG
nombre	navn	nombre	navn	N;MASC;SG	N;INDF;NEUT;SG
estados	stater	estado	stat	N;MASC;PL	N;INDF;MASC;PL
estados	delstater	estado	delstater	N;MASC;PL	N;INDF;MASC;PL
siglo	siglo	siglo	siglo	N;MASC;SG	N;INDF;SG
siglo	århundre	siglo	århundre	N;MASC;SG	N;INDF;NEUT;SG
después	etterpå	después	etterpå	ADV	ADV
tiene	har	tener	ha	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN
gran	stor	gran	stor	ADJ;SG	ADJ;INDF;SG
gran	stort	gran	stor	ADJ;SG	ADJ;INDF;NEUT;SG
gran	flott	gran	flott	ADJ;SG	ADJ;INDF;NEUT;SG
gran	supert	gran	super	ADJ;SG	ADJ;INDF;NEUT;SG
gran	kjempefint	gran	kjempefint	ADJ;SG	ADJ;INDF;NEUT;SG
puede	kan	poder	kunne	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN
estado	status	estado	status	N;MASC;SG	N;INDF;MASC;SG
estado	stat	estado	stat	N;MASC;SG	N;INDF;MASC;SG
estado	staten	estado	stat	N;MASC;SG	N;DEF;MASC;SG
estado	tilstand	estado	tilstand	N;MASC;SG	N;INDF;MASC;SG
estado	delstat	estado	delstat	N;MASC;SG	N;INDF;MASC;SG
estado	betingelsen	estado	betingelse	N;MASC;SG	N;DEF;MASC;SG
estado	betingelse	estado	betingelse	N;MASC;SG	N;INDF;MASC;SG
estado	tilstand	estado	tilstand	N;MASC;SG	N;INDF;MASC;SG
estado	stand	estado	stand	N;MASC;SG	N;INDF;MASC;SG
lugar	spisested	lugar	spisested	N;MASC;SG	N;INDF;MASC;SG
lugar	place	lugar	place	N;MASC;SG	N
lugar	beliggenhet	lugar	beliggenhet	N;MASC;SG	N;DEF;MASC;SG
lugar	lokalisering	lugar	lokalisering	N;MASC;SG	N;INDF;FEM;SG
lugar	lokasjon	lugar	lokasjon	N;MASC;SG	N;INDF;MASC;SG
lugar	posisjon	lugar	posisjon	N;MASC;SG	N;INDF;MASC;SG
lugar	plassering	lugar	plassering	N;MASC;SG	N;INDF;FEM;SG
primer	første	primero	første	ADJ;MASC;SG	ADJ;DEF;SG
población	befolkningen	población	befolkning	N;FEM;SG	N;DEF;MASC;SG
población	befolkning	población	befolkning	N;FEM;SG	N;INDF;FEM;SG
nueva	ny	nuevo	ny	ADJ;FEM;SG	ADJ;INDF;SG
nueva	nytt	nuevo	ny	ADJ;FEM;SG	ADJ;INDF;NEUT;SG
fueron	var	ser	vere	V;IND;PL;3;PST;FIN	V;IND;PST;FIN
historia	hendelse	historia	hendelse	N;FEM;SG	N;INDF;MASC;SG
historia	story	historia	story	N;FEM;SG	N;INDF;MASC;SG
historia	historie	historia	historie	N;FEM;SG	N;INDF;FEM;SG
historia	historikk	historia	historikk	N;FEM;SG	N;INDF;MASC;SG
historia	history	historia	history	N;FEM;SG	N;INDF;NEUT;SG
historia	historie	historia	historie	N;FEM;SG	N;INDF;FEM;SG
club	club	club	club	N;MASC;SG	N;INDF;MASC;SG
club	klubb	club	klubb	N;MASC;SG	N;INDF;MASC;SG
universidad	university	universidad	university	N;FEM;SG	N;INDF;NEUT;SG
universidad	universitet	universidad	universitet	N;FEM;SG	N;INDF;NEUT;SG
universidad	universitetet	universidad	universitet	N;FEM;SG	N;DEF;NEUT;SG
universidad	college	universidad	colleg	N;FEM;SG	N;INDF;NEUT;SG
universidad	høgskole	universidad	høgskole	N;FEM;SG	N;INDF;MASC;SG
universidad	høyskole	universidad	høyskole	N;FEM;SG	N;INDF;MASC;SG
forma	formen	forma	form	N;FEM;SG	N;DEF;MASC;SG
forma	shape	forma	shape	N;FEM;SG	N
forma	form	forma	form	N;FEM;SG	N;INDF;FEM;SG
forma	fasong	forma	fasong	N;FEM;SG	N;INDF;MASC;SG
forma	skjemaet	forma	skjema	N;FEM;SG	N;DEF;NEUT;SG
forma	skjema	forma	skjeme	N;FEM;SG	N;INDF;NEUT;SG
tres	tre	tres	tre	NUM;PL	NUM;PL
grupo	grupo	grupo	grupo	N;MASC;SG	N;INDF;MASC;SG
grupo	gruppe	grupo	gruppe	N;MASC;SG	N;INDF;FEM;SG
grupo	gruppen	grupo	grupp	N;MASC;SG	N;DEF;MASC;SG
general	general	general	general	N;SG	N;INDF;MASC;SG
guerra	krigen	guerra	krig	N;FEM;SG	N;DEF;MASC;SG
guerra	krig	guerra	krig	N;FEM;SG	N;INDF;MASC;SG
guerra	krigføring	guerra	krigføring	N;FEM;SG	N;INDF;FEM;SG
tras	etter	tras	etter	ADP	ADP
familia	familien	familia	familie	N;FEM;SG	N;DEF;MASC;SG
familia	familie	familia	familie	N;FEM;SG	N;INDF;MASC;SG
familia	slekt	familia	slekkje	N;FEM;SG	N;INDF;FEM;SG
además	òg	además	òg	ADV	ADV
además	også	además	også	ADV	ADV
sur	southern	sur	southern	N;MASC;SG	N;INDF;NEUT;SG
sur	sur	sur	sur	N;MASC;SG	N;INDF;MASC;SG
sur	syd	sur	syd	N;MASC;SG	N;INDF;MASC;SG
sur	syden	sur	syde	N;MASC;SG	N;DEF;MASC;SG
tiempo	weather	tiempo	weather	N;MASC;SG	N
tiempo	været	tiempo	vær	N;MASC;SG	N;DEF;NEUT;SG
tiempo	vær	tiempo	vær	N;MASC;SG	N;INDF;MASC;SG
tiempo	tid	tiempo	tid	N;MASC;SG	N;INDF;FEM;SG
tiempo	klokkeslett	tiempo	klokkeslett	N;MASC;SG	N;INDF;FEM;SG
tiempo	gang	tiempo	gang	N;MASC;SG	N;INDF;MASC;SG
provincia	provins	provincia	provins	N;FEM;SG	N;INDF;MASC;SG
provincia	provinser	provincia	provinser	N;FEM;SG	N;INDF;MASC;SG
provincia	provinsen	provincia	provins	N;FEM;SG	N;DEF;MASC;SG
partido	parti	partido	parti	N;MASC;SG	N;INDF;NEUT;SG
partido	fest	partido	fest	N;MASC;SG	N;INDF;MASC;SG
partido	feste	partido	feste	N;MASC;SG	N;INDF;NEUT;SG
partido	party	partido	party	N;MASC;SG	N;INDF;NEUT;SG
partido	fyrstikk	partido	fyrstikk	N;MASC;SG	N;INDF;MASC;SG
partido	treff	partido	treff	N;MASC;SG	N;INDF;NEUT;SG
partido	match	partido	match	N;MASC;SG	N;INDF;MASC;SG
contra	mot	contra	mot	ADP	ADP
encuentra	finn	encontrar	finne	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN
municipio	kommune	municipio	kommune	N;MASC;SG	N;INDF;MASC;SG
sido	vore	ser	vere	V;MASC;SG;PST;V.PTCP	V;V.PTCP
bajo	under	bajo	under	ADP	ADP
serie	serie	serie	serie	N;FEM;SG	N;INDF;MASC;SG
serie	rekke	serie	rekke	N;FEM;SG	N;INDF;FEM;SG
serie	seriemorder	serie	seriemord	N;FEM;SG	N;INDF;NEUT;SG
fútbol	fotball	fútbol	fotball	N;MASC;SG	N;INDF;MASC;SG
equipo	utstyr	equipo	utstyr	N;MASC;SG	N;INDF;NEUT;SG
equipo	lag	equipo	lag	N;MASC;SG	N;INDF;NEUT;SG
equipo	laget	equipo	lag	N;MASC;SG	N;DEF;NEUT;SG
equipo	team	equipo	team	N;MASC;SG	N;INDF;NEUT;SG
norte	norte	norte	norte	N;MASC;SG	N;INDF;NEUT;SG
norte	northern	norte	northern	N;MASC;SG	N;INDF;NEUT;SG
río	river	río	rive	N;MASC;SG	N;INDF;FEM;SG
río	elv	río	elv	N;MASC;SG	N;INDF;FEM;SG
argentina	argentinsk	argentino	argentinsk	ADJ;FEM;SG	ADJ;INDF;SG
inglés	engelsk	inglés	engelsk	N;MASC;SG	N;INDF;MASC;SG
nuevo	ny	nuevo	ny	ADJ;MASC;SG	ADJ;INDF;SG
nuevo	nytt	nuevo	ny	ADJ;MASC;SG	ADJ;INDF;NEUT;SG
septiembre	september	septiembre	september	N	N;INDF;MASC;SG
octubre	oktober	octubre	oktober	N	N;INDF;MASC;SG
octubre	october	octubre	october	N	N
discusión	diskusjon	discusión	diskusjon	N;FEM;SG	N;INDF;MASC;SG
gobierno	styring	gobierno	styring	N;MASC;SG	N;INDF;FEM;SG
gobierno	regjering	gobierno	regjering	N;MASC;SG	N;INDF;FEM;SG
condado	county	condado	county	N;MASC;SG	N;INDF;SG
condado	fylke	condado	fylke	N;MASC;SG	N;INDF;NEUT;SG
final	avslutt	final	avslutt	N;MASC;SG	N;INDF;MASC;SG
final	ende	final	ende	N;MASC;SG	N;INDF;MASC;SG
final	slutt	final	slutt	N;MASC;SG	N;INDF;MASC;SG
final	finalen	final	finale	N;MASC;SG	N;DEF;MASC;SG
final	finale	final	finale	N;MASC;SG	N;INDF;MASC;SG
final	final	final	final	N;MASC;SG	N;INDF;MASC;SG
final	finalen	final	finale	N;MASC;SG	N;DEF;MASC;SG
vida	liv	vida	liv	N;FEM;SG	N;INDF;NEUT;SG
vida	livet	vida	liv	N;FEM;SG	N;DEF;NEUT;SG
vida	life	vida	life	N;FEM;SG	N;INDF;MASC;SG
vida	vida	vida	vid	N;FEM;SG	N;INDF;MASC;SG
personas	personer	persona	person	N;FEM;PL	N;INDF;FEM;PL
personas	personer	persona	person	N;FEM;PL	N;INDF;FEM;PL
personas	personar	persona	person	N;FEM;PL	N;INDF;MASC;PL
personas	folk	persona	folk	N;FEM;PL	N;INDF;NEUT;PL
español	spansk	español	spansk	N;MASC;SG	N;INDF;MASC;SG
centro	downtown	centro	downtown	N;MASC;SG	N
centro	sentrum	centro	sentrum	N;MASC;SG	N;INDF;NEUT;SG
centro	centro	centro	centro	N;MASC;SG	N
centro	sentrum	centro	sentrum	N;MASC;SG	N;INDF;NEUT;SG
centro	center	centro	cente	N;MASC;SG	N;INDF;NEUT;SG
centro	senter	centro	senter	N;MASC;SG	N;INDF;NEUT;SG
centro	senter	centro	senter	N;MASC;SG	N;INDF;NEUT;SG
centro	centre	centro	cente	N;MASC;SG	N;INDF;MASC;SG
julio	julio	julio	julio	N	N;INDF;MASC;SG
julio	julius	julio	julius	N	N;INDF;MASC;SG
julio	juli	julio	juli	N	N;INDF;MASC;SG
julio	july	julio	july	N	N
país	fedreland	país	fedreland	N;MASC;SG	N;INDF;NEUT;SG
