من	od	مِن	od	ADP	ADP;GEN
تصنيف	rating	تَصنِيف	rating	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
تصنيف	hodnotenie	تَصنِيف	hodnotenie	N;NOM;INDF;SG	N;NOM;NEUT;SG
تصنيف	zaradenie	تَصنِيف	zaradenie	N;NOM;INDF;SG	N;NOM;NEUT;SG
تصنيف	triedenie	تَصنِيف	triedenie	N;NOM;INDF;SG	N;NOM;NEUT;SG
تصنيف	zatriedenie	تَصنِيف	zatriedenie	N;NOM;INDF;SG	N;NOM;NEUT;SG
تصنيف	klasifikácia	تَصنِيف	klasifikácia	N;NOM;INDF;SG	N;NOM;FEM;SG
عام	rok	عَام	rok	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
عام	public	عَام	publica	N;NOM;INDF;SG	N;NOM;FEM;SG
عام	verejnosť	عَام	verejnosť	N;NOM;INDF;SG	N;NOM;FEM;SG
عام	general	عَام	generať	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
اسم	názov	اِسم	názov	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
اسم	meno	اِسم	meno	N;NOM;INDF;SG	N;NOM;NEUT;SG
المنطقة	kraj	مِنطَقَة	kraj	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG
المنطقة	oblasť	مِنطَقَة	oblasť	N;NOM;DEF;SG	N;NOM;FEM;SG
المنطقة	región	مِنطَقَة	región	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG
المنطقة	obvod	مِنطَقَة	obvod	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG
المنطقة	okrsok	مِنطَقَة	okrsok	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG
المنطقة	zóna	مِنطَقَة	zóna	N;NOM;DEF;SG	N;NOM;FEM;SG
المنطقة	oblasť	مِنطَقَة	oblasť	N;NOM;DEF;SG	N;NOM;FEM;SG
المنطقة	plocha	مِنطَقَة	plocha	N;NOM;DEF;SG	N;NOM;FEM;SG
هو	on	هُوَ	on	PRO;NOM;MASC;SG;3	PRO;ANIM;NOM;MASC;SG;3
هي	ona	هُوَ	ona	PRO;NOM;FEM;SG;3	PRO;NOM;FEM;SG;3
سنة	rok	سَنَة	rok	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
اختياري	nepovinné	اِختِيَارِيّ	nepovinný	ADJ;NOM;INDF;MASC;SG	ADJ;NOM;NEUT;SG
اختياري	dobrovoľné	اِختِيَارِيّ	dobrovoľný	ADJ;NOM;INDF;MASC;SG	ADJ;NOM;NEUT;SG
اختياري	voliteľné	اِختِيَارِيّ	voliteľný	ADJ;NOM;INDF;MASC;SG	ADJ;NOM;NEUT;SG
اختياري	nepovinný	اِختِيَارِيّ	nepovinný	ADJ;NOM;INDF;MASC;SG	ADJ;INAN;NOM;MASC;SG
اختياري	voliteľný	اِختِيَارِيّ	voliteľný	ADJ;NOM;INDF;MASC;SG	ADJ;INAN;NOM;MASC;SG
هذه	to	هٰذَا	to	DET;NOM;FEM;SG	DET;NOM;NEUT;SG
هذه	táto	هٰذَا	táto	DET;NOM;FEM;SG	DET;NOM;FEM;SG
هذه	tento	هٰذَا	tento	DET;NOM;FEM;SG	DET;INAN;NOM;MASC;SG
هذه	toto	هٰذَا	toto	DET;NOM;FEM;SG	DET;NOM;NEUT;SG
ما	aké	مَا	aký	DET	DET;NOM;NEUT;SG
عدد	číslo	عَدَد	číslo	N;NOM;INDF;SG	N;NOM;NEUT;SG
عدد	počet	عَدَد	počet	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
عدد	čislo	عَدَد	čislo	N;NOM;INDF;SG	N;NOM;NEUT;SG
هذا	to	هٰذَا	to	DET;NOM;MASC;SG	DET;NOM;NEUT;SG
هذا	táto	هٰذَا	táto	DET;NOM;MASC;SG	DET;NOM;FEM;SG
هذا	tento	هٰذَا	tento	DET;NOM;MASC;SG	DET;INAN;NOM;MASC;SG
هذا	toto	هٰذَا	toto	DET;NOM;MASC;SG	DET;NOM;NEUT;SG
لا	nie	لَا	nie	PART	PART
تعليق	komentár	تَعلِيق	komentár	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
تاريخ	dátum	تَارِيخ	dátum	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
تاريخ	história	تَارِيخ	história	N;NOM;INDF;SG	N;NOM;FEM;SG
نوع	druh	نَوع	druh	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
نوع	typ	نَوع	typ	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
نوع	type	نَوع	typ	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
سطر	riadok	سِطر	riadok	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
سطر	linka	سِطر	linko	N;NOM;INDF;SG	N;NOM;FEM;SG
سطر	line	سِطر	lina	N;NOM;INDF;SG	N;NOM;FEM;SG
سطر	čiara	سِطر	čiara	N;NOM;INDF;SG	N;NOM;FEM;SG
المتحدة	zjednotená	مُتَّحِد	zjednotený	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
المتحدة	spojené	مُتَّحِد	spojený	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
خط	riadok	خَطّ	riadok	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
خط	linka	خَطّ	linko	N;NOM;INDF;SG	N;NOM;FEM;SG
خط	line	خَطّ	lina	N;NOM;INDF;SG	N;NOM;FEM;SG
خط	čiara	خَطّ	čiara	N;NOM;INDF;SG	N;NOM;FEM;SG
خط	písmo	خَطّ	písmo	N;NOM;INDF;SG	N;NOM;NEUT;SG
خط	font	خَطّ	font	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
التوقيت	načasovanie	تَوقِيت	načasovanie	N;NOM;DEF;SG	N;NOM;NEUT;SG
التوقيت	časovanie	تَوقِيت	časovanie	N;NOM;DEF;SG	N;NOM;NEUT;SG
التعداد	sčítanie	تَعدَاد	sčítanie	N;NOM;DEF;SG	N;NOM;NEUT;SG
المسؤول	admin	مَسؤُول	admin	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG
المسؤول	administrátor	مَسؤُول	administrátor	N;NOM;DEF;SG	N;ANIM;NOM;MASC;SG
مدينة	mesto	مَدِينَة	mesto	N;NOM;INDF;SG	N;NOM;NEUT;SG
مدينة	mesta	مَدِينَة	mesto	N;NOM;INDF;SG	N;NOM;NEUT;SG
المدينة	mesto	مَدِينَة	mesto	N;NOM;DEF;SG	N;NOM;NEUT;SG
المدينة	mesta	مَدِينَة	mesto	N;NOM;DEF;SG	N;NOM;NEUT;SG
المدينة	mestečko	مَدِينَة	mestečko	N;NOM;DEF;SG	N;NOM;NEUT;SG
المدينة	mesto	مَدِينَة	mesto	N;NOM;DEF;SG	N;NOM;NEUT;SG
المدينة	mesta	مَدِينَة	mesto	N;NOM;DEF;SG	N;NOM;NEUT;SG
تم	urobil	تَمّ	urobiť	V;PFV;MASC;SG;3;ACT	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
كرة	lopta	كُرَة	lopta	N;NOM;INDF;SG	N;NOM;FEM;SG
كرة	loptička	كُرَة	loptička	N;NOM;INDF;SG	N;NOM;FEM;SG
كرة	guľa	كُرَة	guľa	N;NOM;INDF;SG	N;NOM;FEM;SG
الله	boh	اَللّٰه	boh	N;NOM;DEF;SG	N;ANIM;NOM;MASC;SG
الله	alah	اَللّٰه	alah	N;NOM;DEF;SG	N;ANIM;NOM;MASC;SG
مساحة	oblasť	مِسَاحَة	oblasť	N;NOM;INDF;SG	N;NOM;FEM;SG
مساحة	plocha	مِسَاحَة	plocha	N;NOM;INDF;SG	N;NOM;FEM;SG
مساحة	priestor	مِسَاحَة	priestor	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
محافظة	provincia	مُحَافَظَة	provincie	N;NOM;INDF;SG	N;NOM;FEM;SG
محافظة	gubernia	مُحَافَظَة	guberní	N;NOM;INDF;SG	N;NOM;FEM;SG
خلال	cez	خِلَالَ	cez	ADP;ACC	ADP;ACC
الولايات	stavy	وِلَايَة	stav	N;NOM;DEF;PL	N;NOM;FEM;PL
الولايات	štáty	وِلَايَة	štát	N;NOM;DEF;PL	N;INAN;NOM;MASC;PL
اليمن	jemen	يَمَن	jemen	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG
توقيت	načasovanie	تَوقِيت	načasovanie	N;NOM;INDF;SG	N;NOM;NEUT;SG
توقيت	časovanie	تَوقِيت	časovanie	N;NOM;INDF;SG	N;NOM;NEUT;SG
الصورة	foto	صُورَة	foto	N;NOM;DEF;SG	N;NOM;NEUT;SG
الصورة	fotografia	صُورَة	fotografia	N;NOM;DEF;SG	N;NOM;FEM;SG
الصورة	fotka	صُورَة	fotka	N;NOM;DEF;SG	N;NOM;FEM;SG
الصورة	image	صُورَة	imag	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG
الصورة	obrázok	صُورَة	obrázok	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG
الصورة	obraz	صُورَة	obraz	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG
الصورة	fotka	صُورَة	fotka	N;NOM;DEF;SG	N;NOM;FEM;SG
الصورة	obrázok	صُورَة	obrázok	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG
الصورة	obraz	صُورَة	obraz	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG
خريطة	mapa	خَرِيطَة	mapa	N;NOM;INDF;SG	N;NOM;FEM;SG
فرق	tímy	فِرقَة	tím	N;NOM;INDF;PL	N;INAN;NOM;MASC;PL
العربية	arabské	عَرَبِيّ	arabský	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;NEUT;SG
العربية	arabské	عَرَبِيّ	arabský	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;NEUT;SG
قائمة	menu	قَائِمَة	menu	N;NOM;INDF;SG	N;NOM;NEUT;SG
قائمة	ponuka	قَائِمَة	ponuka	N;NOM;INDF;SG	N;NOM;FEM;SG
قائمة	zoznam	قَائِمَة	zoznam	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
مقاطعة	county	مُقَاطَعَة	count	N;NOM;INDF;SG	N;NOM;MASC;SG
مقاطعة	provincia	مُقَاطَعَة	provincie	N;NOM;INDF;SG	N;NOM;FEM;SG
تقسيم	rozdelenie	تَقسِيم	rozdelenie	N;NOM;INDF;SG	N;NOM;NEUT;SG
العالم	svet	عَالَم	svet	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG
العالم	vedec	عَالَم	vedec	N;NOM;DEF;SG	N;ANIM;NOM;MASC;SG
القرن	roh	قَرن	roh	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG
القرن	trúba	قَرن	trúba	N;NOM;DEF;SG	N;NOM;FEM;SG
القرن	storočí	قَرن	storočie	N;NOM;DEF;SG	N;NOM;NEUT;SG
القرن	storočie	قَرن	storočie	N;NOM;DEF;SG	N;NOM;NEUT;SG
الموقع	umiestnenie	مَوقِع	umiestnenie	N;NOM;DEF;SG	N;NOM;NEUT;SG
الموقع	miesto	مَوقِع	miesto	N;NOM;DEF;SG	N;NOM;NEUT;SG
الموقع	poloha	مَوقِع	poloha	N;NOM;DEF;SG	N;NOM;FEM;SG
الموقع	lokalita	مَوقِع	lokalita	N;NOM;DEF;SG	N;NOM;FEM;SG
الثاني	druhá	ثَانِي	druhý	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;FEM;SG
الثاني	druhé	ثَانِي	druhý	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;NEUT;SG
الثاني	druhe	ثَانِي	druh	ADJ;NOM;DEF;MASC;SG	ADJ;INAN;NOM;MASC;SG
الثاني	druhý	ثَانِي	druhý	ADJ;NOM;DEF;MASC;SG	ADJ;INAN;NOM;MASC;SG
القدم	noha	قَدَم	noha	N;NOM;DEF;SG	N;NOM;FEM;SG
القدم	chodidlo	قَدَم	chodidlo	N;NOM;DEF;SG	N;NOM;NEUT;SG
القدم	noha	قَدَم	noha	N;NOM;DEF;SG	N;NOM;FEM;SG
منطقة	kraj	مِنطَقَة	kraj	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
منطقة	oblasť	مِنطَقَة	oblasť	N;NOM;INDF;SG	N;NOM;FEM;SG
منطقة	región	مِنطَقَة	región	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
منطقة	obvod	مِنطَقَة	obvod	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
منطقة	okrsok	مِنطَقَة	okrsok	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
منطقة	zóna	مِنطَقَة	zóna	N;NOM;INDF;SG	N;NOM;FEM;SG
منطقة	oblasť	مِنطَقَة	oblasť	N;NOM;INDF;SG	N;NOM;FEM;SG
منطقة	plocha	مِنطَقَة	plocha	N;NOM;INDF;SG	N;NOM;FEM;SG
الرمز	symbol	رَمز	symbol	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG
الرمز	kód	رَمز	kód	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG
الرمز	kod	رَمز	kod	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG
البلد	štát	بَلَد	štát	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG
البلد	krajina	بَلَد	krajina	N;NOM;DEF;SG	N;NOM;FEM;SG
مدن	mestá	مَدِينَة	mesto	N;NOM;INDF;PL	N;NOM;NEUT;PL
مدن	mestá	مَدِينَة	mesto	N;NOM;INDF;PL	N;NOM;NEUT;PL
يمكن	mohla	أَمكَن	môcť	V;IPFV;MASC;IND;SG;3;FIN;ACT	V;IPFV;FEM;SG;POS;PST;V.PTCP
يمكن	mohol	أَمكَن	môcť	V;IPFV;MASC;IND;SG;3;FIN;ACT	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
يمكن	mohlo	أَمكَن	môcť	V;IPFV;MASC;IND;SG;3;FIN;ACT	V;IPFV;NEUT;SG;POS;PST;V.PTCP
يمكن	môže	أَمكَن	môcť	V;IPFV;MASC;IND;SG;3;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN
الكلية	kolégium	كُلِّيَّة	kolégium	N;NOM;DEF;SG	N;NOM;NEUT;SG
الكلية	fakulta	كُلِّيَّة	fakult	N;NOM;DEF;SG	N;NOM;FEM;SG
ولاية	štát	وِلَايَة	štát	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
العرض	ponuka	عَرض	ponuka	N;NOM;DEF;SG	N;NOM;FEM;SG
العرض	predstavenie	عَرض	predstavenie	N;NOM;DEF;SG	N;NOM;NEUT;SG
العرض	šírka	عَرض	šírka	N;NOM;DEF;SG	N;NOM;FEM;SG
