ve	og	ve	og	CONJ	CONJ
daha	mere	daha	mere	ADV	ADV;CMPR
sonra	derefter	sonra	derefter	ADV	ADV
sonra	så	sonra	så	ADV	ADV
sonra	efter	sonra	efter	ADV	ADV
sonra	senere	sonra	senere	ADV	ADV;CMPR
yer	mødested	yer	mødested	N;NOM;SG;3	N;INDF;NEUT;SG
yer	stedet	yer	sted	N;NOM;SG;3	N;DEF;NEUT;SG
yer	sted	yer	sted	N;NOM;SG;3	N;INDF;NEUT;SG
yer	plads	yer	plads	N;NOM;SG;3	N;INDF;MASC+FEM;SG
yer	lokalisering	yer	lokalisering	N;NOM;SG;3	N;INDF;MASC+FEM;SG
yer	beliggenhed	yer	beliggenhed	N;NOM;SG;3	N;INDF;MASC+FEM;SG
yer	sted	yer	sted	N;NOM;SG;3	N;INDF;NEUT;SG
yer	placering	yer	placering	N;NOM;SG;3	N;INDF;MASC+FEM;SG
yer	lokation	yer	lokation	N;NOM;SG;3	N;INDF;MASC+FEM;SG
bağlantılar	tilslutninger	bağlantı	tilslutning	N;NOM;PL;3	N;INDF;MASC+FEM;PL
bağlantılar	forbindelser	bağlantı	forbindelse	N;NOM;PL;3	N;INDF;MASC+FEM;PL
bağlantılar	kontakter	bağlantı	kontakt	N;NOM;PL;3	N;INDF;MASC+FEM;PL
bağlantılar	kontaktpersoner	bağlantı	kontaktperson	N;NOM;PL;3	N;INDF;MASC+FEM;PL
bağlantılar	kontaktlinser	bağlantı	kontaktlins	N;NOM;PL;3	N;INDF;MASC+FEM;PL
center	centrum	center	centrum	N;NOM;SG;3	N;INDF;NEUT;SG
center	midtpunkt	center	midtpunkt	N;NOM;SG;3	N;INDF;NEUT;SG
center	center	center	center	N;NOM;SG;3	N;INDF;NEUT;SG
center	midten	center	midte	N;NOM;SG;3	N;DEF;MASC+FEM;SG
türk	tyrkisk	türk	tyrkisk	ADJ	ADJ;INDF;SG
türk	tyrkiske	türk	tyrkisk	ADJ	ADJ;PL
yeni	ny	yeni	ny	ADJ	ADJ;INDF;MASC+FEM;SG
yeni	nyt	yeni	ny	ADJ	ADJ;INDF;NEUT;SG
yeni	nye	yeni	ny	ADJ	ADJ;PL
aynı	samme	aynı	samme	ADJ	ADJ
ilgili	relevant	ilgili	relevant	ADJ	ADJ;INDF;SG
ilgili	relevante	ilgili	relevante	ADJ	ADJ;PL
madde	stof	madde	stof	N;NOM;SG;3	N;INDF;NEUT;SG
madde	substans	madde	substans	N;NOM;SG;3	N;INDF;MASC+FEM;SG
madde	bestemmelse	madde	bestemmelse	N;NOM;SG;3	N;INDF;MASC+FEM;SG
madde	klausul	madde	klausul	N;NOM;SG;3	N;INDF;MASC+FEM;SG
madde	materiale	madde	materiale	N;NOM;SG;3	N;INDF;NEUT;SG
madde	materiel	madde	materiel	N;NOM;SG;3	N;INDF;NEUT;SG
sağlık	wellness	sağlık	wellness	N;NOM;SG;3	N;INDF;MASC+FEM;SG
sağlık	velvære	sağlık	velvære	N;NOM;SG;3	N;INDF;MASC+FEM;SG
sağlık	læge	sağlık	læge	N;NOM;SG;3	N;INDF;MASC+FEM;SG
sağlık	lægehjælp	sağlık	lægehjælp	N;NOM;SG;3	N;INDF;MASC+FEM;SG
sağlık	sundhed	sağlık	sundhed	N;NOM;SG;3	N;INDF;MASC+FEM;SG
sağlık	helbred	sağlık	helbred	N;NOM;SG;3	N;INDF;NEUT;SG
sağlık	sundhedsvæsen	sağlık	sundhedsvæse	N;NOM;SG;3	N;INDF;NEUT;SG
sağlık	sundhedspleje	sağlık	sundhedspleje	N;NOM;SG;3	N;INDF;MASC+FEM;SG
genel	generiske	genel	generisk	ADJ	ADJ;PL
genel	generisk	genel	generisk	ADJ	ADJ;INDF;SG
genel	overordnet	genel	overordne	ADJ	ADJ;INDF;SG
genel	generel	genel	generel	ADJ	ADJ;INDF;MASC+FEM;SG
genel	generelle	genel	generel	ADJ	ADJ;PL
genel	almindelig	genel	almindelig	ADJ	ADJ;INDF;MASC+FEM;SG
adı	betegnelse	ad	betegnelse	N;NOM;SG;3	N;INDF;MASC+FEM;SG
adı	navn	ad	navn	N;NOM;SG;3	N;INDF;NEUT;SG
ama	men	ama	men	CONJ	CONJ
içinde	indvendigt	içinde	indvendig	ADV	ADV
içinde	indenfor	içinde	indenfor	ADV	ADV
içinde	inde	içinde	inde	ADV	ADV
içinde	indenfor	içinde	indenfor	ADV	ADV
üniversitesi	university	üniversitesi	university	N;NOM;SG;3	N;INDF;MASC+FEM;SG
üniversitesi	universitet	üniversitesi	universitet	N;NOM;SG;3	N;INDF;NEUT;SG
üniversitesi	universitetet	üniversitesi	universitet	N;NOM;SG;3	N;DEF;NEUT;SG
zaman	tid	zaman	tid	N;NOM;SG;3	N;INDF;MASC+FEM;SG
zaman	tidspunkt	zaman	tidspunkt	N;NOM;SG;3	N;INDF;NEUT;SG
zaman	gang	zaman	gang	N;NOM;SG;3	N;INDF;MASC+FEM;SG
zaman	klokkeslæt	zaman	klokkeslæt	N;NOM;SG;3	N;INDF;NEUT;SG
zaman	tiden	zaman	tid	N;NOM;SG;3	N;DEF;MASC+FEM;SG
aralık	december	aralık	december	N;NOM;SG;3	N;INDF;MASC+FEM;SG
aralık	dec	aralık	dec	N;NOM;SG;3	N;INDF;MASC+FEM;SG
aralık	interval	aralık	interval	N;NOM;SG;3	N;INDF;NEUT;SG
yüksek	høj	yüksek	høj	ADJ	ADJ;INDF;MASC+FEM;SG
yüksek	højt	yüksek	høj	ADJ	ADJ;INDF;NEUT;SG
yüksek	høje	yüksek	høj	ADJ	ADJ;PL
yüksek	højere	yüksek	høj	ADJ	ADJ;CMPR
sadece	kun	sadece	kun	ADV	ADV
sadece	bare	sadece	bare	ADV	ADV
