for	pour	for	pour	ADP	ADP
der	là	der	là	ADV	ADV
blev	devenus	blive	devenir	V;IND;PST;FIN;ACT	V;MASC;PL;PST;V.PTCP
blev	devenu	blive	devenir	V;IND;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
blev	devenue	blive	devenir	V;IND;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP
blev	devint	blive	devenir	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
blev	resté	blive	rester	V;IND;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
blev	séjourné	blive	séjourner	V;IND;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
har	avoir	have	avoir	V;IND;PRS;FIN;ACT	V;NFIN
ved	connaitre	vide	connaître	V;IND;PRS;FIN;ACT	V;NFIN
ved	connaître	vide	connaître	V;IND;PRS;FIN;ACT	V;NFIN
ved	savoir	vide	savoir	V;IND;PRS;FIN;ACT	V;NFIN
ikke	non	ikke	non	ADV	ADV
ikke	pas	ikke	pas	ADV	ADV;NEG
men	mais	men	mais	CONJ	CONJ
også	également	også	également	ADV	ADV
også	aussi	også	aussi	ADV	ADV
også	egalement	også	egalement	ADV	ADV
også	trop	også	trop	ADV	ADV
kan	peut	kunne	pouvoir	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
kan	peuvent	kunne	pouvoir	V;IND;PRS;FIN;ACT	V;IND;PL;3;PRS;FIN
kan	peux	kunne	pouvoir	V;IND;PRS;FIN;ACT	V;IND;SG;1;PRS;FIN
kan	peut	kunne	pouvoir	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
score	marquer	score	marquer	V;NFIN;ACT	V;NFIN
hans	sa	hans	son	DET;3	DET;FEM;SG
hans	ses	hans	son	DET;3	DET;MASC;PL
hans	son	hans	son	DET;3	DET;MASC;SG
første	première	første	premier	ADJ	ADJ;FEM;SG
første	premières	første	premier	ADJ	ADJ;FEM;PL
første	premier	første	premier	ADJ	ADJ;MASC;SG
første	premiers	første	premier	ADJ	ADJ;MASC;PL
henvisninger	renvois	henvisning	renvoi	N;INDF;MASC+FEM;PL	N;MASC;PL
henvisninger	références	henvisning	référence	N;INDF;MASC+FEM;PL	N;FEM;PL
dansk	danois	dansk	danois	ADJ;INDF;SG	ADJ;MASC;SG
dansk	danoise	dansk	danois	ADJ;INDF;SG	ADJ;FEM;SG
mod	courage	mod	courage	N;INDF;NEUT;SG	N;MASC;SG
mod	mod	mod	mod	N;INDF;NEUT;SG	N;MASC;SG
hun	she	hun	she	PRO;NOM;MASC+FEM;SG;3	PRO
hun	elle	hun	elle	PRO;NOM;MASC+FEM;SG;3	PRO;FEM;SG;3
andre	autres	anden	autre	PRO;PL	PRO;PL
andre	autres	anden	autre	PRO;PL	PRO;PL
denne	ceci	denne	ceci	PRO;MASC+FEM;SG	PRO;SG
denne	cet	denne	ce	PRO;MASC+FEM;SG	PRO;SG;3
denne	cela	denne	cela	PRO;MASC+FEM;SG	PRO;SG
denne	ce	denne	ce	PRO;MASC+FEM;SG	PRO;SG;3
del	partie	del	partie	N;INDF;MASC+FEM;SG	N;FEM;SG
del	partage	del	partage	N;INDF;MASC+FEM;SG	N;MASC;SG
del	share	del	share	N;INDF;MASC+FEM;SG	N;FEM;SG
del	part	del	part	N;INDF;MASC+FEM;SG	N;FEM;SG
født	naître	føde	naître	V;INDF;SG;PST;V.PTCP	V;NFIN
født	né	føde	naître	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
født	née	føde	naître	V;INDF;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
mellem	entre	mellem	entre	ADP	ADP
flere	multiples	mange	multiple	ADJ;CMPR;PL	ADJ;MASC;PL
dette	ceci	denne	ceci	PRO;NEUT;SG	PRO;SG
dette	cet	denne	ce	PRO;NEUT;SG	PRO;SG;3
dette	cela	denne	cela	PRO;NEUT;SG	PRO;SG
dette	ce	denne	ce	PRO;NEUT;SG	PRO;SG;3
deres	leurs	deres	son	DET;3	DET;MASC;PL
mange	nombreux	mange	nombreux	ADJ;PL	ADJ;MASC;PL
mange	nombreuses	mange	nombreux	ADJ;PL	ADJ;FEM;PL
team	équipe	team	équipe	N;INDF;NEUT;SG	N;FEM;SG
team	equipe	team	equipe	N;INDF;NEUT;SG	N;FEM;SG
danske	danoises	dansk	danois	ADJ;PL	ADJ;FEM;PL
kun	uniquement	kun	uniquement	ADV	ADV
kun	seulement	kun	seulement	ADV	ADV
dog	toutefois	dog	toutefois	ADV	ADV
dog	cependant	dog	cependant	ADV	ADV
tidligere	auparavant	tidligere	auparavant	ADV;CMPR	ADV
tidligere	précédemment	tidligere	précédemment	ADV;CMPR	ADV
skal	doit	skulle	devoir	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
skal	doivent	skulle	devoir	V;IND;PRS;FIN;ACT	V;IND;PL;3;PRS;FIN
have	avoir	have	avoir	V;NFIN;ACT	V;NFIN
mere	davantage	mere	davantage	ADV;CMPR	ADV
mere	plus	mere	plus	ADV;CMPR	ADV
store	grands	stor	grand	ADJ;PL	ADJ;MASC;PL
store	grandes	stor	grand	ADJ;PL	ADJ;FEM;PL
meget	tres	meget	tre	ADJ;INDF;SG	ADJ;MASC;SG
sammen	ensemble	sammen	ensemble	ADV	ADV
