uma	ühe	um	üks	NUM	NUM;GEN;SG
como	kuidas	como	kuidas	ADV	ADV
dos	dos	dos	dos	N;MASC;SG	N;NOM;SG
mais	rohkem	mais	rohkem	ADV	ADV
min	min	min	min	N;MASC;PL	N
também	samuti	também	samuti	ADV	ADV
também	ka	também	ka	ADV	ADV
também	liiga	também	liiga	ADV	ADV
mas	aga	mas	aga	CONJ	CONJ
mas	kuid	mas	kuid	CONJ	CONJ
discussão	arutelu	discussão	arutelu	N;FEM;SG	N;NOM;SG
anos	aastad	ano	aasta	N;MASC;PL	N;NOM;PL
cidade	linn	cidade	linn	N;FEM;SG	N;NOM;SG
cidade	linna	cidade	linn	N;FEM;SG	N;IN+ALL;LGSPEC1;SG
cidade	linn	cidade	linn	N;FEM;SG	N;NOM;SG
cidade	linna	cidade	linn	N;FEM;SG	N;IN+ALL;LGSPEC1;SG
cidade	city	cidade	city	N;FEM;SG	N;NOM;SG
quando	millal	quando	millal	ADV	ADV
janeiro	jaanuar	janeiro	jaanuar	N;MASC;SG	N;NOM;SG
onde	kus	onde	kus	ADV	ADV
onde	kuhu	onde	kuhu	ADV	ADV
grande	suure	grande	suur	ADJ;MASC;SG	ADJ;GEN;SG
grande	suur	grande	suur	ADJ;MASC;SG	ADJ;NOM;SG
grande	suure	grande	suur	ADJ;MASC;SG	ADJ;GEN;SG
grande	suur	grande	suur	ADJ;MASC;SG	ADJ;NOM;SG
grande	suure	grande	suur	ADJ;MASC;SG	ADJ;GEN;SG
rio	rio	rio	rio	N;MASC;SG	N;NOM;SG
rio	river	rio	river	N;MASC;SG	N;NOM;SG
rio	jõgi	rio	jõgi	N;MASC;SG	N;NOM;SG
depois	seejärel	depois	see_järel	ADV	ADV
depois	siis	depois	siis	ADV	ADV
depois	hiljem	depois	hiljem	ADV	ADV
depois	pärast	depois	pärast	ADV	ADV
estado	staatus	estado	staatus	N;MASC;SG	N;NOM;SG
estado	seisund	estado	seisund	N;MASC;SG	N;NOM;SG
estado	oleku	estado	olek	N;MASC;SG	N;GEN;SG
estado	olek	estado	olek	N;MASC;SG	N;NOM;SG
estado	riik	estado	riik	N;MASC;SG	N;NOM;SG
estado	olek	estado	olek	N;MASC;SG	N;NOM;SG
estado	osariik	estado	osa_riik	N;MASC;SG	N;NOM;SG
estado	seisukord	estado	seisu_kord	N;MASC;SG	N;NOM;SG
estado	tingimus	estado	tingimus	N;MASC;SG	N;NOM;SG
estado	seisund	estado	seisund	N;MASC;SG	N;NOM;SG
ano	aasta	ano	aasta	N;MASC;SG	N;NOM;SG
primeiro	kõigepealt	primeiro	kõige_pealt	ADV	ADV
primeiro	esmalt	primeiro	esmalt	ADV	ADV
pode	oskab	poder	oskama	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN;ACT
pode	saab	poder	saama	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN;ACT
ligações	ühendused	ligação	ühendus	N;FEM;PL	N;NOM;PL
ligações	lingid	ligação	ling	N;FEM;PL	N;NOM;PL
parte	osas	parte	osa	N;FEM;SG	N;IN+ESS;SG
primeira	esimene	primeiro	esimene	ADJ;FEM;SG	ADJ;NOM;SG
nome	nimi	nome	nimi	N;MASC;SG	N;NOM;SG
