물류	accomplissement	물류	accomplissement	N	N;MASC;SG
변속기	transmission	변속기	transmission	N	N;FEM;SG
변속기	transmissions	변속기	transmission	N	N;FEM;PL
갑작스러운	abrupte	갑작스럽+ㄴ	abrupt	ADJ	ADJ;FEM;SG
정체성	identités	정체성	identité	N	N;FEM;PL
정체성	identité	정체성	identité	N	N;FEM;SG
희생	sacrifices	희생	sacrifice	N	N;MASC;PL
희생	sacrifices	희생	sacrifice	N	N;MASC;PL
희생	sacrifice	희생	sacrifice	N	N;MASC;SG
발급	réclamations	발급	réclamation	N	N;FEM;PL
발급	créances	발급	créance	N	N;FEM;PL
발급	allégations	발급	allégation	N	N;FEM;PL
발급	revendications	발급	revendication	N	N;FEM;PL
유학생	étudiants	유학생	étudiant	N	N;MASC;PL
유학생	etudiants	유학생	etudiant	N	N;MASC;PL
유학생	élèves	유학생	élève	N	N;MASC;PL
테러리스트	terroristes	테러리스트	terroriste	N	N;MASC;PL
테러리스트	terroristes	테러리스트	terroriste	N	N;MASC;PL
충격	chocs	충격	choc	N	N;MASC;PL
충격	choc	충격	choc	N	N;MASC;SG
잠재적	potentialités	잠재+적	potentialité	N	N;FEM;PL
잠재적	potentiel	잠재+적	potentiel	N	N;MASC;SG
풍자	sarcasmes	풍자	sarcasme	N	N;MASC;PL
풍자	sarcasme	풍자	sarcasme	N	N;MASC;SG
풍자	satire	풍자	satire	N	N;FEM;SG
가속	accélération	가속	accélération	N	N;FEM;SG
가속	accélérations	가속	accélération	N	N;FEM;PL
가속	accélération	가속	accélération	N	N;FEM;SG
상속	héritier	상속	héritier	N	N;MASC;SG
상속	héritière	상속	héritier	N	N;FEM;SG
상속	héritiers	상속	héritier	N	N;MASC;PL
상속	héritage	상속	héritage	N	N;MASC;SG
상속	héritages	상속	héritage	N	N;MASC;PL
맞춤법	orthographe	맞춤법	orthographe	N	N;FEM;SG
스노보드	snowboard	스노보드	snowboard	N	N;MASC;SG
스노보드	snowboard	스노보드	snowboard	N	N;MASC;SG
정치국	politburo	정치국	politburo	N	N;MASC;SG
쇼크	chocs	쇼크	choc	N	N;MASC;PL
쇼크	choc	쇼크	choc	N	N;MASC;SG
단말기	appareil	단말기	appareil	N	N;MASC;SG
단말기	dispositif	단말기	dispositif	N	N;MASC;SG
단말기	périphérique	단말기	périphérique	N	N;MASC;SG
묘사	description	묘사	description	N	N;FEM;SG
음절	syllabe	음절	syllabe	N	N;FEM;SG
간섭	intervention	간섭	intervention	N	N;FEM;SG
간섭	interférence	간섭	interférence	N	N;FEM;SG
간섭	ingérence	간섭	ingérence	N	N;FEM;SG
간섭	interférences	간섭	interférence	N	N;FEM;PL
간섭	interférences	간섭	interférence	N	N;FEM;PL
