wat	que	wat	que	PRO	PRO;MASC;SG
met	com	met	com	ADP	ADP
was	foram	is	ser	V;PST;FIN	V;IND;PL;3;PST;FIN
vir	por	vir	por	ADP	ADP
vir	para	vir	para	ADP	ADP
ook	igualmente	ook	igualmente	ADV	ADV
ook	também	ook	também	ADV	ADV
jaar	ano	jaar	ano	N;SG	N;MASC;SG
eerste	primeira	eerste	primeiro	ADJ;NOM	ADJ;FEM;SG
eerste	primeiros	eerste	primeiro	ADJ;NOM	ADJ;MASC;PL
maar	mas	maar	mas	CONJ	CONJ
hierdie	este	hierdie	este	DET	DET;MASC;SG
hierdie	esse	hierdie	esse	DET	DET;MASC;SG
ander	outro	ander	outro	PRO	PRO;MASC;SG
ander	outros	ander	outro	PRO	PRO;MASC;PL
ander	outras	ander	outro	PRO	PRO;FEM;PL
ander	outra	ander	outro	PRO	PRO;FEM;SG
oor	sobre	oor	sobre	ADP	ADP
een	um	een	um	NUM	NUM
een	uma	een	um	NUM	NUM
gebruik	usar	gebruik	usar	V;PRS	V;NFIN
gebruik	use	gebruik	usar	V;PRS	V;SBJV;SG;3;PRS;FIN
gebruik	utilizar	gebruik	utilizar	V;PRS	V;NFIN
afrikaanse	africanos	afrikaans	africano	N;PL	N;MASC;PL
twee	duas	twee	dois	NUM	NUM
twee	dois	twee	dois	NUM	NUM
tussen	entre	tussen	entre	ADP	ADP
gemeente	congregação	gemeent	congregação	N;SG	N;FEM;SG
gemeente	montagem	gemeent	montagem	N;SG	N;FEM;SG
gemeente	assembleia	gemeent	assembleia	N;SG	N;FEM;SG
gemeente	assembléia	gemeent	assembléia	N;SG	N;FEM;SG
begin	comece	begin	começar	V;PRS	V;SBJV;SG;3;PRS;FIN
begin	comecem	begin	começar	V;PRS	V;SBJV;PL;3;PRS;FIN
begin	iniciar	begin	iniciar	V;PRS	V;NFIN
begin	começa	begin	começar	V;PRS	V;IND;SG;3;PRS;FIN
begin	começar	begin	começar	V;PRS	V;NFIN
dié	este	dié	este	DET	DET;MASC;SG
dié	esse	dié	esse	DET	DET;MASC;SG
sien	vendo	sien	ver	V;PRS	V;V.MSDR
sien	veja	sien	ver	V;PRS	V;SBJV;SG;3;PRS;FIN
sien	vê	sien	ver	V;PRS	V;IND;SG;3;PRS;FIN
sien	ver	sien	ver	V;PRS	V;NFIN
nuwe	novo	nuut	novo	ADJ;NOM	ADJ;MASC;SG
nuwe	novas	nuut	novo	ADJ;NOM	ADJ;FEM;PL
nuwe	novos	nuut	novo	ADJ;NOM	ADJ;MASC;PL
nuwe	nova	nuut	novo	ADJ;NOM	ADJ;FEM;SG
hom	ele	hom	ele	PRO;NOM;SG;3	PRO;NOM;MASC;SG;3
stad	cidade	stad	cidade	N;SG	N;FEM;SG
land	país	land	país	N;SG	N;MASC;SG
skakels	ligações	skakel	ligação	N;PL	N;FEM;PL
skakels	links	skakel	link	N;PL	N;MASC;PL
later	depois	laat	depois	ADV;CMPR	ADV
nog	mais	nog	mais	ADV	ADV
net	só	net	só	ADV	ADV
net	apenas	net	apenas	ADV	ADV
net	somente	net	somente	ADV	ADV
net	unicamente	net	unicamente	ADV	ADV
net	só	net	só	ADV	ADV
net	apenas	net	apenas	ADV	ADV
tydens	durante	tydens	durante	ADP	ADP
naam	nome	naam	nome	N;SG	N;MASC;SG
deel	compartilhem	deel	compartilher	V;PRS	V;SBJV;PL;3;PRS;FIN
deel	compartilhar	deel	compartilhar	V;PRS	V;NFIN
deel	partilhar	deel	partilhar	V;PRS	V;NFIN
deel	compartilhe	deel	compartilhe	V;PRS	V;SBJV;SG;3;PRS;FIN
drie	tres	drie	tres	NUM	NUM
drie	três	drie	três	NUM	NUM
kon	poderiam	kan	poder	V;PST;FIN	V;COND;PL;3;FIN
mense	pessoas	mens	pessoa	N;PL	N;FEM;PL
bestaan	existem	bestaan	existir	V;PRS	V;IND;PL;3;PRS;FIN
bestaan	existir	bestaan	existir	V;PRS	V;NFIN
bestaan	existirem	bestaan	existir	V;PRS	V;PL;3;NFIN
bestaan	existe	bestaan	existir	V;PRS	V;IND;SG;3;PRS;FIN
svg	svg	svg	svg	N;SG	N;MASC;SG
nasionale	nacional	nasionaal	nacional	ADJ;NOM	ADJ;MASC;SG
maak	faça	maak	fazer	V;PRS	V;SBJV;SG;3;PRS;FIN
kom	vem	kom	vir	V;PRS	V;IND;SG;3;PRS;FIN
kom	venham	kom	vir	V;PRS	V;SBJV;PL;3;PRS;FIN
kom	venha	kom	vir	V;PRS	V;SBJV;SG;3;PRS;FIN
vanaf	de	vanaf	de	ADP	ADP
