sovieticii	شوراها	sovietică	شورا	N;DEF;MASC;PL	N;PL
praf	غبار	praf	غبار	N;INDF;MASC;SG	N;SG
praf	خاک	praf	خاک	N;INDF;MASC;SG	N;SG
praf	باروت	praf	باروت	N;INDF;MASC;SG	N;SG
praf	پودر	praf	پودر	N;INDF;MASC;SG	N;SG
zeus	زاوش	zeu	زاوش	N;INDF;MASC;SG	N;SG
zeus	زئوس	zeu	زئوس	N;INDF;MASC;SG	N;SG
nintendo	نینتندو	nintendo	None	N;INDF;MASC;SG	N;SG
semnal	انتن	semnal	انتن	N;INDF;MASC;SG	N;SG
semnal	سیگنال	semnal	سیگنال	N;INDF;MASC;SG	N;SG
semnal	علامت	semnal	None	N;INDF;MASC;SG	N;SG
ceas	کلاک	ceas	کلاک	N;INDF;MASC;SG	N;SG
ceas	ساعت	ceas	ساعت	N;INDF;MASC;SG	N;SG
democratie	دمکراسی	democratie	دمکراسی	N;INDF;FEM;SG	N;SG
democratie	دموکراسی	democratie	None	N;INDF;FEM;SG	N;SG
democratie	دمکراسی	democratie	دمکراسی	N;INDF;FEM;SG	N;SG
democratie	دموکراسی	democratie	None	N;INDF;FEM;SG	N;SG
alfa	آلفا	alfa	آلفا	N;INDF;MASC	N;SG
partener	همکار	partener	همکار	N;INDF;MASC;SG	N;SG
partener	شریک	partener	None	N;INDF;MASC;SG	N;SG
cerintele	نیازها	cerint	نیاز	N;DEF;FEM;PL	N;PL
cerintele	نیازهای	cerint	نیاز	N;DEF;FEM;PL	N;PL
amenintare	تحدید	amenintare	None	N;INDF;FEM;SG	N;SG
amenintare	تهدید	amenintare	تهدید	N;INDF;FEM;SG	N;SG
amenintare	تحدید	amenintare	None	N;INDF;FEM;SG	N;SG
amenintare	تهدید	amenintare	تهدید	N;INDF;FEM;SG	N;SG
bolta	طاق	boltă	طاق	N;DEF;FEM;SG	N;SG
observatie	مشاهده	observatie	مشاهده	N;INDF;FEM;SG	N;SG
observatie	رصد	observatie	رصد	N;INDF;FEM;SG	N;SG
zeilor	خدایان	zeu	خدا	N;DEF;MASC;PL	N;PL
discovery	اکتشاف	discovery	اکتشاف	N;INDF;MASC;SG	N;SG
discovery	دیسکاوری	discovery	دیسکاوری	N;INDF;MASC;SG	N;SG
discovery	کشف	discovery	کشف	N;INDF;MASC;SG	N;SG
dur	ناهموار	dur	ناهموار	ADJ;INDF;MASC;SG	ADJ
etajul	کف	etaj	کف	N;DEF;MASC;SG	N;SG
etajul	کفپوش	etaj	کفپوش	N;DEF;MASC;SG	N;SG
etajul	طبقه	etaj	طبقه	N;DEF;MASC;SG	N;SG
strategie	استراتژی	strategie	استراتژی	N;INDF;FEM;SG	N;SG
strategie	راهبرد	strategie	راهبرد	N;INDF;FEM;SG	N;SG
peisaj	عرضی	peisaj	عرضی	N;INDF;MASC;SG	N;SG
peisaj	منظره	peisaj	منظره	N;INDF;MASC;SG	N;SG
experiment	آزمایش	experiment	آزمایش	N;INDF;MASC;SG	N;SG
reptile	خزندگان	reptă	خزنده	N;INDF;FEM;PL	N;PL
reptile	خزندگان	reptă	خزنده	N;INDF;FEM;PL	N;PL
sportul	sport	sport	sport	N;DEF;MASC;SG	N;SG
sportul	اسپورت	sport	اسپورت	N;DEF;MASC;SG	N;SG
sportul	ورزش	sport	ورزش	N;DEF;MASC;SG	N;SG
sportul	ورزشی	sport	ورزشی	N;DEF;MASC;SG	N;SG
sportul	ورزشکار	sport	ورزشکار	N;DEF;MASC;SG	N;SG
leul	شیر	leu	شیر	N;DEF;MASC;SG	N;SG
personalul	ستاد	personal	ستاد	N;DEF;MASC;SG	N;SG
personalul	عصای	personal	عصا	N;DEF;MASC;SG	N;SG
integrarea	یکپارچگی	integrare	None	N;DEF;FEM;SG	N;SG
integrat	یکپارچه	integrat	یکپارچه	ADJ;INDF;MASC;SG	ADJ
aviatie	هوانوردی	aviatie	هوانوردی	N;INDF;FEM;SG	N;SG
aviatie	هواپیمایی	aviatie	هواپیمایی	N;INDF;FEM;SG	N;SG
monarh	مونارچ	monarh	مونارچ	N;INDF;MASC;SG	N;SG
ploaie	باران	ploaie	باران	N;INDF;FEM;SG	N;SG
ploaie	بارانی	ploaie	بارانی	N;INDF;FEM;SG	N;SG
ploaie	بارون	ploaie	بارون	N;INDF;FEM;SG	N;SG
islamului	اسلام	islam	اسلام	N;DEF;MASC;SG	N;SG
solara	خورشیدی	solară	خورشید#خور	N;DEF;FEM;SG	N;SG
disponibila	موجود	disponibil	موجود	ADJ;DEF;FEM;SG	ADJ
disponibila	موجود	disponibil	موجود	ADJ;DEF;FEM;SG	ADJ
marino	مارینو	marină	مارینو	N;INDF;MASC;SG	N;SG
fetele	دخترها	fată	دختر	N;DEF;FEM;PL	N;PL
fetele	دختران	fată	None	N;DEF;FEM;PL	N;PL
strategia	استراتژی	strategie	استراتژی	N;DEF;FEM;SG	N;SG
strategia	راهبرد	strategie	راهبرد	N;DEF;FEM;SG	N;SG
culmea	ریج	culme	ریج	N;DEF;FEM;SG	N;SG
identice	همسان	identic	همسان	ADJ;INDF;FEM;PL	ADJ
identice	منطبق	identic	None	ADJ;INDF;FEM;PL	ADJ
fotografia	فتو	fotografie	فتو	N;DEF;FEM;SG	N;SG
fotografia	photo	fotografie	photo	N;DEF;FEM;SG	N;SG
fotografia	عکس	fotografie	عکس	N;DEF;FEM;SG	N;SG
fotografia	عکاسی	fotografie	عکاسی	N;DEF;FEM;SG	N;SG
fotografia	photography	fotografie	photography	N;DEF;FEM;SG	N;SG
