die	το	die	ο	DET;DEF	DET;NOM;DEF;NEUT;SG
word	γίνε	word	γίνομαι	V;PRS	V;IPFV;IND;SG;1;PRS;FIN;PASS
met	με	met	με	ADP	ADP
was	ήταν	is	είμαι	V;PST;FIN	V;IPFV;IND;SG;3;PST;FIN;PASS
vir	για	vir	για	ADP	ADP
nie	όχι	nie	όχι	PART	PART
ook	επισης	ook	επισης	ADV	ADV
ook	επίσης	ook	επίσης	ADV	ADV
dat	ότι	dat	ότι	CONJ	CONJ
jaar	ετος	jaar	ετος	N;SG	N;NOM;NEUT;SG
jaar	έτος	jaar	έτος	N;SG	N;ACC;NEUT;SG
jaar	χρονιά	jaar	χρονιά	N;SG	N;ACC;FEM;SG
jaar	έτο	jaar	έτος	N;SG	N
maar	αλλά	maar	αλλά	CONJ	CONJ
ander	άλλες	ander	άλλος	PRO	PRO;NOM;FEM;PL;3
ander	άλλα	ander	άλλος	PRO	PRO;NOM;NEUT;PL;3
een	μία	een	ένας	NUM	NUM;NOM;FEM;SG
een	ένα	een	ένας	NUM	NUM;NOM;NEUT;SG
een	μια	een	ένας	NUM	NUM;NOM;FEM;SG
twee	δυο	twee	δύο	NUM	NUM;NOM;PL
twee	δύο	twee	δύο	NUM	NUM;NOM;MASC;PL
tussen	μεταξύ	tussen	μεταξύ	ADP	ADP
tussen	μεταξυ	tussen	μεταξυ	ADP	ADP
gemeente	εκκλησίασμα	gemeent	εκκλησίασμα	N;SG	N;ACC;NEUT;SG
gemeente	συναρμολόγηση	gemeent	συναρμολόγηση	N;SG	N;NOM;FEM;SG
gemeente	συνέλευση	gemeent	συνέλευση	N;SG	N;NOM;FEM;SG
begin	ξεκινήστε	begin	ξεκινώ	V;PRS	V;PFV;IND;PL;2;FIN;ACT
begin	ξεκίνα	begin	ξεκίνα	V;PRS	V;IPFV;IND;SG;1;PRS;FIN;ACT
sien	δείτε	sien	βλέπω	V;PRS	V;PFV;IMP;PL;2;FIN;ACT
sien	βλέπεις	sien	βλέπη	V;PRS	V;IPFV;IND;SG;1;PRS;FIN;ACT
nuwe	νέα	nuut	νέος	ADJ;NOM	ADJ;NOM;NEUT;PL
nuwe	νέος	nuut	νέος	ADJ;NOM	ADJ;NOM;MASC;SG
stad	πολη	stad	πολη	N;SG	N;NOM;FEM;SG
stad	πόλη	stad	πόλη	N;SG	N;NOM;FEM;SG
land	χωρα	land	χωρα	N;SG	N;ACC;FEM;SG
land	χώρα	land	χώρα	N;SG	N;NOM;FEM;SG
skakels	δεσμοί	skakel	δεσμός	N;PL	N;NOM;MASC;PL
skakels	συνδέσεις	skakel	σύνδεση	N;PL	N;NOM;FEM;PL
skakels	συνδέσμους	skakel	σύνδεσμος	N;PL	N;ACC;MASC;PL
later	αργότερα	laat	αργά	ADV;CMPR	ADV;CMPR
later	αργοτερα	laat	αργά	ADV;CMPR	ADV
nog	πιο	nog	πιο	ADV	ADV
net	μόνον	net	μόνο	ADV	ADV
net	μόνο	net	μόνο	ADV	ADV
net	μονο	net	μονο	ADV	ADV
net	απλα	net	απλά	ADV	ADV
net	απλά	net	απλά	ADV	ADV
net	απλώς	net	απλά	ADV	ADV
naam	ονομασία	naam	ονομασία	N;SG	N;NOM;FEM;SG
naam	όνομα	naam	όνομα	N;SG	N;NOM;NEUT;SG
naam	ονομα	naam	ονομα	N;SG	N;NOM;NEUT;SG
drie	τρεις	drie	τρεις	NUM	NUM;NOM;MASC;PL
drie	τρία	drie	τρεις	NUM	NUM;NOM;NEUT;PL
drie	τρια	drie	τρεις	NUM	NUM
mense	ατομα	mens	ατομα	N;PL	N;NOM;NEUT;PL
mense	ανθρωποι	mens	ανθρώπος	N;PL	N;NOM;MASC;PL
mense	άνθρωποι	mens	άνθρωπος	N;PL	N;NOM;MASC;PL
mense	άτομα	mens	άτομο	N;PL	N;NOM;NEUT;PL
mense	ανθρώπους	mens	άνθρωπος	N;PL	N;ACC;MASC;PL
bestaan	υπάρχεις	bestaan	ύπαρχης	V;PRS	V;IPFV;IND;SG;3;PRS;FIN;ACT
bestaan	υπάρχω	bestaan	υπάρχω	V;PRS	V;IPFV;IND;SG;1;PRS;FIN;ACT
nasionale	εθνικός	nasionaal	εθνικός	ADJ;NOM	ADJ;NOM;MASC;SG
nasionale	εθνικό	nasionaal	εθνικός	ADJ;NOM	ADJ;NOM;NEUT;SG
nasionale	εθνικη	nasionaal	εθνικη	ADJ;NOM	ADJ;NOM;FEM;SG
nasionale	εθνική	nasionaal	εθνικός	ADJ;NOM	ADJ;NOM;FEM;SG
kom	ελα	kom	έλας	V;PRS	V;IPFV;IND;SG;1;PRS;FIN;ACT
kom	έλα	kom	έλας	V;PRS	V;IPFV;IND;SG;1;PRS;FIN;ACT
vanaf	απο	vanaf	απο	ADP	ADP
vanaf	από	vanaf	από	ADP	ADP
saam	μαζί	saam	μαζί	ADV	ADV
terwyl	ενώ	terwyl	ενώ	CONJ	CONJ
veral	ειδικά	veral	ειδικά	ADV	ADV
veral	ιδιαίτερα	veral	ιδιαίτερα	ADV	ADV
hier	εδω	hier	εδω	ADV	ADV
hier	εδώ	hier	εδώ	ADV	ADV
tyd	χρόνος	tyd	χρόνος	N;SG	N;NOM;MASC;SG
tyd	ώρα	tyd	ώρα	N;SG	N;ACC;FEM;SG
tyd	φορά	tyd	φορά	N;SG	N;ACC;FEM;SG
tyd	ωρα	tyd	ωρα	N;SG	N;ACC;FEM;SG
tyd	χρόνο	tyd	χρόνος	N;SG	N;ACC;MASC;SG
vlag	σημαία	vlag	σημαία	N;SG	N;NOM;FEM;SG
verskeie	διάφορες	verskeie	διάφορος	ADJ;NOM	ADJ;NOM;FEM;PL
staan	στέκεται	staan	στέκω	V;PRS	V;IPFV;IND;SG;3;PRS;FIN;PASS
staan	σταθεί	staan	στέκω	V;PRS	V;PFV;NFIN;PASS
dan	τότε	dan	τότε	ADV	ADV
dan	μετά	dan	μετά	ADV	ADV
bevolking	πληθυσμός	bevolking	πληθυσμός	N;SG	N;NOM;MASC;SG
bevolking	πληθυσμού	bevolking	πληθυσμός	N;SG	N;GEN;MASC;SG
gemaak	φτιαγμένο	maak	φτιαγμένος	V;PST;V.PTCP	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
gemaak	φτιαγμένη	maak	φτιαγμένος	V;PST;V.PTCP	V;PFV;NOM;FEM;SG;V.PTCP;PASS
gemaak	έκανε	maak	κάνω	V;PST;V.PTCP	V;PFV;IND;SG;3;PST;FIN;ACT
jare	χρονια	jaar	χρονος	N;PL	N;NOM;NEUT;PL
jare	ετη	jaar	εγώ	N;PL	N;NOM;NEUT;PL
jare	χρόνια	jaar	χρόνος	N;PL	N;NOM;NEUT;PL
jare	έτη	jaar	έτος	N;PL	N;NOM;NEUT;PL
amerikaanse	αμερικανική	amerikaans	αμερικάνικος	ADJ;NOM	ADJ;NOM;FEM;SG
amerikaanse	αμερικανός	amerikaans	Αμερικανός	ADJ;NOM	ADJ;NOM;MASC;SG
amerikaanse	αμερικάνος	amerikaans	αμερικάνος	ADJ;NOM	ADJ;NOM;MASC;SG
amerikaanse	αμερικάνικο	amerikaans	Αμερικάνικος	ADJ;NOM	ADJ;NOM;NEUT;SG
slegs	μόνον	slegs	μόνο	ADV	ADV
slegs	μόνο	slegs	μόνο	ADV	ADV
slegs	μονο	slegs	μονο	ADV	ADV
slegs	απλα	slegs	απλά	ADV	ADV
slegs	απλά	slegs	απλά	ADV	ADV
slegs	απλώς	slegs	απλά	ADV	ADV
gestig	ιδρύθηκε	stig	ιδρύω	V;PST;V.PTCP	V;PFV;IND;SG;3;PST;FIN;PASS
gestig	ίδρυσε	stig	ιδρύω	V;PST;V.PTCP	V;PFV;IND;SG;3;PST;FIN;ACT
reeds	ήδη	reeds	ήδη	ADV	ADV
reeds	ηδη	reeds	ηδη	ADV	ADV
nou	τώρα	nou	τώρα	ADV	ADV
nou	τωρα	nou	τωρα	ADV	ADV
gebore	γεννημένος	gebore	γεννημένος	V;PRS	V;PFV;NOM;MASC;SG;V.PTCP;PASS
provinsie	επαρχία	provinsie	επαρχία	N;SG	N;NOM;FEM;SG
provinsie	κομητεία	provinsie	κομητείο	N;SG	N;NOM;FEM;SG
provinsie	κράτος	provinsie	κράτος	N;SG	N;NOM;NEUT;SG
provinsie	πολιτεία	provinsie	πολιτεία	N;SG	N;ACC;FEM;SG
universiteit	πανεπιστήμιο	universiteit	πανεπιστήμιο	N;SG	N;NOM;NEUT;SG
universiteit	πανεπιστημιο	universiteit	πανεπιστημιο	N;SG	N;NOM;NEUT;SG
beskou	εξετάσει	beskou	εξετάζω	V;PRS	V;PFV;IND;SG;3;FIN;ACT
lewe	ζωή	lewe	ζωή	N;SG	N;ACC;FEM;SG
lewe	ζωη	lewe	ζωη	N;SG	N;ACC;FEM;SG
vier	γιορτάζει	vier	γιορτάζω	V;PRS	V;IPFV;IND;SG;3;PRS;FIN;ACT
vier	γιορτάζουν	vier	γιορτάζω	V;PRS	V;IPFV;IND;PL;3;PRS;FIN;ACT
vier	γιορτάζω	vier	γιορτάζω	V;PRS	V;IPFV;IND;SG;1;PRS;FIN;ACT
vier	γιορτάσουμε	vier	γιορτάσσω	V;PRS	V;PFV;IND;PL;1;FIN;ACT
vier	γιορτάζουν	vier	γιορτάζω	V;PRS	V;IPFV;IND;PL;3;PRS;FIN;ACT
franse	γαλλική	frans	γαλλική	ADJ;NOM	ADJ;NOM;FEM;SG
franse	γαλλικό	frans	γαλλικός	ADJ;NOM	ADJ;NOM;NEUT;SG
dood	θάνατος	dood	θάνατος	N;SG	N;NOM;MASC;SG
dood	θάνατο	dood	θάνατος	N;SG	N;ACC;MASC;SG
