som	像	som	像	ADP	ADP
også	還	også	還	ADV	ADV
også	也	også	也	ADV	ADV
også	太	også	太	ADV	ADV
lenker	枷鎖	lank	枷鎖	N;INDF;FEM;PL	N
lenker	鎖鏈	lank	鎖鏈	N;INDF;FEM;PL	N
lenker	鏈	lank	鏈	N;INDF;FEM;PL	N
lenker	鏈	lank	鏈	N;INDF;FEM;PL	N
lenker	鐵鍊	lank	鐵鍊	N;INDF;FEM;PL	N
andre	其他	annan	其他	DET;PL	DET
andre	其他	annan	其他	DET;PL	DET
dette	這	dette	這	PRO;NEUT;SG;3	PRO
sin	他	sin	他	PRO;MASC;SG	PRO;3
denne	這	denne	這	PRO;SG;3	PRO
hans	他	hans	他	PRO;NEUT;SG	PRO;3
alle	大家	alle	大家	PRO;PL;3	PRO
tidligere	先前	tidligere	先前	N;INDF;FEM;SG	N
tidligere	早	tidligere	早	N;INDF;FEM;SG	N
tidligere	先前	tidligere	先前	N;INDF;FEM;SG	N
tidligere	先前	tidligere	先前	N;INDF;FEM;SG	N
ligger	鋪設	ligger	鋪設	V;IND;PRS;FIN	V
død	死神	død	死神	N;INDF;MASC;SG	N
død	死	død	死	N;INDF;MASC;SG	N
del	共用	dele	共用	V;IMP;FIN	V
del	共享	dele	共享	V;IMP;FIN	V
del	分享	dele	分享	V;IMP;FIN	V
tre	三	tre	三	NUM;PL	NUM
tre	三	tre	三	NUM;PL	NUM
kjent	熟悉	kjent	熟悉	ADJ;INDF;NEUT;SG	ADJ
bare	只	bare	只	ADV	ADV
bare	只	bare	只	ADV	ADV
kommune	教區	kommune	教區	N;INDF;MASC;SG	N
kommune	市	kommune	市	N;INDF;MASC;SG	N
gjennom	透過	gjennom	透過	ADP	ADP
gjennom	通過	gjennom	通過	ADP	ADP
ord	詞	ord	詞	N;INDF;NEUT;PL	N
ord	單詞	ord	單詞	N;INDF;NEUT;PL	N
ord	字	ord	字	N;INDF;NEUT;PL	N
ord	單字	ord	單字	N;INDF;NEUT;PL	N
ord	詞語	ord	詞語	N;INDF;NEUT;PL	N
ord	字	ord	字	N;INDF;NEUT;PL	N
ord	詞	ord	詞	N;INDF;NEUT;PL	N
byen	城鎮	by	城鎮	N;DEF;MASC;SG	N
byen	鎮	by	鎮	N;DEF;MASC;SG	N
byen	城市	by	城市	N;DEF;MASC;SG	N
byen	市	by	市	N;DEF;MASC;SG	N
byen	城	by	城	N;DEF;MASC;SG	N
navn	名字	navn	名字	N;INDF;NEUT;SG	N
navn	名稱	navn	名稱	N;INDF;NEUT;SG	N
navn	姓名	navn	姓名	N;INDF;NEUT;SG	N
navn	人名	navn	人名	N;INDF;NEUT;SG	N
navn	名稱	navn	名稱	N;INDF;NEUT;SG	N
navn	姓名	navn	姓名	N;INDF;NEUT;SG	N
meter	公尺	meter	公尺	N;INDF;MASC;PL	N
meter	米	meter	米	N;INDF;MASC;PL	N
meter	公尺	meter	公尺	N;INDF;MASC;PL	N
dag	白天	dag	白天	N;INDF;MASC;SG	N
navnet	名字	navn	名字	N;DEF;NEUT;SG	N
navnet	名稱	navn	名稱	N;DEF;NEUT;SG	N
navnet	姓名	navn	姓名	N;DEF;NEUT;SG	N
plass	太空	plass	太空	N;INDF;MASC;SG	N
plass	空間	plass	空間	N;INDF;MASC;SG	N
bli	成	bli	成	V;IMP;FIN	V
bli	留	bli	留	V;IMP;FIN	V
bli	留下	bli	留下	V;IMP;FIN	V
bli	留下	bli	留下	V;IMP;FIN	V
nye	新	ny	新	ADJ;PL	ADJ
tid	時光	tid	時光	N;INDF;FEM;SG	N
tid	時間	tid	時間	N;INDF;FEM;SG	N
php	php	php	php	N;INDF;MASC;SG	N
mest	最多	mykje	最多	ADJ;INDF;RL	ADJ
mest	多數	mykje	多數	ADJ;INDF;RL	ADJ
gang	時光	gang	時光	N;INDF;MASC;SG	N
gang	時間	gang	時間	N;INDF;MASC;SG	N
stor	巨大	stor	巨大	ADJ;INDF;SG	ADJ
mål	目標	mål	目標	N;INDF;NEUT;SG	N
går	散步	gå	散步	V;IND;PRS;FIN	V
går	行走	gå	行走	V;IND;PRS;FIN	V
går	走路	gå	走路	V;IND;PRS;FIN	V
fire	四	fire	四	NUM;PL	NUM
fire	四	fire	四	NUM;PL	NUM
fire	四	fire	四	NUM;PL	NUM
gruppen	群組	grupp	群組	N;DEF;MASC;SG	N
gruppen	群	grupp	群	N;DEF;MASC;SG	N
deltok	出席	delta	出席	V;IND;PST;FIN	V
igjen	再次	igjen	再次	ADV	ADV
laget	團隊	lag	團隊	N;DEF;NEUT;SG	N
laget	球隊	lag	球隊	N;DEF;NEUT;SG	N
laget	隊伍	lag	隊伍	N;DEF;NEUT;SG	N
land	國家	land	國家	N;INDF;NEUT;SG	N
land	陸地	land	陸地	N;INDF;NEUT;SG	N
land	土地	land	土地	N;INDF;NEUT;SG	N
land	國家	land	國家	N;INDF;NEUT;SG	N
land	各國	land	各國	N;INDF;NEUT;SG	N
sommer	夏日	sommer	夏日	N;INDF;MASC;SG	N
sommer	夏季	sommer	夏季	N;INDF;MASC;SG	N
sommer	暑假	sommer	暑假	N;INDF;MASC;SG	N
sommer	夏天	sommer	夏天	N;INDF;MASC;SG	N
jpg	jpg	jpg	jpg	N;INDF;MASC;SG	N
liste	名單	liste	名單	N;INDF;FEM;SG	N
liste	清單	liste	清單	N;INDF;FEM;SG	N
side	側	side	側	N;INDF;FEM;SG	N
helt	英雄	helt	英雄	N;INDF;MASC;SG	N
beste	最好	god	最好	ADJ;DEF;RL	ADJ
grunn	理由	grunn	理由	N;INDF;MASC;SG	N
grunn	理性	grunn	理性	N;INDF;MASC;SG	N
grunn	原因	grunn	原因	N;INDF;MASC;SG	N
mindre	少	liten	少	ADJ;CMPR	ADJ
rekke	系列	rekke	系列	N;INDF;FEM;SG	N
landet	國家	land	國家	N;DEF;NEUT;SG	N
arter	魚種	arter	魚種	N;INDF;FEM;PL	N
arter	物種	arter	物種	N;INDF;FEM;PL	N
området	面積	område	面積	N;DEF;NEUT;SG	N
området	地區	område	地區	N;DEF;NEUT;SG	N
området	區域	område	區域	N;DEF;NEUT;SG	N
området	區	område	區	N;DEF;NEUT;SG	N
ned	向	ned	向	ADP	ADP
lag	團隊	lag	團隊	N;INDF;NEUT;SG	N
lag	球隊	lag	球隊	N;INDF;NEUT;SG	N
lag	隊伍	lag	隊伍	N;INDF;NEUT;SG	N
øst	東	øs	東	N;INDF;NEUT;SG	N
øst	東部	øs	東部	N;INDF;NEUT;SG	N
øst	東方	øs	東方	N;INDF;NEUT;SG	N
øst	東區	øs	東區	N;INDF;NEUT;SG	N
øst	東方	øs	東方	N;INDF;NEUT;SG	N
øst	東部	øs	東部	N;INDF;NEUT;SG	N
county	郡	county	郡	N;INDF;SG	N
