dari	سے	dari	سے	ADP	ADP
pada	قریب	pada	قریب	ADP	ADP;NOM;MASC;SG;3
pada	پاس	pada	پاس	ADP	ADP;NOM;MASC;SG;3
pada	قریب	pada	قریب	ADP	ADP;NOM;MASC;SG;3
pada	پاس	pada	پاس	ADP	ADP;NOM;MASC;SG;3
pada	پر	pada	پر	ADP	ADP
dengan	سے	dengan	سے	ADP	ADP
dengan	بمطابق	dengan	بمطابق	ADP	ADP
dengan	نزدیک	dengan	نزدیک	ADP	ADP;NOM;MASC;SG;3
dengan	براہِ	dengan	براہِ	ADP	ADP
dalam	اندر	dalam	اندر	ADP;SG	ADP;NOM;MASC;SG;3
untuk	بحوالہ	untuk	بحوالہ	ADP	ADP
untuk	بمناسبت	untuk	بمناسبت	ADP	ADP
untuk	بغرض	untuk	بغرض	ADP	ADP
tahun	زمانہ	tahun	زمانہ	N;SG	N;NOM;MASC;SG;3
tahun	برس	tahun	برس	N;SG	N;NOM;MASC;SG;3
oleh	بمطابق	oleh	بمطابق	ADP	ADP
oleh	نزدیک	oleh	نزدیک	ADP	ADP;NOM;MASC;SG;3
oleh	براہِ	oleh	براہِ	ADP	ADP
atau	لیکن	atau	لیکن	CONJ	CONJ
bagian	گروہ	bagian	گروہ	N;SG	N;NOM;MASC;SG;3
bagian	طبقہ	bagian	طبقہ	N;SG	N;NOM;MASC;SG;3
bagian	جزو	bagian	جزو	N;SG	N;NOM;MASC;SG;3
spesies	طبقہ	spesies	طبقہ	N;SG	N;NOM;MASC;SG;3
spesies	نوع	spesies	نوع	N;SG	N;NOM;MASC;SG;3
orang	فرد	orang	فرد	N;SG	N;NOM;MASC;SG;3
orang	شخص	orang	شخص	N;SG	N;NOM;MASC;SG;3
orang	فرد	orang	فرد	N;SG	N;NOM;MASC;SG;3
orang	آدمی	orang	آدمی	N;SG	N;NOM;MASC;SG;3
orang	قبیلہ	orang	قبیلہ	N;SG	N;NOM;MASC;SG;3
orang	نسل	orang	نسل	N;SG	N;NOM;MASC;SG;3
luar	بیرونی	luar	بیرونی	ADJ;SG	ADJ
kota	بلدیہ	kota	بلدیہ	N;SG	N;NOM;MASC;SG;3
pranala	واسطہ	pranala	واسطہ	N;SG	N;NOM;MASC;SG;3
karena	چونکہ	karena	چونکہ	CONJ	CONJ
desa	موضع	desa	موضع	N;SG	N;NOM;MASC;SG;3
desa	موضع	desa	موضع	N;SG	N;NOM;MASC;SG;3
nama	شہرت	nama	شہرت	N;SG	N;NOM;FEM;SG;3
nama	افکار	nama	فکر	N;SG	N;NOM;MASC;SG;3
nama	جگہ	nama	جگہ	N;SG	N;NOM;MASC;SG;3
setelah	مابعد	setelah	مابعد	ADP	ADP
setelah	بعد	setelah	بعد	ADP	ADP;NOM;MASC;SG;3
setelah	مابعد	setelah	مابعد	ADP	ADP
bahasa	زبان	bahasa	زبان	N;SG	N;NOM;MASC;SG;3
bahasa	زبان	bahasa	زبان	N;SG	N;NOM;MASC;SG;3
lain	دوسرا	lain	دوسرا	ADJ;SG	ADJ;NOM;MASC;SG
besar	بڑا	besar	بڑا	ADJ;SG	ADJ;NOM;MASC;SG
besar	اہم	besar	اہم	ADJ;SG	ADJ
besar	نمایاں	besar	نمایاں	ADJ;SG	ADJ
besar	اہم	besar	اہم	ADJ;SG	ADJ
besar	ممتاز	besar	ممتاز	ADJ;SG	ADJ
besar	شاندار	besar	شاندار	ADJ;SG	ADJ
besar	وسیع	besar	وسیع	ADJ;SG	ADJ
besar	پُرشکوہ	besar	پُرشکوہ	ADJ;SG	ADJ
besar	ماہر	besar	ماہر	ADJ;SG	ADJ
besar	نمایاں	besar	نمایاں	ADJ;SG	ADJ
besar	اہم	besar	اہم	ADJ;SG	ADJ
besar	ممتاز	besar	ممتاز	ADJ;SG	ADJ
besar	شاندار	besar	شاندار	ADJ;SG	ADJ
besar	وسیع	besar	وسیع	ADJ;SG	ADJ
besar	پُرشکوہ	besar	پُرشکوہ	ADJ;SG	ADJ
besar	ماہر	besar	ماہر	ADJ;SG	ADJ
besar	نمایاں	besar	نمایاں	ADJ;SG	ADJ
