冥王	pluton	冥王	pluton	N	N;NOM;MASC;SG
掩護	cover	掩護	cover	N	N;NOM;MASC;SG
掩護	zaklon	掩護	zaklon	N	N;NOM;MASC;SG
清潔	očisti	清潔	očist	V	V;IND;SG;3;PRS;FIN
長壽	dugovječnost	長壽	dugovječnost	N	N;NOM;FEM;SG
友誼	prijateljstvo	友誼	prijateljstvo	N	N;NOM;NEUT;SG
友誼	prijateljstva	友誼	prijateljstvo	N	N;NOM;NEUT;PL
甜蜜	slatko	甜蜜	slatko	N	N;NOM;NEUT;SG
甜蜜	milina	甜蜜	milina	N	N;NOM;FEM;SG
瘦	mršava	瘦	mršava	N	N;NOM;FEM;SG
瘦	slim	瘦	slim	N	N;NOM;MASC;SG
瘦	mršava	瘦	mršava	N	N;NOM;FEM;SG
甲烷	metana	甲烷	metan	N	N;GEN;MASC;SG
優質	kvalitet	優質	kvalitet	N	N;NOM;MASC;SG
優質	kvaliteta	優質	kvaliteta	N	N;NOM;FEM;SG
書法	kaligrafija	書法	kaligrafija	N	N;NOM;FEM;SG
船員	posada	船員	posada	N	N;NOM;FEM;SG
船員	ekipa	船員	ekipa	N	N;NOM;FEM;SG
前衛	prethodnica	前衛	prethodnica	N	N;NOM;FEM;SG
稀少	rijetki	稀少	rijedak	ADJ	ADJ;NOM;DEF;MASC;PL
山羊	kozu	山羊	koza	N	N;ACC;FEM;SG
山羊	jarac	山羊	jarac	N	N;NOM;MASC;SG
山羊	koza	山羊	koza	N	N;NOM;FEM;SG
山羊	koze	山羊	koza	N	N;NOM;FEM;PL
丟	baci	丟	baciti	V	V;IND;SG;3;PRS;FIN
財團	konzorcij	財團	konzorcij	N	N;NOM;MASC;SG
消化	probavlja	消化	probavljati	V	V;IND;SG;3;PRS;FIN
消化	probaviti	消化	probaviti	V	V;NFIN
成效	učinkovitost	成效	učinkovitost	N	N;NOM;FEM;SG
成效	efikasnost	成效	efikasnost	N	N;NOM;FEM;SG
樹木	stablo	樹木	stablo	N	N;NOM;NEUT;SG
樹木	drvo	樹木	drvo	N	N;NOM;NEUT;SG
樹木	stabla	樹木	stablo	N	N;NOM;NEUT;PL
樹木	drveće	樹木	drveće	N	N;NOM;NEUT;SG
陶器	lončarstvo	陶器	lončarstvo	N	N;NOM;NEUT;SG
租賃	leasing	租賃	leasing	N	N;NOM;MASC;SG
租賃	najam	租賃	najam	N	N;NOM;MASC;SG
租賃	iznajmljivanje	租賃	iznajmljivanje	N	N;NOM;NEUT;SG
租賃	najam	租賃	najam	N	N;NOM;MASC;SG
租賃	zakup	租賃	zakup	N	N;NOM;MASC;SG
胖	masti	胖	mast	N	N;NOM;FEM;PL
狹窄	uski	狹窄	uski	ADJ	ADJ;NOM;DEF;MASC;SG
狹窄	uska	狹窄	uska	ADJ	ADJ;NOM;DEF;FEM;SG
狹窄	uske	狹窄	uzak	ADJ	ADJ;NOM;DEF;FEM;PL
磚	cigle	磚	cigla	N	N;NOM;FEM;PL
磚	cigle	磚	cigla	N	N;NOM;FEM;PL
磚	brick	磚	brick	N	N;NOM;MASC;SG
