que	bahwa	que	bahwa	CONJ	CONJ
con	dengan	con	dengan	ADP	ADP
para	untuk	para	untuk	ADP	ADP
más	lebih	más	lebih	ADV	ADV
más	lagi	más	lagi	ADV	ADV
también	juga	también	juga	ADV	ADV
también	terlalu	también	terlalu	ADV	ADV
entre	antara	entre	antara	ADP	ADP
entre	diantara	entre	diantara	ADP	ADP
dos	dua	dos	dua	NUM;PL	NUM
son	adalah	ser	adalah	V;IND;PL;3;PRS;FIN	V
sobre	tentang	sobre	tentang	ADP	ADP;SG;ACT
sobre	sekitar	sobre	sekitar	ADP	ADP
año	tahun	año	tahun	N;MASC;SG	N;SG
desde	semenjak	desde	semenjak	ADP	ADP
desde	sejak	desde	sejak	ADP	ADP
desde	dari	desde	dari	ADP	ADP
enlaces	link	enlace	link	N;MASC;PL	N
hasta	hingga	hasta	hingga	ADP	ADP
hasta	sampai	hasta	sampai	ADP	ADP
ciudad	kotamadya	ciudad	kotamadya	N;FEM;SG	N;SG
ciudad	kota	ciudad	kota	N;FEM;SG	N;SG
ciudad	kota	ciudad	kota	N;FEM;SG	N;SG
parte	partai	parte	partai	N;FEM;SG	N;SG
parte	pesta	parte	pesta	N;FEM;SG	N;SG
parte	pihak	parte	pihak	N;FEM;SG	N;SG
parte	bagian	parte	bagian	N;FEM;SG	N;SG
durante	selama	durante	selama	ADP	ADP
sin	tanpa	sin	tanpa	ADP	ADP
nacional	nasional	nacional	nasional	ADJ;SG	ADJ;SG
team	tim	team	tim	N	N;SG
cuando	apabila	cuando	apabila	CONJ	CONJ
cuando	ketika	cuando	ketika	CONJ	CONJ
nombre	nama	nombre	nama	N;MASC;SG	N;SG
siglo	abad	siglo	abad	N;MASC;SG	N;SG
después	kemudian	después	kemudian	ADV	ADV
tiene	memiliki	tener	menmiliki	V;IND;SG;3;PRS;FIN	V;SG;ACT
gran	besar	gran	besar	ADJ;SG	ADJ;SG
gran	besar	gran	besar	ADJ;SG	ADJ;SG
gran	hebat	gran	hebat	ADJ;SG	ADJ;SG
gran	agung	gran	agung	ADJ;SG	ADJ;SG
estado	status	estado	status	N;MASC;SG	N;SG
estado	negara	estado	negara	N;MASC;SG	N;SG
estado	keadaan	estado	keadaan	N;MASC;SG	N;SG
estado	syarat	estado	syarat	N;MASC;SG	N;SG
estado	kondisi	estado	kondisi	N;MASC;SG	N;SG
lugar	tempat	lugar	tempat	N;MASC;SG	N;SG
lugar	lokasi	lugar	lokasi	N;MASC;SG	N;SG
población	penduduk	población	penduduk	N;FEM;SG	N;SG
población	populasi	población	populasi	N;FEM;SG	N;SG
muy	sangat	mucho	sangat	ADV	ADV
nueva	baru	nuevo	baru	ADJ;FEM;SG	ADJ;SG
historia	cerita	historia	cerita	N;FEM;SG	N;SG
historia	berita	historia	berita	N;FEM;SG	N;SG
historia	kisah	historia	kisah	N;FEM;SG	N;SG
historia	riwayat	historia	riwayat	N;FEM;SG	N
historia	sejarah	historia	sejarah	N;FEM;SG	N;SG
club	klub	club	klub	N;MASC;SG	N;SG
universidad	kuliah	universidad	kuliah	N;FEM;SG	N;SG
forma	bentuk	forma	bentuk	N;FEM;SG	N;SG
forma	formulir	forma	formulir	N;FEM;SG	N
forma	bentuk	forma	bentuk	N;FEM;SG	N;SG
tres	tiga	tres	tiga	NUM;PL	NUM
grupo	group	grupo	group	N;MASC;SG	N
grupo	grup	grupo	grup	N;MASC;SG	N;SG
grupo	kelompok	grupo	kelompok	N;MASC;SG	N;SG
general	jendral	general	jendral	N;SG	N
general	jenderal	general	jenderal	N;SG	N;SG
guerra	perang	guerra	perang	N;FEM;SG	N;SG
guerra	peperangan	guerra	peperangan	N;FEM;SG	N
guerra	perang	guerra	perang	N;FEM;SG	N;SG
guerra	peperangan	guerra	peperangan	N;FEM;SG	N
aunque	meskipun	aunque	meskipun	CONJ	CONJ
aunque	walaupun	aunque	walaupun	CONJ	CONJ
aunque	meskipun	aunque	meskipun	CONJ	CONJ
aunque	walaupun	aunque	walaupun	CONJ	CONJ
aunque	meski	aunque	meski	CONJ	CONJ
tras	setelah	tras	setelah	ADP	ADP
familia	keluarga	familia	keluarga	N;FEM;SG	N;SG
familia	keluarga	familia	keluarga	N;FEM;SG	N;SG
familia	famili	familia	famili	N;FEM;SG	N;SG
además	juga	además	juga	ADV	ADV
sur	selatan	sur	selatan	N;MASC;SG	N;SG
sur	selatan	sur	selatan	N;MASC;SG	N;SG
tiempo	cuaca	tiempo	cuaca	N;MASC;SG	N;SG
tiempo	kali	tiempo	kali	N;MASC;SG	N;SG
tiempo	waktu	tiempo	waktu	N;MASC;SG	N;SG
tiempo	waktunya	tiempo	waktu	N;MASC;SG	N;SG
provincia	propinsi	provincia	propinsi	N;FEM;SG	N;SG
partido	partai	partido	partai	N;MASC;SG	N;SG
partido	pesta	partido	pesta	N;MASC;SG	N;SG
partido	pihak	partido	pihak	N;MASC;SG	N;SG
partido	korek	partido	korek	N;MASC;SG	N;SG;ACT
partido	pertandingan	partido	pertandingan	N;MASC;SG	N;SG
partido	kecocokan	partido	kecocokan	N;MASC;SG	N;SG
contra	melawan	contra	menlawan	ADP	ADP;SG;ACT
contra	terhadap	contra	terhadap	ADP	ADP
encuentra	temukan	encontrar	temukan	V;IND;SG;3;PRS;FIN	V;SG;ACT
encuentra	cari	encontrar	cari	V;IND;SG;3;PRS;FIN	V;SG;ACT
municipio	kotamadya	municipio	kotamadya	N;MASC;SG	N;SG
municipio	kotamadya	municipio	kotamadya	N;MASC;SG	N;SG
municipio	munisipalitas	municipio	munisipalitas	N;MASC;SG	N
bajo	dibawah	bajo	dibawah	ADP	ADP;SG;PASS
serie	deret	serie	deret	N;FEM;SG	N;SG
serie	seri	serie	seri	N;FEM;SG	N;SG
serie	serial	serie	serial	N;FEM;SG	N
fútbol	sepakbola	fútbol	sepakbola	N;MASC;SG	N;SG
fútbol	sepakbola	fútbol	sepakbola	N;MASC;SG	N;SG
equipo	perlengkapan	equipo	perlengkapan	N;MASC;SG	N;SG
equipo	peralatan	equipo	peralatan	N;MASC;SG	N;SG
equipo	tim	equipo	tim	N;MASC;SG	N;SG
inglés	english	inglés	english	N;MASC;SG	N
nuevo	baru	nuevo	baru	ADJ;MASC;SG	ADJ;SG
véase	lihat	véase	lihat	V;SBJV;SG;3;PRS;FIN	V;SG;ACT
septiembre	september	septiembre	september	N	N;SG
discusión	diskusi	discusión	diskusi	N;FEM;SG	N;SG
gobierno	pemerintahan	gobierno	penperintahan	N;MASC;SG	N;SG
gobierno	pemerintah	gobierno	penperintah	N;MASC;SG	N;SG
gobierno	pemerintahan	gobierno	penperintahan	N;MASC;SG	N;SG
condado	kabupaten	condado	kabupaten	N;MASC;SG	N;SG
condado	daerah	condado	daerah	N;MASC;SG	N;SG
condado	powiat	condado	powiat	N;MASC;SG	N
final	akhir	final	akhir	N;MASC;SG	N;SG
final	final	final	final	N;MASC;SG	N
final	final	final	final	N;MASC;SG	N
final	final	final	final	N;MASC;SG	N
vida	kehidupan	vida	kehidupan	N;FEM;SG	N;SG
vida	hidup	vida	hidup	N;FEM;SG	N;SG
centro	pusat	centro	pusat	N;MASC;SG	N;SG
centro	pusat	centro	pusat	N;MASC;SG	N;SG
julio	juli	julio	juli	N	N;SG
país	negara	país	negara	N;MASC;SG	N;SG
mientras	sementara	mientras	sementara	CONJ	CONJ
web	website	web	website	N;FEM;SG	N;SG
web	web	web	web	N;FEM;SG	N
internacional	internasional	internacional	internasional	ADJ;SG	ADJ;SG
santa	suci	santo	suci	ADJ;FEM;SG	ADJ;SG
antes	sebelumnya	antes	sebelumnya	ADV	ADV
antes	sebelumnya	antes	sebelumnya	ADV	ADV
oficial	resmi	oficial	resmi	ADJ;SG	ADJ;SG
mundo	dunia	mundo	dunia	N;MASC;SG	N;SG
embargo	embargo	embargo	embargo	N;MASC;SG	N;SG
mayo	mayones	mayo	mayones	N	N;SG
temporada	musiman	temporada	musiman	N;FEM;SG	N;SG
temporada	musim	temporada	musim	N;FEM;SG	N;SG
temporada	musimnya	temporada	musim	N;FEM;SG	N;SG
luego	kemudian	luego	kemudian	ADV	ADV
marzo	maret	marzo	maret	N	N;SG
día	siang	día	siang	N;MASC;SG	N;SG
día	hari	día	hari	N;MASC;SG	N;SG
enero	januari	enero	januari	N	N;SG
número	angka	número	angka	N;MASC;SG	N;SG
número	nomor	número	nomor	N;MASC;SG	N;SG
número	bilangan	número	bilangan	N;MASC;SG	N;SG
agosto	agustus	agosto	agustus	N	N;SG
agosto	agustus	agosto	agustus	N	N;SG
diciembre	desember	diciembre	desember	N	N;SG
artículo	pasal	artículo	pasal	N;MASC;SG	N;SG
artículo	artikel	artículo	artikel	N;MASC;SG	N;SG
artículo	barang	artículo	barang	N;MASC;SG	N;SG
artículo	item	artículo	item	N;MASC;SG	N
noviembre	nopember	noviembre	nopember	N	N
región	daerah	región	daerah	N;FEM;SG	N;SG
región	wilayah	región	wilayah	N;FEM;SG	N;SG
región	region	región	region	N;FEM;SG	N
región	kawasan	región	kawasan	N;FEM;SG	N;SG
sistema	sistem	sistema	sistem	N;MASC;SG	N;SG
sistema	system	sistema	system	N;MASC;SG	N
real	nyata	real	nyata	ADJ;SG	ADJ;SG
página	halaman	página	halaman	N;FEM;SG	N;SG
mundial	global	mundial	global	ADJ;SG	ADJ
música	musik	música	musik	N;FEM;SG	N;SG
presidente	ketua	presidente	ketua	N;MASC;SG	N;SG
presidente	presiden	presidente	presiden	N;MASC;SG	N;SG
casa	rumah	casa	rumah	N;FEM;SG	N;SG
casa	rumah	casa	rumah	N;FEM;SG	N;SG
sólo	saja	sólo	saja	ADV	ADV
sólo	hanya	sólo	hanya	ADV	ADV
sólo	hanya	sólo	hanya	ADV	ADV
álbum	album	álbum	album	N;MASC;SG	N;SG
cuenta	hitunglah	contar	hitung	V;IND;SG;3;PRS;FIN	V;SG;ACT
cuenta	dihitung	contar	dihitung	V;IND;SG;3;PRS;FIN	V;SG;PASS
junio	juni	junio	juni	N	N;SG
febrero	februari	febrero	februari	N	N;SG
febrero	pebruari	febrero	pebruari	N	N;SG
ella	nya	él	nya	PRO;FEM;SG;3	PRO
solo	saja	solo	saja	ADV	ADV
solo	hanya	solo	hanya	ADV	ADV
solo	hanya	solo	hanya	ADV	ADV
tipo	jenis	tipo	jenis	N;MASC;SG	N;SG
tipo	tipe	tipo	tipe	N;MASC;SG	N;SG
obra	pekerjaan	obra	pekerjaan	N;FEM;SG	N;SG
obra	kerja	obra	kerja	N;FEM;SG	N;SG
iglesia	gereja	iglesia	gereja	N;FEM;SG	N;SG
película	bioskop	película	bioskop	N;FEM;SG	N
película	film	película	film	N;FEM;SG	N;SG
película	film	película	film	N;FEM;SG	N;SG
entonces	kemudian	entonces	kemudian	ADV	ADV
banda	band	banda	band	N;FEM;SG	N
banda	geng	banda	geng	N;FEM;SG	N;SG
banda	gang	banda	gang	N;FEM;SG	N
cuatro	empat	cuatro	empat	NUM;PL	NUM
zona	zona	zona	zona	N;FEM;SG	N;SG
zona	daerah	zona	daerah	N;FEM;SG	N;SG
zona	wilayah	zona	wilayah	N;FEM;SG	N;SG
zona	luas	zona	luas	N;FEM;SG	N;SG
zona	kawasan	zona	kawasan	N;FEM;SG	N;SG
zona	area	zona	area	N;FEM;SG	N;SG
televisión	televisi	televisión	televisi	N;FEM;SG	N;SG
principal	utama	principal	utama	ADJ;SG	ADJ;SG
rey	juragan	rey	juragan	N;MASC;SG	N;SG
premio	prize	premio	prize	N;MASC;SG	N
premio	penghargaan	premio	penhargaan	N;MASC;SG	N;SG
premio	award	premio	award	N;MASC;SG	N
edición	sunting	edición	sunting	N;FEM;SG	N
edición	edition	edición	edition	N;FEM;SG	N
edición	edisi	edición	edisi	N;FEM;SG	N;SG
edición	editing	edición	editing	N;FEM;SG	N
edición	penyuntingan	edición	penyuntingan	N;FEM;SG	N
edición	mengedit	edición	mengedit	N;FEM;SG	N;SG
premios	award	premio	award	N;MASC;PL	N
sitio	website	sitio	website	N;MASC;SG	N;SG
sitio	pengepungan	sitio	penkepungan	N;MASC;SG	N;SG
sitio	kepung	sitio	kepung	N;MASC;SG	N;SG;ACT
sitio	situs	sitio	situs	N;MASC;SG	N;SG
mar	laut	mar	laut	N;SG	N;SG
mar	lautan	mar	lautan	N;SG	N;SG
mar	laut	mar	laut	N;SG	N;SG
poco	sedikit	poco	sedikit	ADV	ADV;SG
orden	pesanan	orden	pesanan	N;MASC;SG	N;SG
orden	pemesanan	orden	penpesanan	N;MASC;SG	N;SG
orden	urutan	orden	urutan	N;MASC;SG	N;SG
agua	air	agua	air	N;FEM;SG	N;SG
tierra	bumi	tierra	bumi	N;FEM;SG	N;SG
tierra	daratan	tierra	daratan	N;FEM;SG	N;SG
tierra	tanah	tierra	tanah	N;FEM;SG	N;SG
tierra	tanah	tierra	tanah	N;FEM;SG	N;SG
tierra	tanahnya	tierra	tanah	N;FEM;SG	N;SG
título	gelar	título	gelar	N;MASC;SG	N;SG;ACT
título	jabatan	título	jabatan	N;MASC;SG	N;SG
título	judul	título	judul	N;MASC;SG	N;SG
ellos	mereka	él	mereka	PRO;MASC;PL;3	PRO;PL;3
ellos	mereka	él	mereka	PRO;MASC;PL;3	PRO;PL;3
earth	bumi	earth	bumi	N	N;SG
división	divisi	división	divisi	N;FEM;SG	N;SG
división	pembagian	división	penbagian	N;FEM;SG	N;SG
canción	lagu	canción	lagu	N;FEM;SG	N;SG
fecha	tanggal	fecha	tanggal	N;FEM;SG	N;SG;ACT
república	republik	república	republik	N;FEM;SG	N
