kanıtlar	beviser	kanıt	bevis	N;NOM;PL;3	N;INDF;NEUT;PL
tanıtımı	promovering	tanıtım	promovering	N;NOM;SG;3	N;INDF;MASC+FEM;SG
tanıtımı	forfremmet	tanıtım	forfrem	N;NOM;SG;3	N;DEF;NEUT;SG
tanıtımı	promovering	tanıtım	promovering	N;NOM;SG;3	N;INDF;MASC+FEM;SG
tanıtımı	forfremmelse	tanıtım	forfremmelse	N;NOM;SG;3	N;INDF;MASC+FEM;SG
duvarları	vægge	duvar	vægge	N;ACC;PL;3	N;INDF;MASC+FEM;PL
duvarları	væggene	duvar	væg	N;ACC;PL;3	N;DEF;MASC+FEM;PL
duvarları	mure	duvar	mur	N;ACC;PL;3	N;INDF;MASC+FEM;PL
çekirdeği	kernen	çekir	kerne	N;NOM;SG;3	N;DEF;MASC+FEM;SG
çekirdeği	kerne	çekir	kerne	N;NOM;SG;3	N;INDF;MASC+FEM;SG
çekirdeği	kernen	çekir	kerne	N;NOM;SG;3	N;DEF;MASC+FEM;SG
çekirdeği	kerne	çekir	kerne	N;NOM;SG;3	N;INDF;MASC+FEM;SG
müslümanların	muslimerne	müslüman	muslim	N;GEN;PL;3	N;DEF;MASC+FEM;PL
müslümanların	muslimer	müslüman	muslim	N;GEN;PL;3	N;INDF;MASC+FEM;PL
üstünlük	overlegenhed	üstünlük	overlegenhed	N;NOM;SG;3	N;INDF;MASC+FEM;SG
üstünlük	dominans	üstünlük	dominans	N;NOM;SG;3	N;INDF;MASC+FEM;SG
patinaj	skøjteløb	patinaj	skøjteløb	N;NOM;SG;3	N;INDF;NEUT;SG
patinaj	skøjte	patinaj	skøje	N;NOM;SG;3	N;INDF;MASC+FEM;SG
kürtler	kurderne	kürt	kurde	N;NOM;PL;3	N;DEF;MASC+FEM;PL
kürtler	kurdere	kürt	kurder	N;NOM;PL;3	N;INDF;MASC+FEM;PL
belgeler	dokumenter	belge	dokument	N;NOM;PL;3	N;INDF;NEUT;PL
belgeler	dokumenterne	belge	dokument	N;NOM;PL;3	N;DEF;NEUT;PL
geyik	elg	geyik	elg	N;NOM;SG;3	N;INDF;MASC+FEM;SG
geyik	elg	geyik	elg	N;NOM;SG;3	N;INDF;MASC+FEM;SG
geyik	rådyr	geyik	rådyr	N;NOM;SG;3	N;INDF;NEUT;SG
siteleri	sites	site	sites	N;ACC;PL;3	N;INDF;MASC+FEM;PL
siteleri	lokaliteter	site	lokalitet	N;ACC;PL;3	N;INDF;MASC+FEM;PL
siteleri	hjemmesider	site	hjemmeside	N;ACC;PL;3	N;INDF;MASC+FEM;PL
siteleri	websteder	site	websted	N;ACC;PL;3	N;INDF;NEUT;PL
siteleri	websites	site	websites	N;ACC;PL;3	N;INDF;NEUT;PL
siteleri	websider	site	webside	N;ACC;PL;3	N;INDF;MASC+FEM;PL
noktalar	prikker	nokta	prikke	N;NOM;PL;3	N;INDF;MASC+FEM;PL
noktalar	punkterne	nokta	punkt	N;NOM;PL;3	N;DEF;NEUT;PL
noktalar	pointer	nokta	pointer	N;NOM;PL;3	N;INDF;MASC+FEM;PL
noktalar	punkter	nokta	punkt	N;NOM;PL;3	N;INDF;NEUT;PL
noktalar	pletter	nokta	plet	N;NOM;PL;3	N;INDF;MASC+FEM;PL
koltuk	lænestol	koltuk	lænestol	N;NOM;SG;3	N;INDF;MASC+FEM;SG
koltuk	sæde	koltuk	sæde	N;NOM;SG;3	N;INDF;NEUT;SG
koltuk	plads	koltuk	plads	N;NOM;SG;3	N;INDF;MASC+FEM;SG
koltuk	seat	koltuk	seat	N;NOM;SG;3	N;INDF;MASC+FEM;SG
koltuk	sofa	koltuk	sofa	N;NOM;SG;3	N;INDF;MASC+FEM;SG
koltuk	stol	koltuk	stol	N;NOM;SG;3	N;INDF;MASC+FEM;SG
koltuk	stolen	koltuk	stol	N;NOM;SG;3	N;DEF;MASC+FEM;SG
koltuk	sofa	koltuk	sofa	N;NOM;SG;3	N;INDF;MASC+FEM;SG
kayak	ski	kayak	ski	N;NOM;SG;3	N;INDF;NEUT;SG
kayak	ski	kayak	ski	N;NOM;SG;3	N;INDF;NEUT;SG
kayak	ski	kayak	ski	N;NOM;SG;3	N;INDF;NEUT;SG
çevreleyen	omgiver	çevrele	omgive	V;PFV;IND;POS;PRS;V.PTCP	V;IND;PRS;FIN;ACT
fikirleri	meninger	fikir	mening	N;NOM;PL;3	N;INDF;MASC+FEM;PL
fikirleri	udtalelser	fikir	udtalelse	N;NOM;PL;3	N;INDF;MASC+FEM;PL
fikirleri	ideer	fikir	ide	N;NOM;PL;3	N;INDF;MASC+FEM;PL
fikirleri	forestillinger	fikir	forestilling	N;NOM;PL;3	N;INDF;MASC+FEM;PL
fikirleri	idéer	fikir	idé	N;NOM;PL;3	N;INDF;MASC+FEM;PL
politikalar	politikker	politika	politik	N;NOM;PL;3	N;INDF;MASC+FEM;PL
politikalar	politikkerne	politika	politik	N;NOM;PL;3	N;DEF;MASC+FEM;PL
dosyası	file	dosya	file	N;NOM;SG;3	N;INDF;MASC+FEM;SG
dosyası	filen	dosya	fil	N;NOM;SG;3	N;DEF;MASC+FEM;SG
dosyası	fil	dosya	fil	N;NOM;SG;3	N;INDF;MASC+FEM;SG
cehennem	helvede	cehenne	helvede	N;NOM;SG;3	N;INDF;NEUT;SG
cehennem	inferno	cehenne	inferno	N;NOM;SG;3	N;INDF;NEUT;SG
yıkıldı	hærget	yıkıl	hærget	V;PFV;IND;SG;3;POS;PST;PASS	V;INDF;SG;PST;V.PTCP
kompozisyon	essay	kompozisyon	essay	N;NOM;SG;3	N;INDF;NEUT;SG
kompozisyon	komposition	kompozisyon	komposition	N;NOM;SG;3	N;INDF;MASC+FEM;SG
kompozisyon	sammensætning	kompozisyon	sammensætning	N;NOM;SG;3	N;INDF;MASC+FEM;SG
savundu	forsvares	savun	forsvare	V;PFV;IND;SG;3;POS;PST	V;NFIN;PASS
savundu	forsvarede	savun	forsvare	V;PFV;IND;SG;3;POS;PST	V;IND;PST;FIN;ACT
