ben	本	ben	本		
csak	只	csak	只	ADV	ADV
csak	只	csak	只	ADV	ADV
még	甚至	még	甚至	ADV	ADV
még	仍然	még	仍然	ADV	ADV
még	依然	még	依然	ADV	ADV
település	村	település	村	N;NOM;SG	N
település	鄉村	település	鄉村	N;NOM;SG	N
település	村	település	村	N;NOM;SG	N
település	村落	település	村落	N;NOM;SG	N
település	村子	település	村子	N;NOM;SG	N
település	市	település	市	N;NOM;SG	N
már	已經	már	已經	ADV	ADV
ország	國家	ország	國家	N;NOM;SG	N
évek	歲	év	歲	N;NOM;PL	N
évek	年份	év	年份	N;NOM;PL	N
klub	幫會	klub	幫會	N;NOM;SG	N
klub	俱樂部	klub	俱樂部	N;NOM;SG	N
információk	資訊	információ	資訊	N;NOM;PL	N
született	生	születik	生	V;INDF;IND;SG;3;PST;FIN;ACT	V
született	誕生	születik	誕生	V;INDF;IND;SG;3;PST;FIN;ACT	V
született	出生	születik	出生	V;INDF;IND;SG;3;PST;FIN;ACT	V
vita	辯論	vita	辯論	N;NOM;SG	N
vita	爭端	vita	爭端	N;NOM;SG	N
vita	糾紛	vita	糾紛	N;NOM;SG	N
vita	爭議	vita	爭議	N;NOM;SG	N
aki	誰	aki	誰	PRO;NOM;SG;3	PRO
ezt	這	ez	這	PRO;ACC;SG;3	PRO
akkor	然後	akkor	然後	ADV	ADV
akkor	那麼	akkor	那麼	ADV	ADV
fájl	文件	fájl	文件	N;NOM;SG	N
fájl	檔案	fájl	檔案	N;NOM;SG	N
kell	需要	kell	需要	V;INDF;IND;SG;3;PRS;FIN;ACT	V
kell	需要	kell	需要	V;INDF;IND;SG;3;PRS;FIN;ACT	V
csapat	團隊	csapat	團隊	N;NOM;SG	N
csapat	球隊	csapat	球隊	N;NOM;SG	N
csapat	隊伍	csapat	隊伍	N;NOM;SG	N
cikkek	文章	cikk	文章	N;NOM;PL	N
város	城鎮	város	城鎮	N;NOM;SG	N
város	鎮	város	鎮	N;NOM;SG	N
város	城市	város	城市	N;NOM;SG	N
város	市	város	市	N;NOM;SG	N
város	城	város	城	N;NOM;SG	N
három	三	három	三	NUM;NOM;SG	NUM
három	三	három	三	NUM;NOM;SG	NUM
díj	費用	díj	費用	N;NOM;SG	N
díj	收費	díj	收費	N;NOM;SG	N
díj	費	díj	費	N;NOM;SG	N
díj	獎品	díj	獎品	N;NOM;SG	N
díj	獎賞	díj	獎賞	N;NOM;SG	N
díj	獎	díj	獎	N;NOM;SG	N
díj	獎	díj	獎	N;NOM;SG	N
kép	照片	kép	照片	N;NOM;SG	N
kép	圖片	kép	圖片	N;NOM;SG	N
kép	影象	kép	影象	N;NOM;SG	N
kép	影像	kép	影像	N;NOM;SG	N
kép	圖片	kép	圖片	N;NOM;SG	N
kép	像片	kép	像片	N;NOM;SG	N
kép	照片	kép	照片	N;NOM;SG	N
század	公司	század	公司	N;NOM;SG	N
század	中隊	század	中隊	N;NOM;SG	N
század	世紀	század	世紀	N;NOM;SG	N
végeredmény	成果	végeredmény	成果	N;NOM;SG	N
végeredmény	結果	végeredmény	結果	N;NOM;SG	N
szövetség	聯盟	szövetség	聯盟	N;NOM;SG	N
szövetség	同盟	szövetség	同盟	N;NOM;SG	N
szövetség	聯邦	szövetség	聯邦	N;NOM;SG	N
szövetség	協會	szövetség	協會	N;NOM;SG	N
nagyon	非常	nagyon	非常	ADV	ADV
templom	神廟	templom	神廟	N;NOM;SG	N
templom	寺	templom	寺	N;NOM;SG	N
templom	寺廟	templom	寺廟	N;NOM;SG	N
templom	廟	templom	廟	N;NOM;SG	N
templom	聖殿	templom	聖殿	N;NOM;SG	N
templom	教會	templom	教會	N;NOM;SG	N
templom	教堂	templom	教堂	N;NOM;SG	N
család	家人	család	家人	N;NOM;SG	N
család	家屬	család	家屬	N;NOM;SG	N
család	家庭	család	家庭	N;NOM;SG	N
falu	村	falu	村	N;NOM;SG	N
falu	鄉村	falu	鄉村	N;NOM;SG	N
falu	村	falu	村	N;NOM;SG	N
falu	村落	falu	村落	N;NOM;SG	N
falu	村子	falu	村子	N;NOM;SG	N
neve	名字	név	名字	N;NOM;SG	N
neve	名稱	név	名稱	N;NOM;SG	N
neve	姓名	név	姓名	N;NOM;SG	N
halál	死神	halál	死神	N;NOM;SG	N
szett	集	szett	集	N;NOM;SG	N
film	電影	film	電影	N;NOM;SG	N
film	影片	film	影片	N;NOM;SG	N
film	電影	film	電影	N;NOM;SG	N
film	膠片	film	膠片	N;NOM;SG	N
film	影片	film	影片	N;NOM;SG	N
négy	四	négy	四	NUM;NOM;SG	NUM
négy	四	négy	四	NUM;NOM;SG	NUM
négy	四	négy	四	NUM;NOM;SG	NUM
eredeti	原文	eredeti	原文	N;NOM;SG	N
eredeti	原件	eredeti	原件	N;NOM;SG	N
eredeti	原創	eredeti	原創	N;NOM;SG	N
eredeti	原始	eredeti	原始	N;NOM;SG	N
éve	年度	év	年度	N;NOM;SG	N
éve	年份	év	年份	N;NOM;SG	N
éve	年	év	年	N;NOM;SG	N
áll	站立	áll	站立	V;INDF;IND;SG;3;PRS;FIN;ACT	V
nagyobb	更大	nagy	更大	ADJ;NOM;CMPR;SG	ADJ
nagyobb	較高	nagy	較高	ADJ;NOM;CMPR;SG	ADJ
nagyobb	更高	nagy	更高	ADJ;NOM;CMPR;SG	ADJ
jegyzőkönyv	分鐘	jegyzőkönyv	分鐘	N;NOM;SG	N
bajnokság	錦標	bajnokság	錦標	N;NOM;SG	N
bajnokság	錦標	bajnokság	錦標	N;NOM;SG	N
szó	詞	szó	詞	N;NOM;SG	N
szó	單詞	szó	單詞	N;NOM;SG	N
szó	字	szó	字	N;NOM;SG	N
szó	單字	szó	單字	N;NOM;SG	N
kiadó	房租	kiadó	房租	N;NOM;SG	N
kiadó	租	kiadó	租	N;NOM;SG	N
kiadó	租金	kiadó	租金	N;NOM;SG	N
sorozat	系列	sorozat	系列	N;NOM;SG	N
sorozat	串列	sorozat	串列	N;NOM;SG	N
lap	日誌	lap	日誌	N;NOM;SG	N
lap	日刊	lap	日刊	N;NOM;SG	N
lap	日記	lap	日記	N;NOM;SG	N
lap	期刊	lap	期刊	N;NOM;SG	N
lap	標籤	lap	標籤	N;NOM;SG	N
száma	數字	szám	數字	N;NOM;SG	N
száma	數	szám	數	N;NOM;SG	N
száma	號碼	szám	號碼	N;NOM;SG	N
száma	編號	szám	編號	N;NOM;SG	N
község	市	község	市	N;NOM;SG	N
csoport	群組	csoport	群組	N;NOM;SG	N
csoport	群	csoport	群	N;NOM;SG	N
író	作家	író	作家	N;NOM;SG	N
író	作者	író	作者	N;NOM;SG	N
író	編劇	író	編劇	N;NOM;SG	N
író	作者	író	作者	N;NOM;SG	N
épült	建	épül	建	V;INDF;IND;SG;3;PST;FIN;ACT	V
férfi	男性	férfi	男性	N;NOM;SG	N
férfi	男	férfi	男	N;NOM;SG	N
férfi	男性	férfi	男性	N;NOM;SG	N
férfi	男人	férfi	男人	N;NOM;SG	N
férfi	男子	férfi	男子	N;NOM;SG	N
férfi	人	férfi	人	N;NOM;SG	N
férfi	男人	férfi	男人	N;NOM;SG	N
ember	人類	ember	人類	N;NOM;SG	N
ember	人	ember	人	N;NOM;SG	N
ember	男人	ember	男人	N;NOM;SG	N
fontos	重要	fontos	重要	ADJ;NOM;SG	ADJ
faj	比賽	faj	比賽	N;NOM;SG	N
faj	賽	faj	賽	N;NOM;SG	N
faj	種族	faj	種族	N;NOM;SG	N
faj	競賽	faj	競賽	N;NOM;SG	N
faj	魚種	faj	魚種	N;NOM;SG	N
faj	物種	faj	物種	N;NOM;SG	N
újra	再次	újra	再次	ADV	ADV
kellett	需要	kell	需要	V;INDF;IND;SG;3;PST;FIN;ACT	V
stadion	體育	stadion	體育	N;NOM;SG	N
stadion	球場	stadion	球場	N;NOM;SG	N
rendező	主任	rendező	主任	N;NOM;SG	N
rendező	司長	rendező	司長	N;NOM;SG	N
helyszín	地點	helyszín	地點	N;NOM;SG	N
helyszín	場地	helyszín	場地	N;NOM;SG	N
helyszín	會場	helyszín	會場	N;NOM;SG	N
helyszín	位置	helyszín	位置	N;NOM;SG	N
helyszín	地點	helyszín	地點	N;NOM;SG	N
helyszín	網站	helyszín	網站	N;NOM;SG	N
helyszín	工地	helyszín	工地	N;NOM;SG	N
nyelv	舌頭	nyelv	舌頭	N;NOM;SG	N
nyelv	舌	nyelv	舌	N;NOM;SG	N
nyelv	語言	nyelv	語言	N;NOM;SG	N
nyelv	語	nyelv	語	N;NOM;SG	N
nyelv	語文	nyelv	語文	N;NOM;SG	N
háború	戰	háború	戰	N;NOM;SG	N
háború	戰爭	háború	戰爭	N;NOM;SG	N
jobb	更好	jó	更好	ADJ;NOM;CMPR;SG	ADJ
dátum	日期	dátum	日期	N;NOM;SG	N
dátum	約會	dátum	約會	N;NOM;SG	N
egyetem	大學	egyetem	大學	N;NOM;SG	N
egyetem	學院	egyetem	學院	N;NOM;SG	N
egyetem	書院	egyetem	書院	N;NOM;SG	N
egyetem	大學	egyetem	大學	N;NOM;SG	N
hely	地方	hely	地方	N;NOM;SG	N
hely	地點	hely	地點	N;NOM;SG	N
hely	位置	hely	位置	N;NOM;SG	N
hely	地點	hely	地點	N;NOM;SG	N
lista	名單	lista	名單	N;NOM;SG	N
lista	清單	lista	清單	N;NOM;SG	N
utca	街頭	utca	街頭	N;NOM;SG	N
utca	街道	utca	街道	N;NOM;SG	N
utca	街	utca	街	N;NOM;SG	N
szám	數字	szám	數字	N;NOM;SG	N
szám	數	szám	數	N;NOM;SG	N
szám	號碼	szám	號碼	N;NOM;SG	N
szám	編號	szám	編號	N;NOM;SG	N
keresztül	透過	keresztül	透過	ADP	ADP
keresztül	通過	keresztül	通過	ADP	ADP
nap	太陽	nap	太陽	N;NOM;SG	N
nap	陽光	nap	陽光	N;NOM;SG	N
nap	白天	nap	白天	N;NOM;SG	N
története	動態	történet	動態	N;NOM;SG	N
története	故事	történet	故事	N;NOM;SG	N
múzeum	博物	múzeum	博物	N;NOM;SG	N
múzeum	博物	múzeum	博物	N;NOM;SG	N
tartozott	屬	tartozik	屬	V;INDF;IND;SG;3;PST;FIN;ACT	V
forrás	來源	forrás	來源	N;NOM;SG	N
forrás	資源	forrás	資源	N;NOM;SG	N
forrás	來源	forrás	來源	N;NOM;SG	N
név	名字	név	名字	N;NOM;SG	N
név	名稱	név	名稱	N;NOM;SG	N
név	姓名	név	姓名	N;NOM;SG	N
kupa	盃	kupa	盃	N;NOM;SG	N
kupa	杯	kupa	杯	N;NOM;SG	N
kupa	杯子	kupa	杯子	N;NOM;SG	N
terület	領地	terület	領地	N;NOM;SG	N
terület	領土	terület	領土	N;NOM;SG	N
terület	面積	terület	面積	N;NOM;SG	N
terület	地區	terület	地區	N;NOM;SG	N
terület	區域	terület	區域	N;NOM;SG	N
terület	區	terület	區	N;NOM;SG	N
végzett	畢業	végez	畢業	V;INDF;IND;SG;3;PST;FIN;ACT	V
herceg	公爵	herceg	公爵	N;NOM;SG	N
herceg	王子	herceg	王子	N;NOM;SG	N
herceg	太子	herceg	太子	N;NOM;SG	N
herceg	親王	herceg	親王	N;NOM;SG	N
magas	高大	magas	高大	ADJ;NOM;SG	ADJ
színház	電影	színház	電影	N;NOM;SG	N
színház	劇場	színház	劇場	N;NOM;SG	N
színház	戲劇	színház	戲劇	N;NOM;SG	N
színház	劇院	színház	劇院	N;NOM;SG	N
színház	戲院	színház	戲院	N;NOM;SG	N
színház	劇場	színház	劇場	N;NOM;SG	N
színház	戰區	színház	戰區	N;NOM;SG	N
színház	戲劇	színház	戲劇	N;NOM;SG	N
színház	劇院	színház	劇院	N;NOM;SG	N
színház	戲院	színház	戲院	N;NOM;SG	N
millió	百萬	millió	百萬	NUM;NOM;SG	NUM
millió	百萬	millió	百萬	NUM;NOM;SG	NUM
köztársaság	共和	köztársaság	共和	N;NOM;SG	N
köztársaság	共和	köztársaság	共和	N;NOM;SG	N
vendég	客戶	vendég	客戶	N;NOM;SG	N
vendég	顧客	vendég	顧客	N;NOM;SG	N
vendég	賓	vendég	賓	N;NOM;SG	N
vendég	來賓	vendég	來賓	N;NOM;SG	N
vendég	客人	vendég	客人	N;NOM;SG	N
vendég	賓	vendég	賓	N;NOM;SG	N
vendég	來賓	vendég	來賓	N;NOM;SG	N
vendég	客人	vendég	客人	N;NOM;SG	N
idő	時光	idő	時光	N;NOM;SG	N
idő	時間	idő	時間	N;NOM;SG	N
rendszer	系統	rendszer	系統	N;NOM;SG	N
írta	書寫	ír	書寫	V;DEF;IND;SG;3;PST;FIN;ACT	V
írta	撰寫	ír	撰寫	V;DEF;IND;SG;3;PST;FIN;ACT	V
album	相簿	album	相簿	N;NOM;SG	N
album	專輯	album	專輯	N;NOM;SG	N
tanár	老師	tanár	老師	N;NOM;SG	N
tanár	教師	tanár	教師	N;NOM;SG	N
szerkesztő	編輯	szerkesztő	編輯	N;NOM;SG	N
méter	公尺	méter	公尺	N;NOM;SG	N
méter	米	méter	米	N;NOM;SG	N
méter	公尺	méter	公尺	N;NOM;SG	N
méter	公尺	méter	公尺	N;NOM;SG	N
színész	男	színész	男	N;NOM;SG	N
színész	演員	színész	演員	N;NOM;SG	N
ház	屋	ház	屋	N;NOM;SG	N
ház	房屋	ház	房屋	N;NOM;SG	N
ház	房子	ház	房子	N;NOM;SG	N
felesége	妻子	fel+eség	妻子	N;NOM;SG	N
iskola	學校	iskola	學校	N;NOM;SG	N
iskola	學校	iskola	學校	N;NOM;SG	N
költő	詩人	költő	詩人	N;NOM;SG	N
aktív	積極	aktív	積極		
ideje	時光	idő	時光	N;NOM;SG	N
ideje	時間	idő	時間	N;NOM;SG	N
hét	星期	hét	星期	N;NOM;SG	N
hét	週	hét	週	N;NOM;SG	N
bajnok	冠軍	bajn	冠軍	N;NOM;SG	N
bajnok	冠軍	bajn	冠軍	N;NOM;SG	N
állam	國家	állam	國家	N;NOM;SG	N
állam	州	állam	州	N;NOM;SG	N
emberek	男性	ember	男性	N;NOM;PL	N
emberek	男人	ember	男人	N;NOM;PL	N
emberek	男子	ember	男子	N;NOM;PL	N
emberek	人類	ember	人類	N;NOM;PL	N
emberek	人	ember	人	N;NOM;PL	N
emberek	人們	ember	人	N;NOM;PL	N;PL
emberek	人民	ember	人民	N;NOM;PL	N
talán	或	talán	或	ADV	ADV
talán	或	talán	或	ADV	ADV
talán	也	talán	也	ADV	ADV
dal	歌曲	dal	歌曲	N;NOM;SG	N
dal	首歌	dal	首歌	N;NOM;SG	N
dal	歌	dal	歌	N;NOM;SG	N
államok	國家	állam	國家	N;NOM;PL	N
birodalom	帝國	birodalom	帝國	N;NOM;SG	N
birodalom	王國	birodalom	王國	N;NOM;SG	N
birodalom	境界	birodalom	境界	N;NOM;SG	N
tér	平方	tér	平方	N;NOM;SG	N
tér	方塊	tér	方塊	N;NOM;SG	N
tér	方形	tér	方形	N;NOM;SG	N
tér	廣場	tér	廣場	N;NOM;SG	N
tér	太空	tér	太空	N;NOM;SG	N
tér	空間	tér	空間	N;NOM;SG	N
park	樸	park	樸	N;NOM;SG	N
park	公園	park	公園	N;NOM;SG	N
közel	近	közel	近		
kör	圓形	kör	圓形	N;NOM;SG	N
kör	圓圈	kör	圓圈	N;NOM;SG	N
kör	迴圈	kör	迴圈	N;NOM;SG	N
kör	圈	kör	圈	N;NOM;SG	N
kör	輪	kör	輪	N;NOM;SG	N
sablon	樣板	sablon	樣板	N;NOM;SG	N
sablon	模板	sablon	模板	N;NOM;SG	N
járás	區	járás	區	N;NOM;SG	N
járás	地區	járás	地區	N;NOM;SG	N
minta	樣品	minta	樣品	N;NOM;SG	N
minta	抽樣	minta	抽樣	N;NOM;SG	N
minta	樣本	minta	樣本	N;NOM;SG	N
minta	圖案	minta	圖案	N;NOM;SG	N
minta	格局	minta	格局	N;NOM;SG	N
minta	模式	minta	模式	N;NOM;SG	N
minta	模範	minta	模範	N;NOM;SG	N
minta	模型	minta	模型	N;NOM;SG	N
minta	型號	minta	型號	N;NOM;SG	N
minta	模特	minta	模特	N;NOM;SG	N
játékok	遊戲	játék	遊戲	N;NOM;PL	N
játékok	玩具	játék	玩具	N;NOM;PL	N
források	來源	forrás	來源	N;NOM;PL	N
források	負債	forrás	負債	N;NOM;PL	N
források	資源	forrás	資源	N;NOM;PL	N
csapatok	部隊	csapat	部隊	N;NOM;PL	N
csapatok	團隊	csapat	團隊	N;NOM;PL	N
csapatok	球隊	csapat	球隊	N;NOM;PL	N
csapatok	隊伍	csapat	隊伍	N;NOM;PL	N
föld	大地	föld	大地	N;NOM;SG	N
föld	陸地	föld	陸地	N;NOM;SG	N
föld	土地	föld	土地	N;NOM;SG	N
