din	od	din	od	ADP;ACC	ADP
mai	bardziej	mai	bardzo	ADV	ADV;CMPR
mai	więcej	mai	dużo	ADV	ADV;CMPR
pentru	dla	pentru	dla	ADP;ACC	ADP
sit	witryna	sit	witryna	N;INDF;MASC;SG	N;NOM;FEM;SG
sit	strona	sit	strona	N;INDF;MASC;SG	N;NOM;FEM;SG
lea	lea	lea	lek		
prin	przez	prin	przez	ADP;ACC	ADP
mare	świetne	mare	świetny	ADJ;INDF;MASC;SG	ADJ;NOM;NEUT;SG
mare	duża	mare	duży	ADJ;INDF;MASC;SG	ADJ;NOM;FEM;SG
mare	duże	mare	duży	ADJ;INDF;MASC;SG	ADJ;NOM;NEUT;SG
mare	wielka	mare	wielki	ADJ;INDF;MASC;SG	ADJ;NOM;FEM;SG
mare	duży	mare	duży	ADJ;INDF;MASC;SG	ADJ;NOM;MASC;SG
mare	wielki	mare	wielki	ADJ;INDF;MASC;SG	ADJ;NOM;MASC;SG
are	posiada	avea	posiadać	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
are	ma	avea	mieć	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
locuitori	mieszkańców	locuitor	mieszkaniec	N;INDF;MASC;PL	N;ACC;MASC;PL
locuitori	mieszkańcy	locuitor	mieszkaniec	N;INDF;MASC;PL	N;NOM;MASC;PL
locuitori	rezydentów	locuitor	rezydent	N;INDF;MASC;PL	N;ACC;MASC;PL
locuitori	mieszkańców	locuitor	mieszkaniec	N;INDF;MASC;PL	N;ACC;MASC;PL
locuitori	mieszkańcy	locuitor	mieszkaniec	N;INDF;MASC;PL	N;NOM;MASC;PL
legaturi	linków	legatură	link	N;INDF;FEM;PL	N;GEN;MASC;PL
legaturi	linki	legatură	linka	N;INDF;FEM;PL	N;NOM;FEM;PL
legaturi	odnośniki	legatură	odnośnik	N;INDF;FEM;PL	N;ACC;MASC;PL
legaturi	połączenia	legatură	połączenie	N;INDF;FEM;PL	N;NOM;NEUT;PL
legaturi	linków	legatură	link	N;INDF;FEM;PL	N;GEN;MASC;PL
legaturi	linki	legatură	linka	N;INDF;FEM;PL	N;NOM;FEM;PL
legaturi	odnośniki	legatură	odnośnik	N;INDF;FEM;PL	N;ACC;MASC;PL
dar	ale	dar	ale	CONJ;POS	CONJ
cod	code	cod	cod		
cod	dorsza	cod	dorszać		
cod	cod	cod	cod		
nume	nazwisko	nume	nazwisko	N;INDF	N;NOM;NEUT;SG
nume	imię	nume	imię	N;INDF	N;NOM;NEUT;SG
nume	nazwa	nume	nazwa	N;INDF	N;NOM;FEM;SG
ani	lat	an	rok	N;INDF;MASC;PL	N;GEN;MASC;PL
ani	lata	an	rok	N;INDF;MASC;PL	N;NOM;MASC;PL
rege	króla	rege	król	N;INDF;MASC;SG	N;ACC;MASC;SG
rege	król	rege	król	N;INDF;MASC;SG	N;NOM;MASC;SG
sub	pod	sub	pod	ADP;ACC	ADP
timp	czasu	timp	czas	N;INDF;MASC;SG	N;GEN;MASC;SG
timp	czas	timp	czas	N;INDF;MASC;SG	N;NOM;MASC;SG
iunie	czerwca	iunie	czerwiec	N;INDF;MASC;SG	N;GEN;MASC;SG
octombrie	październik	octombrie	październik	N;INDF;MASC;SG	N;NOM;MASC;SG
octombrie	października	octombrie	październik	N;INDF;MASC;SG	N;GEN;MASC;SG
august	sierpnia	august	sierpień	N;INDF;MASC;SG	N;GEN;MASC;SG
august	august	august	august	N;INDF;MASC;SG	N;NOM;MASC;SG
sat	wiosce	sat	wioska	N;INDF;MASC;SG	N;DAT;FEM;SG
sat	wioska	sat	wioska	N;INDF;MASC;SG	N;NOM;FEM;SG
sat	village	sat	village	N;INDF;MASC;SG	N;NOM;MASC;SG
sat	wioski	sat	wioska	N;INDF;MASC;SG	N;ACC;FEM;SG
sat	wieś	sat	wieś	N;INDF;MASC;SG	N;NOM;FEM;SG
martie	marsz	martie	marsz	N;INDF;MASC;SG	N;NOM;MASC;SG
fisier	plik	fisier	plik	N;INDF;MASC;SG	N;ACC;MASC;SG
fisier	pliku	fisier	plik	N;INDF;MASC;SG	N;GEN;MASC;SG
fisier	plik	fisier	plik	N;INDF;MASC;SG	N;ACC;MASC;SG
fisier	pliku	fisier	plik	N;INDF;MASC;SG	N;GEN;MASC;SG
decembrie	grudzień	decembrie	grudzienie	N;INDF;MASC;SG	N;NOM;MASC;SG
decembrie	grudniu	decembrie	grudzień	N;INDF;MASC;SG	N;GEN;MASC;SG
ianuarie	stycznia	ianuarie	styczeń	N;INDF;MASC;SG	N;GEN;MASC;SG
ianuarie	styczniu	ianuarie	styczeń	N;INDF;MASC;SG	N;GEN;MASC;SG
noiembrie	listopada	noiembrie	listopada	N;INDF;MASC;SG	N;GEN;MASC;SG
noiembrie	listopadzie	noiembrie	listopad	N;INDF;MASC;SG	N;ACC;MASC;SG
avut	mial	avea	mial	V;MASC;SG;V.PTCP	V;IPFV;MASC;IND;SG;PST;FIN;ACT
avut	miał	avea	mieć	V;MASC;SG;V.PTCP	V;IPFV;MASC;IND;SG;PST;FIN;ACT
avut	miała	avea	mieć	V;MASC;SG;V.PTCP	V;IPFV;FEM;IND;SG;PST;FIN;ACT
avut	miał	avea	mieć	V;MASC;SG;V.PTCP	V;IPFV;MASC;IND;SG;PST;FIN;ACT
nord	północ	nord	północ	N;INDF;MASC;SG	N;NOM;FEM;SG
sud	południe	sud	południe	N;INDF;MASC;SG	N;NOM;NEUT;SG
aprilie	kwiecień	aprilie	kwiecienie	N;INDF;MASC;SG	N;NOM;NEUT;SG
loc	miejsce	loc	miejsce	N;INDF;MASC;SG	N;NOM;NEUT;SG
trei	trzy	trei	trzy	NUM;PL	NUM;ACC;MASC;PL
mult	dużo	mult	dużo	ADV	ADV
foarte	bardzo	foarte	bardzo	ADV	ADV
departament	wydział	departament	wydział	N;INDF;MASC;SG	N;NOM;MASC;SG
departament	departament	departament	departament	N;INDF;MASC;SG	N;NOM;MASC;SG
departament	dział	departament	dziać	N;INDF;MASC;SG	N;NOM;MASC;SG
apoi	wtedy	apoi	wtedy	ADV	ADV
grup	grupie	grup	grupa	N;INDF;MASC;SG	N;DAT;FEM;SG
grup	grupy	grup	grupa	N;INDF;MASC;SG	N;ACC;FEM;SG
grup	grupa	grup	grupa	N;INDF;MASC;SG	N;NOM;FEM;SG
oras	miasta	oras	miasto	N;INDF;MASC;SG	N;GEN;NEUT;SG
oras	miejscowość	oras	miejscowość	N;INDF;MASC;SG	N;NOM;FEM;SG
oras	miasto	oras	miasto	N;INDF;MASC;SG	N;NOM;NEUT;SG
oras	miejscowość	oras	miejscowość	N;INDF;MASC;SG	N;NOM;FEM;SG
oras	miasta	oras	miasto	N;INDF;MASC;SG	N;GEN;NEUT;SG
oras	miasto	oras	miasto	N;INDF;MASC;SG	N;NOM;NEUT;SG
oras	miasta	oras	miasto	N;INDF;MASC;SG	N;GEN;NEUT;SG
oras	miejscowość	oras	miejscowość	N;INDF;MASC;SG	N;NOM;FEM;SG
oras	miasto	oras	miasto	N;INDF;MASC;SG	N;NOM;NEUT;SG
oras	miejscowość	oras	miejscowość	N;INDF;MASC;SG	N;NOM;FEM;SG
oras	miasta	oras	miasto	N;INDF;MASC;SG	N;GEN;NEUT;SG
oras	miasto	oras	miasto	N;INDF;MASC;SG	N;NOM;NEUT;SG
oras	miasta	oras	miasto	N;INDF;MASC;SG	N;GEN;NEUT;SG
oras	miejscowość	oras	miejscowość	N;INDF;MASC;SG	N;NOM;FEM;SG
oras	miasto	oras	miasto	N;INDF;MASC;SG	N;NOM;NEUT;SG
oras	miejscowość	oras	miejscowość	N;INDF;MASC;SG	N;NOM;FEM;SG
oras	miasta	oras	miasto	N;INDF;MASC;SG	N;GEN;NEUT;SG
oras	miasto	oras	miasto	N;INDF;MASC;SG	N;NOM;NEUT;SG
pot	można	putea	można	V;IND;PL;3;PRS;FIN	V;IND;PRS;FIN
camp	obozu	camp	obóz	N;INDF;MASC;SG	N;GEN;MASC;SG
camp	obóz	camp	obóz	N;INDF;MASC;SG	N;NOM;MASC;SG
camp	dziedzina	camp	dziedzina	N;INDF;MASC;SG	N;NOM;FEM;SG
camp	pole	camp	pole	N;INDF;MASC;SG	N;NOM;NEUT;SG
camp	boisko	camp	boisko	N;INDF;MASC;SG	N;NOM;NEUT;SG
national	krajowa	national	krajowy	ADJ;INDF;MASC;SG	ADJ;NOM;FEM;SG
national	krajowe	national	krajowy	ADJ;INDF;MASC;SG	ADJ;NOM;NEUT;SG
national	national	national	national	ADJ;INDF;MASC;SG	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
national	narodowy	national	narodowy	ADJ;INDF;MASC;SG	ADJ;NOM;MASC;SG
national	krajowy	national	krajowy	ADJ;INDF;MASC;SG	ADJ;NOM;MASC;SG
national	krajowa	national	krajowy	ADJ;INDF;MASC;SG	ADJ;NOM;FEM;SG
national	krajowe	national	krajowy	ADJ;INDF;MASC;SG	ADJ;NOM;NEUT;SG
national	national	national	national	ADJ;INDF;MASC;SG	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
national	narodowy	national	narodowy	ADJ;INDF;MASC;SG	ADJ;NOM;MASC;SG
national	krajowy	national	krajowy	ADJ;INDF;MASC;SG	ADJ;NOM;MASC;SG
national	krajowa	national	krajowy	ADJ;INDF;MASC;SG	ADJ;NOM;FEM;SG
national	krajowe	national	krajowy	ADJ;INDF;MASC;SG	ADJ;NOM;NEUT;SG
national	national	national	national	ADJ;INDF;MASC;SG	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
national	narodowy	national	narodowy	ADJ;INDF;MASC;SG	ADJ;NOM;MASC;SG
national	krajowy	national	krajowy	ADJ;INDF;MASC;SG	ADJ;NOM;MASC;SG
note	noty	notă	not	N;INDF;FEM;PL	N;NOM;MASC;PL
note	notatek	notă	notatka	N;INDF;FEM;PL	N;GEN;FEM;PL
note	notatki	notă	notatek	N;INDF;FEM;PL	N;NOM;MASC;PL
general	ogólny	general	ogólny	ADJ;INDF;MASC;SG	ADJ;NOM;MASC;SG
general	ogólna	general	ogólny	ADJ;INDF;MASC;SG	ADJ;NOM;FEM;SG
general	ogólne	general	ogólny	ADJ;INDF;MASC;SG	ADJ;NOM;NEUT;SG
razboi	wojnę	razboi	wojna	N;INDF;MASC;SG	N;ACC;FEM;SG
razboi	wojna	razboi	wojna	N;INDF;MASC;SG	N;NOM;FEM;SG
razboi	wojny	razboi	wojna	N;INDF;MASC;SG	N;GEN;FEM;SG
razboi	wojnę	razboi	wojna	N;INDF;MASC;SG	N;ACC;FEM;SG
razboi	wojna	razboi	wojna	N;INDF;MASC;SG	N;NOM;FEM;SG
razboi	wojny	razboi	wojna	N;INDF;MASC;SG	N;GEN;FEM;SG
inceput	rozpoczęte	incepe	rozpocząć	ADJ;INDF;MASC;SG	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
inceput	rozpoczęty	incepe	rozpocząć	ADJ;INDF;MASC;SG	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
roman	powieści	roman	powieść	N;INDF;MASC;SG	N;GEN;FEM;SG
punct	kropka	punct	kropka	N;INDF;MASC;SG	N;NOM;FEM;SG
punct	punkt	punct	punkt	N;INDF;MASC;SG	N;NOM;MASC;SG
stat	stan	stat	stan	N;INDF;MASC;SG	N;NOM;MASC;SG
stat	państwo	stat	państwo	N;INDF;MASC;SG	N;NOM;NEUT;SG
unite	zjednoczeni	unit	zjednoczyć	ADJ;INDF;FEM;PL	ADJ;PFV;NOM;MASC;PL;POS;V.PTCP;PASS
unite	zjednoczonych	unit	zjednoczyć	ADJ;INDF;FEM;PL	ADJ;PFV;GEN;MASC;PL;POS;V.PTCP;PASS
atunci	wtedy	atunci	wtedy	ADV	ADV
life	life	life	lifa		
facut	wykonane	face	wykonać	ADJ;INDF;MASC;SG	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
facut	zrobione	face	zrobić	ADJ;INDF;MASC;SG	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
film	filmu	film	film	N;INDF;MASC;SG	N;GEN;MASC;SG
film	film	film	film	N;INDF;MASC;SG	N;ACC;MASC;SG
film	folia	film	folia	N;INDF;MASC;SG	N;NOM;FEM;SG
film	film	film	film	N;INDF;MASC;SG	N;ACC;MASC;SG
vorbitori	głośniki	vorbitor	głośnik	N;INDF;MASC;PL	N;NOM;MASC;PL
date	terminy	dată	termin	N;INDF;FEM;PL	N;NOM;MASC;PL
date	dane	dată	dana	N;INDF;FEM;PL	N;NOM;FEM;PL
trebuie	musi	trebui	musieć	V;IND;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
trebuie	muszą	trebui	musieć	V;IND;3;PRS;FIN	V;IPFV;IND;PL;3;PRS;FIN;ACT
aici	tutaj	aici	tutaj	ADV	ADV
zile	dni	zi	dzień	N;INDF;FEM;PL	N;ACC;MASC;PL
club	klub	club	klub	N;INDF;MASC;SG	N;NOM;MASC;SG
club	klubie	club	klub	N;INDF;MASC;SG	N;DAT;MASC;SG
componente	podzespoły	componentă	podzespoły	N;INDF;FEM;PL	N;NOM;MASC;PL
componente	komponenty	componentă	komponent	N;INDF;FEM;PL	N;NOM;MASC;PL
est	wschód	est	wschód	N;INDF;MASC;SG	N;NOM;MASC;SG
nou	nowe	nou	nowy	ADJ;INDF;MASC;SG	ADJ;NOM;NEUT;SG
nou	nowy	nou	nowy	ADJ;INDF;MASC;SG	ADJ;NOM;MASC;SG
isbn	isbn	isbn	isbny		
doi	dwie	doi	dwa	NUM;MASC;PL	NUM;ACC;FEM;PL
doi	dwóch	doi	dwa	NUM;MASC;PL	NUM;ACC;MASC;PL
doi	dwa	doi	dwa	NUM;MASC;PL	NUM;ACC;MASC;PL
membru	członka	membru	członek	N;INDF;MASC;SG	N;ACC;MASC;SG
membru	członkiem	membru	członek	N;INDF;MASC;SG	N;INS;MASC;SG
membru	członek	membru	członek	N;INDF;MASC;SG	N;NOM;MASC;SG
numit	nazwany	numit	nazwać	ADJ;INDF;MASC;SG	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
