kapoor	kapoor	kapoor	kapoor	N	N;INDF;MASC;SG
buddhisme	buddhisme	buddhisme	buddhisme	N	N;INDF;FEM;SG
buddhisme	buddhist	buddhisme	buddhist	N	N;INDF;MASC;SG
mengontrol	kontrollere	menkontrol	kontrollere	V;SG;ACT	V;NFIN
mengontrol	kontrollere	menkontrol	kontrollere	V;SG;ACT	V;NFIN
mengontrol	kontrollerer	menkontrol	kontrollere	V;SG;ACT	V;IND;PRS;FIN
linguistik	lingvistikk	linguistik	lingvistikk	N	N;INDF;MASC;SG
proton	protoner	proton	protoner	N;SG	N;INDF;MASC;SG
proton	proton	proton	proton	N;SG	N;INDF;NEUT;SG
platinum	platinum	platinum	platinum	N	N;INDF;NEUT;SG
platinum	platina	platinum	platin	N	N;INDF;NEUT;SG
pemburu	jegere	penburu	jegere	N;SG	N;INDF;MASC;SG
pemburu	jeger	penburu	jeger	N;SG	N;INDF;MASC;SG
pemburu	hunter	penburu	hunter	N;SG	N;INDF;MASC;SG
ilustrasi	illustrasjon	ilustrasi	illustrasjon	N;SG	N;INDF;MASC;SG
cap	stamp	cap	stamp	N	N;INDF;MASC;SG
cap	stempel	cap	stempel	N	N;INDF;NEUT;SG
cap	frimerke	cap	frimerk	N	N;INDF;NEUT;SG
cap	cap	cap	cap	N	N
cap	luer	cap	lue	N	N;INDF;FEM;PL
cap	caps	cap	caps	N	N
ekspres	express	ekspres	express	N;SG	N
bros	bros	bros	bros	N	N;INDF;MASC;SG
rekreasi	rekreasjon	rekreasi	rekreasjon	N;SG	N;INDF;MASC;SG
rekreasi	recreational	rekreasi	recreational	N;SG	N;INDF;NEUT;SG
nyawa	lives	nyawa	lives	N;SG	N;INDF;MASC;SG
terkesan	imponere	terkesan	imponere	V;SG;PASS	V;NFIN
hiasan	pryd	hiasan	pryd	N;SG	N;INDF;NEUT;SG
hiasan	ornament	hiasan	ornament	N;SG	N;INDF;MASC;SG
hiasan	dekorasjon	hiasan	dekorasjon	N;SG	N;INDF;MASC;SG
hiasan	dekorasjoner	hiasan	dekorasjon	N;SG	N;INDF;MASC;SG
hiasan	garnityr	hiasan	garnityr	N;SG	N;INDF;MASC;SG
argo	argo	argo	argo	N	N;INDF;NEUT;SG
kegubernuran	guvernementet	kegubernuran	guvernement	N;SG	N;DEF;NEUT;SG
poros	shaft	poros	shaft	N;SG	N;INDF;MASC;SG
ekologi	økologi	ekologi	økologi	N;SG	N;INDF;MASC;SG
menyentuh	berører	mensentuh	berøre	V;SG;ACT	V;IND;PRS;FIN
uzbekistan	usbekistan	uzbekistan	usbekistan	N	N;INDF;MASC;SG
uzbekistan	usbekisk	uzbekistan	usbekisk	N	N;INDF;MASC;SG
mendefinisikan	definerer	mendefinisikan	definere	V;SG;ACT	V;IND;PRS;FIN
mendefinisikan	definere	mendefinisikan	definere	V;SG;ACT	V;NFIN
mendefinisikan	definere	mendefinisikan	definere	V;SG;ACT	V;NFIN
mendefinisikan	definerer	mendefinisikan	definere	V;SG;ACT	V;IND;PRS;FIN
sumbu	akse	sumbu	akse	N;SG	N;INDF;MASC;SG
lidah	tunga	lidah	tunge	N;SG	N;DEF;FEM;SG
sup	suppa	sup	suppe	N;SG	N;INDF;MASC;SG
sup	suppe	sup	suppe	N;SG	N;INDF;MASC;SG
sup	supper	sup	supper	N;SG	N;INDF;MASC;SG
demam	feber	demam	feber	N;SG	N;INDF;MASC;SG
pengujian	test	penujian	test	N;SG	N;INDF;MASC;SG
pengujian	test	penujian	test	N;SG	N;INDF;MASC;SG
pengujian	testing	penujian	testing	N;SG	N;INDF;FEM;SG
hilangnya	forsvinningen	hilang	forsvinning	N;SG	N;DEF;MASC;SG
hilangnya	forsvinning	hilang	forsvinning	N;SG	N;INDF;FEM;SG
email	epost	email	epost	N	N;INDF;MASC;SG
sertifikat	sertifikater	sertifikat	sertifikat	N;SG	N;INDF;NEUT;SG
sertifikat	sertifikat	sertifikat	sertifikat	N;SG	N;INDF;NEUT;SG
sertifikat	sertifikatet	sertifikat	sertifikat	N;SG	N;DEF;NEUT;SG
athletic	athletic	athletic	athletic	N	N
paralel	paralleller	paralel	parallelle	N	N;INDF;NEUT;SG
kuburan	graves	kuburan	graves	N;SG	N;INDF;MASC;SG
kuburan	kirkegård	kuburan	kirkegård	N;SG	N;INDF;MASC;SG
kuburan	gravlund	kuburan	gravlund	N;SG	N;INDF;MASC;SG
kuburan	kirkegård	kuburan	kirkegård	N;SG	N;INDF;MASC;SG
kuburan	kirkegården	kuburan	kirkegård	N;SG	N;DEF;MASC;SG
kuburan	graven	kuburan	grav	N;SG	N;DEF;MASC;SG
kuburan	grava	kuburan	grav	N;SG	N;DEF;FEM;SG
kuburan	grav	kuburan	grav	N;SG	N;INDF;MASC;SG
benih	sæd	benih	sæde	N;SG	N;INDF;MASC;SG
benih	frø	benih	frø	N;SG	N;INDF;NEUT;SG
benih	frø	benih	frø	N;SG	N;INDF;NEUT;SG
lockheed	lockheed	lockheed	lockheed	N	N;INDF;NEUT;SG
penolakan	avslag	pentolakan	avslag	N;SG	N;INDF;NEUT;SG
penolakan	avvisning	pentolakan	avvisning	N;SG	N;INDF;FEM;SG
penolakan	avslår	pentolakan	avslå	N;SG	N;INDF;MASC;SG
interior	interiør	interior	interiør	N;SG	N;INDF;NEUT;SG
interior	interiors	interior	interiors	N;SG	N;INDF;MASC;SG
enterprise	enterprise	enterprise	enterprise	N	N;INDF;FEM;SG
berpengalaman	opplevde	berpengalaman	oppleve	V;SG;ACT	V;IND;PST;FIN
integrasi	integrering	integrasi	integrering	N;SG	N;INDF;FEM;SG
integrasi	integrasjon	integrasi	integrasjon	N;SG	N;INDF;MASC;SG
integrasi	integrering	integrasi	integrering	N;SG	N;INDF;FEM;SG
staff	stav	staff	stav	N	N;INDF;MASC;SG
staff	personale	staff	personale	N	N;INDF;NEUT;SG
staff	stab	staff	stab	N	N;INDF;MASC;SG
staff	staff	staff	staff	N	N
mengkritik	kritiserer	menkritik	kritisere	V;SG;ACT	V;IND;PRS;FIN
mengkritik	kritisere	menkritik	kritisere	V;SG;ACT	V;NFIN
fisiologi	fysiologi	fisiologi	fysiologi	N	N;INDF;MASC;SG
dinamis	dynamisk	dinamis	dynamisk	ADJ;SG	ADJ;INDF;NEUT;SG
animation	animasjon	animation	animasjon	N	N;INDF;MASC;SG
cacing	orm	cacing	orm	N;SG	N;INDF;MASC;SG
cacing	worm	cacing	worm	N;SG	N;INDF;MASC;SG
cacing	ormer	cacing	orm	N;SG	N;INDF;MASC;SG
cacing	makk	cacing	makk	N;SG	N;INDF;NEUT;SG
cacing	worms	cacing	worm	N;SG	N
highland	highland	highland	highland	N	N;INDF;NEUT;SG
highland	høyland	highland	høyland	N	N;INDF;MASC;SG
orangtua	forelder	orangtua	forelder	N;SG	N;INDF;MASC;SG
orangtua	overordnet	orangtua	overordn	N;SG	N;DEF;NEUT;SG
gandum	korn	gandum	korn	N;SG	N;INDF;NEUT;SG
gandum	hvete	gandum	hvete	N;SG	N;INDF;MASC;SG
gandum	wheat	gandum	wheat	N;SG	N
digit	sifre	digit	sifre	N;SG	N;INDF;MASC;SG
digit	sifret	digit	sifr	N;SG	N;DEF;NEUT;SG
krim	krem	krim	krem	N;SG	N;INDF;MASC;SG
krim	fløte	krim	fløte	N;SG	N;INDF;MASC;SG
cerah	solfylt	cerah	solfylt	ADJ;SG	ADJ;INDF;SG;V.PTCP
cerah	solrikt	cerah	solrikt	ADJ;SG	ADJ;INDF;NEUT;SG
cerah	solrik	cerah	solrik	ADJ;SG	ADJ;INDF;SG
rupanya	tydligvis	rupa	tydligvis	ADV;SG	ADV
rupanya	tydeligvis	rupa	tydeligvis	ADV;SG	ADV
berikan	gir	berrikan	gi	V;SG;ACT	V;IND;PRS;FIN
berikan	gjev	berrikan	gje	V;SG;ACT	V;IND;PRS;FIN
berikan	gje	berrikan	gje	V;SG;ACT	V;IMP;FIN
berikan	gi	berrikan	gi	V;SG;ACT	V;IMP;FIN
transformasi	forvandle	transformasi	forvandle	N;SG	N;INDF;NEUT;SG
transformasi	forvandles	transformasi	forvandles	N;SG	N;INDF;MASC;SG
transformasi	forvandles	transformasi	forvandles	N;SG	N;INDF;MASC;SG
transformasi	forvandling	transformasi	forvandling	N;SG	N;INDF;FEM;SG
transformasi	transformasjon	transformasi	transformasjon	N;SG	N;INDF;MASC;SG
kekacauan	kaos	kekacauan	kaos	N;SG	N;INDF;NEUT;SG
pilih	velge	pilih	velge	V;SG;ACT	V;IMP;FIN
pilih	velger	pilih	velge	V;SG;ACT	V;IND;PRS;FIN
pilih	velge	pilih	velge	V;SG;ACT	V;IMP;FIN
pilih	velger	pilih	velge	V;SG;ACT	V;IND;PRS;FIN
impor	import	impor	import	N;SG;ACT	N;INDF;MASC;SG
