もの	saker	もの	sak	N	N;NOM;INDF;MASC+FEM;PL
大学	universitet	大学	universitet	N	N;NOM;INDF;NEUT;SG
大学	universiteten	大学	universitet	N	N;NOM;DEF;NEUT;PL
大学	university	大学	university	N	N;NOM;INDF;MASC+FEM;SG
大学	universitet	大学	universitet	N	N;NOM;INDF;NEUT;SG
大学	universitetet	大学	universitet	N	N;NOM;DEF;NEUT;SG
大学	högskola	大学	högskola	N	N;NOM;INDF;MASC+FEM;SG
大学	högskolan	大学	högskola	N	N;NOM;DEF;MASC+FEM;SG
大学	högskola	大学	högskola	N	N;NOM;INDF;MASC+FEM;SG
大学	högskolor	大学	högskola	N	N;NOM;INDF;MASC+FEM;PL
テレビ	tv	テレビ	tv	N	N;NOM;INDF;MASC+FEM;SG
テレビ	television	テレビ	television	N	N;NOM;INDF;MASC+FEM;SG
テレビ	televisionen	テレビ	television	N	N;NOM;DEF;MASC+FEM;SG
放送	sända	放送	sända	V	V;IMP;FIN;ACT
放送	sänder	放送	sända	V	V;IND;PRS;FIN;ACT
削除	radera	削除	radera	V	V;IMP;FIN;ACT
削除	stryka	削除	stryka	V	V;IMP;FIN;ACT
削除	stryk	削除	stryk	V	V;IMP;FIN;ACT
削除	radera	削除	radera	V	V;IMP;FIN;ACT
現在	närvarande	現在	närvarande	N	N;NOM;INDF;NEUT;SG
現在	present	現在	present	N	N;NOM;INDF;MASC+FEM;SG
現在	nutid	現在	nutid	N	N;NOM;INDF;MASC+FEM;SG
学校	skolor	学校	skola	N	N;NOM;INDF;MASC+FEM;PL
学校	skolorna	学校	skola	N	N;NOM;DEF;MASC+FEM;PL
学校	skola	学校	skola	N	N;NOM;INDF;MASC+FEM;SG
学校	skolan	学校	skola	N	N;NOM;DEF;MASC+FEM;SG
これ	denna	これ	denna	PRO	PRO;DEF;MASC+FEM;SG
これ	detta	これ	denna	PRO	PRO;DEF;NEUT;SG
世界	world	世界	world	N	N;NOM;NEUT;SG
世界	värld	世界	värld	N	N;NOM;INDF;MASC+FEM;SG
世界	världen	世界	värld	N	N;NOM;DEF;MASC+FEM;SG
でも	men	でも	men	CONJ	CONJ
作品	diskografi	作品	diskografi	N	N;NOM;INDF;MASC+FEM;SG
映画	film	映画	film	N	N;NOM;INDF;MASC+FEM;SG
映画	bio	映画	bio	N	N;NOM;INDF;MASC+FEM;SG
映画	biografer	映画	biograf	N	N;NOM;INDF;MASC+FEM;PL
映画	biograf	映画	biograf	N	N;NOM;INDF;MASC+FEM;SG
映画	film	映画	film	N	N;NOM;INDF;MASC+FEM;SG
映画	filmer	映画	filma	N	N;NOM;INDF;MASC+FEM;PL
監督	regissör	監督	regissöra	N	N;NOM;INDF;MASC+FEM;SG
監督	direktören	監督	direktör	N	N;NOM;DEF;MASC+FEM;SG
監督	direktör	監督	direktör	N	N;NOM;INDF;MASC+FEM;SG
監督	övervakning	監督	övervakning	N	N;NOM;INDF;MASC+FEM;SG
監督	tillsyn	監督	tillsyn	N	N;NOM;INDF;MASC+FEM;SG
鉄道	järnvägar	鉄道	järnväg	N	N;NOM;INDF;MASC+FEM;PL
鉄道	järnväg	鉄道	järnväg	N	N;NOM;INDF;MASC+FEM;SG
鉄道	järnvägar	鉄道	järnväg	N	N;NOM;INDF;MASC+FEM;PL
鉄道	järnväg	鉄道	järnväg	N	N;NOM;INDF;MASC+FEM;SG
鉄道	järnväg	鉄道	järnväg	N	N;NOM;INDF;MASC+FEM;SG
鉄道	järnvägen	鉄道	järnväg	N	N;NOM;DEF;MASC+FEM;SG
使用	använda	使用	använda	V	V;IMP;FIN;ACT
使用	använd	使用	använda	V	V;IMP;FIN;ACT
出演	kasta	出演	kasta	V	V;IMP;FIN;ACT
時間	timmar	時間	timme	N	N;NOM;INDF;MASC+FEM;PL
時間	öppettider	時間	öppettid	N	N;NOM;INDF;MASC+FEM;PL
時間	timme	時間	timme	N	N;NOM;INDF;MASC+FEM;SG
時間	timmen	時間	timme	N	N;NOM;DEF;MASC+FEM;SG
時間	timma	時間	timma	N	N;NOM;INDF;MASC+FEM;SG
時間	tid	時間	tid	N	N;NOM;INDF;MASC+FEM;SG
時間	tidpunkt	時間	tidpunkt	N	N;NOM;INDF;MASC+FEM;SG
時間	dags	時間	dags	N	N;MASC+FEM
時間	klockslag	時間	klockslag	N	N;NOM;INDF;NEUT;SG
時間	tiden	時間	tid	N	N;NOM;DEF;MASC+FEM;SG
開始	börja	開始	börja	V	V;IMP;FIN;ACT
開始	påbörja	開始	påbörja	V	V;IMP;FIN;ACT
開始	börja	開始	börja	V	V;IMP;FIN;ACT
開始	startar	開始	starta	V	V;IND;PRS;FIN;ACT
開始	starta	開始	starta	V	V;IMP;NFIN;ACT
シリーズ	serier	シリーズ	serie	N	N;NOM;INDF;MASC+FEM;PL
シリーズ	serie	シリーズ	serie	N	N;NOM;INDF;MASC+FEM;SG
シリーズ	serien	シリーズ	serien	N	N;NOM;DEF;MASC+FEM;SG
記事	artikeln	記事	artikel	N	N;NOM;DEF;MASC+FEM;SG
記事	artikel	記事	artikel	N	N;NOM;INDF;MASC+FEM;SG
記事	berättelse	記事	berättelse	N	N;NOM;INDF;MASC+FEM;SG
記事	händelse	記事	händelse	N	N;NOM;INDF;MASC+FEM;SG
記事	story	記事	story	N	N;NOM;INDF;MASC+FEM;SG
記事	historia	記事	historia	N	N;NOM;INDF;MASC+FEM;SG
記事	händelser	記事	händelse	N	N;NOM;INDF;MASC+FEM;PL
記事	historier	記事	historia	N	N;NOM;INDF;MASC+FEM;PL
記事	stories	記事	storium	N	N;NOM;INDF;MASC+FEM;SG
記事	berättelser	記事	berättelse	N	N;NOM;INDF;MASC+FEM;PL
記事	artiklar	記事	artikel	N	N;NOM;INDF;MASC+FEM;PL
記事	artiklarna	記事	artikel	N	N;NOM;DEF;MASC+FEM;PL
選手	spelare	選手	spel	N	N;NOM;INDF;MASC+FEM;PL
選手	idrottare	選手	idrottare	N	N;NOM;INDF;MASC+FEM;PL
