categoría	kategori	categoría	kategori	N;FEM;SG	N;INDF;MASC+FEM;SG
para	for	para	for	ADP	ADP
más	mere	más	mere	ADV	ADV;CMPR
sus	deres	su	deres	DET;PL;3	DET;3
sus	hans	su	hans	DET;PL;3	DET;3
sus	dens	su	dens	DET;PL;3	DET;3
sus	dets	su	dets	DET;PL;3	DET;3
también	også	también	også	ADV	ADV
también	også	también	også	ADV	ADV
entre	blandt	entre	blandt	ADP	ADP
entre	mellem	entre	mellem	ADP	ADP
este	dette	este	denne	PRO;MASC;SG	PRO;NEUT;SG
este	denne	este	denne	PRO;MASC;SG	PRO;MASC+FEM;SG
pero	men	pero	men	CONJ	CONJ
dos	to	dos	to	NUM;PL	NUM
sobre	om	sobre	om	ADP	ADP
año	aars	año	aars	N;MASC;SG	N;INDF;MASC+FEM;SG
año	året	año	år	N;MASC;SG	N;DEF;NEUT;SG
año	år	año	år	N;MASC;SG	N;INDF;NEUT;SG
esta	dette	este	denne	PRO;FEM;SG	PRO;NEUT;SG
esta	denne	este	denne	PRO;FEM;SG	PRO;MASC+FEM;SG
ciudad	town	ciudad	town	N;FEM;SG	N;INDF;MASC+FEM;SG
ciudad	byen	ciudad	by	N;FEM;SG	N;DEF;MASC+FEM;SG
ciudad	by	ciudad	by	N;FEM;SG	N;INDF;MASC+FEM;SG
ciudad	byen	ciudad	by	N;FEM;SG	N;DEF;MASC+FEM;SG
ciudad	storby	ciudad	storby	N;FEM;SG	N;INDF;MASC+FEM;SG
ciudad	by	ciudad	by	N;FEM;SG	N;INDF;MASC+FEM;SG
parte	fest	parte	fest	N;FEM;SG	N;INDF;MASC+FEM;SG
parte	part	parte	part	N;FEM;SG	N;INDF;MASC+FEM;SG
parte	parti	parte	parti	N;FEM;SG	N;INDF;NEUT;SG
parte	del	parte	del	N;FEM;SG	N;INDF;MASC+FEM;SG
san	sankt	san	sankt	N;MASC;SG	N;INDF;NEUT;SG
san	helgen	san	helgen	N;MASC;SG	N;INDF;MASC+FEM;SG
nacional	landsdækkende	nacional	landsdækkende	ADJ;SG	ADJ
primera	første	primero	første	ADJ;FEM;SG	ADJ
team	holdet	team	hold	N	N;DEF;NEUT;SG
team	teamet	team	team	N	N;DEF;NEUT;SG
team	team	team	team	N	N;INDF;NEUT;SG
cuando	når	cuando	når	CONJ	CONJ
nombre	betegnelse	nombre	betegnelse	N;MASC;SG	N;INDF;MASC+FEM;SG
nombre	navn	nombre	navn	N;MASC;SG	N;INDF;NEUT;SG
estados	stater	estado	stat	N;MASC;PL	N;INDF;MASC+FEM;PL
estados	staterne	estado	stat	N;MASC;PL	N;DEF;MASC+FEM;PL
utc	utc	utc	utc	N	N;INDF;MASC+FEM;SG
siglo	århundrede	siglo	århundrede	N;MASC;SG	N;INDF;NEUT;SG
después	efter	después	efter	ADV	ADV
después	senere	después	senere	ADV	ADV;CMPR
tiene	har	tener	have	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
otros	andre	otro	anden	PRO;MASC;PL	PRO;PL
otros	andre	otro	anden	PRO;MASC;PL	PRO;PL
gran	stor	gran	stor	ADJ;SG	ADJ;INDF;MASC+FEM;SG
gran	stort	gran	stor	ADJ;SG	ADJ;INDF;NEUT;SG
gran	fantastisk	gran	fantastisk	ADJ;SG	ADJ;INDF;SG
gran	fedt	gran	fedt	ADJ;SG	ADJ;INDF;NEUT;SG
gran	stor	gran	stor	ADJ;SG	ADJ;INDF;MASC+FEM;SG
gran	skønt	gran	skøn	ADJ;SG	ADJ;INDF;NEUT;SG
gran	herligt	gran	herlig	ADJ;SG	ADJ;INDF;NEUT;SG
gran	storslået	gran	storslå	ADJ;SG	ADJ;INDF;SG
puede	kan	poder	kunne	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
estado	status	estado	status	N;MASC;SG	N;INDF;MASC+FEM;SG
estado	statussen	estado	statusse	N;MASC;SG	N;DEF;MASC+FEM;SG
estado	stat	estado	stat	N;MASC;SG	N;INDF;MASC+FEM;SG
estado	delstat	estado	delstat	N;MASC;SG	N;INDF;MASC+FEM;SG
estado	tilstand	estado	tilstand	N;MASC;SG	N;INDF;MASC+FEM;SG
estado	tilstand	estado	tilstand	N;MASC;SG	N;INDF;MASC+FEM;SG
estado	betingelse	estado	betingelse	N;MASC;SG	N;INDF;MASC+FEM;SG
estado	stand	estado	stand	N;MASC;SG	N;INDF;MASC+FEM;SG
uno	et	uno	en	PRO;MASC;SG	PRO;NEUT;SG
uno	en	uno	en	PRO;MASC;SG	PRO;MASC+FEM;SG
uno	én	uno	en	PRO;MASC;SG	PRO;MASC+FEM;SG
lugar	mødested	lugar	mødested	N;MASC;SG	N;INDF;NEUT;SG
lugar	stedet	lugar	sted	N;MASC;SG	N;DEF;NEUT;SG
lugar	sted	lugar	sted	N;MASC;SG	N;INDF;NEUT;SG
lugar	plads	lugar	plads	N;MASC;SG	N;INDF;MASC+FEM;SG
lugar	lokalisering	lugar	lokalisering	N;MASC;SG	N;INDF;MASC+FEM;SG
lugar	beliggenhed	lugar	beliggenhed	N;MASC;SG	N;INDF;MASC+FEM;SG
lugar	sted	lugar	sted	N;MASC;SG	N;INDF;NEUT;SG
lugar	placering	lugar	placering	N;MASC;SG	N;INDF;MASC+FEM;SG
lugar	lokation	lugar	lokation	N;MASC;SG	N;INDF;MASC+FEM;SG
primer	første	primero	første	ADJ;MASC;SG	ADJ
población	befolkningen	población	befolkning	N;FEM;SG	N;DEF;MASC+FEM;SG
población	indbyggertal	población	indbyggertal	N;FEM;SG	N;INDF;NEUT;SG
población	befolkning	población	befolkning	N;FEM;SG	N;INDF;MASC+FEM;SG
mismo	samme	mismo	samme	ADJ;MASC;SG	ADJ
nueva	ny	nuevo	ny	ADJ;FEM;SG	ADJ;INDF;MASC+FEM;SG
nueva	nyt	nuevo	ny	ADJ;FEM;SG	ADJ;INDF;NEUT;SG
historia	historien	historia	historie	N;FEM;SG	N;DEF;MASC+FEM;SG
historia	historie	historia	historie	N;FEM;SG	N;INDF;MASC+FEM;SG
historia	historik	historia	historik	N;FEM;SG	N;INDF;MASC+FEM;SG
historia	historie	historia	historie	N;FEM;SG	N;INDF;MASC+FEM;SG
club	klub	club	klub	N;MASC;SG	N;INDF;MASC+FEM;SG
club	club	club	club	N;MASC;SG	N;INDF;MASC+FEM;SG
club	natklub	club	natklub	N;MASC;SG	N;INDF;MASC+FEM;SG
club	kølle	club	kølle	N;MASC;SG	N;INDF;MASC+FEM;SG
club	klubben	club	klub	N;MASC;SG	N;DEF;MASC+FEM;SG
universidad	university	universidad	university	N;FEM;SG	N;INDF;MASC+FEM;SG
universidad	universitet	universidad	universitet	N;FEM;SG	N;INDF;NEUT;SG
universidad	universitetet	universidad	universitet	N;FEM;SG	N;DEF;NEUT;SG
universidad	kollegium	universidad	kollegium	N;FEM;SG	N;INDF;NEUT;SG
universidad	college	universidad	college	N;FEM;SG	N;INDF;MASC+FEM;SG
forma	formen	forma	formen	N;FEM;SG	N;DEF;MASC+FEM;SG
forma	form	forma	form	N;FEM;SG	N;INDF;MASC+FEM;SG
forma	formular	forma	formular	N;FEM;SG	N;INDF;MASC+FEM;SG
forma	blanket	forma	blanke	N;FEM;SG	N;INDF;NEUT;SG
forma	form	forma	form	N;FEM;SG	N;INDF;MASC+FEM;SG
forma	formen	forma	formen	N;FEM;SG	N;DEF;MASC+FEM;SG
tres	tre	tres	tre	NUM;PL	NUM
grupo	gruppe	grupo	gruppe	N;MASC;SG	N;INDF;MASC+FEM;SG
grupo	group	grupo	group	N;MASC;SG	N;INDF;MASC+FEM;SG
grupo	gruppen	grupo	gruppe	N;MASC;SG	N;DEF;MASC+FEM;SG
guerra	krigen	guerra	krig	N;FEM;SG	N;DEF;MASC+FEM;SG
guerra	krig	guerra	krig	N;FEM;SG	N;INDF;MASC+FEM;SG
guerra	krigsførelse	guerra	krigsførelse	N;FEM;SG	N;INDF;MASC+FEM;SG
familia	familien	familia	familie	N;FEM;SG	N;DEF;MASC+FEM;SG
familia	familie	familia	familie	N;FEM;SG	N;INDF;MASC+FEM;SG
además	også	además	også	ADV	ADV
todo	alting	todo	alting	PRO;MASC;SG	PRO;NEUT;SG
sur	syd	sur	syd	N;MASC;SG	N;INDF
tiempo	vejret	tiempo	vejr	N;MASC;SG	N;DEF;NEUT;SG
tiempo	vejr	tiempo	vejr	N;MASC;SG	N;INDF;NEUT;SG
tiempo	tid	tiempo	tid	N;MASC;SG	N;INDF;MASC+FEM;SG
tiempo	tidspunkt	tiempo	tidspunkt	N;MASC;SG	N;INDF;NEUT;SG
tiempo	gang	tiempo	gang	N;MASC;SG	N;INDF;MASC+FEM;SG
tiempo	klokkeslæt	tiempo	klokkeslæt	N;MASC;SG	N;INDF;NEUT;SG
tiempo	tiden	tiempo	tid	N;MASC;SG	N;DEF;MASC+FEM;SG
provincia	provins	provincia	provins	N;FEM;SG	N;INDF;MASC+FEM;SG
provincia	provinsen	provincia	provins	N;FEM;SG	N;DEF;MASC+FEM;SG
partido	fest	partido	fest	N;MASC;SG	N;INDF;MASC+FEM;SG
partido	part	partido	part	N;MASC;SG	N;INDF;MASC+FEM;SG
partido	parti	partido	parti	N;MASC;SG	N;INDF;NEUT;SG
partido	match	partido	match	N;MASC;SG	N;INDF;NEUT;SG
encuentra	finde	encontrar	finde	V;IND;SG;3;PRS;FIN	V;NFIN;ACT
encuentra	finder	encontrar	finde	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
encuentra	finder	encontrar	finde	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
municipio	kommune	municipio	kommune	N;MASC;SG	N;INDF;MASC+FEM;SG
municipio	kommunen	municipio	kommune	N;MASC;SG	N;DEF;MASC+FEM;SG
otras	andre	otro	anden	PRO;FEM;PL	PRO;PL
otras	andre	otro	anden	PRO;FEM;PL	PRO;PL
sido	blevet	ser	blive	V;MASC;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
serie	serie	serie	serie	N;FEM;SG	N;INDF;MASC+FEM;SG
serie	serien	serie	serie	N;FEM;SG	N;DEF;MASC+FEM;SG
serie	seriemorder	serie	seriemorder	N;FEM;SG	N;INDF;MASC+FEM;SG
serie	serie	serie	serie	N;FEM;SG	N;INDF;MASC+FEM;SG
fútbol	fodbold	fútbol	fodbold	N;MASC;SG	N;INDF;MASC+FEM;SG
fútbol	fodbold	fútbol	fodbold	N;MASC;SG	N;INDF;MASC+FEM;SG
fútbol	football	fútbol	football	N;MASC;SG	N;INDF;MASC+FEM;SG
equipo	udstyr	equipo	udstyr	N;MASC;SG	N;INDF;NEUT;SG
equipo	holdet	equipo	hold	N;MASC;SG	N;DEF;NEUT;SG
equipo	teamet	equipo	team	N;MASC;SG	N;DEF;NEUT;SG
equipo	team	equipo	team	N;MASC;SG	N;INDF;NEUT;SG
norte	north	norte	north	N;MASC;SG	N;INDF;MASC+FEM;SG
norte	nord	norte	nord	N;MASC;SG	N;INDF
norte	nord	norte	nord	N;MASC;SG	N;INDF
río	floden	río	flod	N;MASC;SG	N;DEF;MASC+FEM;SG
río	flod	río	flod	N;MASC;SG	N;INDF;MASC+FEM;SG
nuevo	ny	nuevo	ny	ADJ;MASC;SG	ADJ;INDF;MASC+FEM;SG
nuevo	nyt	nuevo	ny	ADJ;MASC;SG	ADJ;INDF;NEUT;SG
véase	se	véase	se	V;SBJV;SG;3;PRS;FIN	V;NFIN;ACT
septiembre	september	septiembre	september	N	N;INDF;MASC+FEM;SG
octubre	oktober	octubre	oktober	N	N;INDF;MASC+FEM;SG
discusión	diskussion	discusión	diskussion	N;FEM;SG	N;INDF;MASC+FEM;SG
discusión	drøftelse	discusión	drøftelse	N;FEM;SG	N;INDF;MASC+FEM;SG
discusión	debat	discusión	debat	N;FEM;SG	N;INDF;MASC+FEM;SG
gobierno	regeringsførelse	gobierno	regeringsførelse	N;MASC;SG	N;INDF;MASC+FEM;SG
gobierno	ledelse	gobierno	ledelse	N;MASC;SG	N;INDF;MASC+FEM;SG
gobierno	forvaltning	gobierno	forvaltning	N;MASC;SG	N;INDF;MASC+FEM;SG
gobierno	styring	gobierno	styring	N;MASC;SG	N;INDF;MASC+FEM;SG
gobierno	regering	gobierno	regering	N;MASC;SG	N;INDF;MASC+FEM;SG
gobierno	regeringen	gobierno	regering	N;MASC;SG	N;DEF;MASC+FEM;SG
condado	county	condado	county	N;MASC;SG	N;INDF;MASC+FEM;SG
condado	amtet	condado	amt	N;MASC;SG	N;DEF;NEUT;SG
condado	amt	condado	amt	N;MASC;SG	N;INDF;NEUT;SG
condado	amtskommune	condado	amtskommun	N;MASC;SG	N;INDF;MASC+FEM;SG
final	slutning	final	slutning	N;MASC;SG	N;INDF;MASC+FEM;SG
final	afslutning	final	afslutning	N;MASC;SG	N;INDF;MASC+FEM;SG
final	slut	final	slut	N;MASC;SG	N
final	ende	final	ende	N;MASC;SG	N;INDF;MASC+FEM;SG
final	ophør	final	ophør	N;MASC;SG	N;INDF;NEUT;SG
final	finale	final	finale	N;MASC;SG	N;INDF;MASC+FEM;SG
final	finale	final	finale	N;MASC;SG	N;INDF;MASC+FEM;SG
final	finalen	final	finale	N;MASC;SG	N;DEF;MASC+FEM;SG
vida	liv	vida	liv	N;FEM;SG	N;INDF;NEUT;SG
vida	livet	vida	liv	N;FEM;SG	N;DEF;NEUT;SG
vida	livstid	vida	livstid	N;FEM;SG	N;INDF;MASC+FEM;SG
personas	personer	persona	person	N;FEM;PL	N;INDF;MASC+FEM;PL
personas	personers	persona	person	N;FEM;PL	N;GEN;INDF;MASC+FEM;PL
personas	mennesker	persona	menneske	N;FEM;PL	N;INDF;NEUT;PL
personas	personer	persona	person	N;FEM;PL	N;INDF;MASC+FEM;PL
personas	folk	persona	folk	N;FEM;PL	N;INDF;NEUT;PL
español	spansk	español	spansk	N;MASC;SG	N;INDF;NEUT;SG
centro	centrum	centro	centrum	N;MASC;SG	N;INDF;NEUT;SG
centro	centrum	centro	centrum	N;MASC;SG	N;INDF;NEUT;SG
centro	midtpunkt	centro	midtpunkt	N;MASC;SG	N;INDF;NEUT;SG
centro	center	centro	center	N;MASC;SG	N;INDF;NEUT;SG
centro	midten	centro	midte	N;MASC;SG	N;DEF;MASC+FEM;SG
centro	centret	centro	center	N;MASC;SG	N;DEF;NEUT;SG
centro	centrum	centro	centrum	N;MASC;SG	N;INDF;NEUT;SG
centro	centre	centro	centre	N;MASC;SG	N;INDF;MASC+FEM;SG
centro	center	centro	center	N;MASC;SG	N;INDF;NEUT;SG
