dan	och	dan	och	CONJ	CONJ
dari	från	dari	från	ADP	ADP
dengan	med	dengan	med	ADP	ADP
adalah	är	adalah	vara	V	V;IND;PRS;FIN;ACT
untuk	för	untuk	för	ADP	ADP
tahun	years	tahun	years	N;SG	N;NOM;INDF;MASC+FEM;SG
tahun	år	tahun	år	N;SG	N;NOM;INDF;NEUT;SG
tahun	year	tahun	yea	N;SG	N;NOM;INDF;NEUT;SG
tahun	årsmodell	tahun	årsmodell	N;SG	N;NOM;INDF;MASC+FEM;SG
tahun	året	tahun	år	N;SG	N;NOM;DEF;NEUT;SG
tahun	år	tahun	år	N;SG	N;NOM;INDF;NEUT;SG
juga	också	juga	också	ADV	ADV
juga	även	juga	även	ADV	ADV
tidak	inte	tidak	inte	PART;NEG	PART;NEG
tidak	ej	tidak	ej	PART;NEG	PART;NEG
menjadi	blivit	menjadi	bli	V;SG;ACT	V;V.CVB;ACT
menjadi	blir	menjadi	bli	V;SG;ACT	V;IND;PRS;FIN;ACT
menjadi	bli	menjadi	bli	V;SG;ACT	V;IMP;FIN;ACT
bagian	avsnitt	bagian	avsnitt	N;SG	N;NOM;INDF;NEUT;SG
bagian	sektionen	bagian	sektion	N;SG	N;NOM;DEF;MASC+FEM;SG
bagian	sektion	bagian	sektion	N;SG	N;NOM;INDF;MASC+FEM;SG
bagian	avdelning	bagian	avdelning	N;SG	N;NOM;INDF;MASC+FEM;SG
bagian	avsnittet	bagian	avsnitt	N;SG	N;NOM;DEF;NEUT;SG
bagian	delen	bagian	del	N;SG	N;NOM;DEF;MASC+FEM;SG
bagian	del	bagian	del	N;SG	N;NOM;INDF;MASC+FEM;SG
bagian	avsnitt	bagian	avsnitt	N;SG	N;NOM;INDF;NEUT;SG
spesies	art	spesies	art	N;SG	N;NOM;INDF;MASC+FEM;SG
orang	person	orang	person	N;SG	N;NOM;INDF;MASC+FEM;SG
orang	personen	orang	person	N;SG	N;NOM;DEF;MASC+FEM;SG
orang	people	orang	people	N;SG	N;NOM;INDF;MASC+FEM;SG
mereka	dem	mereka	de	PRO;PL;3	PRO;ACC;DEF;PL
mereka	dom	mereka	de	PRO;PL;3	PRO;NOM;DEF;PL
mereka	de	mereka	de	PRO;PL;3	PRO;NOM;DEF;PL
mereka	dom	mereka	de	PRO;PL;3	PRO;NOM;DEF;PL
satu	en	satu	en	NUM	NUM;NOM;INDF;MASC+FEM;SG
satu	ett	satu	en	NUM	NUM;NOM;INDF;NEUT;SG
memiliki	har	menmiliki	ha	V;SG;ACT	V;IND;PRS;FIN;ACT
memiliki	har	menmiliki	ha	V;SG;ACT	V;IND;PRS;FIN;ACT
kota	town	kota	town	N;SG	N;NOM;INDF;MASC+FEM;SG
kota	stad	kota	stad	N;SG	N;NOM;INDF;MASC+FEM;SG
kota	staden	kota	stad	N;SG	N;NOM;DEF;MASC+FEM;SG
kota	staden	kota	stad	N;SG	N;NOM;DEF;MASC+FEM;SG
kota	city	kota	city	N;SG	N;NOM;INDF;NEUT;SG
kota	ort	kota	ort	N;SG	N;NOM;INDF;MASC+FEM;SG
kota	stad	kota	stad	N;SG	N;NOM;INDF;MASC+FEM;SG
kota	orten	kota	ort	N;SG	N;NOM;DEF;MASC+FEM;SG
kota	resmål	kota	resmål	N;SG	N;NOM;INDF;NEUT;SG
kota	kota	kota	kota	N;SG	N;NOM;INDF;MASC+FEM;SG
pranala	länk	pranala	länk	N;SG	N;NOM;INDF;MASC+FEM;SG
pranala	länken	pranala	länk	N;SG	N;NOM;DEF;MASC+FEM;SG
karena	eftersom	karena	eftersom	CONJ	CONJ
desa	byn	desa	byn	N;SG	N;NOM;DEF;MASC+FEM;SG
desa	by	desa	by	N;SG	N;NOM;INDF;MASC+FEM;SG
desa	village	desa	village	N;SG	N;NOM;INDF;NEUT;SG
ada	existerar	ada	existera	V;SG	V;IND;PRS;FIN;ACT
lebih	mera	lebih	mycket	ADV	ADV;CMPR
lebih	mer	lebih	mycket	ADV	ADV;CMPR
nama	namn	nama	namn	N;SG	N;NOM;INDF;NEUT;SG
nama	name	nama	name	N;SG	N;NOM;INDF;NEUT;SG
nama	namn	nama	namn	N;SG	N;NOM;INDF;NEUT;SG
kayu	ved	kayu	ved	N;SG	N;NOM;INDF;MASC+FEM;SG
kayu	trä	kayu	trä	N;SG	N;NOM;INDF;NEUT;SG
kayu	virke	kayu	virken	N;SG	N;NOM;INDF;NEUT;SG
kayu	virke	kayu	virken	N;SG	N;NOM;INDF;NEUT;SG
kayu	virke	kayu	virken	N;SG	N;NOM;INDF;NEUT;SG
setelah	efter	setelah	efter	ADP	ADP
bahasa	språk	bahasa	språk	N;SG	N;NOM;INDF;NEUT;SG
bahasa	språket	bahasa	språk	N;SG	N;NOM;DEF;NEUT;SG
bahasa	språk	bahasa	språk	N;SG	N;NOM;INDF;NEUT;SG
asteroid	asteroider	asteroid	asteroid	N	N;NOM;INDF;MASC+FEM;PL
asteroid	asteroid	asteroid	asteroid	N	N;NOM;INDF;MASC+FEM;SG
lain	annan	lain	annan	ADJ;SG	ADJ;NOM;INDF;MASC+FEM;SG
lain	övrig	lain	övrig	ADJ;SG	ADJ;NOM;INDF;MASC+FEM;SG
lain	övrigt	lain	övrigt	ADJ;SG	ADJ;NOM;INDF;NEUT;SG
besar	stor	besar	stor	ADJ;SG	ADJ;NOM;INDF;MASC+FEM;SG
besar	stort	besar	stor	ADJ;SG	ADJ;NOM;INDF;NEUT;SG
besar	stor	besar	stor	ADJ;SG	ADJ;NOM;INDF;MASC+FEM;SG
besar	stort	besar	stor	ADJ;SG	ADJ;NOM;INDF;NEUT;SG
besar	härligt	besar	härlig	ADJ;SG	ADJ;NOM;INDF;NEUT;SG
film	film	film	film	N;SG	N;NOM;INDF;MASC+FEM;SG
film	film	film	film	N;SG	N;NOM;INDF;MASC+FEM;SG
saat	saat	saat	saat	N;SG	N;NOM;INDF;MASC+FEM;SG
kelas	klass	kelas	klass	N;SG	N;NOM;INDF;MASC+FEM;SG
kelas	klassen	kelas	klass	N;SG	N;NOM;DEF;MASC+FEM;SG
beberapa	några	beberapa	någon	DET	DET;INDF;PL
kecamatan	distriktet	kecamatan	distrikt	N;SG	N;NOM;DEF;NEUT;SG
kecamatan	distrikt	kecamatan	distrikt	N;SG	N;NOM;INDF;NEUT;SG
salah	fel	salah	fel	N;SG	N;NOM;INDF;NEUT;SG
salah	salah	salah	salah	N;SG	N;NOM;INDF;MASC+FEM;SG
negara	landet	negara	land	N;SG	N;NOM;DEF;NEUT;SG
negara	land	negara	land	N;SG	N;NOM;INDF;NEUT;SG
negara	stat	negara	stat	N;SG	N;NOM;INDF;MASC+FEM;SG
negara	delstat	negara	delstad	N;SG	N;NOM;INDF;MASC+FEM;SG
biasanya	vanligtvis	biasanya	vanligtvis	ADV	ADV
biasanya	vanligen	biasanya	vanligen	ADV	ADV
biasanya	oftast	biasanya	ofta	ADV	ADV;RL
biasanya	normalt	biasanya	normal	ADV	ADV
biasanya	vanligtvis	biasanya	vanligtvis	ADV	ADV
kemudian	sedan	kemudian	sedan	ADV	ADV
kemudian	sen	kemudian	sen	ADV	ADV
kemudian	då	kemudian	då	ADV	ADV
kemudian	senare	kemudian	sen	ADV	ADV;CMPR
banyak	mycket	banyak	mycket	ADV	ADV
kabupaten	regency	kabupaten	regency	N;SG	N;NOM;INDF;NEUT;SG
kabupaten	county	kabupaten	county	N;SG	N;NOM;INDF;NEUT;SG
kabupaten	länet	kabupaten	län	N;SG	N;NOM;DEF;NEUT;SG
kabupaten	län	kabupaten	län	N;SG	N;NOM;INDF;NEUT;SG
kabupaten	län	kabupaten	län	N;SG	N;NOM;INDF;NEUT;SG
kabupaten	distriktet	kabupaten	distrikt	N;SG	N;NOM;DEF;NEUT;SG
kabupaten	distrikt	kabupaten	distrikt	N;SG	N;NOM;INDF;NEUT;SG
kumbang	nyckelpiga	kumbang	nyckelpig	N	N;NOM;INDF;MASC+FEM;SG
kumbang	skalbaggar	kumbang	skalbagg	N	N;NOM;INDF;MASC+FEM;PL
lalat	flyg	lalat	flyg	N;SG	N;NOM;INDF;NEUT;SG
lalat	fluga	lalat	fluga	N;SG	N;NOM;INDF;MASC+FEM;SG
genus	släktet	genus	släkte	N	N;NOM;DEF;NEUT;SG
genus	släkte	genus	släkte	N	N;NOM;INDF;NEUT;SG
ordo	ordo	ordo	ordo	N	N;NOM;INDF;MASC+FEM;SG
isi	innehållet	isi	innehåll	N;SG	N;NOM;DEF;NEUT;SG
