dan	そして	dan	そして	CONJ	CONJ
ini	この	ini	この	DET	DET
tahun	年数	tahun	年数	N;SG	N
tahun	イヤー	tahun	イヤー	N;SG	N
bagian	セクション	bagian	セクション	N;SG	N
bagian	パート	bagian	パート	N;SG	N
bagian	部分	bagian	部分	N;SG	N
bagian	セクション	bagian	セクション	N;SG	N
bagian	パーツ	bagian	パーツ	N;SG	N
bagian	部品	bagian	部品	N;SG	N
orang	人物	orang	人物	N;SG	N
orang	ピープル	orang	ピープル	N;SG	N
satu	一	satu	一	NUM	NUM
kota	タウン	kota	タウン	N;SG	N
kota	都市	kota	都市	N;SG	N
kota	都市	kota	都市	N;SG	N
desa	村落	desa	村落	N;SG	N
desa	村落	desa	村落	N;SG	N
desa	ヴィレッジ	desa	ヴィレッジ	N;SG	N
lebih	もっと	lebih	もっと	ADV	ADV
nama	名前	nama	名前	N;SG	N
nama	氏名	nama	氏名	N;SG	N
nama	名称	nama	名称	N;SG	N
nama	名前	nama	名前	N;SG	N
nama	名称	nama	名称	N;SG	N
kayu	木材	kayu	木材	N;SG	N
kayu	木製	kayu	木製	N;SG	N
kayu	ウッド	kayu	ウッド	N;SG	N
kayu	材木	kayu	材木	N;SG	N
kayu	木材	kayu	木材	N;SG	N
bahasa	言語	bahasa	言語	N;SG	N
bahasa	言語	bahasa	言語	N;SG	N
asteroid	小惑星	asteroid	小惑星	N	N
asteroid	小惑星	asteroid	小惑星	N	N
lain	他の	lain	他の	ADJ;SG	ADJ
besar	大きい	besar	大きい	ADJ;SG	ADJ
besar	大きな	besar	大きな	ADJ;SG	ADJ
besar	大きい	besar	大きい	ADJ;SG	ADJ
film	映画	film	映画	N;SG	N
film	ムービー	film	ムービー	N;SG	N
film	映画	film	映画	N;SG	N
film	フィルム	film	フィルム	N;SG	N
film	映画	film	映画	N;SG	N
saat	いつ	saat	いつ	N;SG	N
saat	とき	saat	とき	N;SG	N
kelas	クラス	kelas	クラス	N;SG	N
kelas	階級	kelas	階級	N;SG	N
kelas	クラス	kelas	クラス	N;SG	N
kecamatan	地区	kecamatan	地区	N;SG	N
salah	虚偽	salah	虚偽	N;SG	N
negara	国名	negara	国名	N;SG	N
negara	カントリー	negara	カントリー	N;SG	N
negara	都道府県	negara	都道府県	N;SG	N
negara	状態	negara	状態	N;SG	N
negara	国々	negara	国々	N;SG	N
kabupaten	摂政	kabupaten	摂政	N;SG	N
kabupaten	地区	kabupaten	地区	N;SG	N
lalat	ハエ	lalat	ハエ	N;SG	N
lalat	フライ	lalat	フライ	N;SG	N
isi	コンテンツ	isi	コンテンツ	N;SG	N
isi	内容	isi	内容	N;SG	N
isi	内容	isi	内容	N;SG	N
baru	新しい	baru	新しい	ADJ;SG	ADJ
baru	新規	baru	新規	ADJ;SG	ADJ
barat	ウエスト	barat	ウエスト	N;SG	N
barat	西部	barat	西部	N;SG	N
barat	ウエスタン	barat	ウエスタン	N;SG	N
wilayah	面積	wilayah	面積	N;SG	N
wilayah	領域	wilayah	領域	N;SG	N
wilayah	エリア	wilayah	エリア	N;SG	N
wilayah	リージョン	wilayah	リージョン	N;SG	N
wilayah	地域	wilayah	地域	N;SG	N
wilayah	リージョン	wilayah	リージョン	N;SG	N
wilayah	地域	wilayah	地域	N;SG	N
wilayah	縄張り	wilayah	縄張り	N;SG	N
dunia	世界	dunia	世界	N;SG	N
dunia	ワールド	dunia	ワールド	N;SG	N
timur	イースト	timur	イースト	N;SG	N
tempat	場所	tempat	場所	N;SG	N
tempat	スポット	tempat	スポット	N;SG	N
tempat	場所	tempat	場所	N;SG	N
tempat	スポット	tempat	スポット	N;SG	N
dua	二	dua	二	NUM	NUM
dua	二	dua	二	NUM	NUM
selatan	サザン	selatan	サザン	N;SG	N
selatan	南部	selatan	南部	N;SG	N
september	九月	september	九月	N;SG	N
anak	息子	anak	息子	N;SG	N
anak	子供	anak	子供	N;SG	N
anak	子供	anak	子供	N;SG	N
anak	児童	anak	児童	N;SG	N
hidup	生命	hidup	生命	N;SG	N
hidup	人生	hidup	人生	N;SG	N
hidup	ライフ	hidup	ライフ	N;SG	N
hidup	アライブ	hidup	アライブ	N;SG	N
lagu	歌曲	lagu	歌曲	N;SG	N
lagu	ソング	lagu	ソング	N;SG	N
lagu	ソング	lagu	ソング	N;SG	N
daerah	リージョン	daerah	リージョン	N;SG	N
daerah	地域	daerah	地域	N;SG	N
daerah	地区	daerah	地区	N;SG	N
daerah	面積	daerah	面積	N;SG	N
daerah	領域	daerah	領域	N;SG	N
daerah	エリア	daerah	エリア	N;SG	N
daerah	リージョン	daerah	リージョン	N;SG	N
daerah	地域	daerah	地域	N;SG	N
daerah	セクション	daerah	セクション	N;SG	N
sekolah	学校	sekolah	学校	N;SG	N
sekolah	流派	sekolah	流派	N;SG	N
sekolah	学校	sekolah	学校	N;SG	N
sekolah	スクール	sekolah	スクール	N;SG	N
hanya	ちょうど	hanya	ちょうど	ADV	ADV
air	ウォーター	air	ウォーター	N;SG	N
air	空気	air	空気	N;SG	N
air	航空	air	航空	N;SG	N
hari	一日	hari	一日	N;SG	N
hari	日数	hari	日数	N;SG	N
hingga	まで	hingga	まで	ADP	ADP
sampai	まで	sampai	まで	ADP	ADP
kali	タイム	kali	タイム	N;SG	N
kali	時間	kali	時間	N;SG	N
sama	等しい	sama	等しい	ADJ;SG	ADJ
sangat	極めて	sangat	極めて	ADV	ADV
album	アルバム	album	アルバム	N;SG	N
album	アルバム	album	アルバム	N;SG	N
hal	モノ	hal	モノ	N;SG	N
hal	物事	hal	物事	N;SG	N
hal	もの	hal	もの	N;SG	N
panjang	長い	panjang	長い	ADJ;SG	ADJ
anggota	会員	anggota	会員	N;SG	N
anggota	メンバー	anggota	メンバー	N;SG	N
anggota	メンバー	anggota	メンバー	N;SG	N
menggunakan	使用	mengunakan	使用	V;SG;ACT	V
disebut	言及	disebut	言及	V;SG;PASS	V
kembali	戻る	kembali	戻る	V;SG;ACT	V
sudah	すでに	sudah	すでに	ADV;SG;ACT	ADV
sudah	既に	sudah	既に	ADV;SG;ACT	ADV
masih	まだ	masih	まだ	ADV	ADV
lihat	見る	lihat	見る	V;SG;ACT	V
lihat	表示	lihat	表示	V;SG;ACT	V
lihat	見る	lihat	見る	V;SG;ACT	V
tinggi	高い	tinggi	高い	ADJ;SG	ADJ
waktu	タイム	waktu	タイム	N;SG	N
waktu	時間	waktu	時間	N;SG	N
jenis	種類	jenis	種類	N;SG	N
jenis	タイプ	jenis	タイプ	N;SG	N
jenis	種類	jenis	種類	N;SG	N
bulan	ムーン	bulan	ムーン	N;SG	N
bulan	ヶ月	bulan	ヶ月	N;SG	N
bulan	月間	bulan	月間	N;SG	N
departemen	部署	departemen	部署	N;SG	N
departemen	学科	departemen	学科	N;SG	N
departemen	部門	departemen	部門	N;SG	N
departemen	学科	departemen	学科	N;SG	N
situs	サイト	situs	サイト	N;SG	N
situs	敷地	situs	敷地	N;SG	N
situs	サイト	situs	サイト	N;SG	N
laba	営利	laba	営利	N;SG	N
laba	利益	laba	利益	N;SG	N
laba	スパイダー	laba	スパイダー	N;SG	N
laba	クモ	laba	クモ	N;SG	N
membuat	作成	menbuat	作成	V;SG;ACT	V
mulai	開始	mulai	開始	V;SG;ACT	V
mulai	始める	mulai	始める	V;SG;ACT	V
mulai	スタート	mulai	スタート	V;SG;ACT	V
mulai	始める	mulai	始める	V;SG;ACT	V
mulai	開始	mulai	開始	V;SG;ACT	V
resmi	公式	resmi	公式	ADJ;SG	ADJ
database	データベース	database	データベース	N	N
database	データベース	database	データベース	N	N
sekitar	について	sekitar	について	ADP	ADP
udara	空気	udara	空気	N;SG	N
udara	航空	udara	航空	N;SG	N
perang	戦争	perang	戦争	N;SG	N
perang	戦争	perang	戦争	N;SG	N
tentang	について	tentang	について	ADP;SG;ACT	ADP
rumah	自宅	rumah	自宅	N;SG	N
rumah	ホーム	rumah	ホーム	N;SG	N
rumah	家屋	rumah	家屋	N;SG	N
rumah	ハウス	rumah	ハウス	N;SG	N
pendidikan	教育	pendidikan	教育	N;SG	N
pendidikan	学歴	pendidikan	学歴	N;SG	N
laut	マリン	laut	マリン	N;SG	N
tim	チーム	tim	チーム	N;SG	N
tim	チーム	tim	チーム	N;SG	N
sistem	システム	sistem	システム	N;SG	N
sistem	システム	sistem	システム	N;SG	N
sistem	システムズ	sistem	システムズ	N;SG	N
termasuk	含む	termasuk	含む	V	V
termasuk	含める	termasuk	含める	V	V
termasuk	含む	termasuk	含む	V	V
larva	幼虫	larva	幼虫	N	N
larva	幼生	larva	幼生	N	N
batang	バール	batang	バール	N;SG	N
batang	バー	batang	バー	N;SG	N
matahari	太陽	matahari	太陽	N;SG	N
presiden	大統領	presiden	大統領	N;SG	N
presiden	社長	presiden	社長	N;SG	N
masyarakat	コミュニティ	masyarakat	コミュニティ	N;SG	N
masyarakat	社会	masyarakat	社会	N;SG	N
masyarakat	社会	masyarakat	社会	N;SG	N
jalan	道路	jalan	道路	N;SG;ACT	N
musik	ミュージック	musik	ミュージック	N;SG	N
musik	音楽	musik	音楽	N;SG	N
musik	ミュージカル	musik	ミュージカル	N;SG	N
planet	惑星	planet	惑星	N;SG	N
planet	惑星	planet	惑星	N;SG	N
kerusakan	被害	kerusakan	被害	N;SG	N
kerusakan	ダメージ	kerusakan	ダメージ	N;SG	N
kerusakan	損害	kerusakan	損害	N;SG	N
kerusakan	ダメージ	kerusakan	ダメージ	N;SG	N
kerusakan	損害賠償	kerusakan	損害賠償	N;SG	N
diakses	アクセス	diakses	アクセス	V;SG;PASS	V
kecil	小さな	kecil	小さな	ADJ;SG	ADJ
kecil	小さい	kecil	小さい	ADJ;SG	ADJ
kecil	小さい	kecil	小さい	ADJ;SG	ADJ
kecil	小さい	kecil	小さい	ADJ;SG	ADJ
menteri	秘書	menteri	秘書	N;SG	N
menteri	公使	menteri	公使	N;SG	N
menteri	大臣	menteri	大臣	N;SG	N
menteri	大臣	menteri	大臣	N;SG	N
menteri	公使	menteri	公使	N;SG	N
lagi	再び	lagi	再び	ADV	ADV
lagi	もっと	lagi	もっと	ADV	ADV
jumlah	金額	jumlah	金額	N;SG	N
jumlah	合計	jumlah	合計	N;SG	N
jumlah	総和	jumlah	総和	N;SG	N
jumlah	金額	jumlah	金額	N;SG	N
jumlah	数量	jumlah	数量	N;SG	N
kata	ワード	kata	ワード	N;SG	N
kata	言葉	kata	言葉	N;SG	N
kata	単語	kata	単語	N;SG	N
kata	言葉	kata	言葉	N;SG	N
kata	単語	kata	単語	N;SG	N
penduduk	住民	penduduk	住民	N;SG	N
penduduk	住民	penduduk	住民	N;SG	N
penduduk	人口	penduduk	人口	N;SG	N
bawah	ボトム	bawah	ボトム	N;SG	N
awal	早い	awal	早い	ADJ;SG	ADJ
data	データ	data	データ	N;SG	N
artikel	記事	artikel	記事	N;SG	N
artikel	冠詞	artikel	冠詞	N;SG	N
artikel	記事	artikel	記事	N;SG	N
artikel	冠詞	artikel	冠詞	N;SG	N
tanduk	クラクション	tanduk	クラクション	N	N
tanduk	ホーン	tanduk	ホーン	N	N
karya	名作	karya	名作	N;SG	N
karya	傑作	karya	傑作	N;SG	N
karya	作品	karya	作品	N;SG	N
tanah	ランド	tanah	ランド	N;SG	N
tanah	土地	tanah	土地	N;SG	N
tanah	土壌	tanah	土壌	N;SG	N
tanah	土地	tanah	土地	N;SG	N
tanah	地面	tanah	地面	N;SG	N
tanah	グラウンド	tanah	グラウンド	N;SG	N
abad	世紀	abad	世紀	N;SG	N
abad	センチュリー	abad	センチュリー	N;SG	N
perusahaan	コーポレーション	perusahaan	コーポレーション	N;SG	N
perusahaan	会社	perusahaan	会社	N;SG	N
perusahaan	会社	perusahaan	会社	N;SG	N
perusahaan	事業主	perusahaan	事業主	N;SG	N
style	スタイル	style	スタイル	N	N
maret	マーチ	maret	マーチ	N;SG	N
maret	行進	maret	行進	N;SG	N
musim	季節	musim	季節	N;SG	N
musim	シーズン	musim	シーズン	N;SG	N
musim	季節	musim	季節	N;SG	N
musim	シーズン	musim	シーズン	N;SG	N
bola	球体	bola	球体	N;SG	N
bola	球面	bola	球面	N;SG	N
bola	球形	bola	球形	N;SG	N
bola	ボール	bola	ボール	N;SG	N
bola	ボール	bola	ボール	N;SG	N
pemerintah	政府	penperintah	政府	N;SG	N
juni	六月	juni	六月	N;SG	N
muda	若い	muda	若い	ADJ;SG	ADJ
muda	若い	muda	若い	ADJ;SG	ADJ
bidang	フィールド	bidang	フィールド	N;SG	N
bidang	フィールド	bidang	フィールド	N;SG	N
kepala	ヘッド	kepala	ヘッド	N;SG	N
kepala	頭部	kepala	頭部	N;SG	N
pusat	中央	pusat	中央	N;SG	N
pusat	センター	pusat	センター	N;SG	N
pusat	中央	pusat	中央	N;SG	N
pusat	中心	pusat	中心	N;SG	N
pusat	中央	pusat	中央	N;SG	N
pusat	センター	pusat	センター	N;SG	N
pusat	中心	pusat	中心	N;SG	N
international	インターナショナル	international	インターナショナル	N	N
international	国際	international	国際	N	N
sumber	ソース	sumber	ソース	N;SG	N
sumber	出典	sumber	出典	N;SG	N
sumber	ソース	sumber	ソース	N;SG	N
sumber	出典	sumber	出典	N;SG	N
manusia	ヒト	manusia	ヒト	N;SG	N
manusia	ヒト	manusia	ヒト	N;SG	N
manusia	ヒューマン	manusia	ヒューマン	N;SG	N
manusia	人間	manusia	人間	N;SG	N
manusia	男性	manusia	男性	N;SG	N
sejarah	履歴	sejarah	履歴	N;SG	N
sejarah	由緒	sejarah	由緒	N;SG	N
sejarah	歴史	sejarah	歴史	N;SG	N
sejarah	沿革	sejarah	沿革	N;SG	N
gereja	教会	gereja	教会	N;SG	N
gereja	教会堂	gereja	教会堂	N;SG	N
gereja	教会	gereja	教会	N;SG	N
diri	自分	diri	自分	N;SG	N
