קטגוריה	catégorie	קטגוריה	catégorie	N;FEM;SG	N;FEM;SG
עם	avec	עם	avec	ADP	ADP
גם	également	גם	également	ADV	ADV
גם	aussi	גם	aussi	ADV	ADV
גם	egalement	גם	egalement	ADV	ADV
גם	trop	גם	trop	ADV	ADV
זה	ceci	זה	ceci	PRO;MASC;SG;3	PRO;SG
זה	cet	זה	ce	PRO;MASC;SG;3	PRO;SG;3
זה	cela	זה	cela	PRO;MASC;SG;3	PRO;SG
זה	ce	זה	ce	PRO;MASC;SG;3	PRO;SG;3
זה	cela	זה	cela	PRO;MASC;SG;3	PRO;SG
היא	she	הוא	she	PRO;FEM;SG;3	PRO
היא	elle	הוא	elle	PRO;FEM;SG;3	PRO;FEM;SG;3
שיחה	conversation	שיחה	conversation	N;FEM;SG	N;FEM;SG
שיחה	appel	שיחה	appel	N;FEM;SG	N;MASC;SG
לאחר	après	לאחר	après	ADP	ADP
בין	entre	בין	entre	ADP	ADP
כל	toute	כול	tout	DET;PSSD	DET;FEM;SG
יותר	davantage	יותר	davantage	ADV	ADV
יותר	plus	יותר	plus	ADV	ADV
אך	mais	אך	mais	CONJ	CONJ
שם	là	שם	là	ADV	ADV
בית	maison	בית	maison	N;MASC;SG	N;FEM;SG
בית	domicile	בית	domicile	N;MASC;SG	N;MASC;SG
בית	accueil	בית	accueil	N;MASC;SG	N;MASC;SG
בית	maison	בית	maison	N;MASC;SG	N;FEM;SG
הם	elles	הוא	il	PRO;MASC;PL;3	PRO;FEM;PL;3
הם	ils	הוא	il	PRO;MASC;PL;3	PRO;MASC;PL;3
הם	eux	הוא	soi	PRO;MASC;PL;3	PRO;MASC;PL;3
כמו	comme	כמו	comme	ADP	ADP
קישורים	liens	קישורים	lien	N;MASC;PL	N;MASC;PL
חיצוניים	extérieurs	חיצוני	extérieur	ADJ;MASC;PL	ADJ;MASC;PL
חיצוניים	externes	חיצוני	externe	ADJ;MASC;PL	ADJ;MASC;PL
מספר	nombre	מספר	nombre	N;MASC;SG	N;MASC;SG
מספר	numéro	מספר	numéro	N;MASC;SG	N;MASC;SG
רק	uniquement	רק	uniquement	ADV	ADV
רק	seulement	רק	seulement	ADV	ADV
רק	simplement	רק	simplement	ADV	ADV
רק	juste	רק	juste	ADV	ADV
כאשר	lorsque	כאשר	lorsque	CONJ	CONJ
כאשר	quand	כאשר	quand	CONJ	CONJ
אותו	lui	None	lui	PRO;ACC;MASC;SG;3	PRO;SG;3
שני	deux	שני	deux	NUM;MASC;PL	NUM
במהלך	lors	במהלך	lors	ADV	ADV
שנים	années	שנה	année	N;FEM;PL	N;FEM;PL
שנים	ans	שנה	an	N;FEM;PL	N;MASC;PL
אבל	mais	אבל	mais	CONJ	CONJ
אביב	printemps	אביב	printemps	N;MASC;SG	N;MASC;SG
אביב	ressort	אביב	ressort	N;MASC;SG	N;MASC;SG
במאי	mai	במאי	mai	N;MASC;SG	N;MASC;SG
במאי	directeur	במאי	directeur	N;MASC;SG	N;MASC;SG
במאי	directrice	במאי	directrice	N;MASC;SG	N;FEM;SG
במאי	réalisateur	במאי	réalisateur	N;MASC;SG	N;MASC;SG
שנה	annee	שנה	annee	N;FEM;SG	N;FEM;SG
שנה	an	שנה	an	N;FEM;SG	N;MASC;SG
שנה	année	שנה	année	N;FEM;SG	N;FEM;SG
