categoría	категорія	categoría	категорія	N;FEM;SG	N;INAN;NOM;FEM;SG
para	для	para	для	ADP	ADP;GEN
como	як	como	як	CONJ	CONJ
más	більше	más	більше	ADV	ADV;CMPR
sus	своїх	su	свій	DET;PL;3	DET;ANIM;ACC;PL;REFL
sus	свої	su	свій	DET;PL;3	DET;NOM;PL;REFL
sus	свої	su	свій	DET;PL;3	DET;NOM;PL;REFL
también	також	también	також	ADV	ADV
también	теж	también	теж	ADV	ADV
también	надто	también	надто	ADV	ADV
también	занадто	también	занадто	ADV	ADV
entre	серед	entre	серед	ADP	ADP;GEN
entre	між	entre	між	ADP	ADP;INS
pero	але	pero	але	CONJ	CONJ
años	роки	año	рік	N;MASC;PL	N;INAN;NOM;MASC;PL
dos	два	dos	два	NUM;PL	NUM;NOM;MASC
dos	дві	dos	два	NUM;PL	NUM;NOM;FEM
dos	двоє	dos	двоє	NUM;PL	NUM;NOM
dos	двох	dos	два	NUM;PL	NUM;ACC
sobre	про	sobre	про	ADP	ADP;ACC
sobre	щодо	sobre	щодо	ADP	ADP;GEN
año	рік	año	рік	N;MASC;SG	N;INAN;NOM;MASC;SG
desde	від	desde	від	ADP	ADP;GEN
enlaces	лінки	enlace	лінка	N;MASC;PL	N;INAN;NOM;MASC;PL
enlaces	посилання	enlace	посилання	N;MASC;PL	N;INAN;NOM;NEUT;PL
enlaces	посиланнями	enlace	посилання	N;MASC;PL	N;INAN;INS;NEUT;PL
enlaces	посилань	enlace	посилання	N;MASC;PL	N;INAN;GEN;NEUT;PL
hasta	до	hasta	до	ADP	ADP;GEN
externos	зовнішні	externo	зовнішній	ADJ;MASC;PL	ADJ;NOM;PL
ciudad	містечко	ciudad	містечко	N;FEM;SG	N;INAN;NOM;NEUT;SG
ciudad	місто	ciudad	місто	N;FEM;SG	N;INAN;NOM;NEUT;SG
ciudad	місто	ciudad	місто	N;FEM;SG	N;INAN;NOM;NEUT;SG
parte	вечірка	parte	вечірка	N;FEM;SG	N;INAN;NOM;FEM;SG
parte	партії	parte	партія	N;FEM;SG	N;INAN;GEN;FEM;SG
parte	партія	parte	партія	N;FEM;SG	N;INAN;NOM;FEM;SG
parte	частина	parte	частина	N;FEM;SG	N;INAN;NOM;FEM;SG
sin	без	sin	без	ADP	ADP;GEN
nacional	національна	nacional	національний	ADJ;SG	ADJ;NOM;FEM;SG
nacional	національне	nacional	національний	ADJ;SG	ADJ;NOM;NEUT;SG
nacional	національний	nacional	національний	ADJ;SG	ADJ;NOM;MASC;SG
primera	перша	primero	перший	ADJ;FEM;SG	ADJ;NOM;FEM;SG
primera	перший	primero	перший	ADJ;FEM;SG	ADJ;NOM;MASC;SG
team	команда	team	команда	N	N;INAN;NOM;FEM;SG
nombre	назва	nombre	назва	N;MASC;SG	N;INAN;NOM;FEM;SG
estados	стани	estado	стан	N;MASC;PL	N;INAN;NOM;MASC;PL
siglo	ст	siglo	ст.	N;MASC;SG	N;INAN;NOM;NEUT;SG
siglo	століття	siglo	століття	N;MASC;SG	N;INAN;NOM;NEUT;SG
después	згодом	después	згодом	ADV	ADV
después	пізніше	después	пізніше	ADV	ADV;CMPR
españa	іспанію	españa	іспанія	N;FEM;SG	N;INAN;ACC;FEM;SG
españa	іспанія	españa	іспанія	N;FEM;SG	N;INAN;NOM;FEM;SG
tiene	має	tener	мати	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
gran	велике	gran	великий	ADJ;SG	ADJ;NOM;NEUT;SG
gran	велика	gran	великий	ADJ;SG	ADJ;NOM;FEM;SG
gran	великий	gran	великий	ADJ;SG	ADJ;NOM;MASC;SG
gran	великий	gran	великий	ADJ;SG	ADJ;NOM;MASC;SG
estado	стан	estado	стан	N;MASC;SG	N;INAN;NOM;MASC;SG
estado	статус	estado	статус	N;MASC;SG	N;INAN;NOM;MASC;SG
estado	стану	estado	стан	N;MASC;SG	N;INAN;GEN;MASC;SG
estado	статусі	estado	статус	N;MASC;SG	N;INAN;DAT;MASC;SG
estado	стан	estado	стан	N;MASC;SG	N;INAN;NOM;MASC;SG
estado	держава	estado	держава	N;MASC;SG	N;INAN;NOM;FEM;SG
estado	умова	estado	умова	N;MASC;SG	N;INAN;NOM;FEM;SG
lugar	місце	lugar	місце	N;MASC;SG	N;INAN;NOM;NEUT;SG
lugar	розміщення	lugar	розміщення	N;MASC;SG	N;INAN;NOM;NEUT;SG
lugar	місцезнаходження	lugar	місцезнаходження	N;MASC;SG	N;INAN;NOM;NEUT;SG
lugar	локація	lugar	локація	N;MASC;SG	N;INAN;NOM;FEM;SG
lugar	місце	lugar	місце	N;MASC;SG	N;INAN;NOM;NEUT;SG
lugar	розташування	lugar	розташування	N;MASC;SG	N;INAN;NOM;NEUT;SG
primer	перша	primero	перший	ADJ;MASC;SG	ADJ;NOM;FEM;SG
primer	перший	primero	перший	ADJ;MASC;SG	ADJ;NOM;MASC;SG
población	населення	población	населення	N;FEM;SG	N;INAN;NOM;NEUT;SG
muy	дуже	mucho	дуже	ADV	ADV
mismo	однаковий	mismo	однаковий	ADJ;MASC;SG	ADJ;NOM;MASC;SG
nueva	нове	nuevo	новий	ADJ;FEM;SG	ADJ;NOM;NEUT;SG
nueva	нова	nuevo	новий	ADJ;FEM;SG	ADJ;NOM;FEM;SG
nueva	новий	nuevo	новий	ADJ;FEM;SG	ADJ;NOM;MASC;SG
historia	історія	historia	історія	N;FEM;SG	N;INAN;NOM;FEM;SG
historia	сюжет	historia	сюжет	N;FEM;SG	N;INAN;NOM;MASC;SG
historia	розповідь	historia	розповідь	N;FEM;SG	N;INAN;NOM;FEM;SG
historia	публікація	historia	публікація	N;FEM;SG	N;INAN;NOM;FEM;SG
historia	журнал	historia	журнал	N;FEM;SG	N;INAN;NOM;MASC;SG
historia	історія	historia	історія	N;FEM;SG	N;INAN;NOM;FEM;SG
club	клуб	club	клуб	N;MASC;SG	N;INAN;NOM;MASC;SG
universidad	університет	universidad	університет	N;FEM;SG	N;INAN;NOM;MASC;SG
universidad	коледж	universidad	коледж	N;FEM;SG	N;INAN;NOM;MASC;SG
universidad	коледжі	universidad	коледжа	N;FEM;SG	N;INAN;NOM;MASC;SG
forma	форму	forma	форма	N;FEM;SG	N;INAN;ACC;FEM;SG
