commerciaux	comerciales	commercial	comercial	ADJ;MASC;PL	ADJ;PL
stockage	almacén	stockage	almacén	N;MASC;SG	N;MASC;SG
stockage	almacenaje	stockage	almacenaje	N;MASC;SG	N;MASC;SG
stockage	almacenamiento	stockage	almacenamiento	N;MASC;SG	N;MASC;SG
civiles	civiles	civil	civil	ADJ;FEM;PL	ADJ;PL
civiles	civiles	civil	civil	ADJ;FEM;PL	ADJ;PL
traductions	traducciones	traduction	traducción	N;FEM;PL	N;FEM;PL
traductions	traducciones	traduction	traducción	N;FEM;PL	N;FEM;PL
url	url	url	url	N;MASC;SG	N;FEM;SG
url	url	url	url	N;MASC;SG	N;FEM;SG
río	rio	río	rio	N;MASC;SG	N;MASC;SG
río	río	río	río	N;MASC;SG	N;MASC;SG
brut	cruda	brut	cruda	ADJ;MASC;SG	ADJ;FEM;SG
brut	tosco	brut	tosco	ADJ;MASC;SG	ADJ;MASC;SG
brut	bruto	brut	bruto	ADJ;MASC;SG	ADJ;MASC;SG
brut	asqueroso	brut	asqueroso	ADJ;MASC;SG	ADJ;MASC;SG
brut	bruto	brut	bruto	ADJ;MASC;SG	ADJ;MASC;SG
brut	cruda	brut	cruda	ADJ;MASC;SG	ADJ;FEM;SG
pur	pura	pur	puro	ADJ;MASC;SG	ADJ;FEM;SG
pur	puro	pur	puro	ADJ;MASC;SG	ADJ;MASC;SG
nœuds	nudos	noeud	nudo	N;MASC;PL	N;MASC;PL
nœuds	nodos	noeud	nodo	N;MASC;PL	N;MASC;PL
nœuds	nódulos	noeud	nódulo	N;MASC;PL	N;MASC;PL
foot	foot	foot	foot	N;MASC;SG	N
foot	pie	foot	pie	N;MASC;SG	N;MASC;SG
foot	soccer	foot	soccer	N;MASC;SG	N;SG
foot	fútbol	foot	fútbol	N;MASC;SG	N;MASC;SG
foot	futbol	foot	futbol	N;MASC;SG	N;MASC;SG
triangle	triángulo	triangle	triángulo	N;MASC;SG	N;MASC;SG
nucléaires	nucleares	nucléaire	nuclear	ADJ;MASC;PL	ADJ;PL
pittsburgh	pittsburgh	pittsburgh	pittsburgh	N;MASC;PL	N;MASC;PL
possédant	poseer	posséder	poseer	V;PRS;V.PTCP	V;NFIN
défend	defiende	défendre	defender	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
adopte	adopta	adopter	adoptar	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
propagande	propaganda	propagande	propaganda	N;FEM;SG	N;FEM;SG
convaincre	convencer	convaincre	convencer	V;NFIN	V;NFIN
convaincre	convence	convaincre	convencer	V;NFIN	V;IND;SG;3;PRS;FIN
convaincre	convencer	convaincre	convencer	V;NFIN	V;NFIN
témoins	testigos	témoin	testigo	N;MASC;PL	N;MASC;PL
témoins	galletitas	témoin	galletita	N;MASC;PL	N;FEM;PL
témoins	galletas	témoin	galleta	N;MASC;PL	N;FEM;PL
témoins	testigos	témoin	testigo	N;MASC;PL	N;MASC;PL
législative	legislativo	législatif	legislativo	ADJ;FEM;SG	ADJ;MASC;SG
législative	legislativa	législatif	legislativo	ADJ;FEM;SG	ADJ;FEM;SG
thaïlande	tailandia	thaïlande	tailandia	N;FEM;SG	N;FEM;SG
militants	militantes	militant	militante	N;MASC;PL	N;PL
militants	activistas	militant	activista	N;MASC;PL	N;PL
militants	militantes	militant	militante	N;MASC;PL	N;PL
contacter	contactar	contacter	contactar	V;NFIN	V;NFIN
contacter	contacta	contacter	contacta	V;NFIN	V;IND;SG;3;PRS;FIN
hier	ayer	hier	ayer	ADV	ADV
recettes	recetas	recette	receta	N;FEM;PL	N;FEM;PL
recettes	ingresos	recette	ingreso	N;FEM;PL	N;MASC;PL
recettes	recibos	recette	recibo	N;FEM;PL	N;MASC;PL
recettes	ingresos	recette	ingreso	N;FEM;PL	N;MASC;PL
quatuor	cuarteto	quatuor	cuarteto	N;MASC;SG	N;MASC;SG
clos	cerrada	clore	cerrado	ADJ;MASC;SG	ADJ;FEM;SG;V.PTCP
clos	cerrado	clore	cerrado	ADJ;MASC;SG	ADJ;MASC;SG;V.PTCP
mexicain	mexicana	mexicain	mexicano	ADJ;MASC;SG	ADJ;FEM;SG
oublier	olvidar	oublier	olvidar	V;NFIN	V;NFIN
oublier	olvidando	oublier	olvidar	V;NFIN	V;V.MSDR
oublier	olvide	oublier	olvidar	V;NFIN	V;IMP;SG;3;FIN
